date,country_code,indicator_code,value
2019-03-01,MY,001,2.05
2019-02-01,MY,001,2.07
2019-01-01,MY,001,2.2
2018-12-01,MY,001,2.36
2018-11-01,MY,001,2.49
2018-10-01,MY,001,2.44
2018-09-01,MY,001,2.63
2018-08-01,MY,001,2.64
2018-07-01,MY,001,2.66
2018-06-01,MY,001,2.36
2018-05-01,MY,001,2.75
2018-04-01,MY,001,2.59
2018-03-01,MY,001,2.16
2018-02-01,MY,001,2.22
2018-01-01,MY,001,2.11
2017-12-01,MY,001,2.55
2017-11-01,MY,001,1.83
2017-10-01,MY,001,2.3
2017-09-01,MY,001,2.07
2017-08-01,MY,001,1.44
2017-07-01,MY,001,2.0
2017-06-01,MY,001,2.12
2017-05-01,MY,001,1.79
2017-04-01,MY,001,1.88
2017-03-01,MY,001,1.56
2017-02-01,MY,001,1.44
2017-01-01,MY,001,1.53
2016-12-01,MY,001,0.64
2016-11-01,MY,001,0.71
2016-10-01,MY,001,0.48
2016-09-01,MY,001,0.69
2016-08-01,MY,001,0.65
2016-07-01,MY,001,0.76
2016-06-01,MY,001,0.51
2016-05-01,MY,001,0.52
2016-04-01,MY,001,0.19
2016-03-01,MY,001,0.28
2016-02-01,MY,001,0.74
2016-01-01,MY,001,1.13
2015-12-01,MY,001,3.18
2015-11-01,MY,001,3.71
2015-10-01,MY,001,3.52
2015-09-01,MY,001,3.1
2015-08-01,MY,001,4.93
2015-07-01,MY,001,3.81
2015-06-01,MY,001,3.83
2015-05-01,MY,001,3.52
2015-04-01,MY,001,4.69
2015-03-01,MY,001,5.46
2015-02-01,MY,001,4.85
2015-01-01,MY,001,3.41
2014-12-01,MY,001,1.47
2014-11-01,MY,001,0.2
2014-10-01,MY,001,-0.01
2014-09-01,MY,001,-0.55
2014-08-01,MY,001,-0.91
2014-07-01,MY,001,0.67
2014-06-01,MY,001,1.16
2014-05-01,MY,001,4.67
2014-04-01,MY,001,2.93
2014-03-01,MY,001,3.73
2014-02-01,MY,001,4.19
2014-01-01,MY,001,5.28
2013-12-01,MY,001,7.53
2013-11-01,MY,001,8.23
2013-10-01,MY,001,9.86
2013-09-01,MY,001,9.95
2013-08-01,MY,001,8.75
2013-07-01,MY,001,5.78
2013-06-01,MY,001,7.54
2013-05-01,MY,001,4.25
2013-04-01,MY,001,4.63
2013-03-01,MY,001,3.12
2013-02-01,MY,001,4.6
2013-01-01,MY,001,3.31
2012-12-01,MY,001,1.57
2012-11-01,MY,001,4.62
2012-10-01,MY,001,1.14
2012-09-01,MY,001,2.22
2012-08-01,MY,001,2.43
2012-07-01,MY,001,3.24
2012-06-01,MY,001,3.41
2012-05-01,MY,001,3.22
2012-04-01,MY,001,1.74
2012-03-01,MY,001,2.49
2012-02-01,MY,001,2.4
2012-01-01,MY,001,2.35
2011-12-01,MY,001,1.66
2011-11-01,MY,001,2.96
2011-10-01,MY,001,1.55
2011-09-01,MY,001,4.37
2011-08-01,MY,001,3.92
2011-07-01,MY,001,3.54
2011-06-01,MY,001,2.95
2011-05-01,MY,001,3.53
2011-04-01,MY,001,2.37
2011-03-01,MY,001,4.27
2011-02-01,MY,001,4.32
2011-01-01,MY,001,2.98
2010-12-01,MY,001,10.59
2010-11-01,MY,001,5.48
2010-10-01,MY,001,9.45
2010-09-01,MY,001,6.35
2010-08-01,MY,001,6.15
2010-07-01,MY,001,6.85
2010-06-01,MY,001,6.53
2010-05-01,MY,001,5.25
2010-04-01,MY,001,9.18
2010-03-01,MY,001,9.51
2010-02-01,MY,001,6.0
2010-01-01,MY,001,9.12
2009-11-01,MY,001,2.82
2009-08-01,MY,001,3.21
2009-05-01,MY,001,3.57
2009-02-01,MY,001,3.48
2008-11-01,MY,001,1.45
2008-08-01,MY,001,4.38
2008-05-01,MY,001,1.27
2008-02-01,MY,001,0.61
2007-11-01,MY,001,2.47
2007-08-01,MY,001,-0.9
2007-05-01,MY,001,2.65
2007-02-01,MY,001,3.01
2019-12-01,MY,002,4329.0
2019-11-01,MY,002,3968.0
2019-10-01,MY,002,4004.0
2019-09-01,MY,002,4011.0
2019-08-01,MY,002,4002.0
2019-07-01,MY,002,4007.0
2019-06-01,MY,002,3977.0
2019-05-01,MY,002,3969.0
2019-04-01,MY,002,3995.0
2019-03-01,MY,002,4060.0
2019-02-01,MY,002,4029.0
2019-01-01,MY,002,4073.0
2018-12-01,MY,002,4155.0
2018-11-01,MY,002,3847.0
2018-10-01,MY,002,3902.0
2018-09-01,MY,002,3903.0
2018-08-01,MY,002,3873.0
2018-07-01,MY,002,3875.0
2018-06-01,MY,002,3857.0
2018-05-01,MY,002,3811.0
2018-04-01,MY,002,3826.0
2018-03-01,MY,002,3863.0
2018-02-01,MY,002,3759.0
2018-01-01,MY,002,3740.0
2017-12-01,MY,002,3774.0
2017-11-01,MY,002,3530.0
2017-10-01,MY,002,3542.0
2017-09-01,MY,002,3577.0
2017-08-01,MY,002,3530.0
2017-07-01,MY,002,3519.0
2017-06-01,MY,002,3499.0
2017-05-01,MY,002,3464.0
2017-04-01,MY,002,3472.0
2017-03-01,MY,002,3453.0
2017-02-01,MY,002,3221.0
2017-01-01,MY,002,3300.0
2016-12-01,MY,002,3454.0
2016-11-01,MY,002,3233.0
2016-10-01,MY,002,3230.0
2016-09-01,MY,002,3252.0
2016-08-01,MY,002,3191.0
2016-07-01,MY,002,3163.0
2016-06-01,MY,002,3182.0
2016-05-01,MY,002,3058.0
2016-04-01,MY,002,3142.0
2016-03-01,MY,002,3204.0
2016-02-01,MY,002,3210.0
2016-01-01,MY,002,3251.0
2015-12-01,MY,002,3261.0
2015-11-01,MY,002,3047.0
2015-10-01,MY,002,3055.0
2015-09-01,MY,002,3026.0
2015-08-01,MY,002,2988.0
2015-07-01,MY,002,2970.0
2015-06-01,MY,002,3029.0
2015-05-01,MY,002,2938.0
2015-04-01,MY,002,2965.0
2015-03-01,MY,002,3082.0
2015-02-01,MY,002,2974.0
2015-01-01,MY,002,2986.0
2014-12-01,MY,002,3041.0
2014-11-01,MY,002,2838.0
2014-10-01,MY,002,2836.0
2014-09-01,MY,002,2822.0
2014-08-01,MY,002,2852.0
2014-07-01,MY,002,2872.0
2014-06-01,MY,002,2863.0
2014-05-01,MY,002,2822.0
2014-04-01,MY,002,2862.0
2014-03-01,MY,002,2896.0
2014-02-01,MY,002,2774.0
2014-01-01,MY,002,2860.0
2013-12-01,MY,002,3028.0
2013-11-01,MY,002,2720.0
2013-10-01,MY,002,2693.0
2013-09-01,MY,002,2740.0
2013-08-01,MY,002,2658.0
2013-07-01,MY,002,2679.0
2013-06-01,MY,002,2678.0
2013-05-01,MY,002,2621.0
2013-04-01,MY,002,2666.0
2013-03-01,MY,002,2775.0
2013-02-01,MY,002,2582.0
2013-01-01,MY,002,2655.0
2012-12-01,MY,002,2791.0
2012-11-01,MY,002,2582.0
2012-10-01,MY,002,2507.0
2012-09-01,MY,002,2522.0
2012-08-01,MY,002,2451.0
2012-07-01,MY,002,2492.0
2012-06-01,MY,002,2497.0
2012-05-01,MY,002,2514.0
2012-04-01,MY,002,2570.0
2012-03-01,MY,002,2668.0
2012-02-01,MY,002,2462.0
2012-01-01,MY,002,2456.0
2011-12-01,MY,002,2602.0
2011-11-01,MY,002,2352.0
2011-10-01,MY,002,2323.0
2011-09-01,MY,002,2368.0
2011-08-01,MY,002,2318.0
2011-07-01,MY,002,2402.0
2011-06-01,MY,002,2460.0
2011-05-01,MY,002,2292.0
2011-04-01,MY,002,2330.0
2011-03-01,MY,002,2314.0
2011-02-01,MY,002,2297.0
2011-01-01,MY,002,2353.0
2010-12-01,MY,002,2266.0
2010-11-01,MY,002,2215.0
2010-10-01,MY,002,2215.0
2010-09-01,MY,002,2192.0
2010-08-01,MY,002,2200.0
2010-07-01,MY,002,2190.0
2010-06-01,MY,002,2198.0
2010-05-01,MY,002,2163.0
2010-04-01,MY,002,2163.0
2010-03-01,MY,002,2188.0
