date,country_code,indicator_code,value
1988-01-01,MZ,001,8.95
2018-01-01,MZ,004,424027.0
2017-01-01,MZ,004,324267.0
2016-01-01,MZ,004,252496.0
2015-01-01,MZ,004,198204.0
2014-01-01,MZ,004,173766.0
2013-01-01,MZ,004,136661.0
2012-01-01,MZ,004,133999.0
2011-01-01,MZ,004,125822.0
2010-01-01,MZ,004,107156.0
2009-01-01,MZ,004,88745.0
2008-01-01,MZ,004,80814.0
2007-01-01,MZ,004,73606.0
2006-01-01,MZ,004,62915.0
2005-01-01,MZ,004,53031.0
2004-01-01,MZ,004,44006.0
2003-01-01,MZ,004,33560.0
2002-01-01,MZ,004,28679.0
2001-01-01,MZ,004,20553.0
2000-01-01,MZ,004,9666.0
1999-01-01,MZ,004,6791.0
1998-01-01,MZ,004,6238.0
1997-01-01,MZ,004,5778.0
1996-01-01,MZ,004,5171.0
1995-01-01,MZ,004,3024.0
1994-01-01,MZ,004,1793.0
1993-01-01,MZ,004,876.0
1992-01-01,MZ,004,615.0
1991-01-01,MZ,004,424.0
2020-02-01,MZ,005,18.0
2020-01-01,MZ,005,18.0
2019-12-01,MZ,005,18.0
2019-11-01,MZ,005,18.0
2019-10-01,MZ,005,18.0
2019-09-01,MZ,005,18.3
2019-08-01,MZ,005,18.5
2019-07-01,MZ,005,19.3
2019-06-01,MZ,005,19.5
2019-05-01,MZ,005,19.5
2019-04-01,MZ,005,19.5
2019-03-01,MZ,005,19.5
2019-02-01,MZ,005,19.5
2019-01-01,MZ,005,19.9
2018-12-01,MZ,005,20.2
2018-11-01,MZ,005,20.2
2018-10-01,MZ,005,20.4
2018-09-01,MZ,005,21.75
2018-08-01,MZ,005,21.75
2018-07-01,MZ,005,22.5
2018-06-01,MZ,005,22.5
2018-05-01,MZ,005,23.5
2018-04-01,MZ,005,24.5
2018-03-01,MZ,005,25.5
2018-02-01,MZ,005,25.75
2018-01-01,MZ,005,27.25
2017-12-01,MZ,005,27.25
2017-11-01,MZ,005,27.5
2017-10-01,MZ,005,27.5
2017-09-01,MZ,005,27.5
2017-08-01,MZ,005,27.5
2017-07-01,MZ,005,27.75
2017-06-01,MZ,005,28.17
2017-05-01,MZ,005,28.25
2017-04-01,MZ,005,28.25
2017-03-01,MZ,005,28.32
2017-02-01,MZ,005,28.31
2017-01-01,MZ,005,27.97
2016-12-01,MZ,005,27.04
2016-11-01,MZ,005,25.73
2016-10-01,MZ,005,24.48
2016-09-01,MZ,005,23.12
2016-08-01,MZ,005,22.53
2016-07-01,MZ,005,21.75
2016-06-01,MZ,005,20.08
2016-05-01,MZ,005,19.36
2016-04-01,MZ,005,18.25
2016-03-01,MZ,005,17.43
2016-02-01,MZ,005,17.33
2016-01-01,MZ,005,17.02
2015-12-01,MZ,005,16.27
2015-11-01,MZ,005,15.35
2015-10-01,MZ,005,14.7
2015-09-01,MZ,005,14.68
2015-08-01,MZ,005,14.68
2015-07-01,MZ,005,14.68
2015-06-01,MZ,005,14.68
2015-05-01,MZ,005,14.68
2015-04-01,MZ,005,14.68
2015-03-01,MZ,005,14.68
2015-02-01,MZ,005,14.68
2015-01-01,MZ,005,14.68
2014-12-01,MZ,005,14.68
2014-11-01,MZ,005,14.68
2014-10-01,MZ,005,14.75
2014-09-01,MZ,005,14.8
2014-08-01,MZ,005,14.8
2014-07-01,MZ,005,14.8
2014-06-01,MZ,005,14.83
2014-05-01,MZ,005,14.85
2014-04-01,MZ,005,14.85
2014-03-01,MZ,005,14.85
2014-02-01,MZ,005,14.85
2014-01-01,MZ,005,14.85
2013-12-01,MZ,005,14.88
2013-11-01,MZ,005,14.97
2013-10-01,MZ,005,14.97
2013-09-01,MZ,005,15.33
2013-08-01,MZ,005,15.33
2013-07-01,MZ,005,15.42
2013-06-01,MZ,005,15.42
2013-05-01,MZ,005,15.44
2013-04-01,MZ,005,15.5
2013-03-01,MZ,005,15.5
2013-02-01,MZ,005,15.5
2013-01-01,MZ,005,15.58
2012-12-01,MZ,005,15.53
2012-11-01,MZ,005,15.45
2012-10-01,MZ,005,15.7
2012-09-01,MZ,005,15.85
2012-08-01,MZ,005,16.13
2012-07-01,MZ,005,16.55
2012-06-01,MZ,005,16.97
2012-05-01,MZ,005,17.34
2012-04-01,MZ,005,17.63
2012-03-01,MZ,005,18.0
2012-02-01,MZ,005,18.31
2012-01-01,MZ,005,18.31
2011-12-01,MZ,005,19.07
2011-11-01,MZ,005,19.07
2011-10-01,MZ,005,19.07
2011-09-01,MZ,005,19.07
2011-08-01,MZ,005,19.14
2011-07-01,MZ,005,19.17
2011-06-01,MZ,005,19.1
2011-05-01,MZ,005,19.1
2011-04-01,MZ,005,19.1
2011-03-01,MZ,005,19.1
2011-02-01,MZ,005,19.1
2011-01-01,MZ,005,19.1
2010-12-01,MZ,005,19.0
2010-11-01,MZ,005,18.3
2010-10-01,MZ,005,17.9
2010-09-01,MZ,005,17.45
2010-08-01,MZ,005,16.89
2010-07-01,MZ,005,16.38
2010-06-01,MZ,005,16.33
2010-05-01,MZ,005,15.08
2010-04-01,MZ,005,14.56
2010-03-01,MZ,005,14.55
2010-02-01,MZ,005,14.36
2010-01-01,MZ,005,14.36
2009-12-01,MZ,005,15.22
2009-11-01,MZ,005,15.22
2009-10-01,MZ,005,15.22
2009-09-01,MZ,005,15.02
2009-08-01,MZ,005,14.82
2009-07-01,MZ,005,15.07
2009-06-01,MZ,005,15.87
2009-05-01,MZ,005,15.87
2009-04-01,MZ,005,15.87
2009-03-01,MZ,005,16.33
2009-02-01,MZ,005,16.33
2009-01-01,MZ,005,17.26
2008-12-01,MZ,005,17.99
2008-11-01,MZ,005,17.99
2008-10-01,MZ,005,17.99
2008-09-01,MZ,005,18.19
2008-08-01,MZ,005,18.59
2008-07-01,MZ,005,18.39
2008-06-01,MZ,005,18.39
2008-05-01,MZ,005,18.39
2008-04-01,MZ,005,18.39
2008-03-01,MZ,005,18.39
2008-02-01,MZ,005,18.39
2008-01-01,MZ,005,18.65
2007-12-01,MZ,005,18.85
2007-11-01,MZ,005,18.85
2007-10-01,MZ,005,18.85
2007-09-01,MZ,005,19.23
2007-08-01,MZ,005,19.33
2007-07-01,MZ,005,19.33
2007-06-01,MZ,005,19.33
2007-05-01,MZ,005,20.08
2007-04-01,MZ,005,20.08
2007-03-01,MZ,005,20.11
2007-02-01,MZ,005,20.11
2007-01-01,MZ,005,20.08
2006-12-01,MZ,005,20.28
2006-11-01,MZ,005,20.08
2006-10-01,MZ,005,19.93
2006-09-01,MZ,005,20.09
2006-08-01,MZ,005,17.89
2006-07-01,MZ,005,18.29
2006-06-01,MZ,005,18.29
2006-05-01,MZ,005,18.09
2006-04-01,MZ,005,18.49
2006-03-01,MZ,005,18.09
2006-02-01,MZ,005,16.72
2006-01-01,MZ,005,16.52
2005-12-01,MZ,005,19.19
2005-11-01,MZ,005,19.19
2005-10-01,MZ,005,19.19
2005-09-01,MZ,005,19.19
2005-08-01,MZ,005,19.19
2005-07-01,MZ,005,19.19
2005-06-01,MZ,005,19.19
2005-05-01,MZ,005,19.79
2005-04-01,MZ,005,20.39
2005-03-01,MZ,005,19.84
2005-02-01,MZ,005,19.84
2005-01-01,MZ,005,19.44
2004-12-01,MZ,005,20.59
2004-11-01,MZ,005,20.59
2004-10-01,MZ,005,20.79
2004-09-01,MZ,005,20.99
2004-08-01,MZ,005,22.39
2004-07-01,MZ,005,22.39
2004-06-01,MZ,005,22.39
2004-05-01,MZ,005,22.39
2004-04-01,MZ,005,22.89
2004-03-01,MZ,005,22.89
2004-02-01,MZ,005,23.29
2004-01-01,MZ,005,23.29
2003-12-01,MZ,005,23.29
2003-11-01,MZ,005,23.89
2003-10-01,MZ,005,24.39
2003-09-01,MZ,005,24.39
2003-08-01,MZ,005,24.39
2003-07-01,MZ,005,24.79
2003-06-01,MZ,005,24.79
2003-05-01,MZ,005,24.79
2003-04-01,MZ,005,24.79
2003-03-01,MZ,005,24.79
2003-02-01,MZ,005,25.99
2003-01-01,MZ,005,25.99
2002-12-01,MZ,005,29.75
2002-11-01,MZ,005,29.75
2002-10-01,MZ,005,29.75
2002-09-01,MZ,005,27.25
2002-08-01,MZ,005,25.5
2002-07-01,MZ,005,25.5
2002-06-01,MZ,005,25.5
2002-05-01,MZ,005,25.5
2002-04-01,MZ,005,25.5
2002-03-01,MZ,005,25.5
2002-02-01,MZ,005,25.5
2002-01-01,MZ,005,25.5
2001-12-01,MZ,005,25.25
2001-11-01,MZ,005,25.2
2001-10-01,MZ,005,24.6
2001-09-01,MZ,005,24.4
2001-08-01,MZ,005,24.4
2001-07-01,MZ,005,23.8
2001-06-01,MZ,005,21.4
2001-05-01,MZ,005,21.1
2001-04-01,MZ,005,21.1
2001-03-01,MZ,005,20.5
2001-02-01,MZ,005,20.5
2001-01-01,MZ,005,20.5
2000-12-01,MZ,005,19.58
2000-11-01,MZ,005,19.58
2000-10-01,MZ,005,19.58
2000-09-01,MZ,005,18.44
2000-08-01,MZ,005,18.44
2000-07-01,MZ,005,18.44
2000-06-01,MZ,005,18.44
2000-05-01,MZ,005,18.33
2000-04-01,MZ,005,19.41
2000-03-01,MZ,005,19.41
2000-02-01,MZ,005,19.41
2000-01-01,MZ,005,19.41
1999-12-01,MZ,005,19.63
1999-11-01,MZ,005,19.63
1999-10-01,MZ,005,19.63
1999-09-01,MZ,005,19.63
1999-08-01,MZ,005,19.63
1999-07-01,MZ,005,19.63
1999-06-01,MZ,005,19.63
1999-05-01,MZ,005,19.63
1999-04-01,MZ,005,19.63
1999-03-01,MZ,005,19.63
1999-02-01,MZ,005,19.63
1999-01-01,MZ,005,19.63
1998-12-01,MZ,005,19.63
1998-11-01,MZ,005,24.67
1998-10-01,MZ,005,24.67
1998-09-01,MZ,005,24.67
1998-08-01,MZ,005,24.67
1998-07-01,MZ,005,24.75
1998-06-01,MZ,005,24.67
1998-05-01,MZ,005,26.9
1998-04-01,MZ,005,24.75
1998-03-01,MZ,005,24.75
1998-02-01,MZ,005,25.2
1998-01-01,MZ,005,22.9
1997-12-01,MZ,005,22.9
1997-11-01,MZ,005,22.9
1997-10-01,MZ,005,33.5
1997-09-01,MZ,005,33.5
1997-08-01,MZ,005,33.5
2020-03-01,MZ,007,267948.0
2020-02-01,MZ,007,270718.0
2020-01-01,MZ,007,255986.0
2019-12-01,MZ,007,247406.0
2019-11-01,MZ,007,251740.0
2019-10-01,MZ,007,247345.0
2019-09-01,MZ,007,196390.0
