date,country_code,indicator_code,value
1991-01-01,NE,001,-1.107
1990-01-01,NE,001,-2.796
1989-01-01,NE,001,2.06
1988-01-01,NE,001,-1.974
1987-01-01,NE,001,1.862
1986-01-01,NE,001,3.567
2018-01-01,NE,004,-893043.0
2017-01-01,NE,004,-772295.0
2016-01-01,NE,004,-641076.0
2015-01-01,NE,004,-963766.0
2014-01-01,NE,004,-742833.0
2013-01-01,NE,004,-622991.0
2012-01-01,NE,004,-620297.0
2011-01-01,NE,004,-813059.0
2010-01-01,NE,004,-761706.0
2009-01-01,NE,004,-676229.0
2008-01-01,NE,004,-434504.0
2007-01-01,NE,004,-257038.0
2006-01-01,NE,004,-249730.0
2005-01-01,NE,004,-255134.0
2004-01-01,NE,004,-170018.0
2003-01-01,NE,004,-152215.0
2002-01-01,NE,004,-160019.0
2001-01-01,NE,004,-109636.0
2000-01-01,NE,004,-101058.0
1999-01-01,NE,004,-91115.0
1998-01-01,NE,004,-104603.0
1997-01-01,NE,004,-84205.0
1996-01-01,NE,004,-74400.0
1995-01-01,NE,004,-66797.0
1994-01-01,NE,004,-89808.0
1993-01-01,NE,004,-15439.0
1992-01-01,NE,004,-6714.0
1991-01-01,NE,004,-30716.0
1990-01-01,NE,004,-45866.0
1989-01-01,NE,004,-46575.0
1988-01-01,NE,004,-35921.0
1987-01-01,NE,004,-29385.0
1986-01-01,NE,004,-4559.0
1985-01-01,NE,004,-78665.0
1984-01-01,NE,004,-25955.0
1983-01-01,NE,004,-41840.0
1982-01-01,NE,004,-100292.0
1981-01-01,NE,004,-71057.0
1980-01-01,NE,004,-71772.0
1979-01-01,NE,004,-37376.0
1978-01-01,NE,004,-21213.0
1977-01-01,NE,004,-30735.0
1976-01-01,NE,004,-30713.0
1975-01-01,NE,004,-26401.0
1974-01-01,NE,004,-41254.0
1973-01-01,NE,004,-17340.0
1972-01-01,NE,004,-11758.0
1971-01-01,NE,004,-6175.0
1970-01-01,NE,004,-13164.0
1969-01-01,NE,004,-11577.0
1968-01-01,NE,004,-10057.0
1967-01-01,NE,004,-9735.0
1966-01-01,NE,004,-6268.0
1965-01-01,NE,004,-7477.0
1964-01-01,NE,004,-6900.0
1963-01-01,NE,004,-1452.0
1962-01-01,NE,004,-4774.0
1961-01-01,NE,004,-1887.0
1960-01-01,NE,004,-336.0
2017-02-01,NE,005,5.3
2017-01-01,NE,005,4.98
2016-12-01,NE,005,5.6
2016-11-01,NE,005,5.43
2016-10-01,NE,005,5.24
2016-09-01,NE,005,5.52
2016-08-01,NE,005,5.0
2016-07-01,NE,005,5.45
2016-06-01,NE,005,5.43
2016-05-01,NE,005,4.61
2016-04-01,NE,005,5.15
2016-03-01,NE,005,5.43
2016-02-01,NE,005,5.24
2016-01-01,NE,005,5.44
2015-12-01,NE,005,5.21
2015-11-01,NE,005,4.87
2015-10-01,NE,005,4.99
2015-09-01,NE,005,5.13
2015-08-01,NE,005,5.19
2015-07-01,NE,005,5.31
2015-06-01,NE,005,5.22
2015-05-01,NE,005,5.05
2015-04-01,NE,005,5.31
2015-03-01,NE,005,5.15
2015-02-01,NE,005,5.28
2015-01-01,NE,005,5.14
2014-12-01,NE,005,5.29
2014-11-01,NE,005,5.6
2014-10-01,NE,005,5.19
2014-09-01,NE,005,5.24
2014-08-01,NE,005,5.08
2014-07-01,NE,005,5.38
2014-06-01,NE,005,5.52
2014-05-01,NE,005,5.11
2014-04-01,NE,005,5.41
2014-03-01,NE,005,5.16
2014-02-01,NE,005,5.47
2014-01-01,NE,005,5.61
2013-12-01,NE,005,5.4
2013-11-01,NE,005,5.15
2013-10-01,NE,005,5.23
2013-09-01,NE,005,5.7
2013-08-01,NE,005,5.18
2013-07-01,NE,005,5.45
2013-06-01,NE,005,5.14
2013-05-01,NE,005,5.14
2013-04-01,NE,005,5.47
2013-03-01,NE,005,5.26
2013-02-01,NE,005,5.18
2013-01-01,NE,005,5.15
2012-12-01,NE,005,5.08
2012-11-01,NE,005,5.1
2012-10-01,NE,005,5.21
2012-09-01,NE,005,5.14
2012-08-01,NE,005,5.14
2012-07-01,NE,005,5.01
2012-06-01,NE,005,4.85
2012-05-01,NE,005,4.88
2012-04-01,NE,005,4.98
2012-03-01,NE,005,5.0
2012-02-01,NE,005,5.08
2012-01-01,NE,005,5.0
2011-12-01,NE,005,5.42
