date,country_code,indicator_code,value
2019-01-01,NF,126,2048.0
2018-01-01,NF,126,2049.0
2017-01-01,NF,126,2048.0
2016-01-01,NF,126,2048.0
2015-12-01,NF,172,147.1
2015-11-01,NF,172,106.0
2015-10-01,NF,172,39.7
2015-09-01,NF,172,96.3
2015-08-01,NF,172,80.3
2015-07-01,NF,172,108.5
2015-06-01,NF,172,39.5
2015-05-01,NF,172,43.9
2015-04-01,NF,172,65.5
2015-03-01,NF,172,81.5
2015-02-01,NF,172,48.2
2015-01-01,NF,172,245.699
2014-12-01,NF,172,371.1
2014-11-01,NF,172,49.7999
2014-10-01,NF,172,71.5
2014-09-01,NF,172,44.4
2014-08-01,NF,172,153.199
2014-07-01,NF,172,110.599
2014-06-01,NF,172,111.5
2014-05-01,NF,172,69.5999
2014-04-01,NF,172,40.5
2014-03-01,NF,172,29.1
2014-02-01,NF,172,173.0
2014-01-01,NF,172,53.9
2013-12-01,NF,172,76.4
2013-11-01,NF,172,133.8
2013-10-01,NF,172,39.2999
2013-09-01,NF,172,72.0999
2013-08-01,NF,172,123.0
2013-07-01,NF,172,153.199
2013-06-01,NF,172,150.4
2013-05-01,NF,172,113.5
2013-04-01,NF,172,126.599
2013-03-01,NF,172,53.2999
2013-02-01,NF,172,37.0
2013-01-01,NF,172,16.8
2012-12-01,NF,172,105.8
2012-11-01,NF,172,122.0
2012-10-01,NF,172,108.3
2012-09-01,NF,172,72.5
2012-08-01,NF,172,104.8
2012-07-01,NF,172,151.5
2012-06-01,NF,172,192.9
2012-05-01,NF,172,162.3
2012-04-01,NF,172,109.2
2012-03-01,NF,172,73.3
2012-02-01,NF,172,164.9
2012-01-01,NF,172,48.9
2011-12-01,NF,172,103.0
2011-11-01,NF,172,25.7
2011-10-01,NF,172,33.1
2011-09-01,NF,172,156.5
2011-08-01,NF,172,254.3
2011-07-01,NF,172,141.6
2011-06-01,NF,172,198.4
2011-05-01,NF,172,162.699
2011-04-01,NF,172,162.8
2011-03-01,NF,172,324.2
2011-02-01,NF,172,25.2
2011-01-01,NF,172,70.5
2010-12-01,NF,172,26.9
2010-11-01,NF,172,59.7999
2010-10-01,NF,172,47.4
2010-09-01,NF,172,100.3
2010-08-01,NF,172,177.4
2010-07-01,NF,172,47.7999
2010-06-01,NF,172,97.3
2010-05-01,NF,172,116.7
2010-04-01,NF,172,97.9
2010-03-01,NF,172,27.5
2010-02-01,NF,172,32.6
2010-01-01,NF,172,15.6
2009-12-01,NF,172,20.3
2009-11-01,NF,172,10.2
2009-10-01,NF,172,34.7
2009-09-01,NF,172,127.099
2009-08-01,NF,172,36.5
2009-07-01,NF,172,141.6
2009-06-01,NF,172,113.9
2009-05-01,NF,172,39.0
2009-04-01,NF,172,89.2
2009-03-01,NF,172,70.5
2009-02-01,NF,172,219.199
2009-01-01,NF,172,77.7
2008-12-01,NF,172,106.599
2008-11-01,NF,172,194.5
2008-10-01,NF,172,29.7
2008-09-01,NF,172,92.7
2008-08-01,NF,172,95.0999
2008-07-01,NF,172,166.5
2008-06-01,NF,172,31.4
2008-05-01,NF,172,96.0999
2008-04-01,NF,172,336.6
2008-03-01,NF,172,83.5999
2008-02-01,NF,172,265.899
2008-01-01,NF,172,270.6
2007-12-01,NF,172,103.0
2007-11-01,NF,172,33.9
2007-10-01,NF,172,27.9
2007-09-01,NF,172,119.3
2007-08-01,NF,172,51.7
2007-07-01,NF,172,99.3
2007-06-01,NF,172,242.0
2007-05-01,NF,172,33.6
2007-04-01,NF,172,49.5
2007-03-01,NF,172,113.8
2007-02-01,NF,172,71.5999
2007-01-01,NF,172,109.099
2006-12-01,NF,172,108.0
2006-11-01,NF,172,74.0
2006-10-01,NF,172,28.4
2006-09-01,NF,172,16.2
2006-08-01,NF,172,97.0999
2006-07-01,NF,172,118.8
2006-06-01,NF,172,204.699
2006-05-01,NF,172,139.6
2006-04-01,NF,172,157.0
2006-03-01,NF,172,132.699
2006-02-01,NF,172,21.0
2006-01-01,NF,172,75.3
2005-12-01,NF,172,35.7
2005-11-01,NF,172,106.099
2005-10-01,NF,172,53.1
2005-09-01,NF,172,85.7
2005-08-01,NF,172,80.9
2005-07-01,NF,172,69.7
2005-06-01,NF,172,104.4
2005-05-01,NF,172,91.9
2005-04-01,NF,172,26.6
2005-03-01,NF,172,47.7
2005-02-01,NF,172,67.2
2005-01-01,NF,172,148.6
2004-12-01,NF,172,36.0
2004-11-01,NF,172,17.7
2004-10-01,NF,172,68.8
2004-09-01,NF,172,80.8
2004-08-01,NF,172,65.9
2004-07-01,NF,172,76.0999
2004-06-01,NF,172,82.3
2004-05-01,NF,172,234.9
2004-04-01,NF,172,59.2
2004-03-01,NF,172,61.4
2004-02-01,NF,172,117.599
2004-01-01,NF,172,21.8
2003-12-01,NF,172,80.3
2003-11-01,NF,172,9.0
2003-10-01,NF,172,65.8
2003-09-01,NF,172,48.7
2003-08-01,NF,172,143.6
2003-07-01,NF,172,78.4
2003-06-01,NF,172,106.0
2003-05-01,NF,172,279.0
2003-04-01,NF,172,50.7
2003-03-01,NF,172,132.4
2003-02-01,NF,172,10.5
2003-01-01,NF,172,110.0
2002-12-01,NF,172,180.6
2002-11-01,NF,172,6.7
2002-10-01,NF,172,73.8
2002-09-01,NF,172,33.7999
2002-08-01,NF,172,118.0
2002-07-01,NF,172,196.0
2002-06-01,NF,172,193.1
2002-05-01,NF,172,96.0999
2002-04-01,NF,172,146.4
2002-03-01,NF,172,66.3
2002-02-01,NF,172,116.099
2002-01-01,NF,172,227.699
2001-12-01,NF,172,67.9
2001-11-01,NF,172,180.6
2001-10-01,NF,172,56.7
2001-09-01,NF,172,68.4
2001-08-01,NF,172,68.8
2001-07-01,NF,172,296.899
2001-06-01,NF,172,22.3
2001-05-01,NF,172,234.5
2001-04-01,NF,172,44.7
2001-03-01,NF,172,106.099
2001-02-01,NF,172,35.0
2001-01-01,NF,172,165.4
2000-12-01,NF,172,64.5999
2000-11-01,NF,172,105.099
2000-10-01,NF,172,72.0
2000-09-01,NF,172,65.5999
2000-08-01,NF,172,205.699
2000-07-01,NF,172,139.3
2000-06-01,NF,172,90.2
2000-05-01,NF,172,95.9
2000-04-01,NF,172,25.4
2000-03-01,NF,172,39.9
2000-02-01,NF,172,15.5
2000-01-01,NF,172,14.6
1999-12-01,NF,172,92.3
1999-11-01,NF,172,100.599
1999-10-01,NF,172,68.8
1999-09-01,NF,172,47.6
1999-08-01,NF,172,50.4
1999-07-01,NF,172,130.0
1999-06-01,NF,172,111.3
1999-05-01,NF,172,39.2
1999-04-01,NF,172,57.0
1999-03-01,NF,172,208.8
1999-02-01,NF,172,426.399
1999-01-01,NF,172,130.9
1998-12-01,NF,172,268.5
1998-11-01,NF,172,180.1
1998-10-01,NF,172,97.0
1998-09-01,NF,172,160.6
1998-08-01,NF,172,169.5
1998-07-01,NF,172,255.0
1998-06-01,NF,172,270.3
1998-05-01,NF,172,126.599
1998-04-01,NF,172,191.1
1998-03-01,NF,172,149.9
1998-02-01,NF,172,38.2999
1998-01-01,NF,172,35.2
1997-12-01,NF,172,51.1
1997-11-01,NF,172,40.9
1997-10-01,NF,172,38.7999
1997-09-01,NF,172,116.3
1997-08-01,NF,172,93.0
1997-07-01,NF,172,68.9
1997-06-01,NF,172,158.9
1997-05-01,NF,172,179.9
1997-04-01,NF,172,165.699
1997-03-01,NF,172,46.7999
1997-02-01,NF,172,23.9
1997-01-01,NF,172,204.699
1996-12-01,NF,172,143.199
1996-11-01,NF,172,49.1
1996-10-01,NF,172,136.9
1996-09-01,NF,172,186.4
1996-08-01,NF,172,64.5999
1996-07-01,NF,172,199.6
1996-06-01,NF,172,118.599
1996-05-01,NF,172,115.2
1996-04-01,NF,172,145.9
1996-03-01,NF,172,187.6
1996-02-01,NF,172,194.5
1996-01-01,NF,172,25.2
1995-12-01,NF,172,159.4
1995-11-01,NF,172,165.9
1995-10-01,NF,172,57.4
1995-09-01,NF,172,83.0999
1995-08-01,NF,172,57.5
1995-07-01,NF,172,92.0999
1995-06-01,NF,172,60.6
1995-05-01,NF,172,98.7
1995-04-01,NF,172,132.0
1995-03-01,NF,172,39.7999
1995-02-01,NF,172,35.5
1995-01-01,NF,172,185.5
1994-12-01,NF,172,30.5
1994-11-01,NF,172,31.1
1994-10-01,NF,172,54.9
1994-09-01,NF,172,99.8
1994-08-01,NF,172,128.6
1994-07-01,NF,172,53.7
1994-06-01,NF,172,118.599
1994-05-01,NF,172,26.5
1994-04-01,NF,172,159.0
1994-03-01,NF,172,132.0
1994-02-01,NF,172,58.7
1994-01-01,NF,172,56.7999
1993-12-01,NF,172,43.7
1993-11-01,NF,172,52.2999
1993-10-01,NF,172,70.5999
1993-09-01,NF,172,85.3
1993-08-01,NF,172,73.0
1993-07-01,NF,172,240.4
1993-06-01,NF,172,37.1
1993-05-01,NF,172,90.2
1993-04-01,NF,172,15.6
1993-03-01,NF,172,206.0
1993-02-01,NF,172,24.7
1993-01-01,NF,172,15.1
1992-12-01,NF,172,65.7
1992-11-01,NF,172,119.8
1992-10-01,NF,172,60.4
1992-09-01,NF,172,77.5
1992-08-01,NF,172,114.599
1992-07-01,NF,172,79.2
1992-06-01,NF,172,163.3
1992-05-01,NF,172,69.2
1992-04-01,NF,172,155.699
1992-03-01,NF,172,142.9
1992-02-01,NF,172,59.2999
1992-01-01,NF,172,30.7
1991-12-01,NF,172,106.599
1991-11-01,NF,172,70.2
1991-10-01,NF,172,47.0
1991-09-01,NF,172,54.2999
1991-08-01,NF,172,69.8
1991-07-01,NF,172,197.199
1991-06-01,NF,172,163.699
1991-05-01,NF,172,34.5
1991-04-01,NF,172,29.7
1991-03-01,NF,172,126.4
1991-02-01,NF,172,28.9
1991-01-01,NF,172,13.2
1990-12-01,NF,172,61.7999
1990-11-01,NF,172,77.2
1990-10-01,NF,172,106.7
1990-09-01,NF,172,54.1
1990-08-01,NF,172,167.8
1990-07-01,NF,172,86.4
1990-06-01,NF,172,169.199
1990-05-01,NF,172,126.3
1990-04-01,NF,172,48.9
1990-03-01,NF,172,129.199
1990-02-01,NF,172,20.8
1990-01-01,NF,172,128.199
1989-12-01,NF,172,103.0
1989-11-01,NF,172,72.2
1989-10-01,NF,172,77.2
1989-09-01,NF,172,293.3
1989-08-01,NF,172,103.2
1989-07-01,NF,172,143.3
1989-06-01,NF,172,343.5
