date,country_code,indicator_code,value
2018-07-01,NG,001,377.3
2018-04-01,NG,001,210.3
2018-01-01,NG,001,88.9
2017-10-01,NG,001,-223.6
2017-07-01,NG,001,-1264.9
2017-04-01,NG,001,-311.0
2017-01-01,NG,001,1063.3
2016-10-01,NG,001,131.7
2016-07-01,NG,001,428.6
2016-04-01,NG,001,41.0
2016-01-01,NG,001,79.5
2015-10-01,NG,001,499.5
2015-07-01,NG,001,475.2
2015-04-01,NG,001,44.6
2015-01-01,NG,001,-356.7
2014-10-01,NG,001,2741.3
2014-07-01,NG,001,-1163.7
2014-04-01,NG,001,653.2
2018-01-01,NG,004,22014957.0
2017-01-01,NG,004,15523381.0
2016-01-01,NG,004,9696300.0
2015-01-01,NG,004,9651705.0
2014-01-01,NG,004,13303058.0
2013-01-01,NG,004,15639810.0
2012-01-01,NG,004,15517492.0
2011-01-01,NG,004,15761288.0
2010-01-01,NG,004,12429493.0
2009-01-01,NG,004,8692309.0
2008-01-01,NG,004,10436716.0
2007-01-01,NG,004,8493004.0
2006-01-01,NG,004,7620404.0
2005-01-01,NG,004,7481855.0
2004-01-01,NG,004,5063400.0
2003-01-01,NG,004,3546989.0
2002-01-01,NG,004,2186980.0
2001-01-01,NG,004,2185126.0
2000-01-01,NG,004,2132129.0
1999-01-01,NG,004,1279426.0
1998-01-01,NG,004,215684.0
1997-01-01,NG,004,350040.0
1996-01-01,NG,004,368745.0
1995-01-01,NG,004,270231.0
1994-01-01,NG,004,216259.0
1993-01-01,NG,004,245415.0
1992-01-01,NG,004,223535.0
1991-01-01,NG,004,130252.0
1990-01-01,NG,004,116954.0
1969-01-01,NG,004,683.0
1968-01-01,NG,004,467.0
1967-01-01,NG,004,521.0
1966-01-01,NG,004,599.0
1965-01-01,NG,004,578.0
1964-01-01,NG,004,462.0
1963-01-01,NG,004,410.0
1962-01-01,NG,004,364.0
1961-01-01,NG,004,346.0
1960-01-01,NG,004,350.0
1959-01-01,NG,004,287.0
1958-01-01,NG,004,272.0
1957-01-01,NG,004,283.0
1956-01-01,NG,004,256.0
1955-01-01,NG,004,309.0
1954-01-01,NG,004,257.0
1953-01-01,NG,004,253.0
1952-01-01,NG,004,228.0
1951-01-01,NG,004,178.0
1950-01-01,NG,004,89.0
2019-11-01,NG,005,14.99
2019-10-01,NG,005,14.91
2019-09-01,NG,005,15.15
2019-08-01,NG,005,15.4
2019-07-01,NG,005,15.46
2019-06-01,NG,005,15.8
2019-05-01,NG,005,15.33
2019-04-01,NG,005,15.39
