date,country_code,indicator_code,value
2011-04-01,NI,001,53.13
2011-01-01,NI,001,41.49
2010-10-01,NI,001,75.45
2010-07-01,NI,001,154.06
2010-04-01,NI,001,55.05
2010-01-01,NI,001,19.79
2009-10-01,NI,001,32.95
2009-07-01,NI,001,64.99
2018-01-01,NI,004,173762.0
2017-01-01,NI,004,171256.0
2016-01-01,NI,004,147853.0
2015-01-01,NI,004,139374.0
2014-01-01,NI,004,138806.0
2013-01-01,NI,004,122770.0
2012-01-01,NI,004,117721.0
2011-01-01,NI,004,98669.0
2010-01-01,NI,004,75695.0
2009-01-01,NI,004,57358.0
2008-01-01,NI,004,56739.0
2007-01-01,NI,004,45281.0
2006-01-01,NI,004,37157.0
2005-01-01,NI,004,25791.0
2004-01-01,NI,004,21290.0
2003-01-01,NI,004,16645.0
2002-01-01,NI,004,14031.0
2001-01-01,NI,004,13627.0
2000-01-01,NI,004,13033.0
1999-01-01,NI,004,10626.0
1998-01-01,NI,004,9484.0
1997-01-01,NI,004,8055.0
1996-01-01,NI,004,6122.0
1995-01-01,NI,004,5018.0
1994-01-01,NI,004,3411.0
1993-01-01,NI,004,2407.0
1992-01-01,NI,004,1648.0
1991-01-01,NI,004,1574.0
1990-01-01,NI,004,65.0
1969-01-01,NI,004,0.0
1968-01-01,NI,004,0.0
1967-01-01,NI,004,0.0
1966-01-01,NI,004,0.0
1965-01-01,NI,004,0.0
1964-01-01,NI,004,0.0
1963-01-01,NI,004,0.0
1962-01-01,NI,004,0.0
1961-01-01,NI,004,0.0
1960-01-01,NI,004,0.0
2019-12-01,NI,005,11.41
2019-11-01,NI,005,12.45
2019-10-01,NI,005,12.02
2019-09-01,NI,005,11.88
2019-08-01,NI,005,12.97
2019-07-01,NI,005,11.26
2019-06-01,NI,005,13.71
2019-05-01,NI,005,13.27
2019-04-01,NI,005,12.96
2019-03-01,NI,005,12.88
2019-02-01,NI,005,11.83
2019-01-01,NI,005,12.85
2018-12-01,NI,005,13.36
2018-11-01,NI,005,12.1
2018-10-01,NI,005,12.1
2018-09-01,NI,005,12.06
2018-08-01,NI,005,10.17
2018-07-01,NI,005,11.17
2018-06-01,NI,005,10.35
2018-05-01,NI,005,9.57
2018-04-01,NI,005,10.43
2018-03-01,NI,005,8.05
2018-02-01,NI,005,8.48
2018-01-01,NI,005,12.9
2017-12-01,NI,005,11.81
2017-11-01,NI,005,10.51
2017-10-01,NI,005,8.26
2017-09-01,NI,005,7.94
2017-08-01,NI,005,10.68
2017-07-01,NI,005,10.2
2017-06-01,NI,005,12.27
2017-05-01,NI,005,12.14
2017-04-01,NI,005,13.06
2017-03-01,NI,005,9.88
2017-02-01,NI,005,12.03
2017-01-01,NI,005,10.6
2016-12-01,NI,005,11.15
2016-11-01,NI,005,11.37
2016-10-01,NI,005,9.52
2016-09-01,NI,005,11.4
2016-08-01,NI,005,11.41
2016-07-01,NI,005,11.11
2016-06-01,NI,005,11.84
2016-05-01,NI,005,12.11
2016-04-01,NI,005,11.92
2016-03-01,NI,005,10.03
2016-02-01,NI,005,11.71
2016-01-01,NI,005,13.69
2015-12-01,NI,005,11.57
2015-11-01,NI,005,11.35
2015-10-01,NI,005,12.1
2015-09-01,NI,005,12.78
2015-08-01,NI,005,13.4
2015-07-01,NI,005,12.76
2015-06-01,NI,005,11.49
2015-05-01,NI,005,12.23
2015-04-01,NI,005,12.41
2015-03-01,NI,005,10.82
2015-02-01,NI,005,11.75
2015-01-01,NI,005,11.97
2014-12-01,NI,005,12.23
2014-11-01,NI,005,12.24
2014-10-01,NI,005,10.98
2014-09-01,NI,005,12.87
2014-08-01,NI,005,13.6
2014-07-01,NI,005,13.07
2014-06-01,NI,005,14.52
2014-05-01,NI,005,13.55
2014-04-01,NI,005,15.54
2014-03-01,NI,005,14.85
2014-02-01,NI,005,13.82
2014-01-01,NI,005,15.18
2013-12-01,NI,005,13.47
2013-11-01,NI,005,14.46
2013-10-01,NI,005,16.68
2013-09-01,NI,005,15.85
2013-08-01,NI,005,15.13
2013-07-01,NI,005,15.31
2013-06-01,NI,005,13.07
2013-05-01,NI,005,14.62
2013-04-01,NI,005,14.24
2013-03-01,NI,005,16.73
2013-02-01,NI,005,15.0
2013-01-01,NI,005,15.25
2012-12-01,NI,005,12.07
2012-11-01,NI,005,11.3
2012-10-01,NI,005,11.1
2012-09-01,NI,005,12.79
2012-08-01,NI,005,14.0
2012-07-01,NI,005,12.64
2012-06-01,NI,005,12.59
2012-05-01,NI,005,14.01
2012-04-01,NI,005,12.37
2012-03-01,NI,005,10.56
2012-02-01,NI,005,10.31
2012-01-01,NI,005,10.19
2011-12-01,NI,005,13.19
2011-11-01,NI,005,9.09
2011-10-01,NI,005,9.69
2011-09-01,NI,005,12.09
2011-08-01,NI,005,9.8
2011-07-01,NI,005,10.08
2011-06-01,NI,005,9.79
2011-05-01,NI,005,9.99
