date,country_code,indicator_code,value
2018-07-01,NO,001,1.76
2018-04-01,NO,001,1.47
2018-01-01,NO,001,1.22
2017-10-01,NO,001,0.76
2017-07-01,NO,001,0.0
2017-04-01,NO,001,0.42
2017-01-01,NO,001,-0.53
2016-10-01,NO,001,-0.45
2016-07-01,NO,001,0.0
2016-04-01,NO,001,-0.09
2016-01-01,NO,001,-0.15
2015-10-01,NO,001,0.2
2015-07-01,NO,001,1.1
2015-04-01,NO,001,0.54
2015-01-01,NO,001,0.67
2014-10-01,NO,001,0.75
2014-07-01,NO,001,0.84
2014-04-01,NO,001,1.15
2014-01-01,NO,001,1.22
2013-10-01,NO,001,1.0
2013-07-01,NO,001,0.67
2013-04-01,NO,001,0.44
2013-01-01,NO,001,0.54
2012-10-01,NO,001,1.23
2012-07-01,NO,001,2.0
2012-04-01,NO,001,2.33
2012-01-01,NO,001,2.24
2011-10-01,NO,001,2.02
2011-07-01,NO,001,1.58
2011-04-01,NO,001,1.31
2011-01-01,NO,001,1.26
2010-10-01,NO,001,0.69
2010-07-01,NO,001,0.16
2010-04-01,NO,001,-0.46
2010-01-01,NO,001,-1.07
2009-10-01,NO,001,-1.15
2009-07-01,NO,001,-0.64
2009-04-01,NO,001,0.25
2009-01-01,NO,001,1.06
2008-10-01,NO,001,2.01
2008-07-01,NO,001,2.75
2008-04-01,NO,001,3.25
2008-01-01,NO,001,3.57
2007-10-01,NO,001,3.66
2007-07-01,NO,001,3.52
2007-04-01,NO,001,3.23
2007-01-01,NO,001,3.1
2006-10-01,NO,001,3.54
2006-07-01,NO,001,3.17
2006-04-01,NO,001,2.96
2006-01-01,NO,001,2.61
2005-10-01,NO,001,0.95
2005-07-01,NO,001,0.53
2005-04-01,NO,001,0.2
2005-01-01,NO,001,0.28
2004-10-01,NO,001,0.42
2004-07-01,NO,001,0.48
2004-04-01,NO,001,0.31
2004-01-01,NO,001,-0.31
2003-10-01,NO,001,-0.06
2003-07-01,NO,001,-0.61
2003-04-01,NO,001,-0.74
2003-01-01,NO,001,-0.49
2002-10-01,NO,001,-0.28
2002-07-01,NO,001,0.45
2002-04-01,NO,001,0.56
2002-01-01,NO,001,0.62
2001-10-01,NO,001,0.45
2001-07-01,NO,001,0.21
2001-04-01,NO,001,0.19
2001-01-01,NO,001,0.65
2000-10-01,NO,001,0.4
2000-07-01,NO,001,0.59
2000-04-01,NO,001,0.8
2000-01-01,NO,001,0.22
1999-10-01,NO,001,0.09
1999-07-01,NO,001,0.19
1999-04-01,NO,001,0.49
1999-01-01,NO,001,1.0
1998-10-01,NO,001,1.83
1998-07-01,NO,001,2.24
1998-04-01,NO,001,2.62
1998-01-01,NO,001,2.89
1997-10-01,NO,001,3.4
1997-07-01,NO,001,2.12
1997-04-01,NO,001,2.66
1997-01-01,NO,001,2.77
1996-10-01,NO,001,2.43
1996-07-01,NO,001,2.18
1996-04-01,NO,001,3.1
1996-01-01,NO,001,3.55
1995-10-01,NO,001,2.19
1995-07-01,NO,001,1.88
1995-04-01,NO,001,2.18
1995-01-01,NO,001,2.46
1994-10-01,NO,001,1.79
1994-07-01,NO,001,2.02
1994-04-01,NO,001,1.2
1994-01-01,NO,001,1.07
1993-10-01,NO,001,0.55
1993-07-01,NO,001,-0.1
1993-04-01,NO,001,0.1
1993-01-01,NO,001,-0.51
1992-10-01,NO,001,-0.2
1992-07-01,NO,001,-0.54
1992-04-01,NO,001,-0.05
1992-01-01,NO,001,-0.3
1991-10-01,NO,001,-0.69
1991-07-01,NO,001,-0.2
1991-04-01,NO,001,-2.06
1991-01-01,NO,001,-1.1
1990-10-01,NO,001,0.05
1990-07-01,NO,001,-0.19
1990-04-01,NO,001,-1.4
1990-01-01,NO,001,-2.1
1989-10-01,NO,001,-2.79
1989-07-01,NO,001,-3.3
1989-04-01,NO,001,-2.77
1989-01-01,NO,001,-3.53
1988-10-01,NO,001,-2.48
1988-07-01,NO,001,0.33
1988-04-01,NO,001,-0.61
1988-01-01,NO,001,0.62
1987-10-01,NO,001,1.28
1987-07-01,NO,001,2.17
1987-04-01,NO,001,2.0
1987-01-01,NO,001,2.18
1986-10-01,NO,001,2.78
1986-07-01,NO,001,3.14
1986-04-01,NO,001,4.53
1986-01-01,NO,001,3.87
1985-10-01,NO,001,3.48
1985-07-01,NO,001,3.29
1985-04-01,NO,001,1.47
1985-01-01,NO,001,0.76
1984-10-01,NO,001,0.76
1984-07-01,NO,001,0.73
1984-04-01,NO,001,1.02
1984-01-01,NO,001,2.54
1983-10-01,NO,001,1.29
1983-07-01,NO,001,0.1
1983-04-01,NO,001,-0.31
1983-01-01,NO,001,-0.67
1982-10-01,NO,001,0.21
1982-07-01,NO,001,-0.26
1982-04-01,NO,001,1.71
1982-01-01,NO,001,0.05
1981-10-01,NO,001,0.47
1981-07-01,NO,001,1.74
1981-04-01,NO,001,0.68
1981-01-01,NO,001,2.86
2019-10-01,NO,002,110.5
2019-07-01,NO,002,109.6
2019-04-01,NO,002,108.6
2019-01-01,NO,002,107.8
2018-10-01,NO,002,106.8
2018-07-01,NO,002,105.8
2018-04-01,NO,002,105.2
2018-01-01,NO,002,104.5
2017-10-01,NO,002,103.6
2017-07-01,NO,002,103.1
2017-04-01,NO,002,102.4
2017-01-01,NO,002,101.6
2016-10-01,NO,002,101.4
2016-07-01,NO,002,101.1
2016-04-01,NO,002,101.5
2016-01-01,NO,002,100.3
2015-10-01,NO,002,100.2
2015-07-01,NO,002,102.1
2015-04-01,NO,002,98.6
2015-01-01,NO,002,99.0
2014-10-01,NO,002,98.3
2014-07-01,NO,002,97.9
2014-04-01,NO,002,96.9
2014-01-01,NO,002,96.7
2013-10-01,NO,002,95.9
2013-07-01,NO,002,95.0
2013-04-01,NO,002,95.2
2013-01-01,NO,002,93.7
2012-10-01,NO,002,93.3
2012-07-01,NO,002,91.8
2012-04-01,NO,002,91.0
2012-01-01,NO,002,90.4
2011-10-01,NO,002,89.0
2011-07-01,NO,002,88.8
2011-04-01,NO,002,86.9
2011-01-01,NO,002,86.7
2010-10-01,NO,002,85.3
2010-07-01,NO,002,84.2
2010-04-01,NO,002,84.1
2010-01-01,NO,002,82.9
2009-10-01,NO,002,82.5
2009-07-01,NO,002,81.8
2009-04-01,NO,002,80.6
2009-01-01,NO,002,79.5
2008-10-01,NO,002,79.0
2008-07-01,NO,002,78.4
2008-04-01,NO,002,77.0
2008-01-01,NO,002,76.2
2007-10-01,NO,002,75.2
2007-07-01,NO,002,73.9
2007-04-01,NO,002,73.0
2007-01-01,NO,002,71.9
2006-10-01,NO,002,70.7
2006-07-01,NO,002,69.5
2006-04-01,NO,002,68.6
2006-01-01,NO,002,67.9
2005-10-01,NO,002,67.2
2005-07-01,NO,002,66.7
2005-04-01,NO,002,66.3
2005-01-01,NO,002,65.6
2004-10-01,NO,002,64.9
2004-07-01,NO,002,64.3
2004-04-01,NO,002,63.8
2004-01-01,NO,002,63.1
2003-10-01,NO,002,62.4
2003-07-01,NO,002,61.8
2003-04-01,NO,002,61.2
2003-01-01,NO,002,60.6
2002-10-01,NO,002,60.1
2002-07-01,NO,002,59.5
2002-04-01,NO,002,58.3
2002-01-01,NO,002,57.4
2001-10-01,NO,002,56.8
2001-07-01,NO,002,55.9
2001-04-01,NO,002,55.2
2001-01-01,NO,002,54.7
2000-10-01,NO,002,53.8
2000-07-01,NO,002,53.6
2000-04-01,NO,002,53.1
2000-01-01,NO,002,52.5
1999-10-01,NO,002,52.0
1999-07-01,NO,002,51.4
1999-04-01,NO,002,51.0
1999-01-01,NO,002,50.5
1998-10-01,NO,002,49.8
1998-07-01,NO,002,49.1
1998-04-01,NO,002,48.3
1998-01-01,NO,002,47.6
1997-10-01,NO,002,47.3
1997-07-01,NO,002,47.1
1997-04-01,NO,002,46.7
1997-01-01,NO,002,46.1
1996-10-01,NO,002,45.9
1996-07-01,NO,002,45.2
1996-04-01,NO,002,44.7
1996-01-01,NO,002,44.3
1995-10-01,NO,002,43.7
1995-07-01,NO,002,43.3
1995-04-01,NO,002,43.3
1995-01-01,NO,002,42.5
1994-10-01,NO,002,42.2
1994-07-01,NO,002,41.9
1994-04-01,NO,002,41.6
1994-01-01,NO,002,41.3
1993-10-01,NO,002,41.0
1993-07-01,NO,002,40.7
1993-04-01,NO,002,40.5
1993-01-01,NO,002,40.1
1992-10-01,NO,002,39.9
1992-07-01,NO,002,39.6
1992-04-01,NO,002,39.4
1992-01-01,NO,002,39.1
1991-10-01,NO,002,38.9
1991-07-01,NO,002,38.5
1991-04-01,NO,002,38.1
1991-01-01,NO,002,37.7
1990-10-01,NO,002,37.3
1990-07-01,NO,002,37.8
1990-04-01,NO,002,35.2
1990-01-01,NO,002,35.1
1989-10-01,NO,002,34.8
1989-07-01,NO,002,34.5
1989-04-01,NO,002,34.6
1989-01-01,NO,002,33.4
1988-10-01,NO,002,32.9
1988-07-01,NO,002,32.3
1988-04-01,NO,002,32.7
1988-01-01,NO,002,32.4
1987-10-01,NO,002,31.8
1987-07-01,NO,002,31.1
1987-04-01,NO,002,30.7
1987-01-01,NO,002,30.2
1986-10-01,NO,002,27.9
1986-07-01,NO,002,27.2
1986-04-01,NO,002,26.0
1986-01-01,NO,002,25.5
1985-10-01,NO,002,24.9
1985-07-01,NO,002,24.2
1985-04-01,NO,002,24.0
1985-01-01,NO,002,23.7
1984-10-01,NO,002,22.8
1984-07-01,NO,002,22.3
1984-04-01,NO,002,21.7
1984-01-01,NO,002,21.3
1983-10-01,NO,002,20.9
1983-07-01,NO,002,20.4
1983-04-01,NO,002,20.2
1983-01-01,NO,002,19.9
1982-10-01,NO,002,20.1
1982-07-01,NO,002,19.3
1982-04-01,NO,002,18.4
1982-01-01,NO,002,17.7
1981-10-01,NO,002,17.4
1981-07-01,NO,002,17.4
1981-04-01,NO,002,16.5
1981-01-01,NO,002,16.4
1980-10-01,NO,002,16.1
1980-07-01,NO,002,16.2
1980-04-01,NO,002,14.7
1980-01-01,NO,002,14.4
1979-10-01,NO,002,14.0
1979-07-01,NO,002,13.9
1979-04-01,NO,002,14.0
1979-01-01,NO,002,14.0
1978-10-01,NO,002,13.9
1978-07-01,NO,002,13.7
1978-04-01,NO,002,13.4
1978-01-01,NO,002,13.3
1977-10-01,NO,002,13.0
1977-07-01,NO,002,12.7
1977-04-01,NO,002,12.5
1977-01-01,NO,002,12.2
1976-10-01,NO,002,11.9
1976-07-01,NO,002,11.6
1976-04-01,NO,002,11.3
1976-01-01,NO,002,10.5
1975-10-01,NO,002,10.2
1975-07-01,NO,002,9.7
