date,country_code,indicator_code,value
2016-01-01,NR,004,-74.0
2015-01-01,NR,004,-68.0
2014-01-01,NR,004,-64.0
2013-01-01,NR,004,-3.0
2012-01-01,NR,004,20.0
2016-07-01,NR,012,5.3
2015-07-01,NR,012,5.9
2014-07-01,NR,012,4.3
2013-07-01,NR,012,3.2
2012-07-01,NR,012,2.5
2011-07-01,NR,012,0.9
2013-08-01,NR,034,104.2
2013-07-01,NR,034,99.7
2013-06-01,NR,034,102.0
2013-05-01,NR,034,100.3
2013-04-01,NR,034,100.2
2013-03-01,NR,034,100.3
2013-02-01,NR,034,100.1
2013-01-01,NR,034,100.9
2012-12-01,NR,034,100.8
2012-11-01,NR,034,100.2
2012-10-01,NR,034,100.0
2012-09-01,NR,034,100.1
2012-08-01,NR,034,99.1
2012-07-01,NR,034,100.4
2012-06-01,NR,034,99.8
2012-05-01,NR,034,99.7
2012-04-01,NR,034,98.7
2012-03-01,NR,034,101.0
2012-02-01,NR,034,101.1
2012-01-01,NR,034,100.0
2011-12-01,NR,034,100.1
2011-11-01,NR,034,99.8
2011-10-01,NR,034,99.7
2011-09-01,NR,034,100.3
2011-08-01,NR,034,100.7
2011-07-01,NR,034,99.8
2011-06-01,NR,034,99.8
2011-05-01,NR,034,100.3
2011-04-01,NR,034,99.4
2011-03-01,NR,034,99.8
2011-02-01,NR,034,99.0
2011-01-01,NR,034,103.7
2010-12-01,NR,034,99.8
2010-11-01,NR,034,98.9
2010-10-01,NR,034,100.0
2010-09-01,NR,034,101.0
2010-08-01,NR,034,99.5
2010-07-01,NR,034,100.2
2010-06-01,NR,034,100.3
2010-05-01,NR,034,97.3
2010-04-01,NR,034,102.2
2010-03-01,NR,034,99.8
2010-02-01,NR,034,100.1
2010-01-01,NR,034,99.7
2009-12-01,NR,034,98.7
2009-11-01,NR,034,102.5
2009-10-01,NR,034,97.3
2009-09-01,NR,034,99.0
2009-08-01,NR,034,100.5
2009-07-01,NR,034,101.1
2009-06-01,NR,034,101.3
2009-05-01,NR,034,100.6
2009-04-01,NR,034,99.6
2009-03-01,NR,034,100.0
2009-02-01,NR,034,99.8
2009-01-01,NR,034,136.2
2008-12-01,NR,034,100.6
2008-11-01,NR,034,99.6
2008-10-01,NR,034,101.5
2008-09-01,NR,034,103.8
2008-08-01,NR,034,100.0
2013-08-01,NR,046,100.0
2013-07-01,NR,046,100.0
2013-06-01,NR,046,113.0
2013-05-01,NR,046,82.9
2013-04-01,NR,046,100.0
2013-03-01,NR,046,100.0
2013-02-01,NR,046,100.0
2013-01-01,NR,046,120.8
2012-12-01,NR,046,106.9
2012-11-01,NR,046,100.0
2012-10-01,NR,046,100.0
2012-09-01,NR,046,100.0
2012-08-01,NR,046,99.8
2012-07-01,NR,046,100.4
2012-06-01,NR,046,99.9
2012-05-01,NR,046,100.0
2012-04-01,NR,046,100.0
2012-03-01,NR,046,104.2
2012-02-01,NR,046,100.0
2012-01-01,NR,046,98.5
2011-12-01,NR,046,101.8
2011-11-01,NR,046,100.0
2011-10-01,NR,046,100.0
2011-09-01,NR,046,100.0
2011-08-01,NR,046,100.0
2011-07-01,NR,046,100.0
2011-06-01,NR,046,100.0
2011-05-01,NR,046,100.1
2011-04-01,NR,046,99.9
2011-03-01,NR,046,99.9
2011-02-01,NR,046,100.0
2011-01-01,NR,046,100.0
2010-12-01,NR,046,100.0
2010-11-01,NR,046,100.0
2010-10-01,NR,046,100.0
2010-09-01,NR,046,100.0
2010-08-01,NR,046,100.0
2010-07-01,NR,046,100.0
2010-06-01,NR,046,100.0
2010-05-01,NR,046,100.0
2010-04-01,NR,046,100.2
2010-03-01,NR,046,100.2
2010-02-01,NR,046,100.0
