date,country_code,indicator_code,value
2020-01-01,NZ,001,2667.0
2019-10-01,NZ,001,2659.0
2019-07-01,NZ,001,2633.0
2019-04-01,NZ,001,2622.0
2019-01-01,NZ,001,2624.0
2018-10-01,NZ,001,2604.0
2018-07-01,NZ,001,2610.0
2018-04-01,NZ,001,2587.0
2018-01-01,NZ,001,2592.0
2017-10-01,NZ,001,2590.0
2017-07-01,NZ,001,2549.0
2017-04-01,NZ,001,2509.0
2017-01-01,NZ,001,2529.0
2016-10-01,NZ,001,2511.0
2016-07-01,NZ,001,2460.0
2016-04-01,NZ,001,2444.0
2016-01-01,NZ,001,2400.0
2015-10-01,NZ,001,2381.0
2015-07-01,NZ,001,2324.0
2015-04-01,NZ,001,2344.0
2015-01-01,NZ,001,2358.0
2014-10-01,NZ,001,2351.0
2014-07-01,NZ,001,2293.0
2014-04-01,NZ,001,2278.0
2014-01-01,NZ,001,2284.0
2013-10-01,NZ,001,2272.0
2013-07-01,NZ,001,2227.0
2013-04-01,NZ,001,2202.0
2013-01-01,NZ,001,2204.0
2012-10-01,NZ,001,2171.0
2012-07-01,NZ,001,2174.0
2012-04-01,NZ,001,2189.0
2012-01-01,NZ,001,2200.0
2011-10-01,NZ,001,2207.0
2011-07-01,NZ,001,2179.0
2011-04-01,NZ,001,2181.0
2011-01-01,NZ,001,2186.0
2010-10-01,NZ,001,2177.0
2010-07-01,NZ,001,2157.0
2010-04-01,NZ,001,2144.0
2010-01-01,NZ,001,2150.0
2009-10-01,NZ,001,2155.0
2009-07-01,NZ,001,2126.0
2009-04-01,NZ,001,2150.0
2009-01-01,NZ,001,2157.0
2008-10-01,NZ,001,2213.0
2008-07-01,NZ,001,2171.0
2008-04-01,NZ,001,2173.0
2008-01-01,NZ,001,2147.0
2007-10-01,NZ,001,2199.0
2007-07-01,NZ,001,2155.0
2007-04-01,NZ,001,2161.0
2007-01-01,NZ,001,2158.0
2006-10-01,NZ,001,2152.0
2006-07-01,NZ,001,2124.0
2006-04-01,NZ,001,2130.0
2006-01-01,NZ,001,2120.0
2005-10-01,NZ,001,2118.0
2005-07-01,NZ,001,2089.0
2005-04-01,NZ,001,2060.0
2005-01-01,NZ,001,2062.0
2004-10-01,NZ,001,2082.0
2004-07-01,NZ,001,2022.0
2004-04-01,NZ,001,1995.0
2004-01-01,NZ,001,1992.0
2003-10-01,NZ,001,1991.0
2003-07-01,NZ,001,1963.0
2003-04-01,NZ,001,1931.0
2003-01-01,NZ,001,1928.0
2002-10-01,NZ,001,1934.0
2002-07-01,NZ,001,1896.0
2002-04-01,NZ,001,1893.0
2002-01-01,NZ,001,1896.0
2001-10-01,NZ,001,1884.0
2001-07-01,NZ,001,1838.0
2001-04-01,NZ,001,1830.0
2001-01-01,NZ,001,1827.0
2000-10-01,NZ,001,1837.0
2000-07-01,NZ,001,1799.0
2000-04-01,NZ,001,1774.0
2000-01-01,NZ,001,1787.0
1999-10-01,NZ,001,1801.0
1999-07-01,NZ,001,1759.0
1999-04-01,NZ,001,1749.0
1999-01-01,NZ,001,1754.0
1998-10-01,NZ,001,1747.0
1998-07-01,NZ,001,1731.0
1998-04-01,NZ,001,1730.0
1998-01-01,NZ,001,1747.0
1997-10-01,NZ,001,1763.0
1997-07-01,NZ,001,1745.0
1997-04-01,NZ,001,1747.0
1997-01-01,NZ,001,1746.0
1996-10-01,NZ,001,1756.0
1996-07-01,NZ,001,1747.0
1996-04-01,NZ,001,1735.0
1996-01-01,NZ,001,1722.0
1995-10-01,NZ,001,1720.0
1995-07-01,NZ,001,1688.0
1995-04-01,NZ,001,1675.0
1995-01-01,NZ,001,1662.0
1994-10-01,NZ,001,1653.0
1994-07-01,NZ,001,1612.0
1994-04-01,NZ,001,1598.0
1994-01-01,NZ,001,1582.0
1993-10-01,NZ,001,1576.0
1993-07-01,NZ,001,1544.0
1993-04-01,NZ,001,1534.0
1993-01-01,NZ,001,1526.0
1992-10-01,NZ,001,1528.0
1992-07-01,NZ,001,1502.0
1992-04-01,NZ,001,1517.0
1992-01-01,NZ,001,1509.0
1991-10-01,NZ,001,1510.0
1991-07-01,NZ,001,1496.0
1991-04-01,NZ,001,1512.0
1991-01-01,NZ,001,1519.0
1990-10-01,NZ,001,1538.0
1990-07-01,NZ,001,1526.0
1990-04-01,NZ,001,1541.0
1990-01-01,NZ,001,1534.0
1989-10-01,NZ,001,1536.0
1989-07-01,NZ,001,1510.0
1989-04-01,NZ,001,1513.0
1989-01-01,NZ,001,1535.0
1988-10-01,NZ,001,1565.0
1988-07-01,NZ,001,1547.0
1988-04-01,NZ,001,1576.0
1988-01-01,NZ,001,1599.0
1987-10-01,NZ,001,1630.0
1987-07-01,NZ,001,1616.0
1987-04-01,NZ,001,1619.0
1987-01-01,NZ,001,1629.0
1986-10-01,NZ,001,1622.0
1986-07-01,NZ,001,1610.0
1986-04-01,NZ,001,1616.0
1986-01-01,NZ,001,1626.0
2020-01-01,NZ,002,33.2
2019-10-01,NZ,002,32.83
2019-07-01,NZ,002,32.71
2019-04-01,NZ,002,32.42
2019-01-01,NZ,002,32.04
2018-10-01,NZ,002,31.7
2018-07-01,NZ,002,31.39
2018-04-01,NZ,002,31.08
2018-01-01,NZ,002,31.03
2017-10-01,NZ,002,30.74
2017-07-01,NZ,002,30.51
2017-04-01,NZ,002,30.15
2017-01-01,NZ,002,29.96
2016-10-01,NZ,002,29.8
2016-07-01,NZ,002,29.84
2016-04-01,NZ,002,29.67
2016-01-01,NZ,002,29.48
2015-10-01,NZ,002,29.41
2015-07-01,NZ,002,29.31
2015-04-01,NZ,002,29.04
2015-01-01,NZ,002,28.78
2014-10-01,NZ,002,28.79
2014-07-01,NZ,002,28.66
2014-04-01,NZ,002,28.25
2014-01-01,NZ,002,28.2
2013-10-01,NZ,002,28.03
2013-07-01,NZ,002,27.99
2013-04-01,NZ,002,27.55
2013-01-01,NZ,002,27.52
2012-10-01,NZ,002,27.3
2012-07-01,NZ,002,27.31
2012-04-01,NZ,002,27.0
2012-01-01,NZ,002,26.96
2011-10-01,NZ,002,26.59
2011-07-01,NZ,002,26.58
2011-04-01,NZ,002,26.27
2011-01-01,NZ,002,25.96
2010-10-01,NZ,002,25.86
2010-07-01,NZ,002,25.75
2010-04-01,NZ,002,25.49
2010-01-01,NZ,002,25.3
2009-10-01,NZ,002,25.39
2009-07-01,NZ,002,25.43
2009-04-01,NZ,002,25.21
2009-01-01,NZ,002,25.03
2008-10-01,NZ,002,24.71
2008-07-01,NZ,002,24.48
2008-04-01,NZ,002,24.1
2008-01-01,NZ,002,23.75
2007-10-01,NZ,002,23.4
2007-07-01,NZ,002,23.19
2007-04-01,NZ,002,22.89
2007-01-01,NZ,002,22.7
2006-10-01,NZ,002,22.47
2006-07-01,NZ,002,22.3
2006-04-01,NZ,002,21.95
2006-01-01,NZ,002,21.68
2005-10-01,NZ,002,21.39
2005-07-01,NZ,002,21.21
2005-04-01,NZ,002,21.01
2005-01-01,NZ,002,20.59
2004-10-01,NZ,002,20.28
2004-07-01,NZ,002,20.34
2004-04-01,NZ,002,20.3
2004-01-01,NZ,002,19.86
2003-10-01,NZ,002,19.84
2003-07-01,NZ,002,19.65
2003-04-01,NZ,002,19.42
2003-01-01,NZ,002,19.21
2002-10-01,NZ,002,19.2
2002-07-01,NZ,002,19.06
2002-04-01,NZ,002,18.72
2002-01-01,NZ,002,18.77
2001-10-01,NZ,002,18.53
2001-07-01,NZ,002,18.49
2001-04-01,NZ,002,18.29
2001-01-01,NZ,002,18.11
2000-10-01,NZ,002,17.93
2000-07-01,NZ,002,17.87
2000-04-01,NZ,002,17.69
2000-01-01,NZ,002,17.56
1999-10-01,NZ,002,17.49
1999-07-01,NZ,002,17.57
1999-04-01,NZ,002,17.35
1999-01-01,NZ,002,17.27
1998-10-01,NZ,002,17.19
1998-07-01,NZ,002,17.05
1998-04-01,NZ,002,16.98
1998-01-01,NZ,002,16.79
1997-10-01,NZ,002,16.69
1997-07-01,NZ,002,16.63
1997-04-01,NZ,002,16.51
1997-01-01,NZ,002,16.39
1996-10-01,NZ,002,16.19
1996-07-01,NZ,002,16.03
1996-04-01,NZ,002,15.94
1996-01-01,NZ,002,15.72
1995-10-01,NZ,002,15.6
1995-07-01,NZ,002,15.49
1995-04-01,NZ,002,15.4
1995-01-01,NZ,002,15.26
1994-10-01,NZ,002,15.16
1994-07-01,NZ,002,15.1
1994-04-01,NZ,002,15.1
1994-01-01,NZ,002,14.98
1993-10-01,NZ,002,14.89
1993-07-01,NZ,002,14.85
1993-04-01,NZ,002,14.91
1993-01-01,NZ,002,14.84
1992-10-01,NZ,002,14.85
1992-07-01,NZ,002,14.83
1992-04-01,NZ,002,14.87
1992-01-01,NZ,002,14.83
1991-10-01,NZ,002,14.72
1991-07-01,NZ,002,14.64
1991-04-01,NZ,002,14.55
1991-01-01,NZ,002,14.47
1990-10-01,NZ,002,14.31
1990-07-01,NZ,002,14.16
1990-04-01,NZ,002,14.04
1990-01-01,NZ,002,13.88
1989-10-01,NZ,002,13.45
1989-07-01,NZ,002,13.31
1989-04-01,NZ,002,13.19
1989-01-01,NZ,002,13.07
2020-01-01,NZ,003,62780.0
2019-10-01,NZ,003,62668.0
2019-07-01,NZ,003,61483.0
2019-04-01,NZ,003,62057.0
2019-01-01,NZ,003,61652.0
2018-10-01,NZ,003,61696.0
2018-07-01,NZ,003,60810.0
2018-04-01,NZ,003,61368.0
2018-01-01,NZ,003,60502.0
2017-10-01,NZ,003,60528.0
2017-07-01,NZ,003,59433.0
2017-04-01,NZ,003,59948.0
2017-01-01,NZ,003,59341.0
2016-10-01,NZ,003,59154.0
2016-07-01,NZ,003,57714.0
2016-04-01,NZ,003,57967.0
2016-01-01,NZ,003,57533.0
2015-10-01,NZ,003,57189.0
2015-07-01,NZ,003,55785.0
2015-04-01,NZ,003,56335.0
2015-01-01,NZ,003,56231.0
2014-10-01,NZ,003,55135.0
2014-07-01,NZ,003,54068.0
2014-04-01,NZ,003,55022.0
2014-01-01,NZ,003,54166.0
2013-10-01,NZ,003,53552.0
2013-07-01,NZ,003,52701.0
2013-04-01,NZ,003,53099.0
2013-01-01,NZ,003,52181.0
2012-10-01,NZ,003,52277.0
2012-07-01,NZ,003,51286.0
2012-04-01,NZ,003,52156.0
2012-01-01,NZ,003,51038.0
2011-10-01,NZ,003,51337.0
2011-07-01,NZ,003,50352.0
2011-04-01,NZ,003,50951.0
2011-01-01,NZ,003,50704.0
2010-10-01,NZ,003,50400.0
2010-07-01,NZ,003,49691.0
2010-04-01,NZ,003,50150.0
2010-01-01,NZ,003,49706.0
2009-10-01,NZ,003,49403.0
2009-07-01,NZ,003,48524.0
2009-04-01,NZ,003,49264.0
2009-01-01,NZ,003,50101.0
2008-10-01,NZ,003,50686.0
2008-07-01,NZ,003,50474.0
2008-04-01,NZ,003,51306.0
2008-01-01,NZ,003,51433.0
2007-10-01,NZ,003,51736.0
2007-07-01,NZ,003,50112.0
2007-04-01,NZ,003,50607.0
2007-01-01,NZ,003,50346.0
2006-10-01,NZ,003,50686.0
2006-07-01,NZ,003,49397.0
2006-04-01,NZ,003,49627.0
2006-01-01,NZ,003,49682.0
2005-10-01,NZ,003,49170.0
2005-07-01,NZ,003,48328.0
2005-04-01,NZ,003,48434.0
2005-01-01,NZ,003,49108.0
2004-10-01,NZ,003,49041.0
2004-07-01,NZ,003,47228.0
2004-04-01,NZ,003,47463.0
2004-01-01,NZ,003,47779.0
2003-10-01,NZ,003,47130.0
2003-07-01,NZ,003,45897.0
2003-04-01,NZ,003,46403.0
2003-01-01,NZ,003,46614.0
2002-10-01,NZ,003,46113.0
2002-07-01,NZ,003,45045.0
2002-04-01,NZ,003,45331.0
2002-01-01,NZ,003,44771.0
2001-10-01,NZ,003,44422.0
2001-07-01,NZ,003,43011.0
2001-04-01,NZ,003,43447.0
2001-01-01,NZ,003,42776.0
2000-10-01,NZ,003,43099.0
2000-07-01,NZ,003,41933.0
2000-04-01,NZ,003,41813.0
2000-01-01,NZ,003,41873.0
1999-10-01,NZ,003,41775.0
1999-07-01,NZ,003,40346.0
1999-04-01,NZ,003,40926.0
1999-01-01,NZ,003,41262.0
1998-10-01,NZ,003,40960.0
1998-07-01,NZ,003,40651.0
1998-04-01,NZ,003,40942.0
1998-01-01,NZ,003,40602.0
1997-10-01,NZ,003,41447.0
1997-07-01,NZ,003,40896.0
1997-04-01,NZ,003,40985.0
1997-01-01,NZ,003,40035.0
1996-10-01,NZ,003,41311.0
1996-07-01,NZ,003,40357.0
1996-04-01,NZ,003,40066.0
1996-01-01,NZ,003,40191.0
1995-10-01,NZ,003,39808.0
1995-07-01,NZ,003,38955.0
1995-04-01,NZ,003,38795.0
1995-01-01,NZ,003,38977.0
1994-10-01,NZ,003,38436.0
1994-07-01,NZ,003,37235.0
1994-04-01,NZ,003,37638.0
1994-01-01,NZ,003,37053.0
1993-10-01,NZ,003,35952.0
1993-07-01,NZ,003,35079.0
1993-04-01,NZ,003,35302.0
1993-01-01,NZ,003,35660.0
1992-10-01,NZ,003,34860.0
1992-07-01,NZ,003,33875.0
1992-04-01,NZ,003,34826.0
1992-01-01,NZ,003,35300.0
1991-10-01,NZ,003,34273.0
1991-07-01,NZ,003,34067.0
1991-04-01,NZ,003,35450.0
1991-01-01,NZ,003,36654.0
1990-10-01,NZ,003,35838.0
1990-07-01,NZ,003,35607.0
1990-04-01,NZ,003,35743.0
1990-01-01,NZ,003,36584.0
1989-10-01,NZ,003,36406.0
1989-07-01,NZ,003,36466.0
1989-04-01,NZ,003,37250.0
1989-01-01,NZ,003,38105.0
2020-03-01,NZ,004,-97.0
2020-02-01,NZ,004,113.0
2020-01-01,NZ,004,-85.0
2019-12-01,NZ,004,-71.0
2019-11-01,NZ,004,-233.0
2019-10-01,NZ,004,-224.0
2019-09-01,NZ,004,-208.0
2019-08-01,NZ,004,-334.0
