date,country_code,indicator_code,value
2020-03-01,OM,001,-551.0
2020-02-01,OM,001,255.0
2020-01-01,OM,001,-769.0
2019-12-01,OM,001,511.0
2019-11-01,OM,001,49.0
2019-10-01,OM,001,815.0
2019-09-01,OM,001,2490.0
2019-08-01,OM,001,45.0
2019-07-01,OM,001,343.0
2019-06-01,OM,001,-318.0
2019-05-01,OM,001,486.0
2019-04-01,OM,001,2190.0
2019-03-01,OM,001,1293.0
2019-02-01,OM,001,1188.0
2019-01-01,OM,001,1109.0
2018-12-01,OM,001,1123.0
2018-11-01,OM,001,292.0
2018-10-01,OM,001,1811.0
2018-09-01,OM,001,1853.0
2018-06-01,OM,001,206.0
2018-05-01,OM,001,1396.0
2018-04-01,OM,001,2013.0
2018-03-01,OM,001,1871.0
2018-02-01,OM,001,1306.0
2018-01-01,OM,001,1375.0
2017-12-01,OM,001,236.0
2017-11-01,OM,001,-1746.0
2017-10-01,OM,001,571.0
2017-09-01,OM,001,1287.0
2017-08-01,OM,001,1611.0
2017-07-01,OM,001,21.0
2017-06-01,OM,001,-222.0
2017-05-01,OM,001,285.0
2017-04-01,OM,001,920.0
2017-03-01,OM,001,1214.0
2017-02-01,OM,001,535.0
2017-01-01,OM,001,10893.0
2016-12-01,OM,001,49.0
2016-11-01,OM,001,555.0
2016-10-01,OM,001,885.0
2016-09-01,OM,001,7209.0
2016-08-01,OM,001,2466.0
2016-07-01,OM,001,-632.0
2016-06-01,OM,001,1181.0
2016-05-01,OM,001,1296.0
2016-04-01,OM,001,466.0
2016-03-01,OM,001,-664.0
2016-02-01,OM,001,728.0
2016-01-01,OM,001,-76.0
2015-12-01,OM,001,1563.0
2015-11-01,OM,001,1270.0
2015-10-01,OM,001,-283.0
2015-09-01,OM,001,-158.0
2015-08-01,OM,001,880.0
2015-07-01,OM,001,294.0
2015-06-01,OM,001,1463.0
2015-05-01,OM,001,1028.0
2015-04-01,OM,001,1427.0
2015-03-01,OM,001,1736.0
2015-02-01,OM,001,1700.0
2015-01-01,OM,001,1190.0
2014-12-01,OM,001,2599.0
2014-11-01,OM,001,1318.0
2014-10-01,OM,001,720.0
2014-09-01,OM,001,2306.0
2014-08-01,OM,001,149.0
2014-07-01,OM,001,487.0
2014-06-01,OM,001,1262.0
2014-05-01,OM,001,1429.0
2014-04-01,OM,001,1128.0
2014-03-01,OM,001,1627.0
2014-02-01,OM,001,1546.0
2014-01-01,OM,001,1079.0
2013-12-01,OM,001,-104.0
2013-11-01,OM,001,1663.0
2013-10-01,OM,001,776.0
2013-09-01,OM,001,1588.0
2013-08-01,OM,001,794.0
2013-07-01,OM,001,-498.0
2013-06-01,OM,001,726.0
2013-05-01,OM,001,702.0
2013-04-01,OM,001,1645.0
2013-03-01,OM,001,1186.0
2013-02-01,OM,001,1195.0
2013-01-01,OM,001,121.0
2012-12-01,OM,001,165.0
2012-11-01,OM,001,-97.0
2012-10-01,OM,001,-946.0
2012-09-01,OM,001,-1915.0
2012-08-01,OM,001,-1166.0
2012-07-01,OM,001,1084.0
2012-06-01,OM,001,441.0
2012-05-01,OM,001,60.0
2012-04-01,OM,001,448.0
2012-03-01,OM,001,570.0
2012-02-01,OM,001,-272.0
2012-01-01,OM,001,-747.0
2011-12-01,OM,001,1199.0
2011-11-01,OM,001,961.0
2011-10-01,OM,001,1676.0
2011-09-01,OM,001,-827.0
2011-08-01,OM,001,-29.0
2011-07-01,OM,001,1588.0
2011-06-01,OM,001,757.0
2011-05-01,OM,001,-10.0
2011-04-01,OM,001,-933.0
2011-03-01,OM,001,-6496.0
2011-02-01,OM,001,-2856.0
2011-01-01,OM,001,1695.0
2010-12-01,OM,001,385.0
2010-11-01,OM,001,390.0
2010-10-01,OM,001,2242.0
2010-09-01,OM,001,174.0
2010-08-01,OM,001,1747.0
2010-07-01,OM,001,2456.0
2010-06-01,OM,001,1755.0
2010-05-01,OM,001,1880.0
2010-04-01,OM,001,2147.0
2010-03-01,OM,001,1305.0
2010-02-01,OM,001,1829.0
2010-01-01,OM,001,3091.0
2009-12-01,OM,001,2180.0
2009-11-01,OM,001,1887.0
2009-05-01,OM,001,225.0
2009-04-01,OM,001,614.0
2009-03-01,OM,001,1271.0
2009-02-01,OM,001,936.0
2009-01-01,OM,001,1101.0
2008-12-01,OM,001,810.0
2008-11-01,OM,001,1502.0
