date,country_code,indicator_code,value
2015-09-01,PA,001,1770711.0
2014-09-01,PA,001,1733851.0
2013-09-01,PA,001,1695361.0
2012-09-01,PA,001,1672352.0
2011-09-01,PA,001,1617171.0
2010-09-01,PA,001,1538082.0
2009-09-01,PA,001,1455592.0
2008-09-01,PA,001,1440801.0
2007-09-01,PA,001,1421921.0
2006-09-01,PA,001,1356973.0
2005-09-01,PA,001,1294937.0
2004-09-01,PA,001,1269795.0
2003-09-01,PA,001,1212705.0
2002-09-01,PA,001,1159155.0
2001-09-01,PA,001,1111661.0
2000-09-01,PA,001,1045717.0
2013-06-01,PA,002,44082.0
2013-05-01,PA,002,46991.0
2013-04-01,PA,002,57210.0
2013-03-01,PA,002,46315.0
2013-02-01,PA,002,45867.0
2013-01-01,PA,002,49063.0
2012-12-01,PA,002,61990.0
2012-11-01,PA,002,46753.0
2012-10-01,PA,002,45745.0
2012-09-01,PA,002,42100.0
2012-08-01,PA,002,55453.0
2012-07-01,PA,002,43272.0
2012-06-01,PA,002,43090.0
2012-05-01,PA,002,45098.0
2012-04-01,PA,002,53594.0
2012-03-01,PA,002,44920.0
2012-02-01,PA,002,44111.0
2012-01-01,PA,002,42079.0
2011-12-01,PA,002,53290.0
2011-11-01,PA,002,41028.0
2011-10-01,PA,002,38427.0
2011-09-01,PA,002,38526.0
2011-08-01,PA,002,50955.0
2011-07-01,PA,002,39342.0
2011-06-01,PA,002,38335.0
2011-05-01,PA,002,37447.0
2011-04-01,PA,002,47963.0
2011-03-01,PA,002,39928.0
2011-02-01,PA,002,37479.0
2011-01-01,PA,002,37018.0
2010-12-01,PA,002,49561.0
2010-11-01,PA,002,36439.0
2010-10-01,PA,002,36817.0
2010-09-01,PA,002,36201.0
2010-08-01,PA,002,45036.0
2010-07-01,PA,002,36337.0
2010-06-01,PA,002,35452.0
2010-05-01,PA,002,34527.0
2010-04-01,PA,002,44050.0
2010-03-01,PA,002,38347.0
2010-02-01,PA,002,34266.0
2010-01-01,PA,002,35496.0
2009-12-01,PA,002,45841.0
2009-11-01,PA,002,33504.0
2009-10-01,PA,002,33829.0
2009-09-01,PA,002,33179.0
2009-08-01,PA,002,43108.0
2009-07-01,PA,002,34723.0
2009-06-01,PA,002,33010.0
2009-05-01,PA,002,32806.0
2009-04-01,PA,002,41569.0
2009-03-01,PA,002,35261.0
2009-02-01,PA,002,34326.0
2009-01-01,PA,002,32672.0
2008-12-01,PA,002,44333.0
2008-11-01,PA,002,32971.0
2008-10-01,PA,002,33135.0
2008-09-01,PA,002,31579.0
2008-08-01,PA,002,39901.0
2008-07-01,PA,002,33578.0
2008-06-01,PA,002,30844.0
2008-05-01,PA,002,31224.0
2008-04-01,PA,002,42320.0
2008-03-01,PA,002,32761.0
2008-02-01,PA,002,34307.0
2008-01-01,PA,002,32909.0
2007-12-01,PA,002,40545.0
2007-11-01,PA,002,31230.0
2007-10-01,PA,002,30737.0
2007-09-01,PA,002,28738.0
2007-08-01,PA,002,37183.0
2007-07-01,PA,002,28886.0
2007-06-01,PA,002,30975.0
2007-05-01,PA,002,29938.0
2007-04-01,PA,002,35009.0
2007-03-01,PA,002,31836.0
2007-02-01,PA,002,30251.0
2007-01-01,PA,002,30864.0
2006-12-01,PA,002,35636.0
2006-11-01,PA,002,26743.0
2006-10-01,PA,002,25912.0
2006-09-01,PA,002,26017.0
2006-08-01,PA,002,33838.0
2006-07-01,PA,002,27056.0
2006-06-01,PA,002,25930.0
2006-05-01,PA,002,26504.0
2006-04-01,PA,002,32458.0
2006-03-01,PA,002,28461.0
2006-02-01,PA,002,25717.0
2006-01-01,PA,002,24979.0
2005-12-01,PA,002,35456.0
2005-11-01,PA,002,26265.0
2005-10-01,PA,002,25284.0
2005-09-01,PA,002,24794.0
2005-08-01,PA,002,31891.0
2005-07-01,PA,002,25089.0
2005-06-01,PA,002,25826.0
2005-05-01,PA,002,24261.0
2005-04-01,PA,002,30389.0
2005-03-01,PA,002,26152.0
2005-02-01,PA,002,25853.0
2005-01-01,PA,002,23214.0
2004-12-01,PA,002,33283.0
2004-11-01,PA,002,23609.0
2004-10-01,PA,002,23248.0
2004-09-01,PA,002,24124.0
2004-08-01,PA,002,30073.0
2004-07-01,PA,002,23515.0
2004-06-01,PA,002,24432.0
2004-05-01,PA,002,23472.0
2004-04-01,PA,002,28595.0
2004-03-01,PA,002,26110.0
2004-02-01,PA,002,22970.0
2004-01-01,PA,002,23229.0
2003-12-01,PA,002,32077.0
2003-11-01,PA,002,22675.0
2003-10-01,PA,002,23328.0
2003-09-01,PA,002,23426.0
2003-08-01,PA,002,28195.0
2003-07-01,PA,002,23372.0
2003-06-01,PA,002,22184.0
2003-05-01,PA,002,23221.0
2003-04-01,PA,002,28385.0
2003-03-01,PA,002,23665.0
2003-02-01,PA,002,22121.0
2003-01-01,PA,002,22759.0
2002-12-01,PA,002,30862.0
2002-11-01,PA,002,21759.0
2002-10-01,PA,002,22546.0
2002-09-01,PA,002,21540.0
2002-08-01,PA,002,28014.0
2002-07-01,PA,002,24221.0
2002-06-01,PA,002,22960.0
2002-05-01,PA,002,23629.0
2002-04-01,PA,002,28345.0
2002-03-01,PA,002,25564.0
2002-02-01,PA,002,22962.0
2002-01-01,PA,002,24643.0
2018-01-01,PA,004,27569.0
2017-01-01,PA,004,26321.0
2016-01-01,PA,004,24445.0
2015-01-01,PA,004,25794.0
2014-01-01,PA,004,27635.0
2013-01-01,PA,004,29714.0
2012-01-01,PA,004,30400.0
2011-01-01,PA,004,27135.0
2010-01-01,PA,004,20621.0
2009-01-01,PA,004,18931.0
2008-01-01,PA,004,19644.0
2007-01-01,PA,004,15218.0
2006-01-01,PA,004,12448.0
2005-01-01,PA,004,11054.0
2004-01-01,PA,004,9077.0
2003-01-01,PA,004,7788.0
2002-01-01,PA,004,7839.0
2001-01-01,PA,004,8130.0
2000-01-01,PA,004,7985.0
1999-01-01,PA,004,7218.0
1998-01-01,PA,004,8196.0
1997-01-01,PA,004,8603.0
1996-01-01,PA,004,7364.0
1995-01-01,PA,004,2772.0
1994-01-01,PA,004,2852.0
1993-01-01,PA,004,2571.0
1992-01-01,PA,004,2349.0
1991-01-01,PA,004,2071.0
1990-01-01,PA,004,2020.0
1989-01-01,PA,004,1673.0
1988-01-01,PA,004,1692.0
1987-01-01,PA,004,1773.0
1986-01-01,PA,004,1793.0
