date,country_code,indicator_code,value
2020-03-01,PE,001,4824.0
2020-02-01,PE,001,4997.6
2020-01-01,PE,001,5037.3
2019-12-01,PE,001,5014.8
2019-11-01,PE,001,4961.9
2019-10-01,PE,001,4931.6
2019-09-01,PE,001,4927.4
2019-08-01,PE,001,4932.1
2019-07-01,PE,001,4908.2
2019-06-01,PE,001,4897.0
2019-05-01,PE,001,4867.5
2019-04-01,PE,001,4871.5
2019-03-01,PE,001,4829.7
2019-02-01,PE,001,4856.2
2019-01-01,PE,001,4934.5
2018-12-01,PE,001,4982.5
2018-11-01,PE,001,4953.5
2018-10-01,PE,001,4889.9
2018-09-01,PE,001,4915.6
2018-08-01,PE,001,4920.4
2018-07-01,PE,001,4893.6
2018-06-01,PE,001,4859.9
2018-05-01,PE,001,4856.1
2018-04-01,PE,001,4853.6
2018-03-01,PE,001,4800.3
2018-02-01,PE,001,4830.4
2018-01-01,PE,001,4853.1
2017-12-01,PE,001,4903.2
2017-11-01,PE,001,4848.2
2017-10-01,PE,001,4872.0
2017-09-01,PE,001,4894.1
2017-08-01,PE,001,4900.5
2017-07-01,PE,001,4825.6
2017-06-01,PE,001,4813.0
2017-05-01,PE,001,4810.1
2017-04-01,PE,001,4831.5
2017-03-01,PE,001,4785.1
2017-02-01,PE,001,4805.1
2017-01-01,PE,001,4831.6
2016-12-01,PE,001,4873.5
2016-11-01,PE,001,4827.2
2016-10-01,PE,001,4783.7
2016-09-01,PE,001,4736.3
2016-08-01,PE,001,4734.2
2016-07-01,PE,001,4726.8
2016-06-01,PE,001,4748.5
2016-05-01,PE,001,4762.0
2016-04-01,PE,001,4807.0
2016-03-01,PE,001,4759.6
2016-02-01,PE,001,4759.6
2016-01-01,PE,001,4752.9
2015-12-01,PE,001,4817.4
2015-11-01,PE,001,4797.5
2015-10-01,PE,001,4743.2
2015-09-01,PE,001,4674.8
2015-08-01,PE,001,4677.8
2015-07-01,PE,001,4672.2
2015-06-01,PE,001,4638.3
2015-05-01,PE,001,4633.4
2015-04-01,PE,001,4656.5
2015-03-01,PE,001,4649.0
2015-02-01,PE,001,4626.3
2015-01-01,PE,001,4635.7
2014-12-01,PE,001,4695.9
2014-11-01,PE,001,4696.5
2014-10-01,PE,001,4659.8
2014-09-01,PE,001,4619.3
2014-08-01,PE,001,4639.6
2014-07-01,PE,001,4621.8
2014-06-01,PE,001,4619.4
2014-05-01,PE,001,4614.3
2014-04-01,PE,001,4659.2
2014-03-01,PE,001,4646.0
2014-02-01,PE,001,4636.9
2014-01-01,PE,001,4595.6
2013-12-01,PE,001,4657.1
2013-11-01,PE,001,4639.2
2013-10-01,PE,001,4616.7
2013-09-01,PE,001,4605.2
