date,country_code,indicator_code,value
2000-01-01,PF,004,-86270.0
1999-01-01,PF,004,-81654.0
1998-01-01,PF,004,-99800.0
1997-01-01,PF,004,-82819.0
1996-01-01,PF,004,-79024.0
1995-01-01,PF,004,-80575.0
1994-01-01,PF,004,-74834.0
1993-01-01,PF,004,-77516.0
1992-01-01,PF,004,-81147.0
1991-01-01,PF,004,-89405.0
2016-01-01,PF,012,-3.0
2015-01-01,PF,012,0.0
2014-01-01,PF,012,-1.0
2013-01-01,PF,012,4.0
2012-01-01,PF,012,-1.0
2011-01-01,PF,012,-1.0
2010-01-01,PF,012,-1.0
2008-01-01,PF,012,0.0
2007-01-01,PF,012,0.0
2006-01-01,PF,012,0.0
2005-01-01,PF,012,-1.0
2004-01-01,PF,012,-1.0
2003-01-01,PF,012,-1.0
2002-01-01,PF,012,-1.0
2019-05-01,PF,048,0.0
2019-04-01,PF,048,0.0
2019-03-01,PF,048,0.0
2019-02-01,PF,048,0.0
2019-01-01,PF,048,0.0
2018-12-01,PF,048,0.0
2018-11-01,PF,048,0.0
2018-10-01,PF,048,0.0
2018-09-01,PF,048,0.0
2018-08-01,PF,048,0.0
2018-07-01,PF,048,0.0
2018-06-01,PF,048,0.0
2018-05-01,PF,048,0.0
2018-04-01,PF,048,0.0
2018-03-01,PF,048,0.0
2018-02-01,PF,048,0.0
2018-01-01,PF,048,0.0
2017-12-01,PF,048,0.0
2017-11-01,PF,048,0.0
2017-10-01,PF,048,0.0
2017-09-01,PF,048,0.0
2017-08-01,PF,048,0.0
2017-07-01,PF,048,0.0
2017-06-01,PF,048,0.0
2017-05-01,PF,048,0.0
2017-04-01,PF,048,0.0
2017-03-01,PF,048,0.0
2017-02-01,PF,048,0.0
2017-01-01,PF,048,0.0
2016-12-01,PF,048,0.0
2016-11-01,PF,048,0.0
2016-10-01,PF,048,0.0
2016-09-01,PF,048,0.0
2016-08-01,PF,048,0.0
2016-07-01,PF,048,0.0
2016-06-01,PF,048,0.0
2016-05-01,PF,048,0.0
2016-04-01,PF,048,0.0
2016-03-01,PF,048,0.0
2016-02-01,PF,048,0.0
2016-01-01,PF,048,0.0
2015-12-01,PF,048,0.0
2015-11-01,PF,048,0.0
2015-10-01,PF,048,0.0
2015-09-01,PF,048,0.0
2015-08-01,PF,048,0.0
2015-07-01,PF,048,0.0
2015-06-01,PF,048,0.0
2015-05-01,PF,048,0.0
2015-04-01,PF,048,0.0
2015-03-01,PF,048,0.0
2015-02-01,PF,048,0.0
2015-01-01,PF,048,0.0
2014-12-01,PF,048,0.0
2014-11-01,PF,048,0.0
2014-10-01,PF,048,0.0
2014-09-01,PF,048,0.0
2014-08-01,PF,048,0.0
2014-07-01,PF,048,0.0
2014-06-01,PF,048,0.0
2014-05-01,PF,048,0.0
2014-04-01,PF,048,0.0
2014-03-01,PF,048,0.0
2014-02-01,PF,048,0.0
2014-01-01,PF,048,0.0
2013-12-01,PF,048,0.0
2013-11-01,PF,048,0.0
2013-10-01,PF,048,0.0
2013-09-01,PF,048,0.0
2013-08-01,PF,048,0.0
2013-07-01,PF,048,0.0
2013-06-01,PF,048,0.0
2013-05-01,PF,048,0.0
2013-04-01,PF,048,0.0
2013-03-01,PF,048,0.0
2013-02-01,PF,048,0.0
2013-01-01,PF,048,0.0
2012-12-01,PF,048,0.0
2012-11-01,PF,048,0.0
2012-10-01,PF,048,0.0
2012-09-01,PF,048,0.0
2012-08-01,PF,048,0.0
2012-07-01,PF,048,0.0
2012-06-01,PF,048,0.0
2012-05-01,PF,048,0.0
2012-04-01,PF,048,0.0
2012-03-01,PF,048,0.0
2012-02-01,PF,048,0.0
2012-01-01,PF,048,0.0
2011-12-01,PF,048,0.0
2011-11-01,PF,048,0.0
2011-10-01,PF,048,0.0
2011-09-01,PF,048,0.0
2011-08-01,PF,048,0.0
2011-07-01,PF,048,0.0
2011-06-01,PF,048,0.0
2011-05-01,PF,048,0.0
2011-04-01,PF,048,0.0
2011-03-01,PF,048,0.0
2011-02-01,PF,048,0.0
2011-01-01,PF,048,0.0
2010-12-01,PF,048,0.0
2010-11-01,PF,048,0.0
2010-10-01,PF,048,0.0
2010-09-01,PF,048,0.0
2010-08-01,PF,048,0.0
2010-07-01,PF,048,0.0
2010-06-01,PF,048,0.0
2010-05-01,PF,048,0.0
2010-04-01,PF,048,0.0
2010-03-01,PF,048,0.0
2010-02-01,PF,048,0.0
2010-01-01,PF,048,0.0
2009-12-01,PF,048,0.0
2009-11-01,PF,048,0.0
2009-10-01,PF,048,0.0
2009-09-01,PF,048,0.0
2009-08-01,PF,048,0.0
2009-07-01,PF,048,0.0
2009-06-01,PF,048,0.0
2009-05-01,PF,048,0.0
2009-04-01,PF,048,0.0
2009-03-01,PF,048,0.0
2009-02-01,PF,048,0.0
2009-01-01,PF,048,0.0
2008-12-01,PF,048,0.0
2008-11-01,PF,048,0.0
2008-10-01,PF,048,0.0
2008-09-01,PF,048,0.0
2008-08-01,PF,048,0.0
2008-07-01,PF,048,0.0
2008-06-01,PF,048,0.0
2008-05-01,PF,048,0.0
2008-04-01,PF,048,0.0
2008-03-01,PF,048,0.0
2008-02-01,PF,048,0.0
2008-01-01,PF,048,0.0
2007-12-01,PF,048,0.0
2007-11-01,PF,048,0.0
2007-10-01,PF,048,0.0
2007-09-01,PF,048,0.0
2007-08-01,PF,048,0.0
2007-07-01,PF,048,0.0
2007-06-01,PF,048,0.0
2007-05-01,PF,048,0.0
2007-04-01,PF,048,0.0
2007-03-01,PF,048,0.0
2007-02-01,PF,048,0.0
2007-01-01,PF,048,0.0
2006-12-01,PF,048,0.0
2006-11-01,PF,048,0.0
2006-10-01,PF,048,0.0
