date,country_code,indicator_code,value
2019-10-01,PG,001,157.114902
2019-07-01,PG,001,160.978383
2019-04-01,PG,001,164.768048
2019-01-01,PG,001,163.962738
2018-10-01,PG,001,160.709495
2018-07-01,PG,001,157.658222
2018-04-01,PG,001,157.946589
2018-01-01,PG,001,157.673047
2017-10-01,PG,001,157.157102
2017-07-01,PG,001,160.845342
2017-04-01,PG,001,163.144959
2017-01-01,PG,001,165.233887
2016-10-01,PG,001,163.423596
2016-07-01,PG,001,167.382093
2016-04-01,PG,001,168.566308
2016-01-01,PG,001,165.060893
2015-10-01,PG,001,162.859405
2015-07-01,PG,001,169.116724
2015-04-01,PG,001,175.663195
2015-01-01,PG,001,171.192806
2014-10-01,PG,001,168.958993
2014-07-01,PG,001,174.184528
2014-04-01,PG,001,175.573529
2014-01-01,PG,001,175.484729
2013-10-01,PG,001,175.836402
2013-07-01,PG,001,173.237834
2013-04-01,PG,001,178.858763
2013-01-01,PG,001,174.666761
2012-10-01,PG,001,171.595207
2012-07-01,PG,001,170.571776
2012-04-01,PG,001,167.834076
2012-01-01,PG,001,162.945705
2011-10-01,PG,001,161.332381
2011-07-01,PG,001,159.419349
2011-04-01,PG,001,159.689642
2011-01-01,PG,001,155.038487
2010-10-01,PG,001,150.435171
2010-07-01,PG,001,148.519272
2010-04-01,PG,001,149.115735
2010-01-01,PG,001,147.202108
2009-10-01,PG,001,148.76923
2009-07-01,PG,001,147.713423
2009-04-01,PG,001,146.832428
2009-01-01,PG,001,145.234845
2008-10-01,PG,001,142.793083
2008-07-01,PG,001,142.354891
2008-04-01,PG,001,141.505856
2008-01-01,PG,001,136.994143
2007-10-01,PG,001,134.307983
2007-07-01,PG,001,131.16014
2007-04-01,PG,001,130.77304
2007-01-01,PG,001,126.228803
2006-10-01,PG,001,121.64714
2006-07-01,PG,001,117.420019
2006-04-01,PG,001,119.398713
2006-01-01,PG,001,114.860481
2005-10-01,PG,001,111.696159
2005-07-01,PG,001,111.807967
2005-04-01,PG,001,110.920602
2005-01-01,PG,001,106.332492
2004-10-01,PG,001,107.974964
2004-07-01,PG,001,108.768437
2004-04-01,PG,001,108.578177
2004-01-01,PG,001,106.914774
2003-10-01,PG,001,108.453704
2003-07-01,PG,001,108.654601
2003-04-01,PG,001,108.985648
2003-01-01,PG,001,104.311563
2002-10-01,PG,001,103.214104
2002-07-01,PG,001,102.769561
2002-04-01,PG,001,101.630517
2002-01-01,PG,001,100.0
2019-10-01,PG,002,140.8
2019-07-01,PG,002,140.8
2019-04-01,PG,002,140.8
2019-01-01,PG,002,140.8
2018-10-01,PG,002,140.8
2018-07-01,PG,002,140.8
2018-04-01,PG,002,140.8
2018-01-01,PG,002,140.8
2017-10-01,PG,002,140.8
2017-07-01,PG,002,140.8
2017-04-01,PG,002,140.8
2017-01-01,PG,002,140.8
2016-10-01,PG,002,140.8
2016-07-01,PG,002,140.8
2016-04-01,PG,002,140.8
2016-01-01,PG,002,140.8
2015-10-01,PG,002,140.8
2015-07-01,PG,002,140.8
2015-04-01,PG,002,140.8
2015-01-01,PG,002,140.8
2014-10-01,PG,002,140.8
2014-07-01,PG,002,140.8
2014-04-01,PG,002,140.8
2014-01-01,PG,002,101.8
2013-10-01,PG,002,101.8
2013-07-01,PG,002,101.8
2013-04-01,PG,002,101.8
2013-01-01,PG,002,101.8
2012-10-01,PG,002,101.8
2012-07-01,PG,002,101.8
2012-04-01,PG,002,101.8
2012-01-01,PG,002,101.8
2011-10-01,PG,002,101.8
2011-07-01,PG,002,101.8
2011-04-01,PG,002,101.8
2011-01-01,PG,002,101.8
2010-10-01,PG,002,101.8
2010-07-01,PG,002,101.8
2010-04-01,PG,002,101.8
2010-01-01,PG,002,101.8
2009-10-01,PG,002,75.7
2009-07-01,PG,002,44.0
2009-04-01,PG,002,37.2
2009-01-01,PG,002,37.2
2008-10-01,PG,002,37.2
2008-07-01,PG,002,37.2
2008-04-01,PG,002,37.2
2008-01-01,PG,002,37.2
2007-10-01,PG,002,37.2
2007-07-01,PG,002,37.2
2007-04-01,PG,002,37.2
2007-01-01,PG,002,37.2
2006-10-01,PG,002,37.2
2006-07-01,PG,002,37.2
2006-04-01,PG,002,37.2
2006-01-01,PG,002,37.2
2005-10-01,PG,002,37.2
2005-07-01,PG,002,37.2
2005-04-01,PG,002,37.2
2005-01-01,PG,002,37.2
2004-10-01,PG,002,24.68
2004-07-01,PG,002,24.68
2004-04-01,PG,002,24.68
2004-01-01,PG,002,24.68
2003-10-01,PG,002,24.68
2003-07-01,PG,002,24.68
2003-04-01,PG,002,24.68
2003-01-01,PG,002,24.68
2002-10-01,PG,002,24.68
2002-07-01,PG,002,24.68
2002-04-01,PG,002,24.68
2002-01-01,PG,002,24.68
2001-10-01,PG,002,24.68
2001-07-01,PG,002,24.68
2001-04-01,PG,002,24.68
2001-01-01,PG,002,24.68
2000-10-01,PG,002,24.68
2000-07-01,PG,002,24.68
2000-04-01,PG,002,24.68
2000-01-01,PG,002,24.68
1999-10-01,PG,002,24.68
1999-07-01,PG,002,24.68
1999-04-01,PG,002,24.68
1999-01-01,PG,002,24.68
1998-10-01,PG,002,24.68
1998-07-01,PG,002,24.68
1998-04-01,PG,002,24.68
1998-01-01,PG,002,24.68
1997-10-01,PG,002,22.96
1997-07-01,PG,002,22.96
1997-04-01,PG,002,22.96
1997-01-01,PG,002,22.96
2004-01-01,PG,004,1676.0
2003-01-01,PG,004,1934.0
2002-01-01,PG,004,339.0
2001-01-01,PG,004,1360.0
2000-01-01,PG,004,1649.0
1999-01-01,PG,004,903.0
1998-01-01,PG,004,408.0
1997-01-01,PG,004,-63.0
1996-01-01,PG,004,748.0
1995-01-01,PG,004,1074.0
1994-01-01,PG,004,761.0
1993-01-01,PG,004,764.0
1992-01-01,PG,004,91.0
1991-01-01,PG,004,-357.0
1990-01-01,PG,004,-256.0
1989-01-01,PG,004,-369.0
1988-01-01,PG,004,-275.0
1987-01-01,PG,004,-186.0
1986-01-01,PG,004,-200.0
1985-01-01,PG,004,-250.0
1984-01-01,PG,004,-314.0
1983-01-01,PG,004,-370.0
1982-01-01,PG,004,-414.0
1981-01-01,PG,004,-345.0
1980-01-01,PG,004,-173.0
1979-01-01,PG,004,-2.0
1978-01-01,PG,004,-48.0
1977-01-01,PG,004,-17.0
1976-01-01,PG,004,12.0
1975-01-01,PG,004,-64.0
1974-01-01,PG,004,72.0
1973-01-01,PG,004,92.0
1972-01-01,PG,004,-122.0
1971-01-01,PG,004,-234.0
1970-01-01,PG,004,-204.0
1969-01-01,PG,004,-133.0
1968-01-01,PG,004,-92.0
1967-01-01,PG,004,-88.0
1966-01-01,PG,004,-82.0
1965-01-01,PG,004,-61.0
1964-01-01,PG,004,-44.0
1963-01-01,PG,004,-33.0
1962-01-01,PG,004,-27.0
1961-01-01,PG,004,-26.0
2018-06-01,PG,005,9.11
2018-05-01,PG,005,9.21
2018-04-01,PG,005,8.02
2018-03-01,PG,005,9.2
2018-02-01,PG,005,9.27
2018-01-01,PG,005,9.44
2017-12-01,PG,005,9.05
2017-11-01,PG,005,8.5
2017-10-01,PG,005,8.61
2017-09-01,PG,005,8.93
2017-08-01,PG,005,8.3
2017-07-01,PG,005,8.39
2017-06-01,PG,005,8.45
2017-05-01,PG,005,7.96
2017-04-01,PG,005,8.01
2017-03-01,PG,005,7.84
2017-02-01,PG,005,7.72
2017-01-01,PG,005,8.9
2016-12-01,PG,005,8.76
2016-11-01,PG,005,8.73
2016-10-01,PG,005,8.2
2016-09-01,PG,005,8.1
2016-08-01,PG,005,8.39
2016-07-01,PG,005,8.25
2016-06-01,PG,005,8.52
2016-05-01,PG,005,8.27
2016-04-01,PG,005,8.31
2016-03-01,PG,005,8.34
2016-02-01,PG,005,8.31
2016-01-01,PG,005,8.32
2015-12-01,PG,005,8.38
2015-11-01,PG,005,8.65
2015-10-01,PG,005,8.63
2015-09-01,PG,005,8.69
2015-08-01,PG,005,8.69
2015-07-01,PG,005,8.72
2015-06-01,PG,005,8.7
2015-05-01,PG,005,8.91
2015-04-01,PG,005,8.99
2015-03-01,PG,005,8.85
2015-02-01,PG,005,8.6
2015-01-01,PG,005,8.98
2014-12-01,PG,005,9.03
2014-11-01,PG,005,9.19
2014-10-01,PG,005,9.19
2014-09-01,PG,005,8.92
2014-08-01,PG,005,9.03
2014-07-01,PG,005,9.18
2014-06-01,PG,005,9.22
2014-05-01,PG,005,9.61
2014-04-01,PG,005,9.73
2014-03-01,PG,005,9.79
2014-02-01,PG,005,9.8
2014-01-01,PG,005,9.82
2013-12-01,PG,005,9.84
2013-11-01,PG,005,9.83
2013-10-01,PG,005,9.5
2013-09-01,PG,005,9.64
2013-08-01,PG,005,9.89
2013-07-01,PG,005,9.92
2013-06-01,PG,005,9.85
2013-05-01,PG,005,10.58
2013-04-01,PG,005,10.6
2013-03-01,PG,005,10.94
2013-02-01,PG,005,10.49
2013-01-01,PG,005,10.48
2012-12-01,PG,005,10.61
2012-11-01,PG,005,10.6
2012-10-01,PG,005,10.7
2012-09-01,PG,005,10.5
2012-08-01,PG,005,10.67
2012-07-01,PG,005,10.69
2012-06-01,PG,005,11.0
2012-05-01,PG,005,11.0
2012-04-01,PG,005,11.0
2012-03-01,PG,005,11.03
2012-02-01,PG,005,10.97
2012-01-01,PG,005,11.01
2011-12-01,PG,005,10.7
2011-11-01,PG,005,11.3
2011-10-01,PG,005,11.12
2011-09-01,PG,005,11.14
2011-08-01,PG,005,10.78
2011-07-01,PG,005,10.71
2011-06-01,PG,005,10.47
2011-05-01,PG,005,10.66
2011-04-01,PG,005,10.65
2011-03-01,PG,005,10.69
2011-02-01,PG,005,10.64
2011-01-01,PG,005,10.84
2010-12-01,PG,005,10.62
2010-11-01,PG,005,10.46
2010-10-01,PG,005,10.54
2010-09-01,PG,005,10.4
2010-08-01,PG,005,10.5
2010-07-01,PG,005,10.2
2010-06-01,PG,005,10.43
2010-05-01,PG,005,10.42
2010-04-01,PG,005,10.62
2010-03-01,PG,005,10.59
2010-02-01,PG,005,10.38
2010-01-01,PG,005,10.19
2009-12-01,PG,005,10.3
2009-11-01,PG,005,9.96
2009-10-01,PG,005,10.18
2009-09-01,PG,005,10.48
2009-08-01,PG,005,10.35
2009-07-01,PG,005,10.3
2009-06-01,PG,005,10.09
2009-05-01,PG,005,10.18
2009-04-01,PG,005,10.12
2009-03-01,PG,005,9.91
2009-02-01,PG,005,9.71
2009-01-01,PG,005,9.55
2008-12-01,PG,005,8.79
2008-11-01,PG,005,8.92
2008-10-01,PG,005,9.3
2008-09-01,PG,005,9.25
2008-08-01,PG,005,9.22
2008-07-01,PG,005,9.32
2008-06-01,PG,005,9.17
2008-05-01,PG,005,9.29
2008-04-01,PG,005,9.3
2008-03-01,PG,005,9.26
2008-02-01,PG,005,9.29
2008-01-01,PG,005,9.25
2007-12-01,PG,005,9.25
2007-11-01,PG,005,8.52
2007-10-01,PG,005,9.12
2007-09-01,PG,005,9.69
2007-08-01,PG,005,9.84
2007-07-01,PG,005,9.93
2007-06-01,PG,005,10.18
2007-05-01,PG,005,10.04
2007-04-01,PG,005,10.14
2007-03-01,PG,005,10.25
2007-02-01,PG,005,10.21
2007-01-01,PG,005,10.16
2006-12-01,PG,005,10.2
2006-11-01,PG,005,10.23
2006-10-01,PG,005,10.27
2006-09-01,PG,005,10.41
2006-08-01,PG,005,10.5
2006-07-01,PG,005,10.47
2006-06-01,PG,005,10.49
2006-05-01,PG,005,10.4
2006-04-01,PG,005,11.04
2006-03-01,PG,005,11.27
2006-02-01,PG,005,11.01
2006-01-01,PG,005,10.51
2005-12-01,PG,005,10.71
2005-11-01,PG,005,11.04
2005-10-01,PG,005,10.93
2005-09-01,PG,005,11.09
2005-08-01,PG,005,11.39
2005-07-01,PG,005,11.4
2005-06-01,PG,005,11.77
2005-05-01,PG,005,11.63
2005-04-01,PG,005,11.64
2005-03-01,PG,005,11.88
2005-02-01,PG,005,12.16
2005-01-01,PG,005,11.99
2004-12-01,PG,005,12.24
2004-11-01,PG,005,12.41
2004-10-01,PG,005,13.11
2004-09-01,PG,005,13.29
2004-08-01,PG,005,13.4
2004-07-01,PG,005,13.67
2004-06-01,PG,005,13.28
2004-05-01,PG,005,13.15
2004-04-01,PG,005,13.52
2004-03-01,PG,005,13.6
2004-02-01,PG,005,13.47
2004-01-01,PG,005,13.87
2003-12-01,PG,005,13.52
2003-11-01,PG,005,13.4
2003-10-01,PG,005,13.04
2003-09-01,PG,005,13.28
2003-08-01,PG,005,13.0
2003-07-01,PG,005,13.26
2003-06-01,PG,005,13.07
2003-05-01,PG,005,13.04
2003-04-01,PG,005,13.84
2003-03-01,PG,005,13.44
2003-02-01,PG,005,13.68
2003-01-01,PG,005,13.7
2002-12-01,PG,005,13.67
2002-11-01,PG,005,13.1
2002-10-01,PG,005,13.67
2002-09-01,PG,005,13.7
2002-08-01,PG,005,13.73
2002-07-01,PG,005,13.88
2002-06-01,PG,005,13.72
2002-05-01,PG,005,14.05
2002-04-01,PG,005,14.24
2002-03-01,PG,005,14.23
2002-02-01,PG,005,14.31
2002-01-01,PG,005,14.37
2001-12-01,PG,005,14.6
2001-11-01,PG,005,14.72
2001-10-01,PG,005,14.41
2001-09-01,PG,005,14.81
2001-08-01,PG,005,14.65
2001-07-01,PG,005,16.86
2001-06-01,PG,005,17.21
2001-05-01,PG,005,17.39
2001-04-01,PG,005,17.41
2001-03-01,PG,005,17.52
2001-02-01,PG,005,17.52
2001-01-01,PG,005,17.39
2000-12-01,PG,005,17.33
2000-11-01,PG,005,17.11
2000-10-01,PG,005,17.29
2000-09-01,PG,005,17.15
2000-08-01,PG,005,17.28
2000-07-01,PG,005,17.38
2000-06-01,PG,005,17.71
2000-05-01,PG,005,17.63
2000-04-01,PG,005,17.76
2000-03-01,PG,005,17.83
2000-02-01,PG,005,17.95
2000-01-01,PG,005,18.09
1999-12-01,PG,005,18.64
1999-11-01,PG,005,18.67
1999-10-01,PG,005,18.74
1999-09-01,PG,005,17.8
1999-08-01,PG,005,18.27
1999-07-01,PG,005,18.64
1999-06-01,PG,005,18.16
1999-05-01,PG,005,18.57
1999-04-01,PG,005,18.66
1999-03-01,PG,005,19.42
1999-02-01,PG,005,20.18
1999-01-01,PG,005,21.0
1998-12-01,PG,005,20.16
1998-11-01,PG,005,19.41
1998-10-01,PG,005,20.56
1998-09-01,PG,005,21.74
1998-08-01,PG,005,21.85
1998-07-01,PG,005,18.54
1998-06-01,PG,005,17.67
1998-05-01,PG,005,17.59
1998-04-01,PG,005,17.31
1998-03-01,PG,005,13.31
1998-02-01,PG,005,12.03
1998-01-01,PG,005,12.28
1997-12-01,PG,005,10.64
1997-11-01,PG,005,10.51
1997-10-01,PG,005,10.35
1997-09-01,PG,005,10.49
1997-08-01,PG,005,10.38
1997-07-01,PG,005,10.51
1997-06-01,PG,005,10.51
1997-05-01,PG,005,10.37
1997-04-01,PG,005,10.38
1997-03-01,PG,005,10.39
1997-02-01,PG,005,10.47
1997-01-01,PG,005,10.39
1996-12-01,PG,005,10.24
1996-11-01,PG,005,10.56
1996-10-01,PG,005,11.14
1996-09-01,PG,005,11.69
1996-08-01,PG,005,13.09
1996-07-01,PG,005,13.34
1996-06-01,PG,005,14.35
1996-05-01,PG,005,14.79
1996-04-01,PG,005,14.96
1996-03-01,PG,005,15.01
1996-02-01,PG,005,15.07
1996-01-01,PG,005,15.4
1995-12-01,PG,005,15.39
1995-11-01,PG,005,15.32
1995-10-01,PG,005,15.13
1995-09-01,PG,005,14.62
1995-08-01,PG,005,14.07
1995-07-01,PG,005,13.55
1995-06-01,PG,005,13.04
1995-05-01,PG,005,11.94
1995-04-01,PG,005,11.46
1995-03-01,PG,005,11.4
1995-02-01,PG,005,11.07
1995-01-01,PG,005,10.7
1994-12-01,PG,005,10.0
1994-11-01,PG,005,9.44
1994-10-01,PG,005,9.24
1994-09-01,PG,005,8.93
1994-08-01,PG,005,8.9
1994-07-01,PG,005,8.86
1994-06-01,PG,005,9.03
1994-05-01,PG,005,9.12
1994-04-01,PG,005,9.1
1994-03-01,PG,005,9.1
1994-02-01,PG,005,9.0
1994-01-01,PG,005,9.2
1993-12-01,PG,005,10.66
1993-11-01,PG,005,9.37
1993-10-01,PG,005,11.14
1993-09-01,PG,005,11.13
1993-08-01,PG,005,10.9
1993-07-01,PG,005,10.65
1993-06-01,PG,005,11.54
1993-05-01,PG,005,12.02
1993-04-01,PG,005,11.06
1993-03-01,PG,005,12.14
1993-02-01,PG,005,13.37
1993-01-01,PG,005,11.47
1992-12-01,PG,005,13.8
1992-11-01,PG,005,12.99
1992-10-01,PG,005,14.83
1992-09-01,PG,005,14.62
1992-08-01,PG,005,14.85
1992-07-01,PG,005,14.75
1992-06-01,PG,005,15.12
1992-05-01,PG,005,14.95
1992-04-01,PG,005,14.54
1992-03-01,PG,005,15.11
1992-02-01,PG,005,14.22
1992-01-01,PG,005,14.63
1991-12-01,PG,005,14.86
1991-11-01,PG,005,13.64
1991-10-01,PG,005,13.99
1991-09-01,PG,005,13.44
1991-08-01,PG,005,13.83
1991-07-01,PG,005,13.91
1991-06-01,PG,005,13.32
1991-05-01,PG,005,13.79
1991-04-01,PG,005,15.16
1991-03-01,PG,005,14.34
1991-02-01,PG,005,15.08
1991-01-01,PG,005,14.66
1990-12-01,PG,005,15.04
1990-11-01,PG,005,15.02
1990-10-01,PG,005,15.91
1990-09-01,PG,005,15.25
1990-08-01,PG,005,15.21
1990-07-01,PG,005,15.64
1990-06-01,PG,005,16.12
1990-05-01,PG,005,16.46
1990-04-01,PG,005,15.15
1990-03-01,PG,005,15.59
1990-02-01,PG,005,15.45
1990-01-01,PG,005,15.39
1989-12-01,PG,005,14.76
1989-11-01,PG,005,15.26
1989-10-01,PG,005,14.76
1989-09-01,PG,005,15.23
1989-08-01,PG,005,14.13
1989-07-01,PG,005,14.12
1989-06-01,PG,005,14.56
1989-05-01,PG,005,15.0
1989-04-01,PG,005,14.38
1989-03-01,PG,005,14.12
1989-02-01,PG,005,14.52
1989-01-01,PG,005,14.64
1988-12-01,PG,005,13.92
1988-11-01,PG,005,13.95
1988-10-01,PG,005,14.3
1988-09-01,PG,005,12.25
1988-08-01,PG,005,12.25
1988-07-01,PG,005,12.25
1988-06-01,PG,005,12.25
1988-05-01,PG,005,12.25
1988-04-01,PG,005,12.25
1988-03-01,PG,005,12.25
1988-02-01,PG,005,12.0
1988-01-01,PG,005,12.25
1987-12-01,PG,005,12.25
1987-11-01,PG,005,12.5
1987-10-01,PG,005,12.25
1987-09-01,PG,005,10.25
1987-08-01,PG,005,13.0
1987-07-01,PG,005,13.0
1987-06-01,PG,005,12.25
1987-05-01,PG,005,12.0
1987-04-01,PG,005,12.0
1987-03-01,PG,005,11.8
1987-02-01,PG,005,11.0
1987-01-01,PG,005,11.0
1986-12-01,PG,005,11.7
1986-11-01,PG,005,11.7
1986-10-01,PG,005,11.8
1986-09-01,PG,005,11.7
1986-08-01,PG,005,11.7
1986-07-01,PG,005,11.7
