date,country_code,indicator_code,value
2019-10-01,PH,001,4.41
2019-07-01,PH,001,5.67
2019-04-01,PH,001,3.29
2019-01-01,PH,001,-0.93
2018-10-01,PH,001,-0.53
2018-07-01,PH,001,1.19
2018-04-01,PH,001,1.55
2018-01-01,PH,001,6.12
2017-10-01,PH,001,-0.33
2017-07-01,PH,001,-1.91
2017-04-01,PH,001,-0.97
2017-01-01,PH,001,-3.3
2016-10-01,PH,001,4.8
2016-07-01,PH,001,4.54
2016-04-01,PH,001,3.85
2016-01-01,PH,001,5.79
2015-10-01,PH,001,2.42
2015-07-01,PH,001,1.88
2015-04-01,PH,001,1.28
2015-01-01,PH,001,5.61
2014-10-01,PH,001,0.78
2014-07-01,PH,001,0.73
2014-04-01,PH,001,2.23
2014-01-01,PH,001,-4.01
2013-10-01,PH,001,2.3
2013-07-01,PH,001,1.65
2013-04-01,PH,001,-0.06
2013-01-01,PH,001,1.62
2012-10-01,PH,001,-2.27
2012-07-01,PH,001,1.21
2012-04-01,PH,001,2.77
2012-01-01,PH,001,2.87
2011-10-01,PH,001,5.64
2011-07-01,PH,001,2.4
2011-04-01,PH,001,3.98
2011-01-01,PH,001,0.81
2010-10-01,PH,001,2.85
2010-07-01,PH,001,2.05
2010-04-01,PH,001,1.19
2010-01-01,PH,001,5.08
2009-10-01,PH,001,2.74
2009-07-01,PH,001,2.65
2009-04-01,PH,001,4.36
2009-01-01,PH,001,1.69
2008-10-01,PH,001,2.56
2008-07-01,PH,001,3.83
2008-04-01,PH,001,-0.5
2008-01-01,PH,001,0.44
2007-10-01,PH,001,2.39
2007-07-01,PH,001,1.19
2007-04-01,PH,001,3.07
2007-01-01,PH,001,4.73
2006-10-01,PH,001,0.03
2006-07-01,PH,001,1.24
2006-04-01,PH,001,1.48
2006-01-01,PH,001,1.25
2005-10-01,PH,001,3.57
2005-07-01,PH,001,2.81
2005-04-01,PH,001,2.18
2005-01-01,PH,001,0.28
2004-10-01,PH,001,0.6
2004-07-01,PH,001,3.88
2004-04-01,PH,001,3.67
2004-01-01,PH,001,4.74
2003-10-01,PH,001,4.3
2003-07-01,PH,001,1.15
2003-04-01,PH,001,0.77
2003-01-01,PH,001,1.39
2002-10-01,PH,001,0.55
2002-07-01,PH,001,2.81
2002-04-01,PH,001,3.52
2002-01-01,PH,001,5.73
2001-10-01,PH,001,8.32
2001-07-01,PH,001,5.42
2001-04-01,PH,001,3.37
2001-01-01,PH,001,1.31
2000-10-01,PH,001,0.05
2000-07-01,PH,001,-0.23
2000-04-01,PH,001,-0.03
2000-01-01,PH,001,2.16
1999-10-01,PH,001,-1.77
1999-07-01,PH,001,-0.06
1999-04-01,PH,001,1.37
1999-01-01,PH,001,-1.96
1998-10-01,PH,001,1.34
1998-07-01,PH,001,1.18
1998-04-01,PH,001,-0.95
1998-01-01,PH,001,1.3
1997-10-01,PH,001,1.63
1997-07-01,PH,001,0.41
1997-04-01,PH,001,2.73
1997-01-01,PH,001,3.05
1996-10-01,PH,001,6.79
1996-07-01,PH,001,5.09
1996-04-01,PH,001,6.35
1996-01-01,PH,001,5.29
1995-10-01,PH,001,2.12
1995-07-01,PH,001,5.52
1995-04-01,PH,001,0.63
1995-01-01,PH,001,2.11
1994-10-01,PH,001,2.95
1994-07-01,PH,001,0.9
1994-04-01,PH,001,3.87
1994-01-01,PH,001,2.92
1993-10-01,PH,001,2.2
1993-07-01,PH,001,2.54
1993-04-01,PH,001,2.82
1993-01-01,PH,001,4.08
2019-08-01,PH,002,537.0
2019-05-01,PH,002,537.0
2019-02-01,PH,002,537.0
2018-11-01,PH,002,537.0
2018-08-01,PH,002,537.0
2018-05-01,PH,002,512.0
2018-02-01,PH,002,512.0
2017-11-01,PH,002,512.0
2017-08-01,PH,002,512.0
2017-05-01,PH,002,491.0
2017-02-01,PH,002,491.0
2016-11-01,PH,002,491.0
2016-08-01,PH,002,491.0
2016-05-01,PH,002,491.0
2016-02-01,PH,002,491.0
2015-11-01,PH,002,481.0
2015-08-01,PH,002,481.0
2015-05-01,PH,002,481.0
2015-02-01,PH,002,481.0
2014-11-01,PH,002,466.0
2014-08-01,PH,002,466.0
2014-05-01,PH,002,466.0
2014-02-01,PH,002,466.0
2013-11-01,PH,002,466.0
2013-08-01,PH,002,466.0
2013-05-01,PH,002,456.0
2013-02-01,PH,002,456.0
2012-11-01,PH,002,456.0
