date,country_code,indicator_code,value
2017-04-01,PK,001,61.71
2014-04-01,PK,001,57.42
2013-04-01,PK,001,56.52
2012-04-01,PK,001,56.01
2010-04-01,PK,001,53.84
2009-04-01,PK,001,54.05
2008-04-01,PK,001,52.71
2007-04-01,PK,001,51.62
2006-04-01,PK,001,49.68
2005-04-01,PK,001,47.37
2004-04-01,PK,001,43.22
2003-04-01,PK,001,42.42
2002-04-01,PK,001,40.47
2001-04-01,PK,001,39.64
2000-04-01,PK,001,38.14
1999-04-01,PK,001,37.32
1998-04-01,PK,001,37.78
1997-04-01,PK,001,36.94
1996-04-01,PK,001,35.16
1995-04-01,PK,001,33.13
1994-04-01,PK,001,32.35
1993-04-01,PK,001,32.23
1992-04-01,PK,001,31.45
1991-04-01,PK,001,30.58
1990-04-01,PK,001,29.52
1989-04-01,PK,001,30.65
1988-04-01,PK,001,29.9
1987-04-01,PK,001,28.99
1986-04-01,PK,001,28.7
1985-04-01,PK,001,27.02
1984-04-01,PK,001,26.96
1983-04-01,PK,001,26.4
1982-04-01,PK,001,25.85
1981-04-01,PK,001,25.27
1980-04-01,PK,001,24.7
2017-04-01,PK,002,18754.0
2014-04-01,PK,002,14971.0
2013-04-01,PK,002,13155.0
2012-04-01,PK,002,12118.0
2010-04-01,PK,002,9715.0
2009-04-01,PK,002,8623.0
2008-04-01,PK,002,7635.0
2007-04-01,PK,002,6612.0
2018-01-01,PK,004,3043923.0
2017-01-01,PK,004,2635927.0
2016-01-01,PK,004,2659178.0
2015-01-01,PK,004,2910171.0
2014-01-01,PK,004,3081312.0
2013-01-01,PK,004,2972178.0
2012-01-01,PK,004,2485097.0
2011-01-01,PK,004,2552610.0
2010-01-01,PK,004,2009463.0
2009-01-01,PK,004,1636203.0
2008-01-01,PK,004,1317202.0
2007-01-01,PK,004,1221002.0
2006-01-01,PK,004,1161269.0
2005-01-01,PK,004,1099105.0
2004-01-01,PK,004,952441.0
2003-01-01,PK,004,878563.0
2002-01-01,PK,004,730581.0
2001-01-01,PK,004,665152.0
2000-01-01,PK,004,554282.0
1999-01-01,PK,004,591132.0
1998-01-01,PK,004,578372.0
1997-01-01,PK,004,511697.0
1996-01-01,PK,004,469577.0
1995-01-01,PK,004,408544.0
1994-01-01,PK,004,333060.0
1993-01-01,PK,004,284822.0
1992-01-01,PK,004,274133.0
1991-01-01,PK,004,226435.0
1990-01-01,PK,004,165861.0
1989-01-01,PK,004,141929.0
1988-01-01,PK,004,122645.0
1987-01-01,PK,004,103587.0
1986-01-01,PK,004,82900.0
1985-01-01,PK,004,65369.0
1984-01-01,PK,004,62678.0
1983-01-01,PK,004,58171.0
1982-01-01,PK,004,43283.0
1981-01-01,PK,004,46787.0
1980-01-01,PK,004,38634.0
1979-01-01,PK,004,28209.0
1978-01-01,PK,004,23993.0
1977-01-01,PK,004,20896.0
1976-01-01,PK,004,18280.0
1975-01-01,PK,004,16307.0
1974-01-01,PK,004,12896.0
1973-01-01,PK,004,9646.0
1972-01-01,PK,004,7331.0
