date,country_code,indicator_code,value
2017-07-01,PL,001,-56.0
2017-04-01,PL,001,145.0
2017-01-01,PL,001,544.5
2016-10-01,PL,001,61.8
2016-07-01,PL,001,83.4
2016-04-01,PL,001,170.3
2016-01-01,PL,001,-267.4
2015-10-01,PL,001,45.9
2015-07-01,PL,001,247.7
2015-04-01,PL,001,149.1
2015-01-01,PL,001,-180.7
2014-10-01,PL,001,-45.2
2014-07-01,PL,001,269.4
2014-04-01,PL,001,220.3
2014-01-01,PL,001,-140.3
2013-10-01,PL,001,-25.0
2013-07-01,PL,001,208.2
2013-04-01,PL,001,239.3
2013-01-01,PL,001,-345.3
2012-10-01,PL,001,-85.9
2012-07-01,PL,001,114.5
2012-04-01,PL,001,210.0
2012-01-01,PL,001,-215.4
2011-10-01,PL,001,-84.5
2011-07-01,PL,001,117.6
2011-04-01,PL,001,220.9
2011-01-01,PL,001,-197.8
2010-10-01,PL,001,-124.1
2010-07-01,PL,001,202.3
2010-04-01,PL,001,301.6
2010-01-01,PL,001,-708.3
2009-10-01,PL,001,-141.1
2009-07-01,PL,001,179.8
2009-04-01,PL,001,132.1
2009-01-01,PL,001,-291.0
2008-10-01,PL,001,15.3
2008-07-01,PL,001,300.9
2008-04-01,PL,001,174.1
2008-01-01,PL,001,-23.0
2007-10-01,PL,001,105.7
2007-07-01,PL,001,280.0
2007-04-01,PL,001,313.0
2007-01-01,PL,001,-72.0
2006-10-01,PL,001,5.8
2006-07-01,PL,001,446.1
2006-04-01,PL,001,361.2
2006-01-01,PL,001,-291.2
2005-10-01,PL,001,30.9
2005-07-01,PL,001,411.2
2005-04-01,PL,001,180.2
2005-01-01,PL,001,-291.1
2004-10-01,PL,001,88.4
2004-07-01,PL,001,287.5
2004-04-01,PL,001,217.1
2004-01-01,PL,001,-252.9
2003-10-01,PL,001,-26.0
2003-07-01,PL,001,87.3
2003-04-01,PL,001,308.7
2003-01-01,PL,001,-374.1
2002-10-01,PL,001,-165.9
2002-07-01,PL,001,67.8
2002-04-01,PL,001,123.2
2002-01-01,PL,001,0.0
2001-10-01,PL,001,-345.6
2001-07-01,PL,001,-340.3
2001-04-01,PL,001,131.2
2001-01-01,PL,001,104.6
2000-10-01,PL,001,-392.5
2000-07-01,PL,001,-187.1
2000-04-01,PL,001,209.2
2000-01-01,PL,001,199.0
1999-10-01,PL,001,-257.4
1999-01-01,PL,001,1.1
1998-10-01,PL,001,-668.1
1998-07-01,PL,001,244.0
1998-04-01,PL,001,-0.200000000001
1998-01-01,PL,001,49.2
1997-10-01,PL,001,-165.0
1997-07-01,PL,001,347.0
1997-04-01,PL,001,0.199999999999
1997-01-01,PL,001,29.8
1996-10-01,PL,001,-267.0
1996-07-01,PL,001,450.0
1996-04-01,PL,001,439.0
1996-01-01,PL,001,-290.0
1995-10-01,PL,001,-294.0
1995-07-01,PL,001,175.0
1995-04-01,PL,001,452.0
1995-01-01,PL,001,-309.0
1994-10-01,PL,001,-143.0
1994-07-01,PL,001,242.0
1994-04-01,PL,001,301.0
1994-01-01,PL,001,-425.0
1993-10-01,PL,001,-371.0
1993-07-01,PL,001,323.0
1993-04-01,PL,001,-21.0
1993-01-01,PL,001,1326.0
1992-10-01,PL,001,-14.0
1992-07-01,PL,001,67.0
2020-02-01,PL,002,153.75
2020-01-01,PL,002,150.87
2019-12-01,PL,002,165.77
2019-11-01,PL,002,152.79
2019-10-01,PL,002,148.94
2019-09-01,PL,002,146.42
2019-08-01,PL,002,147.74
2019-07-01,PL,002,151.23
2019-06-01,PL,002,148.34
2019-05-01,PL,002,145.22
2019-04-01,PL,002,149.54
2019-03-01,PL,002,148.1
2019-02-01,PL,002,143.17
2019-01-01,PL,002,141.37
2018-12-01,PL,002,155.92
2018-11-01,PL,002,146.54
2018-10-01,PL,002,141.13
2018-09-01,PL,002,137.52
2018-08-01,PL,002,138.73
2018-07-01,PL,002,140.29
2018-06-01,PL,002,142.93
2018-05-01,PL,002,134.88
2018-04-01,PL,002,139.33
2018-03-01,PL,002,140.77
2018-02-01,PL,002,131.99
2018-01-01,PL,002,130.91
2017-12-01,PL,002,146.78
2017-11-01,PL,002,135.6
2017-10-01,PL,002,130.43
2017-09-01,PL,002,128.63
2017-08-01,PL,002,130.67
2017-07-01,PL,002,129.95
2017-06-01,PL,002,131.99
2017-05-01,PL,002,126.1
2017-04-01,PL,002,127.79
2017-03-01,PL,002,132.96
2017-02-01,PL,002,123.7
2017-01-01,PL,002,122.5
2016-12-01,PL,002,135.96
2016-11-01,PL,002,127.91
2016-10-01,PL,002,121.53
2016-09-01,PL,002,121.66
2016-08-01,PL,002,122.02
2016-07-01,PL,002,125.62
2016-06-01,PL,002,124.42
2016-05-01,PL,002,118.89
2016-04-01,PL,002,122.74
2016-03-01,PL,002,126.1
2016-02-01,PL,002,119.49
2016-01-01,PL,002,117.93
2015-12-01,PL,002,135.24
2015-11-01,PL,002,123.82
2015-10-01,PL,002,118.65
2015-09-01,PL,002,117.57
2015-08-01,PL,002,116.85
2015-07-01,PL,002,118.53
2015-06-01,PL,002,118.05
2015-05-01,PL,002,115.52
2015-04-01,PL,002,119.61
2015-03-01,PL,002,123.22
2015-02-01,PL,002,115.28
2015-01-01,PL,002,113.96
2014-12-01,PL,002,132.99
2014-11-01,PL,002,119.17
2014-10-01,PL,002,115.46
2014-09-01,PL,002,114.06
2014-08-01,PL,002,114.26
2014-07-01,PL,002,116.87
2014-06-01,PL,002,117.27
2014-05-01,PL,002,112.96
2014-04-01,PL,002,116.26
2014-03-01,PL,002,117.07
2014-02-01,PL,002,114.06
2014-01-01,PL,002,110.86
2013-12-01,PL,002,129.08
2013-11-01,PL,002,117.87
2013-10-01,PL,002,111.66
2013-09-01,PL,002,110.86
2013-08-01,PL,002,110.16
2013-07-01,PL,002,114.16
2013-06-01,PL,002,113.96
2013-05-01,PL,002,107.65
2013-04-01,PL,002,111.36
2013-03-01,PL,002,112.26
2013-02-01,PL,002,109.96
2013-01-01,PL,002,107.15
2012-12-01,PL,002,126.08
2012-11-01,PL,002,113.76
2012-10-01,PL,002,107.65
2012-09-01,PL,002,105.95
2012-08-01,PL,002,108.95
2012-07-01,PL,002,109.05
2012-06-01,PL,002,112.76
2012-05-01,PL,002,105.85
2012-04-01,PL,002,107.95
2012-03-01,PL,002,110.76
2012-02-01,PL,002,103.35
2012-01-01,PL,002,107.95
2011-12-01,PL,002,121.57
2011-11-01,PL,002,109.56
2011-10-01,PL,002,103.15
2011-09-01,PL,002,103.95
2011-08-01,PL,002,105.95
2011-07-01,PL,002,106.45
2011-06-01,PL,002,107.05
2011-05-01,PL,002,101.14
2011-04-01,PL,002,104.65
2011-03-01,PL,002,104.65
2011-02-01,PL,002,100.34
2011-01-01,PL,002,97.14
2010-12-01,PL,002,115.76
2010-11-01,PL,002,105.35
2010-10-01,PL,002,97.94
2010-09-01,PL,002,98.94
2010-08-01,PL,002,99.44
2010-07-01,PL,002,99.64
2010-06-01,PL,002,99.04
2010-05-01,PL,002,97.24
2010-04-01,PL,002,96.94
2010-03-01,PL,002,101.34
2010-02-01,PL,002,96.44
2010-01-01,PL,002,91.93
2009-12-01,PL,002,107.24
2009-11-01,PL,002,99.42
2009-10-01,PL,002,93.48
2009-09-01,PL,002,94.37
2009-08-01,PL,002,93.65
2009-07-01,PL,002,96.17
2009-06-01,PL,002,95.51
2009-05-01,PL,002,91.51
2009-04-01,PL,002,93.35
2009-03-01,PL,002,94.92
2009-02-01,PL,002,91.79
2009-01-01,PL,002,90.75
2008-12-01,PL,002,97.57
2008-11-01,PL,002,97.0
2008-10-01,PL,002,91.02
2008-09-01,PL,002,90.14
2008-08-01,PL,002,89.79
2008-07-01,PL,002,92.29
2008-06-01,PL,002,92.9
2008-05-01,PL,002,87.07
2008-04-01,PL,002,88.99
2008-03-01,PL,002,89.8
2008-02-01,PL,002,87.5
2008-01-01,PL,002,84.66
2007-12-01,PL,002,93.01
2007-11-01,PL,002,90.48
2007-10-01,PL,002,82.53
2007-09-01,PL,002,81.64
2007-08-01,PL,002,82.68
2007-07-01,PL,002,82.99
2007-06-01,PL,002,83.54
2007-05-01,PL,002,79.22
2007-04-01,PL,002,79.04
2007-03-01,PL,002,82.23
2007-02-01,PL,002,77.99
2007-01-01,PL,002,77.1
2006-12-01,PL,002,88.24
2006-11-01,PL,002,80.35
2006-10-01,PL,002,74.88
2006-09-01,PL,002,74.9
2006-08-01,PL,002,75.23
2006-07-01,PL,002,77.27
2006-06-01,PL,002,75.94
2006-05-01,PL,002,73.35
2006-04-01,PL,002,73.66
2006-03-01,PL,002,75.1
2006-02-01,PL,002,73.3
2006-01-01,PL,002,70.67
2005-12-01,PL,002,80.73
2005-11-01,PL,002,78.62
2005-10-01,PL,002,71.38
2005-09-01,PL,002,71.26
2005-08-01,PL,002,71.31
2005-07-01,PL,002,72.02
2005-06-01,PL,002,72.88
2005-05-01,PL,002,69.2
2005-04-01,PL,002,70.5
2005-03-01,PL,002,71.52
2005-02-01,PL,002,69.87
2005-01-01,PL,002,68.54
2004-12-01,PL,002,81.47
2004-11-01,PL,002,71.74
2004-10-01,PL,002,67.86
2004-09-01,PL,002,68.32
2004-08-01,PL,002,69.44
2004-07-01,PL,002,70.19
2004-06-01,PL,002,69.48
2004-05-01,PL,002,66.54
2004-04-01,PL,002,70.01
2004-03-01,PL,002,69.85
2004-02-01,PL,002,68.97
