date,country_code,indicator_code,value
2018-01-01,PR,004,14111.0
2017-01-01,PR,004,25153.0
2016-01-01,PR,004,28426.0
2015-01-01,PR,004,26402.0
2014-01-01,PR,004,19727.0
2013-01-01,PR,004,17257.0
2012-01-01,PR,004,11775.0
2011-01-01,PR,004,19616.0
2010-01-01,PR,004,20847.0
2009-01-01,PR,004,20156.0
2008-01-01,PR,004,19025.0
2007-01-01,PR,004,14745.0
2006-01-01,PR,004,17489.0
2005-01-01,PR,004,17638.0
2004-01-01,PR,004,16183.0
2003-01-01,PR,004,21426.0
2002-01-01,PR,004,18188.0
2001-01-01,PR,004,17752.0
2000-01-01,PR,004,11423.0
1999-01-01,PR,004,9602.0
1998-01-01,PR,004,8475.0
1997-01-01,PR,004,2559.0
1996-01-01,PR,004,3884.0
1995-01-01,PR,004,4995.0
1994-01-01,PR,004,5098.0
1993-01-01,PR,004,3405.0
1992-01-01,PR,004,5664.0
1991-01-01,PR,004,5419.0
1990-01-01,PR,004,3584.0
1989-01-01,PR,004,2312.0
1988-01-01,PR,004,2094.0
1987-01-01,PR,004,1344.0
1986-01-01,PR,004,1473.0
1985-01-01,PR,004,432.0
1984-01-01,PR,004,-382.0
1983-01-01,PR,004,14.0
1982-01-01,PR,004,391.0
1981-01-01,PR,004,-1146.0
1980-01-01,PR,004,-1625.0
1979-01-01,PR,004,-1353.0
1978-01-01,PR,004,-1788.0
1977-01-01,PR,004,-1628.0
1976-01-01,PR,004,-2086.0
1975-01-01,PR,004,-1812.0
1974-01-01,PR,004,-923.0
1973-01-01,PR,004,-1031.0
1972-01-01,PR,004,-1134.0
1971-01-01,PR,004,-1082.0
2019-08-01,PR,006,239.0
2019-07-01,PR,006,239.0
2019-06-01,PR,006,262.0
2019-05-01,PR,006,258.0
2019-04-01,PR,006,285.0
2019-03-01,PR,006,247.0
2019-02-01,PR,006,268.0
2019-01-01,PR,006,220.0
2018-12-01,PR,006,256.0
2018-11-01,PR,006,265.0
2018-10-01,PR,006,282.0
2018-09-01,PR,006,279.0
2018-08-01,PR,006,297.0
2018-07-01,PR,006,288.0
2018-06-01,PR,006,281.0
2018-05-01,PR,006,322.0
2018-04-01,PR,006,284.0
2018-03-01,PR,006,320.0
2018-02-01,PR,006,271.0
2018-01-01,PR,006,249.0
2017-12-01,PR,006,238.0
2017-11-01,PR,006,187.0
2017-10-01,PR,006,95.0
2017-09-01,PR,006,85.0
2017-08-01,PR,006,360.0
2017-07-01,PR,006,258.0
2017-06-01,PR,006,350.0
2017-05-01,PR,006,359.0
2017-04-01,PR,006,338.0
2017-03-01,PR,006,410.0
2017-02-01,PR,006,377.0
2017-01-01,PR,006,272.0
2016-12-01,PR,006,294.0
2016-11-01,PR,006,323.0
2016-10-01,PR,006,378.0
2016-09-01,PR,006,385.0
2016-08-01,PR,006,415.0
2016-07-01,PR,006,362.0
2016-06-01,PR,006,393.0
2016-05-01,PR,006,395.0
2016-04-01,PR,006,440.0
2016-03-01,PR,006,384.0
2016-02-01,PR,006,430.0
2016-01-01,PR,006,307.0
