date,country_code,indicator_code,value
2020-02-01,PT,001,4803.6
2020-01-01,PT,001,4815.4
2019-12-01,PT,001,4817.6
2019-11-01,PT,001,4848.0
2019-10-01,PT,001,4870.8
2019-09-01,PT,001,4880.2
2019-08-01,PT,001,4886.3
2019-07-01,PT,001,4879.5
2019-06-01,PT,001,4868.3
2019-05-01,PT,001,4855.1
2019-04-01,PT,001,4838.7
2019-03-01,PT,001,4818.0
2019-02-01,PT,001,4813.1
2019-01-01,PT,001,4807.6
2018-12-01,PT,001,4813.3
2018-11-01,PT,001,4814.1
2018-10-01,PT,001,4823.9
2018-09-01,PT,001,4824.0
2018-08-01,PT,001,4832.5
2018-07-01,PT,001,4844.5
2018-06-01,PT,001,4853.3
2018-05-01,PT,001,4811.5
2018-04-01,PT,001,4790.3
2018-03-01,PT,001,4760.0
2018-02-01,PT,001,4746.9
2018-01-01,PT,001,4736.0
2017-12-01,PT,001,4741.9
2017-11-01,PT,001,4743.6
2017-10-01,PT,001,4732.7
2017-09-01,PT,001,4725.9
2017-08-01,PT,001,4736.7
2017-07-01,PT,001,4742.3
2017-06-01,PT,001,4719.8
2017-05-01,PT,001,4693.1
2017-04-01,PT,001,4668.5
2017-03-01,PT,001,4634.6
2017-02-01,PT,001,4599.5
2017-01-01,PT,001,4569.0
2016-12-01,PT,001,4574.7
2016-11-01,PT,001,4577.9
2016-10-01,PT,001,4587.0
2016-09-01,PT,001,4578.9
2016-08-01,PT,001,4597.8
2016-07-01,PT,001,4605.2
2016-06-01,PT,001,4581.2
2016-05-01,PT,001,4542.4
2016-04-01,PT,001,4513.0
2016-03-01,PT,001,4474.5
2016-02-01,PT,001,4452.1
2016-01-01,PT,001,4450.7
2015-12-01,PT,001,4460.4
2015-11-01,PT,001,4495.2
2015-10-01,PT,001,4492.8
2015-09-01,PT,001,4488.2
2015-08-01,PT,001,4506.3
2015-07-01,PT,001,4524.1
2015-06-01,PT,001,4525.7
2015-05-01,PT,001,4510.4
2015-04-01,PT,001,4468.6
2015-03-01,PT,001,4448.2
2015-02-01,PT,001,4409.1
2015-01-01,PT,001,4388.0
2014-12-01,PT,001,4397.6
2014-11-01,PT,001,4427.7
2014-10-01,PT,001,4438.0
2014-09-01,PT,001,4466.7
2014-08-01,PT,001,4481.1
2014-07-01,PT,001,4473.3
2014-06-01,PT,001,4464.3
