date,country_code,indicator_code,value
2018-01-01,PW,004,133.0
2017-01-01,PW,004,142.0
2016-01-01,PW,004,155.0
2015-01-01,PW,004,164.0
2014-01-01,PW,004,148.0
2013-01-01,PW,004,132.0
2012-01-01,PW,004,128.0
2011-01-01,PW,004,109.0
2010-01-01,PW,004,92.0
2009-01-01,PW,004,85.0
2008-01-01,PW,004,99.0
2007-01-01,PW,004,92.0
2006-01-01,PW,004,91.0
2005-01-01,PW,004,84.0
2004-01-01,PW,004,68.0
2003-01-01,PW,004,63.0
2002-01-01,PW,004,75.0
2001-01-01,PW,004,70.0
2000-01-01,PW,004,64.0
2016-01-01,PW,012,16.0
2015-01-01,PW,012,17.6
2014-01-01,PW,012,32.6
2013-01-01,PW,012,19.5
2012-01-01,PW,012,22.9
2011-01-01,PW,012,16.8
2010-01-01,PW,012,26.1
2009-01-01,PW,012,14.5
2008-01-01,PW,012,27.0
2007-01-01,PW,012,40.2
2006-01-01,PW,012,46.3
2005-01-01,PW,012,46.9
2004-01-01,PW,012,39.3
2003-01-01,PW,012,40.5
2002-01-01,PW,012,34.1
2001-01-01,PW,012,31.5
2000-01-01,PW,012,28.7
2018-01-01,PW,019,3.0
2017-01-01,PW,019,1.0
2016-01-01,PW,019,-2.0
2015-01-01,PW,019,-5.0
2014-01-01,PW,019,-2.0
2013-01-01,PW,019,1.0
2012-01-01,PW,019,1.0
2011-01-01,PW,019,1.0
2010-01-01,PW,019,1.0
2009-01-01,PW,019,0.0
2008-01-01,PW,019,0.0
2007-01-01,PW,019,0.0
2006-01-01,PW,019,0.0
2005-01-01,PW,019,1.0
2004-01-01,PW,019,-2.0
2003-01-01,PW,019,-2.0
2002-01-01,PW,019,-2.0
2001-01-01,PW,019,-2.0
2000-01-01,PW,019,-2.0
2017-10-01,PW,034,119.42
2017-07-01,PW,034,117.78
2017-04-01,PW,034,117.69
2017-01-01,PW,034,117.78
2016-10-01,PW,034,117.2
2016-07-01,PW,034,117.4
2016-04-01,PW,034,116.05
2016-01-01,PW,034,116.05
2015-10-01,PW,034,116.72
2015-07-01,PW,034,117.01
2015-04-01,PW,034,117.11
