date,country_code,indicator_code,value
2015-10-01,PY,001,-6.57
2015-07-01,PY,001,3.6
2015-04-01,PY,001,-0.83
2015-01-01,PY,001,52.74
2014-10-01,PY,001,17.09
2014-07-01,PY,001,11.57
2014-04-01,PY,001,-14.82
2014-01-01,PY,001,19.19
2013-10-01,PY,001,-9.34
2013-07-01,PY,001,17.02
2013-04-01,PY,001,21.48
2013-01-01,PY,001,34.75
2012-10-01,PY,001,6.08
2012-07-01,PY,001,5.54
2012-04-01,PY,001,33.61
2012-01-01,PY,001,-27.83
2011-10-01,PY,001,35.19
2011-07-01,PY,001,-23.41
2011-04-01,PY,001,35.07
2011-01-01,PY,001,16.6
2010-10-01,PY,001,13.95
2010-07-01,PY,001,-37.74
2010-04-01,PY,001,33.71
2019-01-01,PY,004,445196.0
2018-01-01,PY,004,812982.0
2017-01-01,PY,004,1872239.0
2016-01-01,PY,004,2197274.0
2015-01-01,PY,004,787596.0
2014-01-01,PY,004,1026025.0
2013-01-01,PY,004,1662314.0
2012-01-01,PY,004,570795.0
2011-01-01,PY,004,854200.0
2010-01-01,PY,004,881688.0
2009-01-01,PY,004,1123680.0
2008-01-01,PY,004,1049841.0
2007-01-01,PY,004,1504067.0
2006-01-01,PY,004,1129765.0
2005-01-01,PY,004,1163716.0
2004-01-01,PY,004,1146632.0
2003-01-01,PY,004,1117867.0
2002-01-01,PY,004,1241352.0
2001-01-01,PY,004,884830.0
2000-01-01,PY,004,900011.0
1999-01-01,PY,004,989635.0
1998-01-01,PY,004,1020636.0
1997-01-01,PY,004,465846.0
1996-01-01,PY,004,611949.0
1995-01-01,PY,004,919447.0
1994-01-01,PY,004,726286.0
1993-01-01,PY,004,980295.0
1992-01-01,PY,004,958542.0
1991-01-01,PY,004,1133434.0
1990-01-01,PY,004,1122083.0
1989-01-01,PY,004,707876.0
1988-01-01,PY,004,380723.0
1987-01-01,PY,004,28897.0
1986-01-01,PY,004,-42434.0
1985-01-01,PY,004,-65492.0
1984-01-01,PY,004,-178552.0
1983-01-01,PY,004,-209087.0
1982-01-01,PY,004,-251690.0
1981-01-01,PY,004,-210570.0
1980-01-01,PY,004,-206912.0
1979-01-01,PY,004,-132545.0
1978-01-01,PY,004,-60754.0
1977-01-01,PY,004,23514.0
1976-01-01,PY,004,1616.0
1975-01-01,PY,004,-1650.0
1974-01-01,PY,004,-1590.0
1973-01-01,PY,004,22137.0
1972-01-01,PY,004,16339.0
1971-01-01,PY,004,-5068.0
1970-01-01,PY,004,236.0
1969-01-01,PY,004,-19476.0
1968-01-01,PY,004,-13920.0
1967-01-01,PY,004,-12394.0
1966-01-01,PY,004,-822.0
1965-01-01,PY,004,9908.0
1964-01-01,PY,004,16002.0
1963-01-01,PY,004,7586.0
1962-01-01,PY,004,-1234.0
1961-01-01,PY,004,-4057.0
1960-01-01,PY,004,-5485.0
1959-01-01,PY,004,5002.0
1958-01-01,PY,004,1510.0
1957-01-01,PY,004,5535.0
1956-01-01,PY,004,12066.0
1955-01-01,PY,004,6142.0
1954-01-01,PY,004,1086.0
2017-03-01,PY,005,17.42
2017-02-01,PY,005,18.25
2017-01-01,PY,005,18.56
2016-12-01,PY,005,16.87
2016-11-01,PY,005,17.63
2016-10-01,PY,005,17.78
2016-09-01,PY,005,17.92
2016-08-01,PY,005,17.45
2016-07-01,PY,005,18.06
2016-06-01,PY,005,18.28
2016-05-01,PY,005,18.13
2016-04-01,PY,005,18.77
2016-03-01,PY,005,18.38
2016-02-01,PY,005,18.82
2016-01-01,PY,005,18.83
2015-12-01,PY,005,17.56
2015-11-01,PY,005,18.32
2015-10-01,PY,005,17.25
2015-09-01,PY,005,19.64
2015-08-01,PY,005,20.14
2015-07-01,PY,005,20.22
2015-06-01,PY,005,20.49
2015-05-01,PY,005,20.42
2015-04-01,PY,005,20.77
2015-03-01,PY,005,20.58
2015-02-01,PY,005,20.66
2015-01-01,PY,005,20.79
2014-12-01,PY,005,19.92
2014-11-01,PY,005,20.57
2014-10-01,PY,005,20.57
2014-09-01,PY,005,20.45
2014-08-01,PY,005,20.7
2014-07-01,PY,005,20.77
2014-06-01,PY,005,20.6
2014-05-01,PY,005,21.14
2014-04-01,PY,005,21.45
2014-03-01,PY,005,21.58
2014-02-01,PY,005,22.79
2014-01-01,PY,005,23.7
2013-12-01,PY,005,21.11
2013-11-01,PY,005,21.66
2013-10-01,PY,005,21.22
2013-09-01,PY,005,22.12
2013-08-01,PY,005,21.73
2013-07-01,PY,005,17.58
2013-06-01,PY,005,17.07
2013-05-01,PY,005,17.64
2013-04-01,PY,005,17.93
2013-03-01,PY,005,17.29
2013-02-01,PY,005,18.12
2013-01-01,PY,005,17.78
2012-12-01,PY,005,16.56
2012-11-01,PY,005,17.08
2012-10-01,PY,005,17.77
2012-09-01,PY,005,17.48
2012-08-01,PY,005,17.3
2012-07-01,PY,005,17.4
2012-06-01,PY,005,15.06
2012-05-01,PY,005,16.99
2012-04-01,PY,005,17.46
2012-03-01,PY,005,17.6
2012-02-01,PY,005,17.71
2012-01-01,PY,005,17.48
2011-12-01,PY,005,16.72
2011-11-01,PY,005,17.55
2011-10-01,PY,005,18.02
2011-09-01,PY,005,17.19
2011-08-01,PY,005,17.93
2011-07-01,PY,005,17.98
2011-06-01,PY,005,17.88
2011-05-01,PY,005,18.88
2011-04-01,PY,005,17.21
2011-03-01,PY,005,17.23
2011-02-01,PY,005,16.48
2011-01-01,PY,005,15.72
2010-12-01,PY,005,27.11
2010-11-01,PY,005,26.22
2010-10-01,PY,005,25.54
2010-09-01,PY,005,25.46
2010-08-01,PY,005,24.85
2010-07-01,PY,005,24.74
2010-06-01,PY,005,24.78
2010-05-01,PY,005,25.43
2010-04-01,PY,005,25.77
2010-03-01,PY,005,25.93
2010-02-01,PY,005,26.74
2010-01-01,PY,005,29.86
2009-12-01,PY,005,26.23
2009-11-01,PY,005,27.29
2009-10-01,PY,005,28.16
2009-09-01,PY,005,26.64
2009-08-01,PY,005,27.13
2009-07-01,PY,005,27.36
2009-06-01,PY,005,26.59
2009-05-01,PY,005,28.17
2009-04-01,PY,005,28.45
2009-03-01,PY,005,29.46
2009-02-01,PY,005,31.2
2009-01-01,PY,005,32.41
2008-12-01,PY,005,29.5
2008-11-01,PY,005,30.04
2008-10-01,PY,005,27.94
2008-09-01,PY,005,26.29
2008-08-01,PY,005,26.42
2008-07-01,PY,005,26.66
2008-06-01,PY,005,25.88
2008-05-01,PY,005,26.27
2008-04-01,PY,005,23.83
2008-03-01,PY,005,24.98
2008-02-01,PY,005,20.63
2008-01-01,PY,005,21.26
2007-12-01,PY,005,17.82
2007-11-01,PY,005,18.12
2007-10-01,PY,005,22.36
2007-09-01,PY,005,24.78
2007-08-01,PY,005,22.8
2007-07-01,PY,005,25.87
2007-06-01,PY,005,21.26
2007-05-01,PY,005,27.04
2007-04-01,PY,005,28.85
2007-03-01,PY,005,28.97
2007-02-01,PY,005,31.84
2007-01-01,PY,005,30.59
2006-12-01,PY,005,26.51
2006-11-01,PY,005,28.45
2006-10-01,PY,005,28.47
2006-09-01,PY,005,31.45
2006-08-01,PY,005,30.81
2006-07-01,PY,005,31.25
2006-06-01,PY,005,30.72
2006-05-01,PY,005,31.31
2006-04-01,PY,005,32.96
2006-03-01,PY,005,29.36
2006-02-01,PY,005,31.64
2006-01-01,PY,005,28.78
2005-12-01,PY,005,26.62
2005-11-01,PY,005,28.24
2005-10-01,PY,005,28.6
2005-09-01,PY,005,28.94
2005-08-01,PY,005,29.57
2005-07-01,PY,005,29.78
2005-06-01,PY,005,28.93
2005-05-01,PY,005,32.51
2005-04-01,PY,005,33.78
2005-03-01,PY,005,33.22
2005-02-01,PY,005,34.32
2005-01-01,PY,005,24.43
2004-12-01,PY,005,22.53
2004-11-01,PY,005,25.52
2004-10-01,PY,005,27.23
2004-09-01,PY,005,27.18
2004-08-01,PY,005,32.29
2004-07-01,PY,005,31.32
2004-06-01,PY,005,33.19
2004-05-01,PY,005,35.92
2004-04-01,PY,005,41.19
2004-03-01,PY,005,46.8
2004-02-01,PY,005,40.41
2004-01-01,PY,005,38.94
2003-12-01,PY,005,36.22
2003-11-01,PY,005,44.02
2003-10-01,PY,005,43.76
2003-09-01,PY,005,44.26
2003-08-01,PY,005,51.3
2003-07-01,PY,005,51.85
2003-06-01,PY,005,48.77
2003-05-01,PY,005,52.17
2003-04-01,PY,005,57.43
2003-03-01,PY,005,55.69
2003-02-01,PY,005,57.63
2003-01-01,PY,005,56.77
2002-12-01,PY,005,53.64
2002-11-01,PY,005,50.35
2002-10-01,PY,005,53.85
2002-09-01,PY,005,44.82
2002-08-01,PY,005,39.12
2002-07-01,PY,005,33.16
2002-06-01,PY,005,31.01
2002-05-01,PY,005,31.61
2002-04-01,PY,005,31.38
2002-03-01,PY,005,32.49
2002-02-01,PY,005,31.88
2002-01-01,PY,005,30.56
2001-12-01,PY,005,31.39
2001-11-01,PY,005,30.5
2001-10-01,PY,005,29.52
2001-09-01,PY,005,30.13
2001-08-01,PY,005,30.24
2001-07-01,PY,005,27.58
2001-06-01,PY,005,26.77
2001-05-01,PY,005,26.81
2001-04-01,PY,005,26.65
2001-03-01,PY,005,26.88
2001-02-01,PY,005,26.13
2001-01-01,PY,005,26.44
2000-12-01,PY,005,26.44
2000-11-01,PY,005,26.4
2000-10-01,PY,005,25.86
2000-09-01,PY,005,27.29
2000-08-01,PY,005,25.7
2000-07-01,PY,005,25.45
2000-06-01,PY,005,25.72
2000-05-01,PY,005,23.98
2000-04-01,PY,005,27.25
2000-03-01,PY,005,28.64
2000-02-01,PY,005,27.46
2000-01-01,PY,005,31.19
1999-12-01,PY,005,28.67
1999-11-01,PY,005,26.58
1999-10-01,PY,005,27.1
1999-09-01,PY,005,27.39
1999-08-01,PY,005,29.55
1999-07-01,PY,005,31.24
1999-06-01,PY,005,30.48
1999-05-01,PY,005,32.82
1999-04-01,PY,005,35.04
1999-03-01,PY,005,30.9
1999-02-01,PY,005,31.79
1999-01-01,PY,005,30.94
1998-12-01,PY,005,32.0
1998-11-01,PY,005,31.74
1998-10-01,PY,005,30.78
1998-09-01,PY,005,30.39
1998-08-01,PY,005,30.83
1998-07-01,PY,005,31.64
1998-06-01,PY,005,31.52
1998-05-01,PY,005,30.75
1998-04-01,PY,005,30.36
1998-03-01,PY,005,29.45
1998-02-01,PY,005,29.23
1998-01-01,PY,005,27.16
1997-12-01,PY,005,27.11
1997-11-01,PY,005,26.18
1997-10-01,PY,005,25.16
1997-09-01,PY,005,29.77
1997-08-01,PY,005,27.63
1997-07-01,PY,005,27.31
1997-06-01,PY,005,28.19
1997-05-01,PY,005,26.83
1997-04-01,PY,005,29.24
1997-03-01,PY,005,28.38
1997-02-01,PY,005,28.6
1997-01-01,PY,005,29.04
1996-12-01,PY,005,30.55
1996-11-01,PY,005,30.42
1996-10-01,PY,005,30.62
1996-09-01,PY,005,30.51
1996-08-01,PY,005,32.02
1996-07-01,PY,005,32.79
1996-06-01,PY,005,32.64
1996-05-01,PY,005,32.27
1996-04-01,PY,005,32.64
1996-03-01,PY,005,33.82
1996-02-01,PY,005,32.42
1996-01-01,PY,005,31.9
1995-12-01,PY,005,33.27
1995-11-01,PY,005,34.06
1995-10-01,PY,005,33.35
1995-09-01,PY,005,33.33
1995-08-01,PY,005,33.33
1995-07-01,PY,005,32.54
1995-06-01,PY,005,34.88
1995-05-01,PY,005,34.74
1995-04-01,PY,005,35.47
1995-03-01,PY,005,32.8
1995-02-01,PY,005,33.98
1995-01-01,PY,005,35.58
1994-12-01,PY,005,34.38
1994-11-01,PY,005,34.66
1994-10-01,PY,005,35.26
1994-09-01,PY,005,35.28
1994-08-01,PY,005,34.46
1994-07-01,PY,005,33.51
1994-06-01,PY,005,34.7
1994-05-01,PY,005,35.82
1994-04-01,PY,005,38.35
1994-03-01,PY,005,35.01
1994-02-01,PY,005,37.83
1994-01-01,PY,005,36.35
2020-03-01,PY,007,51451327.0
2020-02-01,PY,007,49484151.0
2020-01-01,PY,007,47870987.0
2019-12-01,PY,007,44402234.0
2019-11-01,PY,007,46336250.0
2019-10-01,PY,007,47029057.0
2019-09-01,PY,007,45518281.0
2019-08-01,PY,007,45521266.0
2019-07-01,PY,007,44323939.0
2019-06-01,PY,007,45895315.0
2019-05-01,PY,007,44919828.0
2019-04-01,PY,007,45895023.0
2019-03-01,PY,007,45127544.0
2019-02-01,PY,007,45210598.0
2019-01-01,PY,007,41354294.0
2018-12-01,PY,007,40444026.0
2018-11-01,PY,007,40168402.0
2018-10-01,PY,007,40790956.0
2018-09-01,PY,007,41516837.0
2018-08-01,PY,007,42654384.0
2018-07-01,PY,007,43792657.0
2018-06-01,PY,007,44639855.0
2018-05-01,PY,007,46476642.0
2018-04-01,PY,007,45517763.0
2018-03-01,PY,007,44824023.0
2018-02-01,PY,007,40740073.0
2018-01-01,PY,007,39925581.0
2017-12-01,PY,007,40435873.0
2017-11-01,PY,007,40870132.0
2017-10-01,PY,007,41175933.0
2017-09-01,PY,007,41897198.0
2017-08-01,PY,007,42553853.0
2017-07-01,PY,007,42097336.0
2017-06-01,PY,007,40887368.0
2017-05-01,PY,007,40866718.0
2017-04-01,PY,007,40355787.0
2017-03-01,PY,007,40736660.0
2017-02-01,PY,007,35385727.0
2017-01-01,PY,007,35662226.0
2016-12-01,PY,007,35844844.0
2016-11-01,PY,007,36006850.0
2016-10-01,PY,007,35576715.0
2016-09-01,PY,007,34760643.0
2016-08-01,PY,007,34901675.0
2016-07-01,PY,007,34919085.0
2016-06-01,PY,007,34763907.0
2016-05-01,PY,007,34641883.0
2016-04-01,PY,007,33781645.0
2016-03-01,PY,007,32365074.0
2016-02-01,PY,007,28130636.0
2016-01-01,PY,007,29069271.0
2015-12-01,PY,007,29394447.0
2015-11-01,PY,007,28859560.0
2015-10-01,PY,007,29829654.0
2015-09-01,PY,007,30752796.0
2015-08-01,PY,007,30917256.0
2015-07-01,PY,007,29934881.0
2015-06-01,PY,007,30004958.0
2015-05-01,PY,007,29170291.0
2015-04-01,PY,007,28294813.0
2015-03-01,PY,007,25014184.0
2015-02-01,PY,007,25178192.0
2015-01-01,PY,007,26130577.0
2014-12-01,PY,007,25942639.0
2014-11-01,PY,007,27452503.0
2014-10-01,PY,007,27744344.0
2014-09-01,PY,007,27865494.0
2014-08-01,PY,007,28314307.0
2014-07-01,PY,007,24543213.0
2014-06-01,PY,007,25623041.0
2014-05-01,PY,007,25751440.0
2014-04-01,PY,007,25197709.0
2014-03-01,PY,007,23881820.0
2014-02-01,PY,007,22696101.0
2014-01-01,PY,007,22534922.0
2013-12-01,PY,007,22695281.0
2013-11-01,PY,007,21741962.0
2013-10-01,PY,007,23164902.0
2013-09-01,PY,007,24073391.0
2013-08-01,PY,007,23541698.0
2013-07-01,PY,007,23871937.0
2013-06-01,PY,007,23991895.0
2013-05-01,PY,007,23293746.0
2013-04-01,PY,007,22150738.0
2013-03-01,PY,007,20747867.0
2013-02-01,PY,007,20040533.0
2013-01-01,PY,007,20205117.0
2012-12-01,PY,007,19041912.0
2012-11-01,PY,007,20005190.0
2012-10-01,PY,007,20348077.0
2012-09-01,PY,007,19998997.0
2012-08-01,PY,007,19952841.0
2012-07-01,PY,007,20341522.0
2012-06-01,PY,007,20756494.0
2012-05-01,PY,007,20895181.0
2012-04-01,PY,007,21018115.0
2012-03-01,PY,007,20327347.0
2012-02-01,PY,007,19627263.0
2012-01-01,PY,007,22626934.0
2011-12-01,PY,007,21155543.0
2011-11-01,PY,007,21161055.0
2011-10-01,PY,007,20895090.0
2011-09-01,PY,007,20248314.0
2011-08-01,PY,007,19310096.0
