date,country_code,indicator_code,value
2016-01-01,QA,001,162.39
2015-01-01,QA,001,227.55
2014-01-01,QA,001,145.98
2003-01-01,QA,001,5.51
2002-01-01,QA,001,7.3
2001-01-01,QA,001,2.99
2018-01-01,QA,004,420743.0
2017-01-01,QA,004,418661.0
2016-01-01,QA,004,424739.0
2015-01-01,QA,004,431629.0
2014-01-01,QA,004,440016.0
2013-01-01,QA,004,453029.0
2012-01-01,QA,004,453664.0
2011-01-01,QA,004,435378.0
2010-01-01,QA,004,297468.0
2009-01-01,QA,004,175739.0
2008-01-01,QA,004,265808.0
2007-01-01,QA,004,183849.0
2006-01-01,QA,004,142965.0
2005-01-01,QA,004,104500.0
2004-01-01,QA,004,75194.0
2003-01-01,QA,004,53611.0
2002-01-01,QA,004,44145.0
2001-01-01,QA,004,44396.0
2000-01-01,QA,004,41978.0
1999-01-01,QA,004,31248.0
1998-01-01,QA,004,19102.0
1997-01-01,QA,004,19200.0
1996-01-01,QA,004,13982.0
1995-01-01,QA,004,10243.0
1994-01-01,QA,004,9443.0
1993-01-01,QA,004,9886.0
1992-01-01,QA,004,11308.0
1991-01-01,QA,004,10093.0
1990-01-01,QA,004,12199.0
1989-01-01,QA,004,9187.0
1988-01-01,QA,004,7812.0
1987-01-01,QA,004,8486.0
1986-01-01,QA,004,7534.0
1985-01-01,QA,004,11889.0
1984-01-01,QA,004,15628.0
1983-01-01,QA,004,12921.0
1982-01-01,QA,004,17162.0
1981-01-01,QA,004,21481.0
1980-01-01,QA,004,21241.0
1979-01-01,QA,004,14797.0
1978-01-01,QA,004,9480.0
1977-01-01,QA,004,8431.0
1976-01-01,QA,004,8722.0
1975-01-01,QA,004,7237.0
1974-01-01,QA,004,7765.0
1973-01-01,QA,004,2464.0
1972-01-01,QA,004,1705.0
1971-01-01,QA,004,1461.0
1970-01-01,QA,004,1119.0
1969-01-01,QA,004,1047.0
1968-01-01,QA,004,985.0
2020-03-01,QA,005,4.44
2020-02-01,QA,005,4.57
2020-01-01,QA,005,4.66
2019-12-01,QA,005,4.78
2019-11-01,QA,005,4.76
2019-10-01,QA,005,4.92
2019-09-01,QA,005,5.0
2019-08-01,QA,005,4.96
2019-07-01,QA,005,5.28
2019-06-01,QA,005,5.51
2019-05-01,QA,005,5.01
2019-04-01,QA,005,5.01
2019-03-01,QA,005,5.15
2019-02-01,QA,005,5.05
2019-01-01,QA,005,5.05
2018-12-01,QA,005,5.05
2018-11-01,QA,005,4.71
2018-10-01,QA,005,5.04
