date,country_code,indicator_code,value
2020-02-01,RO,001,4997.1
2020-01-01,RO,001,4992.4
2019-12-01,RO,001,4973.0
2019-11-01,RO,001,4990.1
2019-10-01,RO,001,4989.1
2019-09-01,RO,001,4984.3
2019-08-01,RO,001,4979.2
2019-07-01,RO,001,4987.8
2019-06-01,RO,001,4980.1
2019-05-01,RO,001,4979.5
2019-04-01,RO,001,4978.7
2019-03-01,RO,001,4978.6
2019-02-01,RO,001,4971.7
2019-01-01,RO,001,4960.3
2018-12-01,RO,001,4930.4
2018-11-01,RO,001,4949.4
2018-10-01,RO,001,4946.8
2018-09-01,RO,001,4943.2
2018-08-01,RO,001,4939.8
2018-07-01,RO,001,4946.5
2018-06-01,RO,001,4940.2
2018-05-01,RO,001,4930.8
2018-04-01,RO,001,4920.7
2018-03-01,RO,001,4915.6
2018-02-01,RO,001,4902.0
2018-01-01,RO,001,4888.0
2017-12-01,RO,001,4850.4
2017-11-01,RO,001,4872.1
2017-10-01,RO,001,4872.2
2017-09-01,RO,001,4869.5
2017-08-01,RO,001,4862.2
2017-07-01,RO,001,4859.5
2017-06-01,RO,001,4852.7
2017-05-01,RO,001,4846.1
2017-04-01,RO,001,4827.6
2017-03-01,RO,001,4824.4
2017-02-01,RO,001,4794.2
2017-01-01,RO,001,4781.4
2016-12-01,RO,001,4732.5
2016-11-01,RO,001,4751.1
2016-10-01,RO,001,4749.1
2016-09-01,RO,001,4741.1
2016-08-01,RO,001,4731.8
2016-07-01,RO,001,4722.3
2016-06-01,RO,001,4702.3
2016-05-01,RO,001,4686.9
2016-04-01,RO,001,4676.1
2016-03-01,RO,001,4663.6
2016-02-01,RO,001,4641.6
2016-01-01,RO,001,4617.9
2015-12-01,RO,001,4571.4
2015-11-01,RO,001,4590.8
2015-10-01,RO,001,4587.4
2015-09-01,RO,001,4585.0
2015-08-01,RO,001,4577.4
2015-07-01,RO,001,4570.3
2015-06-01,RO,001,4551.6
2015-05-01,RO,001,4535.9
2015-04-01,RO,001,4520.3
2015-03-01,RO,001,4508.2
2015-02-01,RO,001,4481.2
2015-01-01,RO,001,4463.9
2014-12-01,RO,001,4423.3
2014-11-01,RO,001,4443.8
2014-10-01,RO,001,4449.1
2014-09-01,RO,001,4443.0
2014-08-01,RO,001,4434.2
2014-07-01,RO,001,4442.9
2014-06-01,RO,001,4436.6
2014-05-01,RO,001,4423.2
2014-04-01,RO,001,4415.7
2014-03-01,RO,001,4396.9
2014-02-01,RO,001,4371.5
2014-01-01,RO,001,4363.1
2013-12-01,RO,001,4328.0
2013-11-01,RO,001,4360.3
2013-10-01,RO,001,4374.2
2013-09-01,RO,001,4377.7
2013-08-01,RO,001,4371.6
2013-07-01,RO,001,4381.1
2013-06-01,RO,001,4382.2
2013-05-01,RO,001,4380.1
2013-04-01,RO,001,4367.6
2013-03-01,RO,001,4360.5
2013-02-01,RO,001,4347.9
2013-01-01,RO,001,4345.6
2012-12-01,RO,001,4311.6
2012-11-01,RO,001,4321.6
2012-10-01,RO,001,4320.9
2012-09-01,RO,001,4321.0
2012-08-01,RO,001,4318.4
2012-07-01,RO,001,4317.0
2012-06-01,RO,001,4310.5
2012-05-01,RO,001,4301.7
2012-04-01,RO,001,4277.3
2012-03-01,RO,001,4257.4
2012-02-01,RO,001,4229.7
2012-01-01,RO,001,4215.1
2011-12-01,RO,001,4172.1
2011-11-01,RO,001,4198.5
2011-10-01,RO,001,4201.2
2011-09-01,RO,001,4200.5
2011-08-01,RO,001,4198.0
2011-07-01,RO,001,4195.7
2011-06-01,RO,001,4185.0
2011-05-01,RO,001,4155.0
2011-04-01,RO,001,4130.7
2011-03-01,RO,001,4113.0
2011-02-01,RO,001,4096.5
2011-01-01,RO,001,4095.2
2010-12-01,RO,001,4101.6
2010-11-01,RO,001,4146.4
2010-10-01,RO,001,4162.5
2010-09-01,RO,001,4194.1
2010-08-01,RO,001,4223.3
2010-07-01,RO,001,4247.7
2010-06-01,RO,001,4264.3
2010-05-01,RO,001,4278.0
2010-04-01,RO,001,4290.1
2010-03-01,RO,001,4302.6
2010-02-01,RO,001,4313.2
2010-01-01,RO,001,4333.8
2009-12-01,RO,001,4367.7
2009-11-01,RO,001,4419.2
2009-10-01,RO,001,4463.2
2009-09-01,RO,001,4505.1
2009-08-01,RO,001,4537.7
2009-07-01,RO,001,4578.2
2009-06-01,RO,001,4618.1
2009-05-01,RO,001,4657.8
2009-04-01,RO,001,4693.0
2009-03-01,RO,001,4724.4
2009-02-01,RO,001,4762.9
2009-01-01,RO,001,4807.5
2008-12-01,RO,001,4738.6
2008-11-01,RO,001,4791.2
2008-10-01,RO,001,4825.1
2008-09-01,RO,001,4834.6
2008-08-01,RO,001,4828.9
2008-07-01,RO,001,4833.2
2008-06-01,RO,001,4827.4
2008-05-01,RO,001,4829.2
2008-04-01,RO,001,4820.0
2008-03-01,RO,001,4803.6
2008-02-01,RO,001,4775.5
2008-01-01,RO,001,4765.2
2020-02-01,RO,002,227.64
2020-01-01,RO,002,226.72
2019-12-01,RO,002,237.45
2019-11-01,RO,002,226.01
2019-10-01,RO,002,221.53
2019-09-01,RO,002,219.11
2019-08-01,RO,002,216.41
2019-07-01,RO,002,221.74
2019-06-01,RO,002,223.38
2019-05-01,RO,002,220.46
2019-04-01,RO,002,221.46
2019-03-01,RO,002,218.61
2019-02-01,RO,002,208.52
2019-01-01,RO,002,208.73
2018-12-01,RO,002,210.23
2018-11-01,RO,002,198.5
2018-10-01,RO,002,193.38
2018-09-01,RO,002,191.1
2018-08-01,RO,002,189.75
2018-07-01,RO,002,192.52
2018-06-01,RO,002,193.45
2018-05-01,RO,002,192.24
2018-04-01,RO,002,192.88
2018-03-01,RO,002,192.24
2018-02-01,RO,002,176.81
2018-01-01,RO,002,176.6
2017-12-01,RO,002,186.91
2017-11-01,RO,002,175.18
2017-10-01,RO,002,170.06
2017-09-01,RO,002,168.92
2017-08-01,RO,002,168.07
2017-07-01,RO,002,169.99
2017-06-01,RO,002,169.2
2017-05-01,RO,002,168.0
2017-04-01,RO,002,168.21
2017-03-01,RO,002,166.5
2017-02-01,RO,002,158.97
2017-01-01,RO,002,163.52
2016-12-01,RO,002,167.36
2016-11-01,RO,002,154.42
2016-10-01,RO,002,149.87
2016-09-01,RO,002,148.87
2016-08-01,RO,002,147.59
2016-07-01,RO,002,147.73
2016-06-01,RO,002,147.73
2016-05-01,RO,002,146.67
2016-04-01,RO,002,148.3
2016-03-01,RO,002,145.81
2016-02-01,RO,002,138.63
2016-01-01,RO,002,138.14
2015-12-01,RO,002,150.29
2015-11-01,RO,002,136.36
2015-10-01,RO,002,133.02
2015-09-01,RO,002,130.32
2015-08-01,RO,002,128.89
2015-07-01,RO,002,131.45
2015-06-01,RO,002,129.25
2015-05-01,RO,002,128.4
2015-04-01,RO,002,132.02
2015-03-01,RO,002,130.03
2015-02-01,RO,002,123.06
2015-01-01,RO,002,123.7
2014-12-01,RO,002,132.66
2014-11-01,RO,002,123.92
2014-10-01,RO,002,121.22
2014-09-01,RO,002,120.72
2014-08-01,RO,002,119.65
2014-07-01,RO,002,122.21
2014-06-01,RO,002,119.94
2014-05-01,RO,002,119.58
2014-04-01,RO,002,123.35
2014-03-01,RO,002,121.29
2014-02-01,RO,002,115.6
2014-01-01,RO,002,115.53
2013-12-01,RO,002,125.13
2013-11-01,RO,002,117.31
2013-10-01,RO,002,114.82
2013-09-01,RO,002,114.39
2013-08-01,RO,002,114.04
2013-07-01,RO,002,116.24
2013-06-01,RO,002,114.18
2013-05-01,RO,002,114.53
2013-04-01,RO,002,118.09
2013-03-01,RO,002,114.96
2013-02-01,RO,002,110.41
2013-01-01,RO,002,110.05
2012-12-01,RO,002,120.65
2012-11-01,RO,002,111.97
2012-10-01,RO,002,110.34
2012-09-01,RO,002,109.34
2012-08-01,RO,002,109.06
2012-07-01,RO,002,110.62
2012-06-01,RO,002,110.34
2012-05-01,RO,002,108.77
2012-04-01,RO,002,110.41
2012-03-01,RO,002,109.7
2012-02-01,RO,002,104.65
2012-01-01,RO,002,104.3
2011-12-01,RO,002,114.04
2011-11-01,RO,002,106.0
2011-10-01,RO,002,103.58
2011-09-01,RO,002,104.08
2011-08-01,RO,002,103.44
2011-07-01,RO,002,104.58
2011-06-01,RO,002,104.65
2011-05-01,RO,002,103.66
2011-04-01,RO,002,106.5
2011-03-01,RO,002,106.14
2011-02-01,RO,002,100.53
2011-01-01,RO,002,101.24
2010-12-01,RO,002,106.36
2010-11-01,RO,002,97.9
2010-10-01,RO,002,95.27
2010-09-01,RO,002,95.27
2010-08-01,RO,002,95.2
2010-07-01,RO,002,96.33
2010-06-01,RO,002,101.1
2010-05-01,RO,002,101.52
2010-04-01,RO,002,102.09
2010-03-01,RO,002,107.28
2010-02-01,RO,002,100.31
2010-01-01,RO,002,101.38
2009-12-01,RO,002,105.01
2009-11-01,RO,002,97.11
2009-10-01,RO,002,97.75
2009-09-01,RO,002,96.62
2009-08-01,RO,002,95.84
2009-07-01,RO,002,98.82
2009-06-01,RO,002,98.04
2009-05-01,RO,002,96.4
2009-04-01,RO,002,100.1
2009-03-01,RO,002,99.67
2009-02-01,RO,002,96.55
2009-01-01,RO,002,96.33
2008-12-01,RO,002,105.86
2008-11-01,RO,002,96.76
2008-10-01,RO,002,94.34
2008-09-01,RO,002,92.14
2008-08-01,RO,002,90.79
2008-07-01,RO,002,92.99
2008-06-01,RO,002,90.5
2008-05-01,RO,002,88.73
2008-04-01,RO,002,91.14
2008-03-01,RO,002,84.74
2008-02-01,RO,002,80.62
2008-01-01,RO,002,85.31
2007-12-01,RO,002,90.01
2007-11-01,RO,002,79.7
2007-10-01,RO,002,77.07
2007-09-01,RO,002,73.94
2007-08-01,RO,002,73.23
2007-07-01,RO,002,73.94
2007-06-01,RO,002,72.73
2007-05-01,RO,002,71.95
