date,country_code,indicator_code,value
2017-07-01,RS,001,0.9
2017-04-01,RS,001,228.8
2017-01-01,RS,001,-79.2
2016-10-01,RS,001,-82.6
2016-07-01,RS,001,52.5
2016-04-01,RS,001,190.8
2016-01-01,RS,001,-10.1
2015-10-01,RS,001,-43.1
2015-07-01,RS,001,36.1
2015-04-01,RS,001,83.7
2015-01-01,RS,001,-104.9
2013-10-01,RS,001,-5.67
2013-07-01,RS,001,-11.66
2013-04-01,RS,001,-3.34
2013-01-01,RS,001,0.34
2012-10-01,RS,001,-7.0
2012-07-01,RS,001,-3.0
2012-04-01,RS,001,-1.67
2012-01-01,RS,001,-2.33
2011-10-01,RS,001,-4.67
2011-07-01,RS,001,-8.0
2011-04-01,RS,001,-17.67
2011-01-01,RS,001,-6.33
2010-10-01,RS,001,-21.33
2010-07-01,RS,001,-17.67
2010-04-01,RS,001,-24.0
2010-01-01,RS,001,-22.67
2009-10-01,RS,001,-21.33
2009-07-01,RS,001,-19.0
2009-04-01,RS,001,-57.33
2009-01-01,RS,001,-35.67
2008-10-01,RS,001,-5.0
2008-07-01,RS,001,-3.0
2008-04-01,RS,001,8.33
2008-01-01,RS,001,-1.0
2007-10-01,RS,001,1.0
2007-07-01,RS,001,-5.0
2007-04-01,RS,001,-3.33
2007-01-01,RS,001,-13.67
2006-10-01,RS,001,6.0
2006-07-01,RS,001,-7.0
2006-04-01,RS,001,-16.0
2006-01-01,RS,001,-20.0
2005-10-01,RS,001,3.0
2005-07-01,RS,001,-7.33
2005-04-01,RS,001,24.67
2005-01-01,RS,001,3.33
2004-10-01,RS,001,-15.67
2004-07-01,RS,001,-13.0
2004-04-01,RS,001,33.0
2019-10-01,RS,004,733503.0
2019-07-01,RS,004,730845.0
2019-04-01,RS,004,703976.0
2019-01-01,RS,004,642411.0
2018-10-01,RS,004,671778.0
2018-07-01,RS,004,666204.0
2018-04-01,RS,004,645867.0
2018-01-01,RS,004,589752.0
2017-10-01,RS,004,612680.0
2017-07-01,RS,004,610102.0
2017-04-01,RS,004,622505.0
2017-01-01,RS,004,557608.0
2016-10-01,RS,004,583941.0
2016-07-01,RS,004,558969.0
2016-04-01,RS,004,552975.0
2016-01-01,RS,004,502149.0
2015-10-01,RS,004,503706.0
2015-07-01,RS,004,502378.0
2015-04-01,RS,004,500970.0
2015-01-01,RS,004,445161.0
2014-10-01,RS,004,470666.0
2014-07-01,RS,004,448242.0
2014-04-01,RS,004,435466.0
2014-01-01,RS,004,396282.0
2013-10-01,RS,004,446633.0
2013-07-01,RS,004,463581.0
2013-04-01,RS,004,397550.0
2013-01-01,RS,004,334597.0
2012-10-01,RS,004,376386.0
2012-07-01,RS,004,364787.0
