date,country_code,indicator_code,value
2018-01-01,RU,001,3115144.0
2017-01-01,RU,001,-1471376.0
2016-01-01,RU,001,-1861800.0
2015-01-01,RU,001,-1885834.0
2014-01-01,RU,001,-729255.0
2013-01-01,RU,001,622800.0
2012-01-01,RU,001,1566200.0
2011-01-01,RU,001,1837500.0
2010-01-01,RU,001,-865900.0
2009-01-01,RU,001,-2030800.0
2008-01-01,RU,001,2319700.0
2007-01-01,RU,001,2056700.0
2006-01-01,RU,001,2160400.0
2005-01-01,RU,001,2135708.0
2004-01-01,RU,001,899192.0
2003-01-01,RU,001,291579.0
2002-01-01,RU,001,760634.0
2001-01-01,RU,001,235240.0
2000-01-01,RU,001,180392.0
1999-01-01,RU,001,-5704.0
1998-01-01,RU,001,-164502.0
1995-01-01,RU,001,133152.0
1994-01-01,RU,001,-42714.0
2018-01-01,RU,002,4.8
2017-01-01,RU,002,5.2
2016-01-01,RU,002,5.6
2015-01-01,RU,002,5.6
2014-01-01,RU,002,5.2
2013-01-01,RU,002,5.5
2012-01-01,RU,002,5.4
2011-01-01,RU,002,6.5
2010-01-01,RU,002,7.4
2009-01-01,RU,002,8.3
2008-01-01,RU,002,6.2
2007-01-01,RU,002,6.0
2006-01-01,RU,002,7.1
2005-01-01,RU,002,7.1
2004-01-01,RU,002,7.8
2003-01-01,RU,002,8.2
2002-01-01,RU,002,7.9
2001-01-01,RU,002,9.0
2000-01-01,RU,002,10.6
1999-01-01,RU,002,13.0
1998-01-01,RU,002,13.3
1997-01-01,RU,002,11.8
1996-01-01,RU,002,9.7
1995-01-01,RU,002,9.4
1994-01-01,RU,002,8.1
1993-01-01,RU,002,5.9
1992-01-01,RU,002,5.2
2020-02-01,RU,004,9515.0
2020-01-01,RU,004,11917.0
2019-12-01,RU,004,12482.0
2019-11-01,RU,004,12066.0
2019-10-01,RU,004,12500.0
2019-09-01,RU,004,13772.0
2019-08-01,RU,004,14209.0
2019-07-01,RU,004,13814.0
2019-06-01,RU,004,13223.0
2019-05-01,RU,004,12812.0
2019-04-01,RU,004,14792.0
2019-03-01,RU,004,14965.0
2019-02-01,RU,004,16874.0
2019-01-01,RU,004,13412.0
2018-12-01,RU,004,16037.0
2018-11-01,RU,004,18054.0
2018-10-01,RU,004,18889.0
2018-09-01,RU,004,18466.0
2018-08-01,RU,004,17495.0
2018-07-01,RU,004,16124.0
2018-06-01,RU,004,15882.0
2018-05-01,RU,004,15406.0
2018-04-01,RU,004,15343.0
2018-03-01,RU,004,13532.0
2018-02-01,RU,004,12210.0
2018-01-01,RU,004,15871.0
2017-12-01,RU,004,11278.0
2017-11-01,RU,004,10949.0
2017-10-01,RU,004,10114.0
2017-09-01,RU,004,10056.0
2017-08-01,RU,004,8614.0
2017-07-01,RU,004,6256.0
2017-06-01,RU,004,9076.0
2017-05-01,RU,004,8544.0
2017-04-01,RU,004,8080.0
2017-03-01,RU,004,10787.0
2017-02-01,RU,004,10393.0
2017-01-01,RU,004,10684.0
2016-12-01,RU,004,9830.0
2016-11-01,RU,004,8570.0
2016-10-01,RU,004,7025.0
2016-09-01,RU,004,7566.0
2016-08-01,RU,004,6347.0
2016-07-01,RU,004,8185.0
2016-06-01,RU,004,8230.0
2016-05-01,RU,004,7449.0
2016-04-01,RU,004,6695.0
2016-03-01,RU,004,6821.0
2016-02-01,RU,004,7324.0
2016-01-01,RU,004,6412.0
2015-12-01,RU,004,9416.0
2015-11-01,RU,004,8885.0
2015-10-01,RU,004,10339.0
2015-09-01,RU,004,9791.0
2015-08-01,RU,004,10424.0
2015-07-01,RU,004,11975.0
2015-06-01,RU,004,14007.0
2015-05-01,RU,004,15355.0
2015-04-01,RU,004,14217.0
2015-03-01,RU,004,14625.0
2015-02-01,RU,004,14868.0
2015-01-01,RU,004,15710.0
2014-12-01,RU,004,11666.0
2014-11-01,RU,004,13806.0
2014-10-01,RU,004,15023.0
2014-09-01,RU,004,12532.0
2014-08-01,RU,004,18264.0
2014-07-01,RU,004,19086.0
2014-06-01,RU,004,14672.0
2014-05-01,RU,004,17209.0
2014-04-01,RU,004,19100.0
2014-03-01,RU,004,18320.0
2014-02-01,RU,004,12737.0
2014-01-01,RU,004,16752.0
2013-12-01,RU,004,15054.0
2013-11-01,RU,004,17141.0
2013-10-01,RU,004,13440.0
2013-09-01,RU,004,16415.0
2013-08-01,RU,004,15788.0
2013-07-01,RU,004,15244.0
2013-06-01,RU,004,14567.0
2013-05-01,RU,004,13729.0
2013-04-01,RU,004,13932.0
2013-03-01,RU,004,15006.0
2013-02-01,RU,004,15687.0
2013-01-01,RU,004,14693.0
2012-12-01,RU,004,14991.0
2012-11-01,RU,004,15126.0
2012-10-01,RU,004,15077.0
2012-09-01,RU,004,16036.0
2012-08-01,RU,004,12798.0
2012-07-01,RU,004,13350.0
2012-06-01,RU,004,14657.0
2012-05-01,RU,004,16715.0
2012-04-01,RU,004,17843.0
2012-03-01,RU,004,17231.0
2012-02-01,RU,004,20526.0
2012-01-01,RU,004,19230.0
2011-12-01,RU,004,18397.0
2011-11-01,RU,004,17397.0
2011-10-01,RU,004,17458.0
2011-09-01,RU,004,16055.0
2011-08-01,RU,004,15793.0
2011-07-01,RU,004,16178.0
2011-06-01,RU,004,16663.0
2011-05-01,RU,004,16009.0
2011-04-01,RU,004,18858.0
2011-03-01,RU,004,14758.0
2011-02-01,RU,004,18415.0
2011-01-01,RU,004,11806.0
2010-12-01,RU,004,14251.0
2010-11-01,RU,004,10978.0
2010-10-01,RU,004,10940.0
2010-09-01,RU,004,10413.0
2010-08-01,RU,004,8522.0
2010-07-01,RU,004,10501.0
2010-06-01,RU,004,12444.0
2010-05-01,RU,004,12103.0
2010-04-01,RU,004,13894.0
2010-03-01,RU,004,13974.0
2010-02-01,RU,004,15910.0
2010-01-01,RU,004,16208.0
2009-12-01,RU,004,12375.0
2009-11-01,RU,004,12923.0
2009-10-01,RU,004,11735.0
2009-09-01,RU,004,11328.0
2009-08-01,RU,004,11868.0
2009-07-01,RU,004,10733.0
2009-06-01,RU,004,9007.0
2009-05-01,RU,004,7916.0
2009-04-01,RU,004,5010.0
2009-03-01,RU,004,7260.0
2009-02-01,RU,004,4793.0
2009-01-01,RU,004,7885.0
2008-12-01,RU,004,7071.0
2008-11-01,RU,004,9712.0
2008-10-01,RU,004,11462.0
2008-09-01,RU,004,14816.0
2008-08-01,RU,004,16851.0
2008-07-01,RU,004,17174.0
2008-06-01,RU,004,18271.0
2008-05-01,RU,004,17269.0
2008-04-01,RU,004,15672.0
2008-03-01,RU,004,16411.0
2008-02-01,RU,004,15866.0
2008-01-01,RU,004,18012.0
2007-12-01,RU,004,13692.0
2007-11-01,RU,004,13826.0
2007-10-01,RU,004,12104.0
2007-09-01,RU,004,8810.0
2007-08-01,RU,004,9207.0
2007-07-01,RU,004,9589.0
2007-06-01,RU,004,8301.0
2007-05-01,RU,004,10302.0
2007-04-01,RU,004,10378.0
2007-03-01,RU,004,8958.0
2007-02-01,RU,004,9790.0
2007-01-01,RU,004,8905.0
2006-12-01,RU,004,9708.0
2006-11-01,RU,004,9177.0
2006-10-01,RU,004,8526.0
2006-09-01,RU,004,10764.0
2006-08-01,RU,004,12242.0
2006-07-01,RU,004,11948.0
2006-06-01,RU,004,11111.0
2006-05-01,RU,004,13005.0
2006-04-01,RU,004,12460.0
2006-03-01,RU,004,11641.0
2006-02-01,RU,004,12518.0
2006-01-01,RU,004,12945.0
2005-12-01,RU,004,10971.0
2005-11-01,RU,004,10173.0
2005-10-01,RU,004,10658.0
2005-09-01,RU,004,10241.0
2005-08-01,RU,004,9635.0
2005-07-01,RU,004,10490.0
2005-06-01,RU,004,9469.0
2005-05-01,RU,004,10294.0
2005-04-01,RU,004,9961.0
2005-03-01,RU,004,9131.0
2005-02-01,RU,004,8294.0
2005-01-01,RU,004,7064.0
2004-12-01,RU,004,7835.0
2004-11-01,RU,004,8530.0
2004-10-01,RU,004,8252.0
2004-09-01,RU,004,7471.0
