date,country_code,indicator_code,value
2018-01-01,RW,004,-1372705.0
2017-01-01,RW,004,-1103893.0
2016-01-01,RW,004,-1213321.0
2015-01-01,RW,004,-1436575.0
2014-01-01,RW,004,-994220.0
2013-01-01,RW,004,-879247.0
2012-01-01,RW,004,-856000.0
2011-01-01,RW,004,-654122.0
2010-01-01,RW,004,-604347.0
2009-01-01,RW,004,-548437.0
2008-01-01,RW,004,-459280.0
2007-01-01,RW,004,-199810.0
2006-01-01,RW,004,-222680.0
2005-01-01,RW,004,-198512.0
2004-01-01,RW,004,-164514.0
2003-01-01,RW,004,-149750.0
2002-01-01,RW,004,-132874.0
2001-01-01,RW,004,-117291.0
2000-01-01,RW,004,-125474.0
1999-01-01,RW,004,-111100.0
1998-01-01,RW,004,-109500.0
1997-01-01,RW,004,-99784.0
1996-01-01,RW,004,-85535.0
1995-01-01,RW,004,-70103.0
1994-01-01,RW,004,-96977.0
1993-01-01,RW,004,-43589.0
1992-01-01,RW,004,-34500.0
1991-01-01,RW,004,-25694.0
1990-01-01,RW,004,-18048.0
1989-01-01,RW,004,-21491.0
1988-01-01,RW,004,-20115.0
1987-01-01,RW,004,-20042.0
1986-01-01,RW,004,-12895.0
1985-01-01,RW,004,-15815.0
1984-01-01,RW,004,-11190.0
1983-01-01,RW,004,-13049.0
1982-01-01,RW,004,-16498.0
1981-01-01,RW,004,-14630.0
1980-01-01,RW,004,-12900.0
1979-01-01,RW,004,-1640.0
1978-01-01,RW,004,-7310.0
1977-01-01,RW,004,-2430.0
1976-01-01,RW,004,-2980.0
1975-01-01,RW,004,-4500.0
1974-01-01,RW,004,-2630.0
1973-01-01,RW,004,-450.0
1972-01-01,RW,004,-1810.0
1971-01-01,RW,004,-1480.0
1970-01-01,RW,004,-820.0
1969-01-01,RW,004,-1260.0
1968-01-01,RW,004,-1102.0
1967-01-01,RW,004,-782.0
1966-01-01,RW,004,-950.0
1965-01-01,RW,004,-360.0
1964-01-01,RW,004,-40.0
1963-01-01,RW,004,-430.0
1962-01-01,RW,004,-220.0
1961-01-01,RW,004,100.0
1960-01-01,RW,004,140.0
2019-04-01,RW,005,16.8
2019-03-01,RW,005,16.59
2019-02-01,RW,005,16.73
2019-01-01,RW,005,16.95
2018-12-01,RW,005,16.14
2018-11-01,RW,005,16.79
2018-10-01,RW,005,17.15
2018-09-01,RW,005,17.23
2018-08-01,RW,005,16.71
2018-07-01,RW,005,17.54
2018-06-01,RW,005,17.03
2018-05-01,RW,005,16.81
2018-04-01,RW,005,16.81
2018-03-01,RW,005,17.08
2018-02-01,RW,005,16.84
2018-01-01,RW,005,17.23
2017-12-01,RW,005,17.19
2017-11-01,RW,005,17.2
2017-10-01,RW,005,16.98
2017-09-01,RW,005,17.33
2017-08-01,RW,005,17.3
2017-07-01,RW,005,17.6
2017-06-01,RW,005,16.76
2017-05-01,RW,005,17.24
2017-04-01,RW,005,17.33
2017-03-01,RW,005,16.85
2017-02-01,RW,005,16.78
2017-01-01,RW,005,17.45
2016-12-01,RW,005,17.21
2016-11-01,RW,005,17.58
2016-10-01,RW,005,17.27
2016-09-01,RW,005,17.36
2016-08-01,RW,005,17.72
2016-07-01,RW,005,17.5
2016-06-01,RW,005,16.95
2016-05-01,RW,005,17.34
2016-04-01,RW,005,17.21
2016-03-01,RW,005,17.09
2016-02-01,RW,005,17.59
2016-01-01,RW,005,16.69
2015-12-01,RW,005,17.03
2015-11-01,RW,005,17.07
2015-10-01,RW,005,17.19
2015-09-01,RW,005,17.17
2015-08-01,RW,005,17.42
2015-07-01,RW,005,17.35
2015-06-01,RW,005,17.26
2015-05-01,RW,005,17.35
2015-04-01,RW,005,17.85
2015-03-01,RW,005,17.37
2015-02-01,RW,005,17.49
2015-01-01,RW,005,17.45
2014-12-01,RW,005,17.66
2014-11-01,RW,005,16.71
2014-10-01,RW,005,17.47
2014-09-01,RW,005,17.11
2014-08-01,RW,005,17.39
2014-07-01,RW,005,17.23
2014-06-01,RW,005,17.52
2014-05-01,RW,005,17.23
2014-04-01,RW,005,17.42
2014-03-01,RW,005,16.83
2014-02-01,RW,005,17.09
2014-01-01,RW,005,17.45
2013-12-01,RW,005,16.93
2013-11-01,RW,005,17.19
2013-10-01,RW,005,17.35
2013-09-01,RW,005,17.82
2013-08-01,RW,005,17.47
2013-07-01,RW,005,17.19
2013-06-01,RW,005,17.65
2013-05-01,RW,005,17.56
2013-04-01,RW,005,17.27
2013-03-01,RW,005,17.17
2013-02-01,RW,005,17.14
2013-01-01,RW,005,17.09
2012-12-01,RW,005,16.49
2012-11-01,RW,005,16.65
2012-10-01,RW,005,16.61
2012-09-01,RW,005,17.14
2012-08-01,RW,005,17.08
2012-07-01,RW,005,16.52
2012-06-01,RW,005,16.82
2012-05-01,RW,005,16.72
2012-04-01,RW,005,16.87
2012-03-01,RW,005,16.3
2012-02-01,RW,005,16.27
2012-01-01,RW,005,16.95
2011-12-01,RW,005,16.73
2011-11-01,RW,005,16.48
2011-10-01,RW,005,17.04
2011-09-01,RW,005,17.01
2011-08-01,RW,005,16.98
2011-07-01,RW,005,16.58
2011-06-01,RW,005,16.97
2011-05-01,RW,005,16.89
2011-04-01,RW,005,16.21
2011-03-01,RW,005,16.59
2011-02-01,RW,005,16.9
2011-01-01,RW,005,15.63
2010-12-01,RW,005,16.94
2010-11-01,RW,005,17.51
2010-10-01,RW,005,17.34
2010-09-01,RW,005,16.82
2010-08-01,RW,005,17.2
2010-07-01,RW,005,16.91
2010-06-01,RW,005,17.38
2010-05-01,RW,005,16.65
2010-04-01,RW,005,16.96
2010-03-01,RW,005,16.94
2010-02-01,RW,005,16.08
2010-01-01,RW,005,17.28
2009-12-01,RW,005,15.77
2009-11-01,RW,005,16.44
2009-10-01,RW,005,17.63
2009-09-01,RW,005,17.56
2009-08-01,RW,005,17.41
2009-07-01,RW,005,17.28
2009-06-01,RW,005,16.89
2009-05-01,RW,005,16.64
2009-04-01,RW,005,16.81
2009-03-01,RW,005,15.74
2009-02-01,RW,005,16.18
2009-01-01,RW,005,16.33
2008-12-01,RW,005,16.51
2008-11-01,RW,005,16.52
2008-10-01,RW,005,16.15
2008-09-01,RW,005,16.55
2008-08-01,RW,005,15.93
2008-07-01,RW,005,16.47
2008-06-01,RW,005,16.2
2008-05-01,RW,005,16.09
2008-04-01,RW,005,16.43
2008-03-01,RW,005,15.63
2008-02-01,RW,005,16.31
2008-01-01,RW,005,16.23
2007-12-01,RW,005,16.11
2007-11-01,RW,005,16.48
2007-10-01,RW,005,15.57
2007-09-01,RW,005,15.85
2007-08-01,RW,005,15.76
2007-07-01,RW,005,16.56
2007-06-01,RW,005,16.03
2007-05-01,RW,005,16.35
2007-04-01,RW,005,15.32
2007-03-01,RW,005,15.98
2007-02-01,RW,005,16.22
2007-01-01,RW,005,15.76
2006-12-01,RW,005,16.07
2006-11-01,RW,005,16.06
2006-10-01,RW,005,16.46
2006-09-01,RW,005,16.35
2006-08-01,RW,005,16.03
2006-07-01,RW,005,16.31
2006-06-01,RW,005,16.26
2006-05-01,RW,005,15.05
2006-04-01,RW,005,15.44
2006-03-01,RW,005,15.7
2006-02-01,RW,005,14.84
2006-01-01,RW,005,15.82
2005-12-01,RW,005,16.08
2005-11-01,RW,005,16.2
2005-10-01,RW,005,15.42
2005-09-01,RW,005,15.33
2005-08-01,RW,005,15.85
2005-07-01,RW,005,15.44
2005-06-01,RW,005,15.29
2005-05-01,RW,005,15.37
2005-04-01,RW,005,15.43
2005-03-01,RW,005,16.41
2005-02-01,RW,005,16.02
2005-01-01,RW,005,16.51
2004-12-01,RW,005,16.48
2004-11-01,RW,005,16.06
2004-10-01,RW,005,16.09
2004-09-01,RW,005,15.29
2004-08-01,RW,005,16.32
2004-07-01,RW,005,16.1
2004-06-01,RW,005,15.12
2004-05-01,RW,005,15.81
2004-04-01,RW,005,16.88
2004-03-01,RW,005,16.26
2004-02-01,RW,005,15.92
2004-01-01,RW,005,15.52
2003-12-01,RW,005,17.05
2003-11-01,RW,005,15.98
2003-10-01,RW,005,15.88
2003-09-01,RW,005,16.35
2003-08-01,RW,005,15.69
2003-07-01,RW,005,14.42
2003-06-01,RW,005,16.85
2003-05-01,RW,005,15.16
2003-04-01,RW,005,16.73
2003-03-01,RW,005,14.87
2003-02-01,RW,005,16.37
2003-01-01,RW,005,16.56
2002-12-01,RW,005,16.37
2002-11-01,RW,005,14.16
2002-10-01,RW,005,16.4
2002-09-01,RW,005,17.25
2002-08-01,RW,005,14.96
2002-07-01,RW,005,16.52
2002-06-01,RW,005,16.67
2002-05-01,RW,005,15.94
2002-04-01,RW,005,16.92
2002-03-01,RW,005,16.75
2002-02-01,RW,005,16.54
2002-01-01,RW,005,16.1
2001-12-01,RW,005,17.29
2001-11-01,RW,005,16.38
2001-10-01,RW,005,16.03
2001-09-01,RW,005,18.21
2001-08-01,RW,005,16.32
2001-07-01,RW,005,15.25
2001-06-01,RW,005,15.79
2001-05-01,RW,005,15.83
2001-04-01,RW,005,15.54
2001-03-01,RW,005,16.93
2001-02-01,RW,005,16.26
2001-01-01,RW,005,16.42
2000-12-01,RW,005,16.99
2000-11-01,RW,005,16.68
2000-10-01,RW,005,15.77
2000-09-01,RW,005,16.43
2000-08-01,RW,005,16.75
2000-07-01,RW,005,17.48
2000-06-01,RW,005,16.85
2000-05-01,RW,005,15.75
2000-04-01,RW,005,16.43
2000-03-01,RW,005,15.59
2000-02-01,RW,005,16.22
2000-01-01,RW,005,16.87
1999-12-01,RW,005,16.84
1999-11-01,RW,005,16.89
1999-10-01,RW,005,15.77
1999-09-01,RW,005,16.32
1999-08-01,RW,005,17.1
