date,country_code,indicator_code,value
2016-04-01,SA,001,4.06
2015-07-01,SA,001,3.77
2015-01-01,SA,001,3.02
2014-07-01,SA,001,3.15
2014-01-01,SA,001,2.5
2013-07-01,SA,001,3.26
2013-01-01,SA,001,4.92
2008-07-01,SA,001,3.52
2008-01-01,SA,001,2.45
2018-01-01,SA,004,390454.0
2017-01-01,SA,004,142303.0
2016-01-01,SA,004,10312.0
2015-01-01,SA,004,-133291.0
2014-01-01,SA,004,371844.0
2013-01-01,SA,004,591537.0
2012-01-01,SA,004,690801.0
2011-01-01,SA,004,668427.0
2010-01-01,SA,004,328606.0
2009-01-01,SA,004,149952.0
2008-01-01,SA,004,548133.0
2007-01-01,SA,004,389887.0
2006-01-01,SA,004,419484.0
2005-01-01,SA,004,395661.0
2004-01-01,SA,004,260888.0
2003-01-01,SA,004,177047.0
2002-01-01,SA,004,123041.0
2001-01-01,SA,004,108458.0
2000-01-01,SA,004,132500.0
1999-01-01,SA,004,69661.0
1998-01-01,SA,004,17483.0
1997-01-01,SA,004,81602.0
1996-01-01,SA,004,79573.0
1995-01-01,SA,004,51717.0
1994-01-01,SA,004,40147.0
1993-01-01,SA,004,4475.0
1992-01-01,SA,004,16026.0
1991-01-01,SA,004,9495.0
1990-01-01,SA,004,39478.0
1989-01-01,SA,004,-15467.0
1988-01-01,SA,004,-12821.0
1987-01-01,SA,004,-20125.0
1986-01-01,SA,004,-29250.0
1985-01-01,SA,004,-24729.0
1984-01-01,SA,004,-45109.0
1983-01-01,SA,004,-41094.0
1982-01-01,SA,004,61009.0
1981-01-01,SA,004,204000.0
1980-01-01,SA,004,197908.0
1979-01-01,SA,004,77490.0
1978-01-01,SA,004,21063.0
1977-01-01,SA,004,65013.0
1976-01-01,SA,004,80159.0
1975-01-01,SA,004,84899.0
1974-01-01,SA,004,80178.0
1973-01-01,SA,004,43652.0
1972-01-01,SA,004,17350.0
1971-01-01,SA,004,11627.0
1970-01-01,SA,004,7075.0
1969-01-01,SA,004,4693.0
1968-01-01,SA,004,4338.0
2019-10-01,SA,012,11671.6040631
2019-07-01,SA,012,5636.46050972
2019-04-01,SA,012,17284.2609455
2019-01-01,SA,012,11749.2428837
2018-10-01,SA,012,14116.3799199
2018-07-01,SA,012,24992.4897567
2018-04-01,SA,012,18409.7912252
2018-01-01,SA,012,9865.66126734
2017-10-01,SA,012,7945.40751886
2017-07-01,SA,012,4596.23315688
2017-04-01,SA,012,-5103.8443337
