date,country_code,indicator_code,value
2005-01-01,SB,001,8.52
2004-01-01,SB,001,1.16
2003-01-01,SB,001,1.24
2002-01-01,SB,001,-3.85
2001-01-01,SB,001,-2.92
2000-01-01,SB,001,-5.13
1999-01-01,SB,001,68.53
1998-01-01,SB,001,2.4
1997-01-01,SB,001,-2.63
1996-01-01,SB,001,3.32
1995-01-01,SB,001,1.85
1994-01-01,SB,001,9.8
1993-01-01,SB,001,10.27
1992-01-01,SB,001,0.79
1991-01-01,SB,001,1.95
1990-01-01,SB,001,2.69
1989-01-01,SB,001,14.99
1988-01-01,SB,001,-10.42
1987-01-01,SB,001,2.78
1986-01-01,SB,001,0.13
2018-01-01,SB,004,5348.0
2017-01-01,SB,004,4803.0
2016-01-01,SB,004,4401.0
2015-01-01,SB,004,4155.0
2014-01-01,SB,004,4176.0
2013-01-01,SB,004,4188.0
2012-01-01,SB,004,4552.0
2011-01-01,SB,004,4105.0
2010-01-01,SB,004,2547.0
2009-01-01,SB,004,1871.0
2008-01-01,SB,004,2079.0
2007-01-01,SB,004,1709.0
2006-01-01,SB,004,1265.0
2005-01-01,SB,004,1045.0
2004-01-01,SB,004,952.0
2003-01-01,SB,004,716.0
2002-01-01,SB,004,503.0
2001-01-01,SB,004,379.0
2000-01-01,SB,004,579.0
1999-01-01,SB,004,861.0
1998-01-01,SB,004,893.0
1997-01-01,SB,004,887.0
1996-01-01,SB,004,822.0
1995-01-01,SB,004,720.0
1994-01-01,SB,004,658.0
1993-01-01,SB,004,565.0
1992-01-01,SB,004,422.0
1991-01-01,SB,004,326.0
1990-01-01,SB,004,252.0
1989-01-01,SB,004,246.0
1988-01-01,SB,004,229.0
1987-01-01,SB,004,178.0
1986-01-01,SB,004,151.0
1985-01-01,SB,004,117.0
1984-01-01,SB,004,129.0
1983-01-01,SB,004,99.0
1982-01-01,SB,004,89.0
1981-01-01,SB,004,80.0
1980-01-01,SB,004,72.0
1979-01-01,SB,004,66.0
1978-01-01,SB,004,36.0
1977-01-01,SB,004,33.0
1976-01-01,SB,004,23.0
1975-01-01,SB,004,14.0
1974-01-01,SB,004,20.0
1973-01-01,SB,004,11.0
1972-01-01,SB,004,11.0
1971-01-01,SB,004,11.0
1970-01-01,SB,004,9.0
2019-09-01,SB,005,10.57
2019-08-01,SB,005,10.45
2019-07-01,SB,005,10.61
2019-06-01,SB,005,10.72
2019-05-01,SB,005,10.71
2019-04-01,SB,005,10.51
2019-03-01,SB,005,10.71
2019-02-01,SB,005,10.75
2019-01-01,SB,005,10.81
2018-12-01,SB,005,10.79
2018-11-01,SB,005,10.76
2018-10-01,SB,005,10.77
2018-09-01,SB,005,10.75
2018-08-01,SB,005,10.7
2018-07-01,SB,005,10.68
2018-06-01,SB,005,10.84
2018-05-01,SB,005,10.6
2018-04-01,SB,005,10.61
2018-03-01,SB,005,10.79
2018-02-01,SB,005,10.78
2018-01-01,SB,005,10.92
2017-12-01,SB,005,10.89
2017-11-01,SB,005,10.44
2017-10-01,SB,005,10.5
2017-09-01,SB,005,10.47
2017-08-01,SB,005,10.56
2017-07-01,SB,005,10.62
2017-06-01,SB,005,10.65
2017-05-01,SB,005,10.7
2017-04-01,SB,005,10.7
2017-03-01,SB,005,10.7
2017-02-01,SB,005,10.7
2017-01-01,SB,005,11.4
2016-12-01,SB,005,10.66
2016-11-01,SB,005,10.04
2016-10-01,SB,005,10.1
2016-09-01,SB,005,9.98
2016-08-01,SB,005,10.17
2016-07-01,SB,005,10.02
2016-06-01,SB,005,9.95
2016-05-01,SB,005,10.0
2016-04-01,SB,005,10.15
2016-03-01,SB,005,9.99
2016-02-01,SB,005,10.07
2016-01-01,SB,005,10.07
2015-12-01,SB,005,10.07
2015-11-01,SB,005,10.01
2015-10-01,SB,005,10.22
2015-09-01,SB,005,10.2
2015-08-01,SB,005,10.19
2015-07-01,SB,005,10.36
2015-06-01,SB,005,10.63
2015-05-01,SB,005,10.68
2015-04-01,SB,005,10.67
2015-03-01,SB,005,11.1
2015-02-01,SB,005,10.56
2015-01-01,SB,005,11.05
2014-12-01,SB,005,11.06
2014-11-01,SB,005,11.27
2014-10-01,SB,005,11.3
2014-09-01,SB,005,10.75
2014-08-01,SB,005,10.75
2014-07-01,SB,005,10.77
2014-06-01,SB,005,10.85
2014-05-01,SB,005,10.92
2014-04-01,SB,005,10.94
2014-03-01,SB,005,10.35
2014-02-01,SB,005,10.98
2014-01-01,SB,005,10.98
2013-12-01,SB,005,12.36
