date,country_code,indicator_code,value
2009-09-01,SC,001,0.324
2009-08-01,SC,001,0.345
2009-07-01,SC,001,0.261
2009-06-01,SC,001,0.058
2009-05-01,SC,001,0.121
2009-04-01,SC,001,0.145
2009-03-01,SC,001,0.331
2009-02-01,SC,001,0.152
2009-01-01,SC,001,-1.916
2008-12-01,SC,001,-0.043
2008-11-01,SC,001,0.13
2008-10-01,SC,001,0.864
2008-09-01,SC,001,0.042
2008-08-01,SC,001,0.343
2008-07-01,SC,001,0.331
2008-06-01,SC,001,0.092
2008-05-01,SC,001,0.124
2008-04-01,SC,001,0.291
2008-03-01,SC,001,-0.453
2008-02-01,SC,001,0.481
2008-01-01,SC,001,0.115
2007-12-01,SC,001,0.164
2007-11-01,SC,001,0.212
2007-10-01,SC,001,0.15
2007-09-01,SC,001,-0.054
2007-08-01,SC,001,0.217
2007-07-01,SC,001,-0.042
2007-06-01,SC,001,0.228
2007-05-01,SC,001,0.009
2007-04-01,SC,001,0.218
2007-03-01,SC,001,0.083
2007-02-01,SC,001,0.059
2001-06-01,SC,001,-0.16
2001-05-01,SC,001,-0.03
2001-04-01,SC,001,-0.08
2001-03-01,SC,001,0.19
2001-02-01,SC,001,0.12
2001-01-01,SC,001,0.15
2000-12-01,SC,001,-0.04
2000-11-01,SC,001,-0.06
2000-10-01,SC,001,0.08
2000-09-01,SC,001,0.21
2000-08-01,SC,001,0.07
2000-07-01,SC,001,0.07
2000-06-01,SC,001,0.08
2000-05-01,SC,001,0.06
2000-04-01,SC,001,0.28
2000-03-01,SC,001,0.11
2000-02-01,SC,001,0.19
2000-01-01,SC,001,0.19
1999-12-01,SC,001,-0.01
1999-11-01,SC,001,-0.06
1999-10-01,SC,001,0.17
1999-09-01,SC,001,-0.29
1999-08-01,SC,001,0.07
1999-07-01,SC,001,0.06
1999-06-01,SC,001,0.01
1999-05-01,SC,001,0.06
1999-04-01,SC,001,0.42
1999-03-01,SC,001,0.53
1999-02-01,SC,001,0.07
1999-01-01,SC,001,0.23
1998-12-01,SC,001,0.14
1998-11-01,SC,001,0.09
1998-10-01,SC,001,0.0
1998-09-01,SC,001,0.26
1998-08-01,SC,001,0.28
1998-07-01,SC,001,0.36
1998-06-01,SC,001,-0.24
1998-05-01,SC,001,0.21
1998-04-01,SC,001,0.44
1998-03-01,SC,001,-0.12
1998-02-01,SC,001,0.5
1998-01-01,SC,001,-0.38
1997-12-01,SC,001,-0.06
1997-11-01,SC,001,0.2
1997-10-01,SC,001,-0.02
1997-09-01,SC,001,0.03
1997-08-01,SC,001,0.07
1997-07-01,SC,001,0.19
1997-06-01,SC,001,0.06
1997-05-01,SC,001,-0.05
1997-04-01,SC,001,0.32
1997-03-01,SC,001,0.2
1997-02-01,SC,001,0.2
1997-01-01,SC,001,1.09
1996-12-01,SC,001,-0.07
1996-11-01,SC,001,0.04
1996-10-01,SC,001,0.02
1996-09-01,SC,001,0.07
1996-08-01,SC,001,0.11
1996-07-01,SC,001,0.01
1996-06-01,SC,001,0.08
1996-05-01,SC,001,0.14
1996-04-01,SC,001,-0.14
1996-03-01,SC,001,0.17
1996-02-01,SC,001,0.17
1996-01-01,SC,001,-0.25
1995-12-01,SC,001,0.11
1995-11-01,SC,001,0.02
1995-10-01,SC,001,0.05
1995-09-01,SC,001,0.09
1995-08-01,SC,001,0.01
1995-07-01,SC,001,-0.11
1995-06-01,SC,001,0.27
1995-05-01,SC,001,0.18
1995-04-01,SC,001,-0.12
1995-03-01,SC,001,0.11
1995-02-01,SC,001,0.28
1995-01-01,SC,001,-0.02
1994-12-01,SC,001,-0.05
1994-11-01,SC,001,-0.06
1994-10-01,SC,001,-0.01
1994-09-01,SC,001,-0.03
1994-08-01,SC,001,-0.04
1994-07-01,SC,001,0.17
1994-06-01,SC,001,-0.06
1994-05-01,SC,001,-0.39
1994-04-01,SC,001,0.15
1994-03-01,SC,001,0.09
1994-02-01,SC,001,0.34
1994-01-01,SC,001,-0.45
1993-12-01,SC,001,-0.08
1993-11-01,SC,001,-0.04
1993-10-01,SC,001,0.05
1993-09-01,SC,001,0.35
1993-08-01,SC,001,0.01
1993-07-01,SC,001,0.92
1993-06-01,SC,001,-0.91
1993-05-01,SC,001,0.11
1993-04-01,SC,001,0.41
1993-03-01,SC,001,0.0
1993-02-01,SC,001,0.45
1993-01-01,SC,001,-0.18
