date,country_code,indicator_code,value
2018-01-01,SD,004,-20876.0
2017-01-01,SD,004,-17464.0
2016-01-01,SD,004,-16016.0
2015-01-01,SD,004,-15951.0
2014-01-01,SD,004,-14896.0
2013-01-01,SD,004,-20731.0
2012-01-01,SD,004,-15293.0
2011-01-01,SD,004,3633.0
2010-01-01,SD,004,3801.0
2009-01-01,SD,004,-4929.0
2008-01-01,SD,004,5136.0
2007-01-01,SD,004,-722.0
2006-01-01,SD,004,-5910.0
2005-01-01,SD,004,-5960.0
2004-01-01,SD,004,-1259.0
2003-01-01,SD,004,-1079.0
2002-01-01,SD,004,-1340.0
2001-01-01,SD,004,-477.0
2000-01-01,SD,004,808.0
1999-01-01,SD,004,-2470.0
1998-01-01,SD,004,-1914.0
1997-01-01,SD,004,-1320.0
1996-01-01,SD,004,-936.0
1995-01-01,SD,004,-388.0
1994-01-01,SD,004,-194.0
1993-01-01,SD,004,-43.0
1992-01-01,SD,004,-63.0
1991-01-01,SD,004,-26.0
1990-01-01,SD,004,-5.0
1989-01-01,SD,004,-4.0
1988-01-01,SD,004,-3.0
1987-01-01,SD,004,-2.0
1986-01-01,SD,004,-1.0
1985-01-01,SD,004,-1.0
1984-01-01,SD,004,-1.0
1983-01-01,SD,004,-1.0
1982-01-01,SD,004,-1.0
1981-01-01,SD,004,-1.0
1980-01-01,SD,004,-1.0
1979-01-01,SD,004,0.0
1978-01-01,SD,004,0.0
1977-01-01,SD,004,0.0
1976-01-01,SD,004,0.0
1975-01-01,SD,004,0.0
1974-01-01,SD,004,0.0
1973-01-01,SD,004,0.0
1972-01-01,SD,004,0.0
1971-01-01,SD,004,0.0
1970-01-01,SD,004,0.0
1969-01-01,SD,004,0.0
1968-01-01,SD,004,0.0
1967-01-01,SD,004,0.0
1966-01-01,SD,004,0.0
1965-01-01,SD,004,0.0
1964-01-01,SD,004,0.0
1963-01-01,SD,004,0.0
1962-01-01,SD,004,0.0
1961-01-01,SD,004,0.0
1960-01-01,SD,004,0.0
2020-02-01,SD,005,17.18
2020-01-01,SD,005,18.21
2019-12-01,SD,005,12.7
2019-11-01,SD,005,14.76
2019-10-01,SD,005,17.34
2019-09-01,SD,005,15.99
2019-08-01,SD,005,16.85
2019-07-01,SD,005,15.4
2019-06-01,SD,005,15.23
2019-05-01,SD,005,15.49
2019-04-01,SD,005,15.79
2019-03-01,SD,005,15.98
2019-02-01,SD,005,16.19
2019-01-01,SD,005,16.13
2018-12-01,SD,005,15.83
2018-11-01,SD,005,16.55
2018-10-01,SD,005,16.79
2018-09-01,SD,005,16.92
2018-08-01,SD,005,17.8
2018-07-01,SD,005,17.67
2018-06-01,SD,005,17.82
2018-05-01,SD,005,17.96
2018-04-01,SD,005,14.66
2018-03-01,SD,005,14.98
2018-02-01,SD,005,13.66
2018-01-01,SD,005,13.56
2017-12-01,SD,005,13.38
2017-11-01,SD,005,12.98
2017-10-01,SD,005,5.41
2017-09-01,SD,005,5.38
2017-08-01,SD,005,8.18
2017-07-01,SD,005,15.96
2017-06-01,SD,005,9.88
2017-05-01,SD,005,9.88
2017-04-01,SD,005,9.28
2017-03-01,SD,005,10.54
2017-02-01,SD,005,10.48
2017-01-01,SD,005,10.23
2016-12-01,SD,005,9.72
2016-11-01,SD,005,9.61
2016-10-01,SD,005,10.6
2016-09-01,SD,005,11.46
2016-08-01,SD,005,11.01
2016-07-01,SD,005,13.1
2016-06-01,SD,005,9.17
2016-05-01,SD,005,11.52
2016-04-01,SD,005,10.49
2016-03-01,SD,005,5.7
2016-02-01,SD,005,11.53
2016-01-01,SD,005,10.49
2015-12-01,SD,005,12.55
2015-11-01,SD,005,15.89
2015-10-01,SD,005,14.02
2015-09-01,SD,005,14.11
2015-08-01,SD,005,14.36
2015-07-01,SD,005,13.26
2015-06-01,SD,005,12.93
2015-05-01,SD,005,14.15
2015-04-01,SD,005,13.12
2015-03-01,SD,005,12.68
2015-02-01,SD,005,15.57
2015-01-01,SD,005,12.72
2014-12-01,SD,005,12.71
2014-11-01,SD,005,14.35
2014-10-01,SD,005,14.33
2014-09-01,SD,005,16.22
2014-08-01,SD,005,13.91
2014-07-01,SD,005,14.05
2014-06-01,SD,005,26.77
2014-05-01,SD,005,26.66
2014-04-01,SD,005,21.26
2014-03-01,SD,005,20.74
2014-02-01,SD,005,28.73
2014-01-01,SD,005,14.19
2013-12-01,SD,005,14.1
2013-11-01,SD,005,14.12
2013-10-01,SD,005,14.55
2013-09-01,SD,005,13.97
2013-08-01,SD,005,13.42
2013-07-01,SD,005,12.93
2013-06-01,SD,005,13.13
2013-05-01,SD,005,12.97
2013-04-01,SD,005,12.89
2013-03-01,SD,005,13.03
2013-02-01,SD,005,12.91
2013-01-01,SD,005,14.75
2012-12-01,SD,005,14.71
2012-11-01,SD,005,12.57
2012-10-01,SD,005,13.0
2012-09-01,SD,005,13.22
2012-08-01,SD,005,11.35
2012-07-01,SD,005,11.35
2012-06-01,SD,005,11.35
2012-05-01,SD,005,11.35
2012-04-01,SD,005,11.35
2012-03-01,SD,005,11.35
2012-02-01,SD,005,11.35
2012-01-01,SD,005,11.35
2020-02-01,SD,007,-275207.0
2020-01-01,SD,007,-243989.0
2019-12-01,SD,007,-220617.0
2019-11-01,SD,007,-209547.0
2019-10-01,SD,007,-215388.0
2019-09-01,SD,007,-214582.0
2019-08-01,SD,007,-211786.0
2019-07-01,SD,007,-203757.0
2019-06-01,SD,007,-210413.0
2019-05-01,SD,007,-210420.0
2019-04-01,SD,007,-205165.0
2019-03-01,SD,007,-226096.0
2019-02-01,SD,007,-220798.0
2019-01-01,SD,007,-210829.0
2018-12-01,SD,007,-222529.0
2018-11-01,SD,007,-214010.0
2018-10-01,SD,007,-204909.0
2018-09-01,SD,007,-75831.0
