date,country_code,indicator_code,value
2020-02-01,SE,001,42.6
2020-01-01,SE,001,-81.1
2019-12-01,SE,001,-24.4
2019-11-01,SE,001,1.4
2019-10-01,SE,001,-29.8
2019-09-01,SE,001,1.7
2019-08-01,SE,001,-102.9
2019-07-01,SE,001,20.3
2019-06-01,SE,001,191.9
2019-05-01,SE,001,-47.5
2019-04-01,SE,001,8.4
2019-03-01,SE,001,66.1
2019-02-01,SE,001,9.9
2019-01-01,SE,001,-63.0
2018-12-01,SE,001,-12.7
2018-11-01,SE,001,0.5
2018-10-01,SE,001,6.6
2018-09-01,SE,001,-54.4
2018-08-01,SE,001,-127.8
2018-07-01,SE,001,74.5
2018-06-01,SE,001,95.3
2018-05-01,SE,001,57.9
2018-04-01,SE,001,5.0
2018-03-01,SE,001,-0.5
2018-02-01,SE,001,70.0
2018-01-01,SE,001,-35.7
2017-12-01,SE,001,-30.7
2017-11-01,SE,001,-5.9
2017-10-01,SE,001,-10.7
2017-09-01,SE,001,-57.3
2017-08-01,SE,001,-54.6
2017-07-01,SE,001,34.8
2017-06-01,SE,001,145.5
2017-05-01,SE,001,17.9
2017-04-01,SE,001,2.5
2017-03-01,SE,001,42.9
2017-02-01,SE,001,39.7
2017-01-01,SE,001,-12.4
2016-12-01,SE,001,-53.9
2016-11-01,SE,001,16.8
2016-10-01,SE,001,14.3
2016-09-01,SE,001,-45.2
2016-08-01,SE,001,-98.1
2016-07-01,SE,001,40.8
2016-06-01,SE,001,126.4
2016-05-01,SE,001,19.0
2016-04-01,SE,001,40.2
2016-03-01,SE,001,26.8
2016-02-01,SE,001,15.2
2016-01-01,SE,001,-30.5
2015-12-01,SE,001,-51.8
2015-11-01,SE,001,19.6
2015-10-01,SE,001,21.4
2015-09-01,SE,001,-129.9
2015-08-01,SE,001,-41.0
2015-07-01,SE,001,100.1
2015-06-01,SE,001,73.6
2015-05-01,SE,001,67.3
2015-04-01,SE,001,-5.1
2015-03-01,SE,001,37.2
2015-02-01,SE,001,13.1
2015-01-01,SE,001,-46.6
2014-12-01,SE,001,-22.4
2014-11-01,SE,001,13.6
2014-10-01,SE,001,-36.8
2014-09-01,SE,001,-54.0
2014-08-01,SE,001,-119.3
2014-07-01,SE,001,112.5
2014-06-01,SE,001,124.0
2014-05-01,SE,001,47.6
2014-04-01,SE,001,-3.1
2014-03-01,SE,001,53.2
2014-02-01,SE,001,28.8
2014-01-01,SE,001,-60.9
2013-12-01,SE,001,-24.4
2013-11-01,SE,001,-41.6
2013-10-01,SE,001,38.3
2013-09-01,SE,001,-58.6
2013-08-01,SE,001,-138.5
2013-07-01,SE,001,89.4
2013-06-01,SE,001,148.2
2013-05-01,SE,001,25.4
2013-04-01,SE,001,-1.1
2013-03-01,SE,001,46.2
2013-02-01,SE,001,18.9
2013-01-01,SE,001,-69.4
2012-12-01,SE,001,17.4
2012-11-01,SE,001,-26.6
2012-10-01,SE,001,-10.1
2012-09-01,SE,001,-51.4
2012-08-01,SE,001,-121.4
2012-07-01,SE,001,51.5
2012-06-01,SE,001,171.9
2012-05-01,SE,001,12.6
2012-04-01,SE,001,-17.7
2012-03-01,SE,001,62.4
2012-02-01,SE,001,39.1
2012-01-01,SE,001,-87.5
2011-12-01,SE,001,-12.5
2011-11-01,SE,001,-8.2
2011-10-01,SE,001,1.8
2011-09-01,SE,001,-86.8
2011-08-01,SE,001,-92.5
2011-07-01,SE,001,74.2
2011-06-01,SE,001,134.9
2011-05-01,SE,001,8.0
2011-04-01,SE,001,51.4
2011-03-01,SE,001,-3.4
2011-02-01,SE,001,17.4
2011-01-01,SE,001,-9.7
2010-12-01,SE,001,-6.0
2010-11-01,SE,001,-2.4
2010-10-01,SE,001,-3.0
2010-09-01,SE,001,-42.6
2010-08-01,SE,001,-137.0
2010-07-01,SE,001,83.2
2010-06-01,SE,001,164.4
2010-05-01,SE,001,17.9
2010-04-01,SE,001,23.3
2010-03-01,SE,001,18.7
