date,country_code,indicator_code,value
2017-01-01,SG,001,-3.31
2016-01-01,SG,001,1.18
2015-01-01,SG,001,1.65
2014-01-01,SG,001,3.82
2013-01-01,SG,001,4.08
2012-01-01,SG,001,3.94
2011-01-01,SG,001,3.75
2010-01-01,SG,001,3.54
2009-01-01,SG,001,2.34
2008-01-01,SG,001,9.56
2007-01-01,SG,001,8.73
2006-01-01,SG,001,6.84
2005-01-01,SG,001,4.56
2004-01-01,SG,001,2.03
2003-01-01,SG,001,-1.13
2002-01-01,SG,001,36.08
1999-01-01,SG,001,1.64
1998-01-01,SG,001,-0.4
1997-01-01,SG,001,2.39
1996-01-01,SG,001,-13.94
1995-01-01,SG,001,20.2
1994-01-01,SG,001,2.5
1993-01-01,SG,001,0.86
1992-01-01,SG,001,1.84
1991-01-01,SG,001,-12.49
1990-01-01,SG,001,10.26
1989-01-01,SG,001,4.69
1988-01-01,SG,001,5.11
1987-01-01,SG,001,4.32
1986-01-01,SG,001,-1.59
2019-10-01,SG,002,5783.0
2019-07-01,SG,002,5183.0
2019-04-01,SG,002,5225.0
2019-01-01,SG,002,6005.0
2018-10-01,SG,002,5752.0
2018-07-01,SG,002,4962.0
2018-04-01,SG,002,5119.0
2018-01-01,SG,002,5808.0
2017-10-01,SG,002,5596.0
2017-07-01,SG,002,4795.0
2017-04-01,SG,002,4939.0
2017-01-01,SG,002,5586.0
2016-10-01,SG,002,5379.0
2016-07-01,SG,002,4646.0
2016-04-01,SG,002,4789.0
2016-01-01,SG,002,5483.0
2015-10-01,SG,002,5205.0
2015-07-01,SG,002,4493.0
2015-04-01,SG,002,4611.0
2015-01-01,SG,002,5259.0
2014-10-01,SG,002,5040.0
2014-07-01,SG,002,4314.0
2014-04-01,SG,002,4445.0
2014-01-01,SG,002,5108.0
2013-10-01,SG,002,4998.0
2013-07-01,SG,002,4212.0
2013-04-01,SG,002,4329.0
2013-01-01,SG,002,4948.0
2012-10-01,SG,002,4773.0
2012-07-01,SG,002,4078.0
2012-04-01,SG,002,4162.0
2012-01-01,SG,002,4717.0
2011-10-01,SG,002,4655.0
2011-07-01,SG,002,3956.0
2011-04-01,SG,002,4048.0
2011-01-01,SG,002,4677.0
2010-10-01,SG,002,4474.0
2010-07-01,SG,002,3754.0
2010-04-01,SG,002,3819.0
2010-01-01,SG,002,4310.0
2009-10-01,SG,002,4160.0
2009-07-01,SG,002,3562.0
2009-04-01,SG,002,3609.0
2009-01-01,SG,002,4155.0
2008-10-01,SG,002,4229.0
2008-07-01,SG,002,3674.0
2008-04-01,SG,002,3690.0
2008-01-01,SG,002,4316.0
2007-10-01,SG,002,4130.0
2007-07-01,SG,002,3481.0
2007-04-01,SG,002,3578.0
2007-01-01,SG,002,3903.0
2006-10-01,SG,002,3961.0
2006-07-01,SG,002,3256.0
2006-04-01,SG,002,3297.0
2006-01-01,SG,002,3700.0
2005-10-01,SG,002,3843.0
2005-07-01,SG,002,3166.0
2005-04-01,SG,002,3175.0
2005-01-01,SG,002,3592.0
2004-10-01,SG,002,3762.0
2004-07-01,SG,002,3030.0
2004-04-01,SG,002,3097.0
2004-01-01,SG,002,3428.0
2003-10-01,SG,002,3605.0
2003-07-01,SG,002,2988.0
2003-04-01,SG,002,2975.0
2003-01-01,SG,002,3283.0
2002-10-01,SG,002,3548.0
2002-07-01,SG,002,2949.0
2002-04-01,SG,002,2931.0
2002-01-01,SG,002,3206.0
2001-10-01,SG,002,3463.0
2001-07-01,SG,002,2963.0
2001-04-01,SG,002,2919.0
2001-01-01,SG,002,3189.0
2000-10-01,SG,002,3653.0
2000-07-01,SG,002,2826.0
2000-04-01,SG,002,2755.0
2000-01-01,SG,002,3018.0
1999-10-01,SG,002,3287.0
1999-07-01,SG,002,2600.0
1999-04-01,SG,002,2570.0
1999-01-01,SG,002,2793.0
1998-10-01,SG,002,3104.0
1998-07-01,SG,002,2511.0
1998-04-01,SG,002,2544.0
1998-01-01,SG,002,2800.0
1997-10-01,SG,002,2831.0
1997-07-01,SG,002,2335.0
1997-04-01,SG,002,2319.0
1997-01-01,SG,002,2436.0
1996-10-01,SG,002,2665.0
1996-07-01,SG,002,2219.0
1996-04-01,SG,002,2188.0
1996-01-01,SG,002,2317.0
1995-10-01,SG,002,2527.0
1995-07-01,SG,002,2114.0
1995-04-01,SG,002,2067.0
1995-01-01,SG,002,2167.0
1994-10-01,SG,002,2408.0
1994-07-01,SG,002,1974.0
1994-04-01,SG,002,1937.0
1994-01-01,SG,002,2023.0
1993-10-01,SG,002,2225.0
1993-07-01,SG,002,1812.0
1993-04-01,SG,002,1779.0
1993-01-01,SG,002,1854.0
2019-10-01,SG,003,44.7
2019-07-01,SG,003,44.7
2019-04-01,SG,003,44.7
2019-01-01,SG,003,44.6
2018-10-01,SG,003,44.7
2018-07-01,SG,003,44.9
2018-04-01,SG,003,44.9
2018-01-01,SG,003,44.8
2017-10-01,SG,003,45.0
2017-07-01,SG,003,45.1
2017-04-01,SG,003,45.2
2017-01-01,SG,003,45.2
2016-10-01,SG,003,45.3
2016-07-01,SG,003,45.6
2016-04-01,SG,003,45.6
2016-01-01,SG,003,45.5
2015-10-01,SG,003,45.5
2015-07-01,SG,003,45.6
2015-04-01,SG,003,45.6
2015-01-01,SG,003,45.6
2014-10-01,SG,003,45.8
2014-07-01,SG,003,46.0
2014-04-01,SG,003,46.1
2014-01-01,SG,003,45.9
2013-10-01,SG,003,46.2
2013-07-01,SG,003,46.2
2013-04-01,SG,003,46.3
2013-01-01,SG,003,46.2
2012-10-01,SG,003,46.2
2012-07-01,SG,003,46.2
2012-04-01,SG,003,46.4
2012-01-01,SG,003,46.2
2011-10-01,SG,003,46.1
2011-07-01,SG,003,46.2
2011-04-01,SG,003,46.2
2011-01-01,SG,003,46.2
2010-10-01,SG,003,46.2
2010-07-01,SG,003,46.3
2010-04-01,SG,003,46.3
2010-01-01,SG,003,46.2
2009-10-01,SG,003,46.2
2009-07-01,SG,003,46.2
2009-04-01,SG,003,45.9
2009-01-01,SG,003,45.6
2008-10-01,SG,003,46.0
2008-07-01,SG,003,46.6
2008-04-01,SG,003,46.4
2008-01-01,SG,003,46.3
2007-10-01,SG,003,46.4
2007-07-01,SG,003,46.3
2007-04-01,SG,003,46.2
2007-01-01,SG,003,46.2
2006-10-01,SG,003,46.2
2006-07-01,SG,003,46.2
2006-04-01,SG,003,46.2
2006-01-01,SG,003,46.1
2005-10-01,SG,003,46.5
2005-07-01,SG,003,46.6
2005-04-01,SG,003,46.6
2005-01-01,SG,003,46.3
2004-10-01,SG,003,46.2
2004-07-01,SG,003,46.3
2004-04-01,SG,003,46.4
2004-01-01,SG,003,46.2
2003-10-01,SG,003,46.3
2003-07-01,SG,003,46.0
2003-04-01,SG,003,45.8
2003-01-01,SG,003,45.9
2002-10-01,SG,003,45.9
2002-07-01,SG,003,46.1
2002-04-01,SG,003,46.0
2002-01-01,SG,003,45.8
2001-10-01,SG,003,45.7
2001-07-01,SG,003,46.1
2001-04-01,SG,003,46.4
2001-01-01,SG,003,46.6
2000-10-01,SG,003,47.1
2000-07-01,SG,003,47.1
2000-04-01,SG,003,47.0
2000-01-01,SG,003,46.9
1999-10-01,SG,003,46.7
1999-07-01,SG,003,46.8
1999-04-01,SG,003,46.9
