date,country_code,indicator_code,value
2020-02-01,SI,001,2885.0
2020-01-01,SI,001,-6172.0
2019-12-01,SI,001,-191.0
2019-11-01,SI,001,443.0
2019-10-01,SI,001,4531.0
2019-09-01,SI,001,3574.0
2019-08-01,SI,001,-580.0
2019-07-01,SI,001,-3453.0
2019-06-01,SI,001,1084.0
2019-05-01,SI,001,2901.0
2019-04-01,SI,001,3221.0
2019-03-01,SI,001,5322.0
2019-02-01,SI,001,3440.0
2019-01-01,SI,001,-5925.0
2018-12-01,SI,001,-783.0
2018-11-01,SI,001,2246.0
2018-10-01,SI,001,7813.0
2018-09-01,SI,001,5446.0
2018-08-01,SI,001,833.0
2018-07-01,SI,001,-2951.0
2018-06-01,SI,001,2300.0
2018-05-01,SI,001,2964.0
2018-04-01,SI,001,6129.0
2018-03-01,SI,001,6396.0
2018-02-01,SI,001,2386.0
2018-01-01,SI,001,-1810.0
2017-12-01,SI,001,-4808.0
2017-11-01,SI,001,2616.0
2017-10-01,SI,001,5229.0
2017-09-01,SI,001,5261.0
2017-08-01,SI,001,1009.0
2017-07-01,SI,001,-3382.0
2017-06-01,SI,001,3491.0
2017-05-01,SI,001,4436.0
2017-04-01,SI,001,8741.0
2017-03-01,SI,001,7402.0
2017-02-01,SI,001,3546.0
2017-01-01,SI,001,-1825.0
2016-12-01,SI,001,-6588.0
2016-11-01,SI,001,1771.0
2016-10-01,SI,001,4864.0
2016-09-01,SI,001,5702.0
2016-08-01,SI,001,920.0
2016-07-01,SI,001,-2202.0
2016-06-01,SI,001,2374.0
2016-05-01,SI,001,3758.0
2016-04-01,SI,001,4691.0
2016-03-01,SI,001,7276.0
2016-02-01,SI,001,3922.0
2016-01-01,SI,001,-5647.0
2015-12-01,SI,001,-7738.0
2015-11-01,SI,001,976.0
2015-10-01,SI,001,336.0
2015-09-01,SI,001,4425.0
2015-08-01,SI,001,166.0
2015-07-01,SI,001,-1586.0
2015-06-01,SI,001,2152.0
2015-05-01,SI,001,1950.0
2015-04-01,SI,001,497.0
2015-03-01,SI,001,5110.0
2015-02-01,SI,001,3102.0
2015-01-01,SI,001,-5704.0
2014-12-01,SI,001,-6819.0
2014-11-01,SI,001,353.0
2014-10-01,SI,001,901.0
2014-09-01,SI,001,3799.0
2014-08-01,SI,001,-111.0
2014-07-01,SI,001,-254.0
2014-06-01,SI,001,2005.0
2014-05-01,SI,001,3483.0
2014-04-01,SI,001,8947.0
2014-03-01,SI,001,4378.0
2014-02-01,SI,001,1715.0
2014-01-01,SI,001,-9762.0
2013-12-01,SI,001,-6909.0
2013-11-01,SI,001,268.0
2013-10-01,SI,001,2441.0
2013-09-01,SI,001,2279.0
2013-08-01,SI,001,-1115.0
2013-07-01,SI,001,-2102.0
2013-06-01,SI,001,1059.0
2013-05-01,SI,001,2397.0
2013-04-01,SI,001,2933.0
2013-03-01,SI,001,1209.0
2013-02-01,SI,001,152.0
2013-01-01,SI,001,-4237.0
2012-12-01,SI,001,-12054.0
2012-11-01,SI,001,-2139.0
2012-10-01,SI,001,-1176.0
2012-09-01,SI,001,-103.0
2012-08-01,SI,001,-2126.0
2012-07-01,SI,001,-5152.0
2012-06-01,SI,001,-1241.0
2012-05-01,SI,001,20.0
2012-04-01,SI,001,2420.0
2012-03-01,SI,001,2481.0
2012-02-01,SI,001,450.0
2012-01-01,SI,001,-5743.0
2011-12-01,SI,001,-6108.0
2011-11-01,SI,001,-998.0
2011-10-01,SI,001,-74.0
2011-09-01,SI,001,1454.0
2011-08-01,SI,001,-1125.0
2011-07-01,SI,001,-5048.0
2011-06-01,SI,001,176.0
