date,country_code,indicator_code,value
2019-01-01,SJ,126,256.0
2018-01-01,SJ,126,339.0
2017-01-01,SJ,126,6.0
2016-01-01,SJ,126,0.0
2015-12-01,SJ,172,50.7878
2015-11-01,SJ,172,51.2852
2015-10-01,SJ,172,50.4815
2015-09-01,SJ,172,45.9393
2015-08-01,SJ,172,45.4879
2015-07-01,SJ,172,33.4145
2015-06-01,SJ,172,26.63
2015-05-01,SJ,172,22.2978
2015-04-01,SJ,172,33.6416
2015-03-01,SJ,172,71.9721
2015-02-01,SJ,172,47.4627
2015-01-01,SJ,172,48.3174
2014-12-01,SJ,172,80.6607
2014-11-01,SJ,172,51.2542
2014-10-01,SJ,172,43.2805
2014-09-01,SJ,172,54.1292
2014-08-01,SJ,172,37.6886
2014-07-01,SJ,172,29.4977
2014-06-01,SJ,172,24.3712
2014-05-01,SJ,172,27.4271
2014-04-01,SJ,172,44.8725
2014-03-01,SJ,172,58.9756
2014-02-01,SJ,172,47.0741
2014-01-01,SJ,172,41.7906
2013-12-01,SJ,172,66.6193
2013-11-01,SJ,172,66.5429
2013-10-01,SJ,172,45.8709
2013-09-01,SJ,172,35.783
2013-08-01,SJ,172,48.2055
2013-07-01,SJ,172,32.562
2013-06-01,SJ,172,21.7151
2013-05-01,SJ,172,24.4127
2013-04-01,SJ,172,46.9836
2013-03-01,SJ,172,58.9576
2013-02-01,SJ,172,51.7126
2013-01-01,SJ,172,50.0475
2012-12-01,SJ,172,65.4341
2012-11-01,SJ,172,56.399
2012-10-01,SJ,172,43.5976
2012-09-01,SJ,172,50.774
2012-08-01,SJ,172,51.3365
2012-07-01,SJ,172,52.8413
2012-06-01,SJ,172,24.8216
2012-05-01,SJ,172,33.605
2012-04-01,SJ,172,36.8042
2012-03-01,SJ,172,51.5923
2012-02-01,SJ,172,60.9513
2012-01-01,SJ,172,50.1042
2011-12-01,SJ,172,60.197
2011-11-01,SJ,172,58.0078
2011-10-01,SJ,172,49.7256
2011-09-01,SJ,172,53.4316
2011-08-01,SJ,172,42.24
2011-07-01,SJ,172,44.4406
2011-06-01,SJ,172,24.3935
2011-05-01,SJ,172,34.6405
2011-04-01,SJ,172,43.8437
2011-03-01,SJ,172,75.042
2011-02-01,SJ,172,54.3357
2011-01-01,SJ,172,59.0432
2010-12-01,SJ,172,62.5502
2010-11-01,SJ,172,51.2708
2010-10-01,SJ,172,45.1717
2010-09-01,SJ,172,38.7751
2010-08-01,SJ,172,39.9738
2010-07-01,SJ,172,37.367
2010-06-01,SJ,172,29.3127
2010-05-01,SJ,172,31.0351
2010-04-01,SJ,172,36.8316
2010-03-01,SJ,172,50.943
2010-02-01,SJ,172,40.938
