date,country_code,indicator_code,value
2019-10-01,SK,001,6.1
2019-07-01,SK,001,15.2
2019-04-01,SK,001,-18.5
2019-01-01,SK,001,-0.9
2018-10-01,SK,001,10.3
2018-07-01,SK,001,23.0
2018-04-01,SK,001,13.4
2018-01-01,SK,001,2.4
2017-10-01,SK,001,-2.8
2017-07-01,SK,001,16.2
2017-04-01,SK,001,14.1
2017-01-01,SK,001,0.0999999999999
2016-10-01,SK,001,9.2
2016-07-01,SK,001,12.6
2016-04-01,SK,001,29.2
2016-01-01,SK,001,9.2
2015-10-01,SK,001,17.6
2015-07-01,SK,001,18.0
2015-04-01,SK,001,24.8
2015-01-01,SK,001,1.1
2014-10-01,SK,001,14.6
2014-07-01,SK,001,22.7
2014-04-01,SK,001,22.3
2014-01-01,SK,001,4.2
2013-10-01,SK,001,-7.3
2013-07-01,SK,001,6.6
2013-04-01,SK,001,0.0999999999999
2013-01-01,SK,001,14.0
2012-10-01,SK,001,-29.1
2012-07-01,SK,001,8.1
2012-04-01,SK,001,10.0
2012-01-01,SK,001,9.0
2011-10-01,SK,001,-14.6
2011-07-01,SK,001,11.1
2011-04-01,SK,001,23.1
2011-01-01,SK,001,-43.3
2010-10-01,SK,001,4.4
2010-07-01,SK,001,22.5
2010-04-01,SK,001,29.4
2010-01-01,SK,001,-46.5
2009-10-01,SK,001,-37.3
2009-07-01,SK,001,-11.6
2009-04-01,SK,001,-9.7
2009-01-01,SK,001,-77.8
2008-10-01,SK,001,-6.9
2008-07-01,SK,001,68.1
2008-04-01,SK,001,13.5
2008-01-01,SK,001,-7.0
2007-10-01,SK,001,31.8
2007-07-01,SK,001,28.8
2007-04-01,SK,001,11.1
2007-01-01,SK,001,-6.1
2006-10-01,SK,001,11.9
2006-07-01,SK,001,26.2
2006-04-01,SK,001,37.1
2006-01-01,SK,001,2.8
2005-10-01,SK,001,19.0
2005-07-01,SK,001,38.9
2005-04-01,SK,001,19.4
2005-01-01,SK,001,-22.4
2004-10-01,SK,001,-1.1
2004-07-01,SK,001,49.0
2004-04-01,SK,001,23.1
2004-01-01,SK,001,-41.8
2003-10-01,SK,001,-16.1
