date,country_code,indicator_code,value
2019-02-01,SM,001,0.164
2019-01-01,SM,001,0.062
2018-12-01,SM,001,-0.202
2018-11-01,SM,001,0.039
2018-10-01,SM,001,-0.036
2018-09-01,SM,001,-0.287
2018-08-01,SM,001,-0.064
2018-07-01,SM,001,0.29
2018-06-01,SM,001,0.093
2018-05-01,SM,001,0.056
2018-04-01,SM,001,0.178
2018-03-01,SM,001,0.377
2018-02-01,SM,001,0.183
2017-04-01,SM,001,0.076
2017-03-01,SM,001,0.149
2017-02-01,SM,001,0.117
2017-01-01,SM,001,-0.034
2016-12-01,SM,001,-0.185
2016-11-01,SM,001,-0.055
2016-10-01,SM,001,-0.043
2016-09-01,SM,001,-0.092
2016-08-01,SM,001,-0.066
2016-07-01,SM,001,0.191
2016-06-01,SM,001,0.054
2016-05-01,SM,001,0.081
2016-04-01,SM,001,0.175
2016-03-01,SM,001,0.32
2016-02-01,SM,001,0.132
2016-01-01,SM,001,-0.11
2015-12-01,SM,001,-0.231
2015-11-01,SM,001,-0.056
2015-10-01,SM,001,-0.102
2015-09-01,SM,001,0.021
2015-08-01,SM,001,-0.133
2015-07-01,SM,001,0.02
2015-06-01,SM,001,0.053
2015-05-01,SM,001,0.0
2015-04-01,SM,001,0.082
2015-03-01,SM,001,0.19
2015-02-01,SM,001,0.122
2015-01-01,SM,001,0.092
2014-12-01,SM,001,-0.3
2014-11-01,SM,001,-0.081
2014-10-01,SM,001,-0.029
2014-09-01,SM,001,-0.098
2014-08-01,SM,001,-0.28
2014-07-01,SM,001,0.164
2014-06-01,SM,001,-0.059
2014-05-01,SM,001,0.067
2014-04-01,SM,001,0.131
2014-03-01,SM,001,0.171
2014-02-01,SM,001,0.006
2014-01-01,SM,001,-0.124
2013-12-01,SM,001,-0.266
2013-11-01,SM,001,-0.021
2013-10-01,SM,001,-0.073
2013-09-01,SM,001,-0.069
2013-08-01,SM,001,-0.297
2013-07-01,SM,001,0.213
2013-06-01,SM,001,0.017
2013-05-01,SM,001,0.037
2013-04-01,SM,001,0.109
2013-03-01,SM,001,0.182
2013-02-01,SM,001,0.04
2013-01-01,SM,001,-0.091
2012-12-01,SM,001,-0.239
2012-11-01,SM,001,-0.072
2012-10-01,SM,001,-0.118
2012-09-01,SM,001,-0.101
2012-08-01,SM,001,-0.166
2012-07-01,SM,001,0.066
2012-06-01,SM,001,0.016
2012-05-01,SM,001,0.073
2012-04-01,SM,001,0.053
2012-03-01,SM,001,0.097
2012-02-01,SM,001,0.115
2012-01-01,SM,001,-0.161
2011-12-01,SM,001,-0.369
2011-11-01,SM,001,-0.004
2011-10-01,SM,001,-0.068
2011-09-01,SM,001,-0.137
2011-08-01,SM,001,-0.194
2011-07-01,SM,001,0.116
2011-06-01,SM,001,-0.012
2011-05-01,SM,001,0.039
2011-04-01,SM,001,0.032
2011-03-01,SM,001,0.133
2011-02-01,SM,001,0.036
2011-01-01,SM,001,-0.046
2010-12-01,SM,001,-0.311
2010-11-01,SM,001,-0.011
2010-10-01,SM,001,-0.117
2010-09-01,SM,001,-0.142
2010-08-01,SM,001,-0.167
2010-07-01,SM,001,-0.064
2010-06-01,SM,001,0.051
2010-05-01,SM,001,0.055
2010-04-01,SM,001,0.151
2010-03-01,SM,001,0.113
2010-02-01,SM,001,0.171
2017-01-01,SM,004,2384.0
2016-01-01,SM,004,2296.0
2015-01-01,SM,004,2232.0
2014-01-01,SM,004,2150.0
2013-01-01,SM,004,2128.0
2012-01-01,SM,004,2245.0
2011-01-01,SM,004,2580.0
2010-01-01,SM,004,2907.0
