date,country_code,indicator_code,value
2020-01-01,SS,004,289.0
2019-01-01,SS,004,270.0
2018-01-01,SS,004,134.0
2017-01-01,SS,004,-267.0
2016-01-01,SS,004,437.0
2015-01-01,SS,004,594.0
2014-01-01,SS,004,3454.0
2013-01-01,SS,004,-2838.0
2020-02-01,SS,005,17.18
2020-01-01,SS,005,18.21
2019-12-01,SS,005,12.7
2019-11-01,SS,005,14.76
2019-10-01,SS,005,17.34
2019-09-01,SS,005,15.99
2019-08-01,SS,005,16.85
2019-07-01,SS,005,15.4
2019-06-01,SS,005,15.23
2019-05-01,SS,005,15.49
2019-04-01,SS,005,15.79
2019-03-01,SS,005,15.98
2019-02-01,SS,005,16.19
2019-01-01,SS,005,16.13
2018-12-01,SS,005,15.83
2018-11-01,SS,005,16.55
2018-10-01,SS,005,16.79
2018-09-01,SS,005,16.92
2018-08-01,SS,005,17.8
2018-07-01,SS,005,17.67
2018-06-01,SS,005,17.82
2018-05-01,SS,005,17.96
2018-04-01,SS,005,14.66
2018-03-01,SS,005,14.98
2018-02-01,SS,005,13.66
2018-01-01,SS,005,13.56
2017-12-01,SS,005,13.38
2017-11-01,SS,005,12.98
2017-10-01,SS,005,5.41
2017-09-01,SS,005,5.38
2017-08-01,SS,005,8.18
2017-07-01,SS,005,15.96
2017-06-01,SS,005,9.88
2017-05-01,SS,005,9.88
2017-04-01,SS,005,9.28
2017-03-01,SS,005,10.54
2017-02-01,SS,005,10.48
2017-01-01,SS,005,10.23
2016-12-01,SS,005,9.72
2016-11-01,SS,005,9.61
2016-10-01,SS,005,10.6
2016-09-01,SS,005,11.46
2016-08-01,SS,005,11.01
2016-07-01,SS,005,13.1
2016-06-01,SS,005,9.17
2016-05-01,SS,005,11.52
2016-04-01,SS,005,10.49
2016-03-01,SS,005,5.7
2016-02-01,SS,005,11.53
2016-01-01,SS,005,10.49
2015-12-01,SS,005,12.55
2015-11-01,SS,005,15.89
2015-10-01,SS,005,14.02
2015-09-01,SS,005,14.11
2015-08-01,SS,005,14.36
2015-07-01,SS,005,13.26
2015-06-01,SS,005,12.93
2015-05-01,SS,005,14.15
2015-04-01,SS,005,13.12
2015-03-01,SS,005,12.68
2015-02-01,SS,005,15.57
2015-01-01,SS,005,12.72
2014-12-01,SS,005,12.71
2014-11-01,SS,005,14.35
2014-10-01,SS,005,14.33
2014-09-01,SS,005,16.22
2014-08-01,SS,005,13.91
2014-07-01,SS,005,14.05
2014-06-01,SS,005,26.77
2014-05-01,SS,005,26.66
2014-04-01,SS,005,21.26
2014-03-01,SS,005,20.74
2014-02-01,SS,005,28.73
2014-01-01,SS,005,14.19
2013-12-01,SS,005,14.1
2013-11-01,SS,005,14.12
2013-10-01,SS,005,14.55
2013-09-01,SS,005,13.97
2013-08-01,SS,005,13.42
2013-07-01,SS,005,12.93
2013-06-01,SS,005,13.13
2013-05-01,SS,005,12.97
2013-04-01,SS,005,12.89
2013-03-01,SS,005,13.03
