date,country_code,indicator_code,value
2019-05-01,ST,004,-9.879581
2019-04-01,ST,004,-13.009318
2019-03-01,ST,004,-9.831017
2019-02-01,ST,004,-8.598155
2019-01-01,ST,004,-10.436062
2018-12-01,ST,004,-6.832778
2018-11-01,ST,004,-12.733258
2018-10-01,ST,004,-14.085866
2018-09-01,ST,004,-13.378988
2018-08-01,ST,004,-11.27016
2018-07-01,ST,004,-10.058524
2018-06-01,ST,004,-10.314863
2018-05-01,ST,004,-12.957985
2018-04-01,ST,004,-12.253739
2018-03-01,ST,004,-9.039362
2018-02-01,ST,004,-12.658927
2018-01-01,ST,004,-9.468722
2017-12-01,ST,004,-7.955786
2017-11-01,ST,004,-13.747845
2017-10-01,ST,004,-13.900313
2017-09-01,ST,004,-12.197028
2017-08-01,ST,004,-12.183748
2017-07-01,ST,004,-13.708338
2017-06-01,ST,004,-10.611516
2017-05-01,ST,004,-15.008975
2017-04-01,ST,004,-10.132913
2017-03-01,ST,004,-12.184447
2017-02-01,ST,004,-9.002634
2017-01-01,ST,004,-5.323315
2016-12-01,ST,004,-8.468954
2016-11-01,ST,004,-11.6933
2016-10-01,ST,004,-11.264793
2016-09-01,ST,004,-10.350953
2016-08-01,ST,004,-10.261051
2016-07-01,ST,004,-12.746279
2016-06-01,ST,004,-15.48343
2016-05-01,ST,004,-9.999027
2016-04-01,ST,004,-17.324786
2016-03-01,ST,004,-11.233674
2016-02-01,ST,004,-10.032535
2016-01-01,ST,004,-9.644321
2015-12-01,ST,004,-10.406738
2015-11-01,ST,004,-11.673034
2015-10-01,ST,004,-12.918215
2015-09-01,ST,004,-14.494787
2015-08-01,ST,004,-10.215085
2015-07-01,ST,004,-11.574067
2015-06-01,ST,004,-10.735548
2015-05-01,ST,004,-9.679661
2015-04-01,ST,004,-9.456701
2015-03-01,ST,004,-11.900727
2015-02-01,ST,004,-8.469123
2015-01-01,ST,004,-10.171466
2014-12-01,ST,004,-7.006397
2014-11-01,ST,004,-17.040483
2014-10-01,ST,004,-16.586718
2014-09-01,ST,004,-16.450875
2014-08-01,ST,004,-11.983099
2014-07-01,ST,004,-11.663962
2014-06-01,ST,004,-14.886586
2014-05-01,ST,004,-12.784437
2014-04-01,ST,004,-11.080985
2014-03-01,ST,004,-11.474363
2014-02-01,ST,004,-15.720538
2014-01-01,ST,004,-12.505848
2013-12-01,ST,004,-8.968317
2013-11-01,ST,004,-16.541315
2013-10-01,ST,004,-16.458813
2013-09-01,ST,004,-11.538721
2013-08-01,ST,004,-11.030588
2013-07-01,ST,004,-10.501838
2013-06-01,ST,004,-8.400608
2013-05-01,ST,004,-12.684832
2013-04-01,ST,004,-9.856531
2013-03-01,ST,004,-13.261258
2013-02-01,ST,004,-9.658406
2013-01-01,ST,004,-15.896646
2012-12-01,ST,004,-8.821213
2012-11-01,ST,004,-15.399115
2012-10-01,ST,004,-14.212164
2012-09-01,ST,004,-13.309798
2012-08-01,ST,004,-11.689122
2012-07-01,ST,004,-11.129602
2012-06-01,ST,004,-8.247882
2012-05-01,ST,004,-12.749477
2012-04-01,ST,004,-13.900954
2012-03-01,ST,004,-8.64182
2012-02-01,ST,004,-9.230244
2012-01-01,ST,004,-8.596595
2011-12-01,ST,004,-9.220463
2011-11-01,ST,004,-12.296938
2011-10-01,ST,004,-11.24404
2011-09-01,ST,004,-9.966745
2011-08-01,ST,004,-11.690033
2011-07-01,ST,004,-13.53382
2011-06-01,ST,004,-12.477682
2011-05-01,ST,004,-9.140779
2011-04-01,ST,004,-8.301781
2011-03-01,ST,004,-9.572537
2011-02-01,ST,004,-6.75928
2011-01-01,ST,004,-4.491759
2010-12-01,ST,004,-6.154308
2010-11-01,ST,004,-8.958043
2010-10-01,ST,004,-10.26672
2010-09-01,ST,004,-9.964845
2010-08-01,ST,004,-8.136495
2010-07-01,ST,004,-9.160335
2010-06-01,ST,004,-8.933743
2010-05-01,ST,004,-8.265768
2010-04-01,ST,004,-8.845431
2010-03-01,ST,004,-8.620844
2010-02-01,ST,004,-5.417584
2010-01-01,ST,004,-4.735096
2009-12-01,ST,004,-7.082997
2009-11-01,ST,004,-12.347978
2009-10-01,ST,004,-5.929157
2009-09-01,ST,004,-8.272891
2009-08-01,ST,004,-9.185393
2009-07-01,ST,004,-7.61065
2009-06-01,ST,004,-6.364062
2009-05-01,ST,004,-5.019676
2009-04-01,ST,004,-6.406906
2009-03-01,ST,004,-14.024422
2009-02-01,ST,004,-4.019259
2009-01-01,ST,004,-5.144788
2008-12-01,ST,004,-4.500543
2008-11-01,ST,004,-11.848089
2008-10-01,ST,004,-9.532505
2008-09-01,ST,004,-5.842989
2008-08-01,ST,004,-7.735351
2008-07-01,ST,004,-9.350433
2008-06-01,ST,004,-9.317896
2008-05-01,ST,004,-8.855674
2008-04-01,ST,004,-7.711201
2008-03-01,ST,004,-8.545801
2008-02-01,ST,004,-10.327766
2008-01-01,ST,004,-8.967536
2007-12-01,ST,004,-7.353677
2007-11-01,ST,004,-12.721148
2007-10-01,ST,004,-7.948688
2007-09-01,ST,004,-4.710221
2007-08-01,ST,004,-5.282309
2007-07-01,ST,004,-5.04091
2007-06-01,ST,004,-5.815947
2007-05-01,ST,004,-3.741843
2007-04-01,ST,004,-5.273914
2007-03-01,ST,004,-4.506831
2007-02-01,ST,004,-4.447483
2007-01-01,ST,004,-3.485714
2006-12-01,ST,004,-3.511125
2006-11-01,ST,004,-3.755772
2006-10-01,ST,004,-6.070728
2006-09-01,ST,004,-5.262566
2006-08-01,ST,004,-8.570571
2006-07-01,ST,004,-5.201716
2006-06-01,ST,004,-6.042101
2006-05-01,ST,004,-7.557186
2006-04-01,ST,004,-6.137301
2006-03-01,ST,004,-3.704551
2006-02-01,ST,004,-5.176344
2006-01-01,ST,004,-4.177727
2005-12-01,ST,004,-2.208462
2005-11-01,ST,004,-4.841223
2005-10-01,ST,004,-2.461291
2005-09-01,ST,004,-3.515389
2005-08-01,ST,004,-3.59548
2005-07-01,ST,004,-5.2453
2005-06-01,ST,004,-3.049687
2005-05-01,ST,004,-3.313256
2005-04-01,ST,004,-5.512462
2005-03-01,ST,004,-4.176393
2005-02-01,ST,004,-2.088105
2005-01-01,ST,004,-5.16237
2004-12-01,ST,004,-2.562704
2004-11-01,ST,004,-4.218878
2004-10-01,ST,004,-2.873394
2004-09-01,ST,004,-3.037257
2004-08-01,ST,004,-2.467099
2004-07-01,ST,004,-4.640843
2004-06-01,ST,004,-2.166041
2004-05-01,ST,004,-2.544978
2004-04-01,ST,004,-2.166081
2004-03-01,ST,004,-3.121269
2004-02-01,ST,004,-2.968347
2004-01-01,ST,004,-4.946988
2003-12-01,ST,004,-1.58677
2003-11-01,ST,004,-4.314099
2003-10-01,ST,004,-2.63154
2003-09-01,ST,004,-4.323747
2003-08-01,ST,004,-1.693756
2003-07-01,ST,004,-3.50432
2003-06-01,ST,004,-2.717433
2003-05-01,ST,004,-3.139112
2003-04-01,ST,004,-2.109155
2003-03-01,ST,004,-2.473687
2003-02-01,ST,004,-3.33294
2003-01-01,ST,004,-1.101825
2002-12-01,ST,004,-3.238668
2002-11-01,ST,004,-1.53092
2002-10-01,ST,004,-2.347002
2002-09-01,ST,004,-0.260042
2002-08-01,ST,004,-1.1592
2002-07-01,ST,004,-2.851972
2002-06-01,ST,004,-1.478288
2002-05-01,ST,004,-2.017549
2002-04-01,ST,004,-3.474935
2002-03-01,ST,004,-1.720528
2002-02-01,ST,004,-1.723935
2002-01-01,ST,004,-2.14828
2001-12-01,ST,004,-3.192868
2001-11-01,ST,004,-2.190772
2001-10-01,ST,004,-3.276732
2001-09-01,ST,004,-1.284245
2001-08-01,ST,004,-2.510488
2001-07-01,ST,004,-0.836255
2001-06-01,ST,004,-1.332412
2001-05-01,ST,004,-1.928266
2001-04-01,ST,004,-2.126263
2001-03-01,ST,004,-2.081185
2001-02-01,ST,004,-1.90692
2001-01-01,ST,004,-1.432409
2000-12-01,ST,004,-1.354847
2000-11-01,ST,004,-4.04944
2000-10-01,ST,004,-3.174226
2000-09-01,ST,004,-2.017554
2000-08-01,ST,004,-0.723627
2000-07-01,ST,004,-1.426951
2000-06-01,ST,004,-2.17604
2000-05-01,ST,004,-2.369517
2000-04-01,ST,004,-1.74589
2000-03-01,ST,004,-1.612779
2000-02-01,ST,004,-2.403377
2000-01-01,ST,004,-2.008342
1999-12-01,ST,004,-1.556195
1999-11-01,ST,004,-3.970264
1999-10-01,ST,004,-8.691987
1999-09-01,ST,004,-5.197561
1999-08-01,ST,004,-1.75237
1999-07-01,ST,004,-1.878736
1999-06-01,ST,004,-2.179458
1999-05-01,ST,004,-1.965936
1999-04-01,ST,004,-6.845135
1999-03-01,ST,004,-3.133654
1999-02-01,ST,004,-1.522186
1999-01-01,ST,004,-2.052299
1998-12-01,ST,004,-4.490814
1998-11-01,ST,004,-2.236641
1998-10-01,ST,004,-1.427235
1998-09-01,ST,004,-2.998317
1998-08-01,ST,004,-1.424645
1998-07-01,ST,004,-2.468009
1998-06-01,ST,004,-2.2404
1998-05-01,ST,004,-2.408206
1998-04-01,ST,004,-7.975365
1998-03-01,ST,004,-0.663038
1998-02-01,ST,004,-4.423005
1998-01-01,ST,004,0.441036
1997-12-01,ST,004,-0.47184
1997-11-01,ST,004,-1.656703
1997-10-01,ST,004,-5.33487
1997-09-01,ST,004,0.276683
1997-08-01,ST,004,-4.402248
1997-07-01,ST,004,0.016819
1997-06-01,ST,004,-4.087678
1997-05-01,ST,004,-0.277624
1997-04-01,ST,004,-0.489974
1997-03-01,ST,004,-14.715248
1997-02-01,ST,004,-0.617862
1997-01-01,ST,004,-0.302599
1996-12-01,ST,004,-1.651648
1996-11-01,ST,004,-1.257894
1996-10-01,ST,004,-1.026793
1996-09-01,ST,004,-0.481597
1996-08-01,ST,004,-1.919227
1996-07-01,ST,004,-0.91994
1996-06-01,ST,004,-0.833318
1996-05-01,ST,004,-0.500378
1996-04-01,ST,004,-5.386204
1996-03-01,ST,004,-5.088561
1996-02-01,ST,004,-6.109308
1996-01-01,ST,004,-5.057269
1995-12-01,ST,004,-4.948308
1995-11-01,ST,004,-6.684291
1995-10-01,ST,004,-9.39369
1995-09-01,ST,004,-0.127972
1995-08-01,ST,004,-1.475187
1995-07-01,ST,004,-2.042449
1995-06-01,ST,004,-1.355033
1995-05-01,ST,004,-1.174468
1995-04-01,ST,004,-0.919075
1995-03-01,ST,004,-5.537154
1995-02-01,ST,004,-2.563566
1995-01-01,ST,004,-1.497161
1994-12-01,ST,004,-6.206842
1994-11-01,ST,004,-2.434289
1994-10-01,ST,004,-5.596704
1994-09-01,ST,004,-0.748768
1994-08-01,ST,004,-15.145467
1994-07-01,ST,004,-4.877624
1994-06-01,ST,004,-2.229201
1994-05-01,ST,004,-1.829862
1994-04-01,ST,004,-4.001282
1994-03-01,ST,004,-0.109107
1994-02-01,ST,004,-1.353661
1994-01-01,ST,004,-0.641242
1993-12-01,ST,004,-4.518566
1993-11-01,ST,004,-1.168928
1993-10-01,ST,004,-3.152914
1993-09-01,ST,004,-1.652251
1993-08-01,ST,004,-0.444743
1993-07-01,ST,004,-0.755934
1993-06-01,ST,004,-2.534551
1993-05-01,ST,004,-3.684556
1993-04-01,ST,004,-4.258723
1993-03-01,ST,004,-3.726815
1993-02-01,ST,004,-2.912359
1993-01-01,ST,004,-4.633529
1992-12-01,ST,004,-4.990198
1992-11-01,ST,004,-3.189935
1992-10-01,ST,004,-2.625183
1992-09-01,ST,004,-1.965546
1992-08-01,ST,004,-1.088468
1992-07-01,ST,004,-3.03883
1992-06-01,ST,004,-1.934074
1992-05-01,ST,004,-2.600127
1992-04-01,ST,004,-2.451656
1992-03-01,ST,004,-1.49106
1992-02-01,ST,004,-1.942428
1992-01-01,ST,004,-2.81858
1991-12-01,ST,004,-3.159775
1991-11-01,ST,004,-2.516268
1991-10-01,ST,004,-2.723736
1991-09-01,ST,004,14.553538
1991-08-01,ST,004,-2.811034
1991-07-01,ST,004,-2.060992
1991-06-01,ST,004,-1.772572
1991-05-01,ST,004,-3.776079
1991-04-01,ST,004,-2.332368
1991-03-01,ST,004,-2.425184
1991-02-01,ST,004,-2.555405
1991-01-01,ST,004,-2.407869
1990-12-01,ST,004,1.514497
1990-11-01,ST,004,-5.156771
1990-10-01,ST,004,-2.573321
1990-09-01,ST,004,-2.181485
1990-08-01,ST,004,-3.445879
1990-07-01,ST,004,-4.27229
1990-06-01,ST,004,-2.897791
1990-05-01,ST,004,1.510795
1990-04-01,ST,004,0.855187
1990-03-01,ST,004,-0.571605
1990-02-01,ST,004,-1.084468
1990-01-01,ST,004,-2.504989
1989-12-01,ST,004,-2.634621
1989-11-01,ST,004,-3.497764
1989-10-01,ST,004,-3.118407
1989-09-01,ST,004,-0.228644
1989-08-01,ST,004,-0.71068
1989-07-01,ST,004,-1.252798
1989-06-01,ST,004,-1.3895
1989-05-01,ST,004,-10.833187
1989-04-01,ST,004,-3.780674
1989-03-01,ST,004,-2.829226
1989-02-01,ST,004,0.035463
1989-01-01,ST,004,-3.407686
1988-12-01,ST,004,-3.01561
1988-11-01,ST,004,-8.827952
1988-10-01,ST,004,-0.008136
1988-09-01,ST,004,1.439029
1988-08-01,ST,004,0.327125
1988-07-01,ST,004,-1.453174
1988-06-01,ST,004,0.822412
1988-05-01,ST,004,-0.147614
1988-04-01,ST,004,-0.110894
1988-03-01,ST,004,-2.802875
