date,country_code,indicator_code,value
2008-01-01,SV,001,1.76
2007-01-01,SV,001,-1.23
2006-01-01,SV,001,2.34
2005-01-01,SV,001,1.33
2004-01-01,SV,001,-1.18
2003-01-01,SV,001,2.75
2002-01-01,SV,001,-2.44
2001-01-01,SV,001,3.47
2000-01-01,SV,001,-3.33
1999-01-01,SV,001,2.12
1998-01-01,SV,001,7.3
1997-01-01,SV,001,0.95
1996-01-01,SV,001,4.23
1995-01-01,SV,001,1.13
1992-01-01,SV,001,100.11
1991-01-01,SV,001,0.61
1990-01-01,SV,001,12.0
1989-01-01,SV,001,10.27
1986-01-01,SV,001,-78.2
2018-01-01,SV,004,-5136.0
2017-01-01,SV,004,-4111.0
2016-01-01,SV,004,-3847.0
2015-01-01,SV,004,-4122.0
2014-01-01,SV,004,-4292.0
2013-01-01,SV,004,-4618.0
2012-01-01,SV,004,-4386.0
2011-01-01,SV,004,-4323.0
2010-01-01,SV,004,-3624.0
2009-01-01,SV,004,-3198.0
2008-01-01,SV,004,-4890.0
2007-01-01,SV,004,-4506.0
2006-01-01,SV,004,-3452.0
2005-01-01,SV,004,-2819.0
2004-01-01,SV,004,-2466.0
2003-01-01,SV,004,-2171.0
2002-01-01,SV,004,-1886.0
2001-01-01,SV,004,-1950.0
2000-01-01,SV,004,-1774.0
1999-01-01,SV,004,-1376.0
1998-01-01,SV,004,-1323.0
1997-01-01,SV,004,-1177.0
1996-01-01,SV,004,-1246.0
1995-01-01,SV,004,-1450.0
1994-01-01,SV,004,-1175.0
1993-01-01,SV,004,-988.0
1992-01-01,SV,004,-954.0
1991-01-01,SV,004,-699.0
1990-01-01,SV,004,-608.0
1989-01-01,SV,004,-457.0
1988-01-01,SV,004,-271.0
1987-01-01,SV,004,-281.0
1986-01-01,SV,004,-165.0
1985-01-01,SV,004,-287.0
1984-01-01,SV,004,-248.0
1983-01-01,SV,004,-190.0
1982-01-01,SV,004,-194.0
1981-01-01,SV,004,-237.0
1980-01-01,SV,004,33.0
1979-01-01,SV,004,-6.0
1978-01-01,SV,004,-290.0
1977-01-01,SV,004,20.0
1976-01-01,SV,004,-30.0
1975-01-01,SV,004,-97.0
1974-01-01,SV,004,-140.0
1973-01-01,SV,004,-44.0
1972-01-01,SV,004,12.0
1971-01-01,SV,004,-24.0
1970-01-01,SV,004,3.0
1969-01-01,SV,004,-27.0
1968-01-01,SV,004,-18.0
1967-01-01,SV,004,-29.0
1966-01-01,SV,004,-48.0
1965-01-01,SV,004,-21.0
2020-03-01,SV,005,6.51
2020-02-01,SV,005,6.44
2020-01-01,SV,005,6.47
2019-12-01,SV,005,6.45
2019-11-01,SV,005,6.66
2019-10-01,SV,005,6.69
2019-09-01,SV,005,6.79
2019-08-01,SV,005,6.63
2019-07-01,SV,005,6.63
2019-06-01,SV,005,6.52
2019-05-01,SV,005,6.73
2019-04-01,SV,005,6.57
2019-03-01,SV,005,6.47
2019-02-01,SV,005,6.6
2019-01-01,SV,005,6.55
2018-12-01,SV,005,6.5
2018-11-01,SV,005,6.67
2018-10-01,SV,005,6.53
2018-09-01,SV,005,6.44
2018-08-01,SV,005,6.68
2018-07-01,SV,005,6.59
2018-06-01,SV,005,6.57
2018-05-01,SV,005,6.53
2018-04-01,SV,005,6.42
2018-03-01,SV,005,6.55
2018-02-01,SV,005,6.54
2018-01-01,SV,005,6.53
2017-12-01,SV,005,6.65
2017-11-01,SV,005,6.66
2017-10-01,SV,005,6.51
2017-09-01,SV,005,6.41
2017-08-01,SV,005,6.57
2017-07-01,SV,005,6.42
2017-06-01,SV,005,6.56
2017-05-01,SV,005,6.51
2017-04-01,SV,005,6.42
2017-03-01,SV,005,6.2
2017-02-01,SV,005,6.44
2017-01-01,SV,005,6.28
2016-12-01,SV,005,6.39
2016-11-01,SV,005,6.58
2016-10-01,SV,005,6.39
2016-09-01,SV,005,6.27
2016-08-01,SV,005,6.34
2016-07-01,SV,005,6.5
2016-06-01,SV,005,6.58
2016-05-01,SV,005,6.41
2016-04-01,SV,005,6.27
2016-03-01,SV,005,6.12
2016-02-01,SV,005,6.31
2016-01-01,SV,005,6.23
2015-12-01,SV,005,6.28
2015-11-01,SV,005,6.32
2015-10-01,SV,005,6.2
2015-09-01,SV,005,6.48
2015-08-01,SV,005,5.93
2015-07-01,SV,005,6.34
2015-06-01,SV,005,6.23
2015-05-01,SV,005,6.08
2015-04-01,SV,005,6.05
2015-03-01,SV,005,6.19
2015-02-01,SV,005,6.03
2015-01-01,SV,005,5.86
2014-12-01,SV,005,6.07
2014-11-01,SV,005,5.92
2014-10-01,SV,005,5.98
2014-09-01,SV,005,6.28
2014-08-01,SV,005,5.81
2014-07-01,SV,005,6.11
2014-06-01,SV,005,5.89
2014-05-01,SV,005,5.86
2014-04-01,SV,005,5.99
2014-03-01,SV,005,5.97
2014-02-01,SV,005,6.2
2014-01-01,SV,005,5.84
2013-12-01,SV,005,5.83
2013-11-01,SV,005,5.59
2013-10-01,SV,005,5.79
2013-09-01,SV,005,5.89
2013-08-01,SV,005,6.02
2013-07-01,SV,005,5.83
2013-06-01,SV,005,5.5
2013-05-01,SV,005,5.74
2013-04-01,SV,005,5.71
2013-03-01,SV,005,5.64
2013-02-01,SV,005,5.69
2013-01-01,SV,005,5.64
2012-12-01,SV,005,5.69
2012-11-01,SV,005,5.84
2012-10-01,SV,005,5.78
2012-09-01,SV,005,5.6
2012-08-01,SV,005,5.71
2012-07-01,SV,005,5.49
2012-06-01,SV,005,5.44
2012-05-01,SV,005,5.66
2012-04-01,SV,005,5.28
2012-03-01,SV,005,5.53
2012-02-01,SV,005,5.61
2012-01-01,SV,005,5.59
2011-12-01,SV,005,5.43
2011-11-01,SV,005,5.54
2011-10-01,SV,005,5.64
2011-09-01,SV,005,5.89
2011-08-01,SV,005,5.75
2011-07-01,SV,005,5.82
2011-06-01,SV,005,5.63
2011-05-01,SV,005,6.34
2011-04-01,SV,005,6.26
2011-03-01,SV,005,6.41
2011-02-01,SV,005,6.56
2011-01-01,SV,005,6.59
2010-12-01,SV,005,6.59
2010-11-01,SV,005,6.93
2010-10-01,SV,005,6.89
2010-09-01,SV,005,7.07
2010-08-01,SV,005,7.33
2010-07-01,SV,005,7.47
2010-06-01,SV,005,7.49
2010-05-01,SV,005,7.86
2010-04-01,SV,005,8.23
2010-03-01,SV,005,8.22
2010-02-01,SV,005,8.81
2010-01-01,SV,005,8.6
2009-12-01,SV,005,8.42
2009-11-01,SV,005,9.12
2009-10-01,SV,005,9.03
2009-09-01,SV,005,9.22
2009-08-01,SV,005,9.45
2009-07-01,SV,005,9.28
2009-06-01,SV,005,9.51
2009-05-01,SV,005,9.38
2009-04-01,SV,005,9.57
2009-03-01,SV,005,9.67
2009-02-01,SV,005,9.57
2009-01-01,SV,005,9.56
2008-12-01,SV,005,9.58
2008-11-01,SV,005,9.15
2008-10-01,SV,005,8.59
2008-09-01,SV,005,7.55
2008-08-01,SV,005,7.49
2008-07-01,SV,005,7.35
2008-06-01,SV,005,7.2
2008-05-01,SV,005,7.43
2008-04-01,SV,005,7.3
2008-03-01,SV,005,7.55
2008-02-01,SV,005,7.69
2008-01-01,SV,005,7.61
2007-12-01,SV,005,7.65
2007-11-01,SV,005,7.69
2007-10-01,SV,005,8.27
2007-09-01,SV,005,8.02
2007-08-01,SV,005,7.57
2007-07-01,SV,005,7.78
2007-06-01,SV,005,7.77
2007-05-01,SV,005,7.73
2007-04-01,SV,005,7.8
2007-03-01,SV,005,7.78
2007-02-01,SV,005,7.81
2007-01-01,SV,005,7.89
2006-12-01,SV,005,7.61
2006-11-01,SV,005,7.69
2006-10-01,SV,005,7.63
2006-09-01,SV,005,7.61
2006-08-01,SV,005,7.5
2006-07-01,SV,005,7.38
2006-06-01,SV,005,7.15
2006-05-01,SV,005,7.63
2006-04-01,SV,005,7.35
2006-03-01,SV,005,7.43
2006-02-01,SV,005,7.53
2006-01-01,SV,005,7.79
2005-12-01,SV,005,7.03
2005-11-01,SV,005,6.94
2005-10-01,SV,005,6.87
2005-09-01,SV,005,6.72
2005-08-01,SV,005,7.03
2005-07-01,SV,005,6.9
2005-06-01,SV,005,6.98
2005-05-01,SV,005,6.8
2005-04-01,SV,005,6.53
2005-03-01,SV,005,6.95
2005-02-01,SV,005,6.79
2005-01-01,SV,005,6.85
2004-12-01,SV,005,6.43
2004-11-01,SV,005,5.96
