date,country_code,indicator_code,value
2017-01-01,SX,004,-172.0
2016-01-01,SX,004,66.0
2015-01-01,SX,004,153.0
2014-01-01,SX,004,-93.0
2013-01-01,SX,004,96.0
2012-01-01,SX,004,161.0
2011-01-01,SX,004,106.0
2019-07-01,SX,012,2.0
2019-04-01,SX,012,8.0
2019-01-01,SX,012,0.0
2018-10-01,SX,012,3.0
2018-07-01,SX,012,16.0
2018-04-01,SX,012,0.0
2018-01-01,SX,012,2.0
2017-10-01,SX,012,0.0
2017-07-01,SX,012,0.0
2017-04-01,SX,012,0.0
2017-01-01,SX,012,0.0
2016-10-01,SX,012,0.0
2016-07-01,SX,012,0.0
2016-04-01,SX,012,0.0
2016-01-01,SX,012,0.0
2015-10-01,SX,012,0.0
2015-07-01,SX,012,0.0
2015-04-01,SX,012,0.0
2015-01-01,SX,012,0.0
2014-10-01,SX,012,3.0
2014-07-01,SX,012,1.0
2014-04-01,SX,012,3.0
2014-01-01,SX,012,4.0
2013-10-01,SX,012,13.0
2013-07-01,SX,012,4.0
2013-04-01,SX,012,5.0
2013-01-01,SX,012,8.0
2012-10-01,SX,012,14.0
2012-07-01,SX,012,5.0
2012-04-01,SX,012,6.0
2012-01-01,SX,012,16.0
2011-10-01,SX,012,24.0
2011-07-01,SX,012,10.0
2011-04-01,SX,012,18.0
2011-01-01,SX,012,15.0
2010-10-01,SX,012,13.0
2017-01-01,SX,034,116.6435
2016-01-01,SX,034,114.1416
2015-01-01,SX,034,114.0142
2014-01-01,SX,034,113.6392
2013-01-01,SX,034,111.5348
2012-01-01,SX,034,108.784
2011-01-01,SX,034,104.5848
2010-01-01,SX,034,100.0
2009-01-01,SX,034,98.6791
2008-01-01,SX,034,93.1307
2007-01-01,SX,034,93.5216
2006-01-01,SX,034,89.5522
2005-01-01,SX,034,89.2838
2020-01-01,SX,043,35.0
2019-01-01,SX,043,35.0
2018-01-01,SX,043,35.0
2017-01-01,SX,043,34.5
2016-01-01,SX,043,34.5
2015-01-01,SX,043,34.5
2014-01-01,SX,043,34.5
2013-01-01,SX,043,34.5
2012-01-01,SX,043,34.5
2011-01-01,SX,043,34.5
2019-07-01,SX,053,-255.0
2019-04-01,SX,053,-263.0
2019-01-01,SX,053,-97.0
2018-10-01,SX,053,-191.0
2018-07-01,SX,053,-270.0
2018-04-01,SX,053,-253.0
2018-01-01,SX,053,-108.0
2017-10-01,SX,053,-228.0
2017-07-01,SX,053,-145.0
2017-04-01,SX,053,-151.0
2017-01-01,SX,053,-102.0
2016-10-01,SX,053,-167.0
2016-07-01,SX,053,-228.0
2016-04-01,SX,053,-179.0
2016-01-01,SX,053,-30.0
2015-10-01,SX,053,-134.0
2015-07-01,SX,053,-185.0
2015-04-01,SX,053,-175.0
2015-01-01,SX,053,-2.0
2014-10-01,SX,053,-154.0
2014-07-01,SX,053,-207.0
2014-04-01,SX,053,-135.0
2014-01-01,SX,053,-111.0
2013-10-01,SX,053,-153.0
2013-07-01,SX,053,-236.0
2013-04-01,SX,053,-230.0
2013-01-01,SX,053,-128.0
2012-10-01,SX,053,-189.0
2012-07-01,SX,053,-268.0
2012-04-01,SX,053,-223.0
2012-01-01,SX,053,-116.0
2011-10-01,SX,053,-176.0
2011-07-01,SX,053,-280.0
2011-04-01,SX,053,-262.0
2011-01-01,SX,053,-152.0
2010-10-01,SX,053,-224.0
2016-01-01,SX,067,132.0
2015-01-01,SX,067,129.0
2014-01-01,SX,067,132.0
2013-01-01,SX,067,164.0
2012-01-01,SX,067,131.0
2011-01-01,SX,067,127.0
2014-01-01,SX,074,201.0
2013-01-01,SX,074,132.0
2012-01-01,SX,074,193.0
2011-01-01,SX,074,113.0
2014-01-01,SX,075,722.0
2013-01-01,SX,075,620.0
2012-01-01,SX,075,629.0
2011-01-01,SX,075,447.0
2019-12-01,SX,076,1282.0
2019-11-01,SX,076,1151.0
2019-10-01,SX,076,1260.0
2019-09-01,SX,076,1210.0
2019-08-01,SX,076,1263.0
2019-07-01,SX,076,1291.0
2019-06-01,SX,076,1320.0
2019-05-01,SX,076,1306.0
2019-04-01,SX,076,1359.0
2019-03-01,SX,076,1407.0
2019-02-01,SX,076,1376.0
2019-01-01,SX,076,1303.0
2018-12-01,SX,076,1321.0
2018-11-01,SX,076,1309.0
2018-10-01,SX,076,1244.0
2018-09-01,SX,076,1255.0
2018-08-01,SX,076,1317.0
2018-07-01,SX,076,1496.0
2018-06-01,SX,076,1509.0
2018-05-01,SX,076,1488.0
2018-04-01,SX,076,1489.0
2018-03-01,SX,076,1477.0
2018-02-01,SX,076,1505.0
2018-01-01,SX,076,1441.0
2017-12-01,SX,076,1475.0
2017-11-01,SX,076,1514.0
2017-10-01,SX,076,1387.0
2017-09-01,SX,076,1400.0
2017-08-01,SX,076,1408.0
2017-07-01,SX,076,1405.0
2017-06-01,SX,076,1451.0
2017-05-01,SX,076,1436.0
2017-04-01,SX,076,1462.0
2017-03-01,SX,076,1452.0
2017-02-01,SX,076,1458.0
2017-01-01,SX,076,1493.0
2016-12-01,SX,076,1450.0
2016-11-01,SX,076,1498.0
2016-10-01,SX,076,1437.0
2016-09-01,SX,076,1439.0
2016-08-01,SX,076,1472.0
2016-07-01,SX,076,1452.0
2016-06-01,SX,076,1470.0
2016-05-01,SX,076,1491.0
2016-04-01,SX,076,1473.0
2016-03-01,SX,076,1383.0
2016-02-01,SX,076,1379.0
2016-01-01,SX,076,1382.0
2015-12-01,SX,076,1345.0
2015-11-01,SX,076,1367.0
2015-10-01,SX,076,1421.0
2015-09-01,SX,076,1353.0
2015-08-01,SX,076,1423.0
2015-07-01,SX,076,1349.0
2015-06-01,SX,076,1394.0
2015-05-01,SX,076,1497.0
2015-04-01,SX,076,1592.0
2015-03-01,SX,076,1575.0
2015-02-01,SX,076,1586.0
2015-01-01,SX,076,1545.0
2014-12-01,SX,076,1408.0
2014-11-01,SX,076,1339.0
2014-10-01,SX,076,1337.0
2014-09-01,SX,076,1358.0
2014-08-01,SX,076,1335.0
2014-07-01,SX,076,1330.0
2014-06-01,SX,076,1308.0
2014-05-01,SX,076,1369.0
2014-04-01,SX,076,1212.0
2014-03-01,SX,076,1187.0
2014-02-01,SX,076,1201.0
2014-01-01,SX,076,1137.0
2013-12-01,SX,076,1108.0
2013-11-01,SX,076,1104.0
2013-10-01,SX,076,1072.0
2013-09-01,SX,076,1085.0
2013-08-01,SX,076,1058.0
2013-07-01,SX,076,1095.0
2013-06-01,SX,076,1111.0
2013-05-01,SX,076,1103.0
2013-04-01,SX,076,1090.0
2013-03-01,SX,076,1103.0
2013-02-01,SX,076,1113.0
2013-01-01,SX,076,1123.0
2012-12-01,SX,076,1135.0
2012-11-01,SX,076,1069.0
2012-10-01,SX,076,1151.0
2012-09-01,SX,076,1114.0
2012-08-01,SX,076,1157.0
2012-07-01,SX,076,1184.0
2012-06-01,SX,076,1186.0
2012-05-01,SX,076,1231.0
2012-04-01,SX,076,1141.0
2012-03-01,SX,076,1164.0
2012-02-01,SX,076,1196.0
2012-01-01,SX,076,1240.0
2011-12-01,SX,076,1290.0
2011-11-01,SX,076,1267.0
2011-10-01,SX,076,1268.0
2011-09-01,SX,076,1206.0
2011-08-01,SX,076,1237.0
2011-07-01,SX,076,1245.0
2011-06-01,SX,076,1189.0
2011-05-01,SX,076,1200.0
2011-04-01,SX,076,1227.0
2011-03-01,SX,076,1241.0
2011-02-01,SX,076,1282.0
2011-01-01,SX,076,1246.0
2010-12-01,SX,076,1263.0
2010-11-01,SX,076,1233.0
2010-10-01,SX,076,1297.0
2014-01-01,SX,077,521.0
2013-01-01,SX,077,488.0
2012-01-01,SX,077,435.0
2011-01-01,SX,077,334.0
2017-01-01,SX,081,1815.0
2016-01-01,SX,081,1919.0
2015-01-01,SX,081,1909.0
2014-01-01,SX,081,1894.0
2013-01-01,SX,081,1831.0
2012-01-01,SX,081,1765.0
2011-01-01,SX,081,1676.0
2010-01-01,SX,081,1597.0
2009-01-01,SX,081,1530.0
2017-01-01,SX,082,-8.4
2016-01-01,SX,082,0.4
2015-01-01,SX,082,0.5
2014-01-01,SX,082,1.6
2013-01-01,SX,082,1.3
2012-01-01,SX,082,1.4
2011-01-01,SX,082,4.6
2010-01-01,SX,082,3.2
2017-01-01,SX,083,-8.4
2016-01-01,SX,083,0.4
2015-01-01,SX,083,0.5
2014-01-01,SX,083,1.6
2013-01-01,SX,083,1.3
2012-01-01,SX,083,1.4
2011-01-01,SX,083,4.6
2010-01-01,SX,083,3.2
2017-01-01,SX,084,1616.0
2016-01-01,SX,084,1765.0
2015-01-01,SX,084,1757.0
2014-01-01,SX,084,1748.0
2013-01-01,SX,084,1721.0
2012-01-01,SX,084,1699.0
2011-01-01,SX,084,1676.0
2010-01-01,SX,084,1602.0
2009-01-01,SX,084,1552.0
2017-01-01,SX,085,112.2888
2016-01-01,SX,085,108.7375
2015-01-01,SX,085,108.6331
2014-01-01,SX,085,108.3167
2013-01-01,SX,085,106.3855
2012-01-01,SX,085,103.8731
2011-01-01,SX,085,100.0
2010-01-01,SX,085,99.7059
2009-01-01,SX,085,98.593
2017-01-01,SX,086,2.0
2016-01-01,SX,086,2.0
2015-01-01,SX,086,2.0
2014-01-01,SX,086,2.0
2013-01-01,SX,086,1.0
2012-01-01,SX,086,2.0
2011-01-01,SX,086,2.0
2017-01-01,SX,088,14.0
2016-01-01,SX,088,16.0
2015-01-01,SX,088,17.0
2014-01-01,SX,088,18.0
2013-01-01,SX,088,17.0
2012-01-01,SX,088,20.0
2011-01-01,SX,088,26.0
2017-01-01,SX,091,1473.0
2016-01-01,SX,091,1574.0
2015-01-01,SX,091,1549.0
2014-01-01,SX,091,1508.0
2013-01-01,SX,091,1444.0
2012-01-01,SX,091,1378.0
2011-01-01,SX,091,1303.0
2017-01-01,SX,094,-5.43512245961
2016-01-01,SX,094,0.529100529101
2015-01-01,SX,094,0.802661456408
2014-01-01,SX,094,3.42435827417
2013-01-01,SX,094,3.75701252338
2012-01-01,SX,094,5.3174982096
2011-01-01,SX,094,4.90859003256
2010-01-01,SX,094,4.36487192891
2017-01-01,SX,095,-5.43512245961
2016-01-01,SX,095,0.529100529101
2015-01-01,SX,095,0.802661456408
2014-01-01,SX,095,3.42435827417
2013-01-01,SX,095,3.75701252338
2012-01-01,SX,095,5.3174982096
2011-01-01,SX,095,4.90859003256
2010-01-01,SX,095,4.36487192891
2017-01-01,SX,096,44726.0
2016-01-01,SX,096,48012.0
2015-01-01,SX,096,49167.0
2014-01-01,SX,096,50251.0
2013-01-01,SX,096,50018.0
2012-01-01,SX,096,50944.0
2011-01-01,SX,096,50115.0
2010-01-01,SX,096,46899.0
2009-01-01,SX,096,44699.0
2017-01-01,SX,097,31776.0
2016-01-01,SX,097,34568.0
2015-01-01,SX,097,35050.0
2014-01-01,SX,097,35548.0
2013-01-01,SX,097,35356.0
2012-01-01,SX,097,36246.0
2011-01-01,SX,097,36340.0
2010-01-01,SX,097,33411.0
2009-01-01,SX,097,31832.0
2019-12-01,SX,098,640.0
2019-11-01,SX,098,614.0
2019-10-01,SX,098,635.0
2019-09-01,SX,098,624.0
2019-08-01,SX,098,643.0
2019-07-01,SX,098,600.0
2019-06-01,SX,098,592.0
2019-05-01,SX,098,545.0
2019-04-01,SX,098,539.0
2019-03-01,SX,098,545.0
2019-02-01,SX,098,555.0
2019-01-01,SX,098,556.0
2018-12-01,SX,098,539.0
2018-11-01,SX,098,512.0
2018-10-01,SX,098,511.0
2018-09-01,SX,098,499.0
2018-08-01,SX,098,506.0
2018-07-01,SX,098,513.0
2018-06-01,SX,098,526.0
2018-05-01,SX,098,549.0
2018-04-01,SX,098,552.0
2018-03-01,SX,098,557.0
2018-02-01,SX,098,554.0
2018-01-01,SX,098,565.0
2017-12-01,SX,098,545.0
2017-11-01,SX,098,538.0
2017-10-01,SX,098,534.0
2017-09-01,SX,098,539.0
2017-08-01,SX,098,551.0
2017-07-01,SX,098,533.0
2017-06-01,SX,098,522.0
2017-05-01,SX,098,532.0
2017-04-01,SX,098,532.0
2017-03-01,SX,098,523.0
2017-02-01,SX,098,528.0
2017-01-01,SX,098,510.0
2016-12-01,SX,098,487.0
2016-11-01,SX,098,495.0
2016-10-01,SX,098,535.0
2016-09-01,SX,098,556.0
2016-08-01,SX,098,550.0
2016-07-01,SX,098,564.0
2016-06-01,SX,098,555.0
2016-05-01,SX,098,510.0
2016-04-01,SX,098,540.0
2016-03-01,SX,098,520.0
2016-02-01,SX,098,519.0
2016-01-01,SX,098,467.0
2015-12-01,SX,098,447.0
2015-11-01,SX,098,446.0
2015-10-01,SX,098,480.0
2015-09-01,SX,098,468.0
2015-08-01,SX,098,477.0
2015-07-01,SX,098,462.0
2015-06-01,SX,098,492.0
2015-05-01,SX,098,501.0
2015-04-01,SX,098,496.0
2015-03-01,SX,098,499.0
2015-02-01,SX,098,510.0
2015-01-01,SX,098,530.0
2014-12-01,SX,098,504.0
2014-11-01,SX,098,497.0
2014-10-01,SX,098,489.0
2014-09-01,SX,098,511.0
2014-08-01,SX,098,541.0
2014-07-01,SX,098,540.0
2014-06-01,SX,098,553.0
2014-05-01,SX,098,526.0
2014-04-01,SX,098,542.0
2014-03-01,SX,098,543.0
2014-02-01,SX,098,558.0
2014-01-01,SX,098,526.0
2013-12-01,SX,098,505.0
2013-11-01,SX,098,527.0
2013-10-01,SX,098,557.0
2013-09-01,SX,098,558.0
2013-08-01,SX,098,586.0
2013-07-01,SX,098,553.0
2013-06-01,SX,098,501.0
2013-05-01,SX,098,586.0
2013-04-01,SX,098,618.0
2013-03-01,SX,098,672.0
2013-02-01,SX,098,668.0
2013-01-01,SX,098,700.0
2012-12-01,SX,098,700.0
2012-11-01,SX,098,726.0
2012-10-01,SX,098,723.0
2012-09-01,SX,098,747.0
2012-08-01,SX,098,693.0
2012-07-01,SX,098,682.0
2012-06-01,SX,098,672.0
2012-05-01,SX,098,655.0
2012-04-01,SX,098,694.0
2012-03-01,SX,098,699.0
2012-02-01,SX,098,744.0
2012-01-01,SX,098,733.0
2011-12-01,SX,098,662.0
2011-11-01,SX,098,734.0
2011-10-01,SX,098,724.0
2011-09-01,SX,098,681.0
2011-08-01,SX,098,762.0
2011-07-01,SX,098,685.0
2011-06-01,SX,098,633.0
2011-05-01,SX,098,646.0
2011-04-01,SX,098,646.0
2011-03-01,SX,098,605.0
2011-02-01,SX,098,593.0
2011-01-01,SX,098,558.0
2010-12-01,SX,098,591.0
2010-11-01,SX,098,564.0
2010-10-01,SX,098,426.0
2017-01-01,SX,109,1763.0
2016-01-01,SX,109,1850.0
2015-01-01,SX,109,1818.0
2014-01-01,SX,109,1812.0
2013-01-01,SX,109,1790.0
2012-01-01,SX,109,1708.0
2011-01-01,SX,109,1613.0
2010-01-01,SX,109,1538.0
2009-01-01,SX,109,1475.0
2016-01-01,SX,115,856.0
2015-01-01,SX,115,857.0
2014-01-01,SX,115,1013.0
2013-01-01,SX,115,925.0
2012-01-01,SX,115,768.0
2011-01-01,SX,115,734.0
2017-01-01,SX,119,2.19192651934
2016-01-01,SX,119,0.111740467415
2015-01-01,SX,119,0.329991763406
2014-01-01,SX,119,1.88676538623
2013-01-01,SX,119,2.52868068834
2012-01-01,SX,119,4.01511500715
2011-01-01,SX,119,4.5848
2010-01-01,SX,119,1.33858132066
2009-01-01,SX,119,5.95764876673
2008-01-01,SX,119,-0.417978306616
2007-01-01,SX,119,4.43249858742
2006-01-01,SX,119,0.300614445174
2017-01-01,SX,120,2.19192651934
2016-01-01,SX,120,0.111740467415
2015-01-01,SX,120,0.329991763406
2014-01-01,SX,120,1.88676538623
2013-01-01,SX,120,2.52868068834
2012-01-01,SX,120,4.01511500715
2011-01-01,SX,120,4.5848
2010-01-01,SX,120,1.33858132066
2009-01-01,SX,120,5.95764876673
2008-01-01,SX,120,-0.417978306616
2007-01-01,SX,120,4.43249858742
2006-01-01,SX,120,0.300614445174
2017-01-01,SX,121,2.19192651934
2016-01-01,SX,121,0.111740467415
2015-01-01,SX,121,0.329991763406
2014-01-01,SX,121,1.88676538623
2013-01-01,SX,121,2.52868068834
2012-01-01,SX,121,4.01511500715
2011-01-01,SX,121,4.5848
2010-01-01,SX,121,1.33858132066
2009-01-01,SX,121,5.95764876673
2008-01-01,SX,121,-0.417978306616
2007-01-01,SX,121,4.43249858742
2006-01-01,SX,121,0.300614445174
2019-01-01,SX,125,5.129419
2018-01-01,SX,125,4.678759
2017-01-01,SX,125,1.39
2019-01-01,SX,126,36000.0
2018-01-01,SX,126,35972.0
2017-01-01,SX,126,34431.0
2016-01-01,SX,126,29357.0
2020-01-01,SX,167,48.0
2019-01-01,SX,167,48.0
2018-01-01,SX,167,48.0
2017-01-01,SX,167,47.5
2016-01-01,SX,167,47.5
2015-01-01,SX,167,47.5
2014-01-01,SX,167,47.5
2013-01-01,SX,167,47.5
2018-01-01,SX,171,41.0
2017-01-01,SX,171,41.0
2016-01-01,SX,171,40.0
2015-01-01,SX,171,39.0
2014-01-01,SX,171,38.0
2013-01-01,SX,171,37.0
2012-01-01,SX,171,35.0
2011-01-01,SX,171,33.0
2010-01-01,SX,171,34.0
2009-01-01,SX,171,34.0
2008-01-01,SX,171,34.0
2007-01-01,SX,171,34.0
2006-01-01,SX,171,33.0
2005-01-01,SX,171,33.0
2004-01-01,SX,171,32.0
2003-01-01,SX,171,31.0
2002-01-01,SX,171,31.0
2001-01-01,SX,171,31.0
2000-01-01,SX,171,31.0
1999-01-01,SX,171,31.0
1998-01-01,SX,171,31.0
2018-01-01,SX,179,51.0
2017-01-01,SX,179,55.0
2016-01-01,SX,179,61.0
2015-01-01,SX,179,55.0
2014-01-01,SX,179,62.0
2013-01-01,SX,179,73.0
2012-01-01,SX,179,56.0
2011-01-01,SX,179,54.0
2020-01-01,SX,185,5.0
2019-01-01,SX,185,5.0
2018-01-01,SX,185,5.0
2017-01-01,SX,185,5.0
2016-01-01,SX,185,5.0
2015-01-01,SX,185,5.0
2014-01-01,SX,185,5.0
2013-01-01,SX,185,5.0
2012-01-01,SX,185,5.0
2011-01-01,SX,185,5.0
2019-01-01,SX,187,15.0
2018-01-01,SX,187,15.0
2017-01-01,SX,187,14.0
2016-01-01,SX,187,-1.0
2015-01-01,SX,187,-1.0
2014-01-01,SX,187,-1.0
2013-01-01,SX,187,-1.0
2012-01-01,SX,187,-1.0
2011-01-01,SX,187,-1.0
2010-01-01,SX,187,-1.0
2009-01-01,SX,187,-1.0
2008-01-01,SX,187,-1.0
2007-01-01,SX,187,-1.0
2006-01-01,SX,187,-1.0
2005-01-01,SX,187,-1.0
2004-01-01,SX,187,-1.0
2019-01-01,SX,188,8.0
2018-01-01,SX,188,8.0
2017-01-01,SX,188,7.5
2019-01-01,SX,189,7.0
2018-01-01,SX,189,7.0
2017-01-01,SX,189,6.5
2018-01-01,SX,196,468.0
2017-01-01,SX,196,646.0
2016-01-01,SX,196,871.0
2015-01-01,SX,196,913.0
2014-01-01,SX,196,922.0
2013-01-01,SX,196,871.0
2012-01-01,SX,196,854.0
2011-01-01,SX,196,729.0
2010-01-01,SX,196,681.0
