date,country_code,indicator_code,value
2011-01-01,SY,001,-2.08
2010-01-01,SY,001,1.1
2009-01-01,SY,001,3.12
2008-01-01,SY,001,-1.98
2007-01-01,SY,001,1.77
2006-01-01,SY,001,3.56
2005-01-01,SY,001,8.13
2004-01-01,SY,001,-3.04
2003-01-01,SY,001,-7.17
2002-01-01,SY,001,-0.46
2010-01-01,SY,002,8.6
2009-01-01,SY,002,8.1
2008-01-01,SY,002,10.9
2007-01-01,SY,002,8.4
2006-01-01,SY,002,8.2
2003-01-01,SY,002,10.3
2002-01-01,SY,002,11.7
2001-01-01,SY,002,11.6
1999-01-01,SY,002,7.6
1995-01-01,SY,002,7.2
1994-01-01,SY,002,7.5
1993-01-01,SY,002,7.4
1991-01-01,SY,002,6.7
1989-01-01,SY,002,5.8
1984-01-01,SY,002,4.7
1983-01-01,SY,002,4.2
1979-01-01,SY,002,3.8
1978-01-01,SY,002,4.5
1977-01-01,SY,002,5.0
1976-01-01,SY,002,6.2
1975-01-01,SY,002,4.8
1974-01-01,SY,002,5.1
1973-01-01,SY,002,4.5
1972-01-01,SY,002,4.7
1971-01-01,SY,002,7.5
1970-01-01,SY,002,6.4
1969-01-01,SY,002,4.3
2010-01-01,SY,004,886108.0
2009-01-01,SY,004,721879.0
2008-01-01,SY,004,897430.0
2007-01-01,SY,004,777335.0
2006-01-01,SY,004,671109.0
2005-01-01,SY,004,622809.0
2004-01-01,SY,004,490994.0
2003-01-01,SY,004,361573.0
2002-01-01,SY,004,418091.0
2001-01-01,SY,004,340286.0
2000-01-01,SY,004,305165.0
1999-01-01,SY,004,266290.0
1998-01-01,SY,004,235395.0
1997-01-01,SY,004,253683.0
1996-01-01,SY,004,232220.0
1995-01-01,SY,004,198546.0
1994-01-01,SY,004,173960.0
1993-01-01,SY,004,145392.0
1992-01-01,SY,004,126736.0
1991-01-01,SY,004,109581.0
1990-01-01,SY,004,109704.0
1989-01-01,SY,004,90616.0
1988-01-01,SY,004,45029.0
1987-01-01,SY,004,28858.0
1986-01-01,SY,004,16239.0
1985-01-01,SY,004,14353.0
1984-01-01,SY,004,13504.0
1983-01-01,SY,004,14014.0
1982-01-01,SY,004,13809.0
1981-01-01,SY,004,14845.0
1980-01-01,SY,004,13482.0
1979-01-01,SY,004,10760.0
1978-01-01,SY,004,6936.0
1977-01-01,SY,004,6059.0
1976-01-01,SY,004,5974.0
1975-01-01,SY,004,4966.0
1974-01-01,SY,004,3308.0
1973-01-01,SY,004,2326.0
1972-01-01,SY,004,1998.0
1971-01-01,SY,004,1631.0
1970-01-01,SY,004,1401.0
1969-01-01,SY,004,1149.0
1968-01-01,SY,004,1014.0
1967-01-01,SY,004,850.0
1966-01-01,SY,004,872.0
1965-01-01,SY,004,847.0
1964-01-01,SY,004,862.0
1963-01-01,SY,004,913.0
1962-01-01,SY,004,897.0
1961-01-01,SY,004,602.0
2011-04-01,SY,005,9.53
2011-01-01,SY,005,9.78
2010-10-01,SY,005,9.9
2010-07-01,SY,005,9.96
2010-04-01,SY,005,9.84
2010-01-01,SY,005,9.81
2009-10-01,SY,005,10.12
2009-07-01,SY,005,10.12
2009-04-01,SY,005,10.13
2009-01-01,SY,005,10.28
2008-10-01,SY,005,10.18
2008-07-01,SY,005,10.13
2008-04-01,SY,005,10.2
2008-01-01,SY,005,10.16
2007-10-01,SY,005,10.15
2007-07-01,SY,005,10.15
2007-04-01,SY,005,10.15
2007-01-01,SY,005,10.15
2006-10-01,SY,005,8.0
2006-07-01,SY,005,8.0
2006-04-01,SY,005,8.0
2006-01-01,SY,005,8.0
2005-10-01,SY,005,7.83
2005-07-01,SY,005,7.5
2005-04-01,SY,005,7.5
2005-01-01,SY,005,7.5
2004-10-01,SY,005,7.5
2004-07-01,SY,005,7.5
2004-04-01,SY,005,7.5
2004-01-01,SY,005,7.5
2003-10-01,SY,005,7.5
2003-07-01,SY,005,7.5
2003-04-01,SY,005,8.0
2003-01-01,SY,005,9.0
2002-10-01,SY,005,9.0
2002-07-01,SY,005,9.0
2002-04-01,SY,005,9.0
2002-01-01,SY,005,9.0
2001-10-01,SY,005,9.0
2001-07-01,SY,005,9.0
2001-04-01,SY,005,9.0
2001-01-01,SY,005,9.0
2000-10-01,SY,005,9.0
2000-07-01,SY,005,9.0
2000-04-01,SY,005,9.0
2000-01-01,SY,005,9.0
1999-10-01,SY,005,9.0
1999-07-01,SY,005,9.0
1999-04-01,SY,005,9.0
1999-01-01,SY,005,9.0
1998-10-01,SY,005,9.0
1998-07-01,SY,005,9.0
1998-04-01,SY,005,9.0
1998-01-01,SY,005,9.0
1997-10-01,SY,005,9.0
1997-07-01,SY,005,9.0
1997-04-01,SY,005,9.0
1997-01-01,SY,005,9.0
1996-10-01,SY,005,9.0
1996-07-01,SY,005,9.0
1996-04-01,SY,005,9.0
1996-01-01,SY,005,9.0
1995-10-01,SY,005,9.0
1995-07-01,SY,005,9.0
1995-04-01,SY,005,9.0
1995-01-01,SY,005,9.0
1994-10-01,SY,005,9.0
1994-07-01,SY,005,9.0
1994-04-01,SY,005,9.0
1994-01-01,SY,005,9.0
1993-10-01,SY,005,9.0
1993-07-01,SY,005,9.0
1993-04-01,SY,005,9.0
1993-01-01,SY,005,9.0
1992-10-01,SY,005,9.0
1992-07-01,SY,005,9.0
1992-04-01,SY,005,9.0
1992-01-01,SY,005,9.0
1991-10-01,SY,005,9.0
1991-07-01,SY,005,9.0
1991-04-01,SY,005,9.0
1991-01-01,SY,005,9.0
1990-10-01,SY,005,9.0
1990-07-01,SY,005,9.0
1990-04-01,SY,005,9.0
1990-01-01,SY,005,9.0
1989-10-01,SY,005,9.0
1989-07-01,SY,005,9.0
1989-04-01,SY,005,9.0
1989-01-01,SY,005,9.0
1988-10-01,SY,005,9.0
1988-07-01,SY,005,9.0
1988-04-01,SY,005,9.0
1988-01-01,SY,005,9.0
1987-10-01,SY,005,9.0
1987-07-01,SY,005,9.0
1987-04-01,SY,005,9.0
