date,country_code,indicator_code,value
1996-01-01,SZ,001,2.82
1995-01-01,SZ,001,-0.25
1994-01-01,SZ,001,-6.206
1993-01-01,SZ,001,1.361
1992-01-01,SZ,001,0.197
1991-01-01,SZ,001,-0.062
1990-01-01,SZ,001,0.667
1989-01-01,SZ,001,5.466
1988-01-01,SZ,001,3.123
1987-01-01,SZ,001,6.339
1986-01-01,SZ,001,3.521
2016-01-01,SZ,002,22.7
2007-01-01,SZ,002,28.2
1997-01-01,SZ,002,22.5
1995-01-01,SZ,002,21.7
2018-01-01,SZ,004,-2127.0
2017-01-01,SZ,004,-453.0
2016-01-01,SZ,004,823.0
2015-01-01,SZ,004,1100.0
2014-01-01,SZ,004,-303.0
2013-01-01,SZ,004,-2544.0
2012-01-01,SZ,004,-2520.0
2011-01-01,SZ,004,-3887.0
2010-01-01,SZ,004,-4459.0
2009-01-01,SZ,004,-2481.0
2008-01-01,SZ,004,-1929.0
2007-01-01,SZ,004,1784.0
2006-01-01,SZ,004,1060.0
2005-01-01,SZ,004,-2217.0
2004-01-01,SZ,004,-1269.0
2003-01-01,SZ,004,-756.0
2002-01-01,SZ,004,-2072.0
2001-01-01,SZ,004,-1066.0
2000-01-01,SZ,004,-1672.0
1999-01-01,SZ,004,-1538.0
1998-01-01,SZ,004,-1535.0
1997-01-01,SZ,004,-1171.0
1996-01-01,SZ,004,-1466.0
1995-01-01,SZ,004,-846.0
1994-01-01,SZ,004,-463.0
1993-01-01,SZ,004,-847.0
1992-01-01,SZ,004,-687.0
1991-01-01,SZ,004,-363.0
1990-01-01,SZ,004,-284.0
1989-01-01,SZ,004,-51.0
1988-01-01,SZ,004,-53.0
1987-01-01,SZ,004,-3.0
1986-01-01,SZ,004,-113.0
1985-01-01,SZ,004,-290.0
1984-01-01,SZ,004,-272.0
1983-01-01,SZ,004,-237.0
1982-01-01,SZ,004,-206.0
1981-01-01,SZ,004,-154.0
1980-01-01,SZ,004,-167.0
1979-01-01,SZ,004,-126.0
1978-01-01,SZ,004,-70.0
1977-01-01,SZ,004,-9.0
1976-01-01,SZ,004,19.0
1975-01-01,SZ,004,34.0
1974-01-01,SZ,004,40.0
1973-01-01,SZ,004,22.0
1972-01-01,SZ,004,10.0
1971-01-01,SZ,004,13.0
1970-01-01,SZ,004,8.0
1969-01-01,SZ,004,8.0
1968-01-01,SZ,004,2.0
1967-01-01,SZ,004,-6.0
1966-01-01,SZ,004,0.0
1965-01-01,SZ,004,7.0
1964-01-01,SZ,004,4.0
1963-01-01,SZ,004,2.0
1962-01-01,SZ,004,1.0
1961-01-01,SZ,004,2.0
1960-01-01,SZ,004,4.0
2020-02-01,SZ,005,10.0
2020-01-01,SZ,005,10.0
2019-12-01,SZ,005,10.0
2019-11-01,SZ,005,10.0
2019-10-01,SZ,005,10.0
2019-09-01,SZ,005,10.0
2019-08-01,SZ,005,10.0
2019-07-01,SZ,005,10.0
2019-06-01,SZ,005,10.25
2019-05-01,SZ,005,10.25
2019-04-01,SZ,005,10.25
2019-03-01,SZ,005,10.25
2019-02-01,SZ,005,10.25
2019-01-01,SZ,005,10.25
2018-12-01,SZ,005,10.25
2018-11-01,SZ,005,10.25
2018-10-01,SZ,005,10.25
2018-09-01,SZ,005,10.25
2018-08-01,SZ,005,10.25
2018-07-01,SZ,005,10.25
2018-06-01,SZ,005,10.25
2018-05-01,SZ,005,10.25
2018-04-01,SZ,005,10.25
2018-03-01,SZ,005,10.5
2018-02-01,SZ,005,10.5
2018-01-01,SZ,005,10.5
2017-12-01,SZ,005,10.75
2017-11-01,SZ,005,10.75
2017-10-01,SZ,005,10.75
2017-09-01,SZ,005,10.75
2017-08-01,SZ,005,10.75
2017-07-01,SZ,005,10.75
2017-06-01,SZ,005,10.75
2017-05-01,SZ,005,10.75
2017-04-01,SZ,005,10.75
2017-03-01,SZ,005,10.75
2017-02-01,SZ,005,10.75
2017-01-01,SZ,005,10.75
2016-12-01,SZ,005,10.5
2016-11-01,SZ,005,10.5
2016-10-01,SZ,005,10.5
2016-09-01,SZ,005,10.5
2016-08-01,SZ,005,10.5
2016-07-01,SZ,005,10.5
2016-06-01,SZ,005,10.5
2016-05-01,SZ,005,10.5
2016-04-01,SZ,005,10.0
2016-03-01,SZ,005,10.0
2016-02-01,SZ,005,9.75
2016-01-01,SZ,005,9.25
2015-12-01,SZ,005,9.25
2015-11-01,SZ,005,9.25
2015-10-01,SZ,005,9.25
2015-09-01,SZ,005,9.25
2015-08-01,SZ,005,9.25
2015-07-01,SZ,005,9.25
2015-06-01,SZ,005,9.0
2015-05-01,SZ,005,9.0
2015-04-01,SZ,005,8.75
2015-03-01,SZ,005,8.75
2015-02-01,SZ,005,8.75
2015-01-01,SZ,005,8.75
2014-12-01,SZ,005,8.75
2014-11-01,SZ,005,8.75
2014-10-01,SZ,005,8.75
2014-09-01,SZ,005,8.75
2014-08-01,SZ,005,8.75
2014-07-01,SZ,005,8.75
2014-06-01,SZ,005,8.5
2014-05-01,SZ,005,8.5
2014-04-01,SZ,005,8.5
2014-03-01,SZ,005,8.5
2014-02-01,SZ,005,8.5
2014-01-01,SZ,005,8.5
2013-12-01,SZ,005,8.5
2013-11-01,SZ,005,8.5
2013-10-01,SZ,005,8.5
2013-09-01,SZ,005,8.5
2013-08-01,SZ,005,8.5
2013-07-01,SZ,005,8.5
2013-06-01,SZ,005,8.5
2013-05-01,SZ,005,8.5
2013-04-01,SZ,005,8.5
2013-03-01,SZ,005,8.5
2013-02-01,SZ,005,8.5
2013-01-01,SZ,005,8.5
2012-12-01,SZ,005,8.5
2012-11-01,SZ,005,8.5
2012-10-01,SZ,005,8.5
2012-09-01,SZ,005,8.5
2012-08-01,SZ,005,8.5
2012-07-01,SZ,005,8.5
2012-06-01,SZ,005,9.0
2012-05-01,SZ,005,9.0
2012-04-01,SZ,005,9.0
2012-03-01,SZ,005,9.0
2012-02-01,SZ,005,9.0
2012-01-01,SZ,005,9.0
2011-12-01,SZ,005,9.0
2011-11-01,SZ,005,9.0
2011-10-01,SZ,005,9.0
2011-09-01,SZ,005,9.0
2011-08-01,SZ,005,9.0
2011-07-01,SZ,005,9.0
2011-06-01,SZ,005,9.0
2011-05-01,SZ,005,9.0
2011-04-01,SZ,005,9.0
2011-03-01,SZ,005,9.0
2011-02-01,SZ,005,9.0
2011-01-01,SZ,005,9.0
2010-12-01,SZ,005,9.0
2010-11-01,SZ,005,9.0
2010-10-01,SZ,005,9.5
2010-09-01,SZ,005,9.5
2010-08-01,SZ,005,10.0
2010-07-01,SZ,005,10.0
2010-06-01,SZ,005,10.0
2010-05-01,SZ,005,10.0
2010-04-01,SZ,005,10.0
2010-03-01,SZ,005,10.0
2010-02-01,SZ,005,10.0
2010-01-01,SZ,005,10.0
2009-12-01,SZ,005,10.0
2009-11-01,SZ,005,10.0
2009-10-01,SZ,005,10.0
2009-09-01,SZ,005,10.0
2009-08-01,SZ,005,10.0
2009-07-01,SZ,005,10.5
2009-06-01,SZ,005,10.5
2009-05-01,SZ,005,12.5
2009-04-01,SZ,005,12.5
2009-03-01,SZ,005,12.5
2009-02-01,SZ,005,13.5
2009-01-01,SZ,005,14.5
2008-12-01,SZ,005,14.5
2008-11-01,SZ,005,15.0
2008-10-01,SZ,005,15.0
2008-09-01,SZ,005,15.0
2008-08-01,SZ,005,15.0
2008-07-01,SZ,005,15.0
2008-06-01,SZ,005,15.0
2008-05-01,SZ,005,15.0
2008-04-01,SZ,005,15.0
2008-03-01,SZ,005,14.5
2008-02-01,SZ,005,14.5
2008-01-01,SZ,005,14.5
2007-12-01,SZ,005,14.5
2007-11-01,SZ,005,14.0
2007-10-01,SZ,005,14.0
2007-09-01,SZ,005,13.5
2007-08-01,SZ,005,13.5
2007-07-01,SZ,005,13.0
2007-06-01,SZ,005,13.0
2007-05-01,SZ,005,12.5
2007-04-01,SZ,005,12.5
2007-03-01,SZ,005,12.5
2007-02-01,SZ,005,12.5
2007-01-01,SZ,005,12.5
2006-12-01,SZ,005,12.5
2006-11-01,SZ,005,12.0
2006-10-01,SZ,005,12.0
2006-09-01,SZ,005,11.5
2006-08-01,SZ,005,11.5
2006-07-01,SZ,005,11.0
2006-06-01,SZ,005,11.0
2006-05-01,SZ,005,10.5
2006-04-01,SZ,005,10.5
2006-03-01,SZ,005,10.5
2006-02-01,SZ,005,10.5
2006-01-01,SZ,005,10.5
2005-12-01,SZ,005,10.5
2005-11-01,SZ,005,10.5
2005-10-01,SZ,005,10.5
2005-09-01,SZ,005,10.5
2005-08-01,SZ,005,10.5
2005-07-01,SZ,005,10.5
2005-06-01,SZ,005,10.5
2005-05-01,SZ,005,10.5
2005-04-01,SZ,005,10.5
2005-03-01,SZ,005,11.0
2005-02-01,SZ,005,11.0
2005-01-01,SZ,005,11.0
2004-12-01,SZ,005,11.0
2004-11-01,SZ,005,11.0
2004-10-01,SZ,005,11.0
2004-09-01,SZ,005,11.0
2004-08-01,SZ,005,11.0
2004-07-01,SZ,005,11.5
2004-06-01,SZ,005,11.5
2004-05-01,SZ,005,11.5
2004-04-01,SZ,005,11.5
2004-03-01,SZ,005,11.5
2004-02-01,SZ,005,11.5
2004-01-01,SZ,005,11.5
2003-12-01,SZ,005,11.5
2003-11-01,SZ,005,12.0
2003-10-01,SZ,005,12.0
2003-09-01,SZ,005,13.5
2003-08-01,SZ,005,14.0
2003-07-01,SZ,005,15.0
2003-06-01,SZ,005,15.0
2003-05-01,SZ,005,16.5
2003-04-01,SZ,005,16.5
2003-03-01,SZ,005,16.5
2003-02-01,SZ,005,16.5
2003-01-01,SZ,005,16.5
2002-12-01,SZ,005,16.5
2002-11-01,SZ,005,16.5
2002-10-01,SZ,005,16.5
2002-09-01,SZ,005,16.5
2002-08-01,SZ,005,15.5
2002-07-01,SZ,005,15.5
2002-06-01,SZ,005,15.5
2002-05-01,SZ,005,14.5
2002-04-01,SZ,005,14.5
2002-03-01,SZ,005,14.5
2002-02-01,SZ,005,13.5
2002-01-01,SZ,005,13.5
2001-12-01,SZ,005,12.5
2001-11-01,SZ,005,12.5
2001-10-01,SZ,005,12.5
2001-09-01,SZ,005,12.5
2001-08-01,SZ,005,13.0
2001-07-01,SZ,005,13.0
2001-06-01,SZ,005,13.0
2001-05-01,SZ,005,14.0
2001-04-01,SZ,005,14.0
2001-03-01,SZ,005,14.0
2001-02-01,SZ,005,14.0
2001-01-01,SZ,005,14.0
2000-12-01,SZ,005,14.0
2000-11-01,SZ,005,14.0
2000-10-01,SZ,005,14.0
2000-09-01,SZ,005,14.0
2000-08-01,SZ,005,14.0
2000-07-01,SZ,005,14.0
2000-06-01,SZ,005,14.0
2000-05-01,SZ,005,14.0
2000-04-01,SZ,005,14.0
2000-03-01,SZ,005,14.0
2000-02-01,SZ,005,14.0
2000-01-01,SZ,005,14.0
1999-12-01,SZ,005,15.0
1999-11-01,SZ,005,15.0
1999-10-01,SZ,005,15.0
1999-09-01,SZ,005,15.0
1999-08-01,SZ,005,16.0
1999-07-01,SZ,005,17.0
1999-06-01,SZ,005,17.0
1999-05-01,SZ,005,18.0
1999-04-01,SZ,005,19.0
1999-03-01,SZ,005,20.0
1999-02-01,SZ,005,21.0
1999-01-01,SZ,005,21.0
1998-12-01,SZ,005,21.0
1998-11-01,SZ,005,21.0
1998-10-01,SZ,005,21.0
1998-09-01,SZ,005,21.0
1998-08-01,SZ,005,19.75
1998-07-01,SZ,005,19.75
1998-06-01,SZ,005,19.75
1998-05-01,SZ,005,17.75
1998-04-01,SZ,005,17.75
1998-03-01,SZ,005,17.75
1998-02-01,SZ,005,18.75
1998-01-01,SZ,005,18.75
1997-12-01,SZ,005,18.75
1997-11-01,SZ,005,18.75
1997-10-01,SZ,005,18.75
1997-09-01,SZ,005,19.75
1997-08-01,SZ,005,19.75
1997-07-01,SZ,005,19.75
1997-06-01,SZ,005,19.75
1997-05-01,SZ,005,19.75
1997-04-01,SZ,005,19.75
1997-03-01,SZ,005,19.75
1997-02-01,SZ,005,19.75
1997-01-01,SZ,005,19.75
1996-12-01,SZ,005,19.75
1996-11-01,SZ,005,19.75
1996-10-01,SZ,005,18.75
1996-09-01,SZ,005,18.75
1996-08-01,SZ,005,18.75
1996-07-01,SZ,005,18.75
1996-06-01,SZ,005,18.75
1996-05-01,SZ,005,18.75
1996-04-01,SZ,005,18.0
1996-03-01,SZ,005,18.0
1996-02-01,SZ,005,18.0
1996-01-01,SZ,005,18.0
1995-12-01,SZ,005,18.0
1995-11-01,SZ,005,18.0
1995-10-01,SZ,005,18.0
1995-09-01,SZ,005,18.0
1995-08-01,SZ,005,18.0
1995-07-01,SZ,005,18.0
1995-06-01,SZ,005,16.75
1995-05-01,SZ,005,16.75
1995-04-01,SZ,005,16.75
1995-03-01,SZ,005,16.4
1995-02-01,SZ,005,15.0
1995-01-01,SZ,005,15.0
1994-12-01,SZ,005,15.0
