date,country_code,indicator_code,value
1997-01-01,TD,001,-0.84
1991-01-01,TD,001,2.618
1990-01-01,TD,001,-1.36
1989-01-01,TD,001,0.557
1988-01-01,TD,001,2.007
1987-01-01,TD,001,-0.18
2018-01-01,TD,004,-118150.0
2017-01-01,TD,004,-338483.0
2016-01-01,TD,004,-640698.0
2015-01-01,TD,004,-424736.0
2014-01-01,TD,004,-571580.0
2013-01-01,TD,004,-353011.0
2012-01-01,TD,004,-229807.0
2011-01-01,TD,004,-167873.0
2010-01-01,TD,004,-353634.0
2009-01-01,TD,004,-298548.0
2008-01-01,TD,004,236388.0
2007-01-01,TD,004,177035.0
2006-01-01,TD,004,-28888.0
2005-01-01,TD,004,354370.0
2004-01-01,TD,004,5810.0
2003-01-01,TD,004,-542585.0
2002-01-01,TD,004,-1398800.0
2001-01-01,TD,004,-438435.0
2000-01-01,TD,004,-175442.0
1999-01-01,TD,004,-131073.0
1998-01-01,TD,004,-114007.0
1997-01-01,TD,004,-110223.0
1996-01-01,TD,004,-94747.0
1995-01-01,TD,004,-85442.0
1994-01-01,TD,004,-123000.0
1993-01-01,TD,004,-66296.0
1992-01-01,TD,004,-68356.0
1991-01-01,TD,004,-65910.0
1990-01-01,TD,004,-68290.0
1989-01-01,TD,004,-80620.0
1988-01-01,TD,004,-66614.0
1987-01-01,TD,004,-73368.0
1986-01-01,TD,004,-81287.0
1985-01-01,TD,004,-90134.0
1984-01-01,TD,004,-24238.0
1983-01-01,TD,004,-22593.0
1982-01-01,TD,004,-19008.0
1981-01-01,TD,004,-18017.0
1980-01-01,TD,004,-26017.0
1979-01-01,TD,004,-36018.0
1978-01-01,TD,004,-29019.0
1977-01-01,TD,004,-29917.0
1976-01-01,TD,004,-21316.0
1975-01-01,TD,004,-21213.0
1974-01-01,TD,004,-13214.0
1973-01-01,TD,004,-11211.0
1972-01-01,TD,004,-7110.0
1971-01-01,TD,004,-7110.0
1970-01-01,TD,004,-7510.0
1969-01-01,TD,004,-5508.0
1968-01-01,TD,004,-4208.0
1967-01-01,TD,004,-4207.0
1966-01-01,TD,004,-4307.0
1965-01-01,TD,004,-4406.0
1964-01-01,TD,004,-7306.0
1963-01-01,TD,004,-5706.0
1962-01-01,TD,004,-4906.0
1961-01-01,TD,004,-3805.0
1960-01-01,TD,004,-2805.0
2018-12-01,TD,007,-198538.0
2018-11-01,TD,007,-284970.0
2018-10-01,TD,007,-304940.0
2018-09-01,TD,007,-295296.0
2018-08-01,TD,007,-285608.0
2018-07-01,TD,007,-271034.0
2018-06-01,TD,007,-248848.0
2018-05-01,TD,007,-252979.0
2018-04-01,TD,007,-252093.0
2018-03-01,TD,007,-267101.0
2018-02-01,TD,007,-277033.0
2018-01-01,TD,007,-277598.0
2017-12-01,TD,007,-299355.0
2017-11-01,TD,007,-328650.0
2017-10-01,TD,007,-298675.0
2017-09-01,TD,007,-302420.0
2017-08-01,TD,007,-319948.0
2017-07-01,TD,007,-363990.0
2017-06-01,TD,007,-343227.0
2017-05-01,TD,007,-328940.0
2017-04-01,TD,007,-283350.0
2017-03-01,TD,007,-353882.0
2017-02-01,TD,007,-318834.0
2017-01-01,TD,007,-279012.0
2016-12-01,TD,007,-303711.0
2016-11-01,TD,007,-297171.0
2016-10-01,TD,007,-310027.0
2016-09-01,TD,007,-302943.0
2016-08-01,TD,007,-313165.0
2016-07-01,TD,007,-270359.0
2016-06-01,TD,007,-279879.0
2016-05-01,TD,007,-221804.0
2016-04-01,TD,007,-147914.0
2016-03-01,TD,007,-99093.0
2016-02-01,TD,007,-99289.0
2016-01-01,TD,007,-22925.0
2015-12-01,TD,007,88591.0
2015-11-01,TD,007,7132.0
2015-10-01,TD,007,95458.0
2015-09-01,TD,007,155784.0
2015-08-01,TD,007,211863.0
2015-07-01,TD,007,250556.0
2015-06-01,TD,007,252277.0
2015-05-01,TD,007,286782.0
2015-04-01,TD,007,333595.0
2015-03-01,TD,007,372537.0
2015-02-01,TD,007,413724.0
2015-01-01,TD,007,450308.0
2014-12-01,TD,007,522690.0
2014-11-01,TD,007,431777.0
2014-10-01,TD,007,277511.0
2014-09-01,TD,007,332083.0
2014-08-01,TD,007,348754.0
2014-07-01,TD,007,392242.0
2014-06-01,TD,007,386493.0
2014-05-01,TD,007,349705.0
2014-04-01,TD,007,342519.0
2014-03-01,TD,007,398130.0
2014-02-01,TD,007,400115.0
2014-01-01,TD,007,477297.0
2013-12-01,TD,007,537690.0
2013-11-01,TD,007,443047.0
2013-10-01,TD,007,447639.0
2013-09-01,TD,007,511482.0
2013-08-01,TD,007,362212.0
2013-07-01,TD,007,430457.0
2013-06-01,TD,007,481192.0
2013-05-01,TD,007,381837.0
2013-04-01,TD,007,395785.0
2013-03-01,TD,007,501064.0
2013-02-01,TD,007,402296.0
2013-01-01,TD,007,487436.0
2012-12-01,TD,007,558057.0
2012-11-01,TD,007,450703.0
2012-10-01,TD,007,522894.0
2012-09-01,TD,007,499092.0
2012-08-01,TD,007,493519.0
2012-07-01,TD,007,534441.0
2012-06-01,TD,007,461147.0
2012-05-01,TD,007,360283.0
2012-04-01,TD,007,467690.0
2012-03-01,TD,007,417154.0
2012-02-01,TD,007,382955.0
2012-01-01,TD,007,459991.0
2011-12-01,TD,007,456016.0
2011-11-01,TD,007,371475.0
2011-10-01,TD,007,439529.0
2011-09-01,TD,007,437204.0
2011-08-01,TD,007,341799.0
2011-07-01,TD,007,377185.0
2011-06-01,TD,007,393267.0
2011-05-01,TD,007,241544.0
2011-04-01,TD,007,302015.0
2011-03-01,TD,007,380688.0
2011-02-01,TD,007,211039.0
2011-01-01,TD,007,256378.0
2010-12-01,TD,007,303111.0
2010-11-01,TD,007,214076.0
2010-10-01,TD,007,234208.0
2010-09-01,TD,007,299274.0
2010-08-01,TD,007,218058.0
2010-07-01,TD,007,252387.0
2010-06-01,TD,007,349895.0
2010-05-01,TD,007,152581.0
2010-04-01,TD,007,174634.0
2010-03-01,TD,007,266367.0
2010-02-01,TD,007,148722.0
2010-01-01,TD,007,177816.0
2009-12-01,TD,007,238851.0
2009-11-01,TD,007,187156.0
2009-10-01,TD,007,219624.0
2009-09-01,TD,007,274984.0
2009-08-01,TD,007,266430.0
2009-07-01,TD,007,293882.0
2009-06-01,TD,007,331244.0
2009-05-01,TD,007,385980.0
2009-04-01,TD,007,437922.0
2009-03-01,TD,007,477740.0
2009-02-01,TD,007,498057.0
2009-01-01,TD,007,561782.0
2008-12-01,TD,007,617183.0
2008-11-01,TD,007,502943.0
2008-10-01,TD,007,517529.0
2008-09-01,TD,007,549156.0
2008-08-01,TD,007,398489.0
2008-07-01,TD,007,413778.0
2008-06-01,TD,007,448100.0
2008-05-01,TD,007,386496.0
2008-04-01,TD,007,417383.0
2008-03-01,TD,007,453253.0
2008-02-01,TD,007,341772.0
2008-01-01,TD,007,367253.0
2007-12-01,TD,007,406801.0
2007-11-01,TD,007,374702.0
2007-10-01,TD,007,403877.0
2007-09-01,TD,007,439946.0
2007-08-01,TD,007,375896.0
2007-07-01,TD,007,394617.0
2007-06-01,TD,007,419137.0
2007-05-01,TD,007,375965.0
2007-04-01,TD,007,405397.0
2007-03-01,TD,007,423892.0
2007-02-01,TD,007,232479.0
2007-01-01,TD,007,249852.0
2006-12-01,TD,007,259528.0
2006-11-01,TD,007,272169.0
2006-10-01,TD,007,271381.0
2006-09-01,TD,007,136624.0
2006-08-01,TD,007,163519.0
2006-07-01,TD,007,101019.0
2006-06-01,TD,007,73606.0
2006-05-01,TD,007,85724.0
2006-04-01,TD,007,94361.0
2006-03-01,TD,007,108989.0
2006-02-01,TD,007,86211.0
2006-01-01,TD,007,110948.0
2005-12-01,TD,007,72184.0
2005-11-01,TD,007,60567.0
2005-10-01,TD,007,73312.0
2005-09-01,TD,007,78544.0
2005-08-01,TD,007,81860.0
2005-07-01,TD,007,89707.0
