date,country_code,indicator_code,value
2020-03-01,TH,001,-296.98
2020-02-01,TH,001,444.71
2020-01-01,TH,001,-477.0
2019-12-01,TH,001,-51.1
2019-11-01,TH,001,714.76
2019-10-01,TH,001,-214.99
2019-09-01,TH,001,-406.62
2019-08-01,TH,001,3.76
2019-07-01,TH,001,-762.51
2019-06-01,TH,001,738.83
2019-05-01,TH,001,300.76
2019-04-01,TH,001,-432.9
2019-03-01,TH,001,-13.37
2019-02-01,TH,001,288.13
2019-01-01,TH,001,-369.18
2018-12-01,TH,001,-398.59
2018-11-01,TH,001,660.89
2018-10-01,TH,001,-348.11
2018-09-01,TH,001,-335.6
2018-08-01,TH,001,-342.38
2018-07-01,TH,001,260.48
2018-06-01,TH,001,403.22
2018-05-01,TH,001,683.26
2018-04-01,TH,001,-59.63
2018-03-01,TH,001,-259.46
2018-02-01,TH,001,527.97
2018-01-01,TH,001,-117.5
2017-12-01,TH,001,-531.25
2017-11-01,TH,001,1071.08
2017-10-01,TH,001,-595.68
2017-09-01,TH,001,-352.94
2017-08-01,TH,001,-377.61
2017-07-01,TH,001,-342.11
2017-06-01,TH,001,1217.19
2017-05-01,TH,001,10.31
2017-04-01,TH,001,-368.58
2017-03-01,TH,001,-223.46
2017-02-01,TH,001,471.94
2017-01-01,TH,001,-147.63
2016-12-01,TH,001,-299.4
2016-11-01,TH,001,522.58
2016-10-01,TH,001,-735.03
2016-09-01,TH,001,-590.22
2016-08-01,TH,001,66.07
2016-07-01,TH,001,228.41
2016-06-01,TH,001,1352.89
2016-05-01,TH,001,-415.82
2016-04-01,TH,001,-380.44
2016-03-01,TH,001,-259.96
2016-02-01,TH,001,295.61
2016-01-01,TH,001,-1297.79
2015-12-01,TH,001,757.36
2015-11-01,TH,001,29.04
2015-10-01,TH,001,-234.68
2015-09-01,TH,001,-171.24
2015-08-01,TH,001,389.48
2015-07-01,TH,001,-129.88
2015-06-01,TH,001,659.28
2015-05-01,TH,001,43.39
2015-04-01,TH,001,-92.72
2015-03-01,TH,001,-314.32
2015-02-01,TH,001,577.24
2015-01-01,TH,001,-1305.08
2014-12-01,TH,001,505.06
2014-11-01,TH,001,242.96
2014-10-01,TH,001,-534.67
2014-09-01,TH,001,80.68
2014-08-01,TH,001,-116.23
2014-07-01,TH,001,109.19
2014-06-01,TH,001,615.32
2014-05-01,TH,001,432.83
2014-04-01,TH,001,-571.85
2014-03-01,TH,001,165.01
2014-02-01,TH,001,-57.93
2014-01-01,TH,001,-1690.7
2013-12-01,TH,001,233.13
2013-11-01,TH,001,584.33
2013-10-01,TH,001,-327.35
2013-09-01,TH,001,48.49
2013-08-01,TH,001,-419.81
2013-07-01,TH,001,-528.69
2013-06-01,TH,001,1048.57
2013-05-01,TH,001,822.13
2013-04-01,TH,001,-725.08
2013-03-01,TH,001,-59.55
2013-02-01,TH,001,730.77
2013-01-01,TH,001,-1470.19
2012-12-01,TH,001,-424.63
2012-11-01,TH,001,764.22
2012-10-01,TH,001,56.38
2012-09-01,TH,001,-390.56
2012-08-01,TH,001,-310.84
2012-07-01,TH,001,324.58
2012-06-01,TH,001,1260.86
2012-05-01,TH,001,124.68
2012-04-01,TH,001,-51.29
2012-03-01,TH,001,137.43
2012-02-01,TH,001,130.73
2012-01-01,TH,001,-1566.79
2011-12-01,TH,001,515.01
2011-11-01,TH,001,680.2
2011-10-01,TH,001,-566.26
2011-09-01,TH,001,-572.93
2011-08-01,TH,001,-109.9
2011-07-01,TH,001,661.29
2011-06-01,TH,001,1067.05
2011-05-01,TH,001,448.96
2011-04-01,TH,001,-439.28
2011-03-01,TH,001,256.0
2011-02-01,TH,001,131.12
2011-01-01,TH,001,-1770.46
2010-12-01,TH,001,1012.94
2010-11-01,TH,001,215.86
2010-10-01,TH,001,-1116.58
2010-09-01,TH,001,365.67
2010-08-01,TH,001,298.82
2010-07-01,TH,001,319.58
2010-06-01,TH,001,1070.32
2010-05-01,TH,001,-230.98
2010-04-01,TH,001,-344.61
2010-03-01,TH,001,0.57
2010-02-01,TH,001,557.88
2010-01-01,TH,001,-1493.64
2009-12-01,TH,001,209.31
2009-11-01,TH,001,666.31
2009-10-01,TH,001,-134.19
2009-09-01,TH,001,-502.89
2009-08-01,TH,001,-494.44
2009-07-01,TH,001,428.89
2009-06-01,TH,001,857.34
2009-05-01,TH,001,445.31
2009-04-01,TH,001,491.5
2009-03-01,TH,001,-99.59
2009-02-01,TH,001,469.94
2009-01-01,TH,001,-1780.86
2008-12-01,TH,001,623.93
2008-11-01,TH,001,198.09
2008-10-01,TH,001,-28.84
2008-09-01,TH,001,-706.59
2008-08-01,TH,001,-312.36
2008-07-01,TH,001,846.87
2008-06-01,TH,001,735.76
2008-05-01,TH,001,195.98
2008-04-01,TH,001,643.44
2008-03-01,TH,001,9.92
2008-02-01,TH,001,-144.77
2008-01-01,TH,001,-1513.89
2007-12-01,TH,001,348.56
2007-11-01,TH,001,985.13
2007-10-01,TH,001,-424.63
2007-09-01,TH,001,-872.98
2007-08-01,TH,001,20.28
2007-07-01,TH,001,722.49
2007-06-01,TH,001,1433.48
2007-05-01,TH,001,-305.08
2007-04-01,TH,001,607.3
2007-03-01,TH,001,-616.31
2007-02-01,TH,001,64.33
