date,country_code,indicator_code,value
2017-01-01,TL,001,-194.0
2016-01-01,TL,001,-867.0
2015-01-01,TL,001,129.0
2014-01-01,TL,001,939.0
2013-01-01,TL,001,2372.0
2012-01-01,TL,001,2715.0
2011-01-01,TL,001,2487.0
2010-01-01,TL,001,1644.0
2016-01-01,TL,002,4.7
2013-01-01,TL,002,11.0
2010-01-01,TL,002,3.3
2017-01-01,TL,004,1501.0
2016-01-01,TL,004,1458.0
2015-01-01,TL,004,2327.0
2014-01-01,TL,004,3898.0
2013-01-01,TL,004,5310.0
2012-01-01,TL,004,6526.0
2011-01-01,TL,004,5525.0
2010-01-01,TL,004,4008.0
2009-01-01,TL,004,3161.0
2008-01-01,TL,004,4323.0
2007-01-01,TL,004,2871.0
2006-01-01,TL,004,2733.0
2005-01-01,TL,004,1503.0
2004-01-01,TL,004,721.0
2003-01-01,TL,004,96.0
2002-01-01,TL,004,86.0
2001-01-01,TL,004,92.0
2000-01-01,TL,004,124.0
2020-03-01,TL,005,16.24
2020-02-01,TL,005,16.33
2020-01-01,TL,005,16.41
2019-12-01,TL,005,16.29
2019-11-01,TL,005,16.09
2019-10-01,TL,005,12.72
2019-09-01,TL,005,16.26
2019-08-01,TL,005,16.2
2019-07-01,TL,005,16.21
2019-06-01,TL,005,15.48
2019-05-01,TL,005,15.36
2019-04-01,TL,005,15.2
2019-03-01,TL,005,14.98
2019-02-01,TL,005,14.83
2019-01-01,TL,005,14.73
2018-12-01,TL,005,14.51
2018-11-01,TL,005,14.37
2018-10-01,TL,005,14.23
2018-09-01,TL,005,14.03
2018-08-01,TL,005,13.76
2018-07-01,TL,005,13.48
2018-06-01,TL,005,13.24
2018-05-01,TL,005,13.06
2018-04-01,TL,005,12.86
2018-03-01,TL,005,13.08
2018-02-01,TL,005,12.4
2018-01-01,TL,005,12.45
2017-12-01,TL,005,12.46
2017-11-01,TL,005,12.37
2017-10-01,TL,005,12.32
2017-09-01,TL,005,13.47
2017-08-01,TL,005,13.5
2017-07-01,TL,005,13.56
2017-06-01,TL,005,13.52
2017-05-01,TL,005,13.58
2017-04-01,TL,005,13.65
2017-03-01,TL,005,13.66
2017-02-01,TL,005,13.68
2017-01-01,TL,005,13.67
2016-12-01,TL,005,14.5
2016-11-01,TL,005,14.2
2016-10-01,TL,005,14.2
2016-09-01,TL,005,14.2
2016-08-01,TL,005,14.5
2016-07-01,TL,005,14.1
2016-06-01,TL,005,14.1
2016-05-01,TL,005,13.81
2016-04-01,TL,005,13.82
2016-03-01,TL,005,13.72
2016-02-01,TL,005,13.71
2016-01-01,TL,005,13.72
2015-12-01,TL,005,13.89
2015-11-01,TL,005,13.81
2015-10-01,TL,005,13.76
2015-09-01,TL,005,13.68
2015-08-01,TL,005,13.63
2015-07-01,TL,005,13.51
2015-06-01,TL,005,13.43
2015-05-01,TL,005,13.35
2015-04-01,TL,005,13.32
2015-03-01,TL,005,13.26
2015-02-01,TL,005,13.2
2015-01-01,TL,005,13.12
2014-12-01,TL,005,13.11
2014-11-01,TL,005,13.13
2014-10-01,TL,005,13.02
2014-09-01,TL,005,13.02
2014-08-01,TL,005,12.95
2014-07-01,TL,005,12.92
2014-06-01,TL,005,12.87
2014-05-01,TL,005,12.85
2014-04-01,TL,005,12.8
2014-03-01,TL,005,12.58
2014-02-01,TL,005,12.56
2014-01-01,TL,005,12.59
2013-12-01,TL,005,12.48
2013-11-01,TL,005,12.62
2013-10-01,TL,005,12.64
2013-09-01,TL,005,12.54
2013-08-01,TL,005,12.59
2013-07-01,TL,005,12.47
2013-06-01,TL,005,12.39
2013-05-01,TL,005,12.34
2013-04-01,TL,005,12.3
2013-03-01,TL,005,12.25
2013-02-01,TL,005,12.22
2013-01-01,TL,005,12.13
2012-12-01,TL,005,12.25
2012-11-01,TL,005,12.25
2012-10-01,TL,005,12.26
2012-09-01,TL,005,12.34
2012-08-01,TL,005,12.2
2012-07-01,TL,005,12.15
2012-06-01,TL,005,12.16
2012-05-01,TL,005,12.24
2012-04-01,TL,005,12.24
2012-03-01,TL,005,12.18
2012-02-01,TL,005,12.2
2012-01-01,TL,005,12.06
2011-12-01,TL,005,12.14
2011-11-01,TL,005,11.98
2011-10-01,TL,005,11.72
2011-09-01,TL,005,11.15
2011-08-01,TL,005,10.95
2011-07-01,TL,005,10.92
2011-06-01,TL,005,10.83
2011-05-01,TL,005,10.67
2011-04-01,TL,005,10.65
2011-03-01,TL,005,10.56
2011-02-01,TL,005,10.49
2011-01-01,TL,005,10.47
2010-12-01,TL,005,11.11
2010-11-01,TL,005,11.09
2010-10-01,TL,005,11.12
2010-09-01,TL,005,11.08
2010-08-01,TL,005,11.17
2010-07-01,TL,005,11.16
2010-06-01,TL,005,11.13
2010-05-01,TL,005,10.97
2010-04-01,TL,005,10.91
2010-03-01,TL,005,10.87
2010-02-01,TL,005,10.87
2010-01-01,TL,005,10.85
2009-12-01,TL,005,10.83
2009-11-01,TL,005,10.85
2009-10-01,TL,005,10.87
2009-09-01,TL,005,10.88
2009-08-01,TL,005,11.05
2009-07-01,TL,005,11.04
2009-06-01,TL,005,11.06
2009-05-01,TL,005,11.37
2009-04-01,TL,005,11.47
2009-03-01,TL,005,11.51
2009-02-01,TL,005,11.43
2009-01-01,TL,005,11.63
2008-12-01,TL,005,12.26
2008-11-01,TL,005,12.78
2008-10-01,TL,005,13.5
2008-09-01,TL,005,12.55
2008-08-01,TL,005,14.36
2008-07-01,TL,005,12.52
2008-06-01,TL,005,12.44
2008-05-01,TL,005,12.62
2008-04-01,TL,005,12.64
2008-03-01,TL,005,12.66
2008-02-01,TL,005,14.38
2008-01-01,TL,005,14.62
2007-12-01,TL,005,14.97
2007-11-01,TL,005,14.55
2007-10-01,TL,005,14.59
2007-09-01,TL,005,14.62
2007-08-01,TL,005,14.83
2007-07-01,TL,005,14.88
2007-06-01,TL,005,14.86
2007-05-01,TL,005,14.4
2007-04-01,TL,005,14.81
2007-03-01,TL,005,14.96
2007-02-01,TL,005,16.52
2007-01-01,TL,005,16.58
2006-12-01,TL,005,16.57
2006-11-01,TL,005,16.51
2006-10-01,TL,005,16.51
2006-09-01,TL,005,16.53
2006-08-01,TL,005,16.51
2006-07-01,TL,005,16.49
2006-06-01,TL,005,16.31
2006-05-01,TL,005,16.64
2006-04-01,TL,005,16.64
2006-03-01,TL,005,16.64
2006-02-01,TL,005,16.63
2006-01-01,TL,005,16.62
2005-12-01,TL,005,16.6
2005-11-01,TL,005,16.6
2005-10-01,TL,005,16.63
2005-09-01,TL,005,16.61
2005-08-01,TL,005,16.62
2005-07-01,TL,005,16.61
2005-06-01,TL,005,16.65
2005-05-01,TL,005,16.68
2005-04-01,TL,005,16.67
2005-03-01,TL,005,16.69
2005-02-01,TL,005,16.72
2005-01-01,TL,005,16.76
2004-12-01,TL,005,14.83
2004-11-01,TL,005,15.05
2004-10-01,TL,005,15.0
2004-09-01,TL,005,16.81
2004-08-01,TL,005,14.83
2004-07-01,TL,005,15.07
2004-06-01,TL,005,15.04
2004-05-01,TL,005,16.96
2004-04-01,TL,005,14.98
2004-03-01,TL,005,15.28
2004-02-01,TL,005,15.26
2004-01-01,TL,005,17.34
2003-12-01,TL,005,15.39
2003-11-01,TL,005,17.31
2003-10-01,TL,005,15.29
2003-09-01,TL,005,15.53
2003-08-01,TL,005,15.49
2003-07-01,TL,005,17.3
2003-06-01,TL,005,17.28
2003-05-01,TL,005,17.21
2003-04-01,TL,005,17.19
2003-03-01,TL,005,17.29
