date,country_code,indicator_code,value
2018-01-01,TM,001,2537.0
2017-01-01,TM,001,2499.0
2016-01-01,TM,001,2459.0
2015-01-01,TM,001,2427.0
2014-01-01,TM,001,2383.0
2013-01-01,TM,001,2341.0
2012-01-01,TM,001,2301.0
2011-01-01,TM,001,2255.0
2010-01-01,TM,001,2202.0
2009-01-01,TM,001,2143.0
2008-01-01,TM,001,2086.0
2007-01-01,TM,001,2011.0
2006-01-01,TM,001,1941.0
2005-01-01,TM,001,1879.0
2004-01-01,TM,001,1820.0
2003-01-01,TM,001,1764.0
2002-01-01,TM,001,2013.0
2001-01-01,TM,001,1947.0
2000-01-01,TM,001,1908.0
1999-01-01,TM,001,1952.0
1998-01-01,TM,001,1839.0
1997-01-01,TM,001,1816.0
1996-01-01,TM,001,1780.0
1995-01-01,TM,001,1749.0
1994-01-01,TM,001,1692.0
1993-01-01,TM,001,1628.0
1992-01-01,TM,001,1578.0
1991-01-01,TM,001,1527.0
1990-01-01,TM,001,1476.0
2017-01-01,TM,004,-2400.7
2016-01-01,TM,004,-5656.7
2015-01-01,TM,004,-1887.4
2014-01-01,TM,004,3144.2
2013-01-01,TM,004,2764.2
2012-01-01,TM,004,5848.4
2011-01-01,TM,004,5390.2
2010-01-01,TM,004,1475.6
2009-01-01,TM,004,330.5
2008-01-01,TM,004,6237.5
2007-01-01,TM,004,4490.1
2006-01-01,TM,004,4597.8
2005-01-01,TM,004,1997.1
2004-01-01,TM,004,705.5
2003-01-01,TM,004,886.0
2002-01-01,TM,004,1030.0
2001-01-01,TM,004,515.0
2000-01-01,TM,004,766.0
1999-01-01,TM,004,-210.0
1998-01-01,TM,004,-523.0
1997-01-01,TM,004,-259.3
1996-01-01,TM,004,303.7
1995-01-01,TM,004,440.8
1994-01-01,TM,004,485.1
1993-01-01,TM,004,1100.0
1992-01-01,TM,004,1139.90197953
1991-01-01,TM,004,589.501947429
1990-01-01,TM,004,-249.0
2018-01-01,TM,012,0.0
2017-01-01,TM,012,0.0
2016-01-01,TM,012,0.0
2015-01-01,TM,012,0.0
2014-01-01,TM,012,0.0
2013-01-01,TM,012,0.0
2012-01-01,TM,012,0.0
2011-01-01,TM,012,0.0
2010-01-01,TM,012,0.0
2009-01-01,TM,012,0.0
2008-01-01,TM,012,0.0
2007-01-01,TM,012,0.0
2006-01-01,TM,012,113.0
2005-01-01,TM,012,0.0
2004-01-01,TM,012,0.0
2003-01-01,TM,012,0.0
2002-01-01,TM,012,0.0
2001-01-01,TM,012,0.0
2000-01-01,TM,012,0.0
1999-01-01,TM,012,0.0
1998-01-01,TM,012,0.0
1997-01-01,TM,012,0.0
1996-01-01,TM,012,0.0
1995-01-01,TM,012,0.0
1994-01-01,TM,012,0.0
2018-07-01,TM,016,102.0
2018-04-01,TM,016,101.0
2018-01-01,TM,016,100.0
2017-10-01,TM,016,100.0
2017-01-01,TM,016,100.0
2016-10-01,TM,016,100.0
2016-07-01,TM,016,101.0
2016-04-01,TM,016,101.0
2016-01-01,TM,016,106.0
2015-10-01,TM,016,104.0
2015-07-01,TM,016,106.0
2015-04-01,TM,016,107.0
2015-01-01,TM,016,111.0
2014-10-01,TM,016,111.0
2014-07-01,TM,016,113.0
2014-04-01,TM,016,117.0
2014-01-01,TM,016,134.0
2013-10-01,TM,016,193.0
2013-07-01,TM,016,190.0
2013-04-01,TM,016,179.0
2013-01-01,TM,016,169.0
2012-10-01,TM,016,132.0
2012-07-01,TM,016,129.0
2012-04-01,TM,016,122.0
2012-01-01,TM,016,104.0
2011-10-01,TM,016,107.0
2011-07-01,TM,016,107.0
2011-04-01,TM,016,111.0
2011-01-01,TM,016,104.0
2010-10-01,TM,016,104.0
2010-07-01,TM,016,111.0
2010-04-01,TM,016,118.0
2010-01-01,TM,016,122.0
2012-01-01,TM,019,0.0
2011-01-01,TM,019,0.0
2010-01-01,TM,019,0.0
2009-01-01,TM,019,0.0
