date,country_code,indicator_code,value
2019-10-01,TN,001,22.8
2019-07-01,TN,001,15.7
2019-04-01,TN,001,7.5
2019-01-01,TN,001,12.8
2018-10-01,TN,001,4.9
2018-07-01,TN,001,5.0
2018-04-01,TN,001,5.8
2018-01-01,TN,001,11.9
2017-10-01,TN,001,7.8
2017-07-01,TN,001,14.1
2017-04-01,TN,001,6.6
2017-01-01,TN,001,14.8
2016-10-01,TN,001,10.8
2016-07-01,TN,001,8.3
2016-04-01,TN,001,2.9
2016-01-01,TN,001,12.7
2015-10-01,TN,001,9.9
2015-07-01,TN,001,5.8
2015-04-01,TN,001,-12.3
2015-01-01,TN,001,-15.1
2014-10-01,TN,001,14.5
2014-01-01,TN,001,23.8
2013-10-01,TN,001,27.5
2013-07-01,TN,001,25.9
2013-04-01,TN,001,34.1
2013-01-01,TN,001,25.4
2012-10-01,TN,001,12.9
2012-07-01,TN,001,11.3
2012-04-01,TN,001,24.5
2012-01-01,TN,001,36.4
2017-01-01,TN,004,43431.0
2016-01-01,TN,004,36665.0
2015-01-01,TN,004,34728.0
2014-01-01,TN,004,36328.0
2013-01-01,TN,004,35293.0
2012-01-01,TN,004,34154.0
2011-01-01,TN,004,31299.0
2010-01-01,TN,004,31210.0
2009-01-01,TN,004,26428.0
2008-01-01,TN,004,30761.0
2007-01-01,TN,004,25470.0
2006-01-01,TN,004,21061.0
2005-01-01,TN,004,18814.0
2004-01-01,TN,004,16389.0
2003-01-01,TN,004,13967.0
2002-01-01,TN,004,13419.0
2001-01-01,TN,004,13593.0
2000-01-01,TN,004,11694.0
1999-01-01,TN,004,10336.0
1998-01-01,TN,004,9564.0
1997-01-01,TN,004,8974.0
1996-01-01,TN,004,7914.0
1995-01-01,TN,004,7545.0
1994-01-01,TN,004,7002.0
1993-01-01,TN,004,5847.0
1992-01-01,TN,004,5342.0
1991-01-01,TN,004,4789.0
1990-01-01,TN,004,4643.0
1989-01-01,TN,004,4432.0
1988-01-01,TN,004,3694.0
1987-01-01,TN,004,2839.0
1986-01-01,TN,004,2186.0
1985-01-01,TN,004,2264.0
1984-01-01,TN,004,2123.0
1983-01-01,TN,004,1980.0
1982-01-01,TN,004,1806.0
1981-01-01,TN,004,1753.0
1980-01-01,TN,004,1493.0
1979-01-01,TN,004,1232.0
1978-01-01,TN,004,1047.0
1977-01-01,TN,004,924.0
1976-01-01,TN,004,804.0
1975-01-01,TN,004,707.0
1974-01-01,TN,004,604.0
1973-01-01,TN,004,549.0
1972-01-01,TN,004,522.0
1971-01-01,TN,004,435.0
1970-01-01,TN,004,370.0
1969-01-01,TN,004,150.0
1968-01-01,TN,004,134.0
1967-01-01,TN,004,121.0
1966-01-01,TN,004,115.0
1965-01-01,TN,004,99.0
1964-01-01,TN,004,85.0
1963-01-01,TN,004,77.0
1962-01-01,TN,004,70.0
1961-01-01,TN,004,72.0
1960-01-01,TN,004,77.0
2020-02-01,TN,007,416.0
2020-01-01,TN,007,928.0
2019-12-01,TN,007,906.0
2019-11-01,TN,007,82.0
2019-10-01,TN,007,-79.0
2019-09-01,TN,007,-426.0
2019-08-01,TN,007,-1470.0
2019-07-01,TN,007,-2209.0
2019-06-01,TN,007,-5239.0
2019-05-01,TN,007,-4342.0
2019-04-01,TN,007,-4256.0
2019-03-01,TN,007,-3237.0
2019-02-01,TN,007,-3655.0
2019-01-01,TN,007,-3278.0
2018-12-01,TN,007,-4040.0
2018-11-01,TN,007,-4865.0
2018-10-01,TN,007,-3654.0
2018-09-01,TN,007,-4708.0
2018-08-01,TN,007,-5178.0
2018-07-01,TN,007,-5286.0
2018-06-01,TN,007,-4798.0
2018-05-01,TN,007,-4400.0
2018-04-01,TN,007,-4207.0
2018-03-01,TN,007,-3989.0
2018-02-01,TN,007,-2955.0
2018-01-01,TN,007,-2394.0
2017-12-01,TN,007,-1758.0
2017-11-01,TN,007,-2246.0
2017-10-01,TN,007,-1703.0
2017-09-01,TN,007,-1899.0
2017-08-01,TN,007,-1042.0
2017-07-01,TN,007,-2308.0
2017-06-01,TN,007,-1717.0
2017-05-01,TN,007,-1172.0
2017-04-01,TN,007,-153.0
2017-03-01,TN,007,-871.0
2017-02-01,TN,007,-159.0
2017-01-01,TN,007,-1173.0
2016-12-01,TN,007,-393.0
2016-11-01,TN,007,-899.0
2016-10-01,TN,007,-80.0
2016-09-01,TN,007,-308.0
2016-08-01,TN,007,23.0
2016-07-01,TN,007,-877.0
2016-06-01,TN,007,-693.0
2016-05-01,TN,007,-238.0
2016-04-01,TN,007,-200.0
2016-03-01,TN,007,849.0
2016-02-01,TN,007,1350.0
2016-01-01,TN,007,2162.0
2015-12-01,TN,007,2397.0
2015-11-01,TN,007,842.0
2015-10-01,TN,007,1474.0
2015-09-01,TN,007,2130.0
2015-08-01,TN,007,2605.0
2015-07-01,TN,007,2511.0
2015-06-01,TN,007,2334.0
2015-05-01,TN,007,3080.0
2015-04-01,TN,007,3541.0
2015-03-01,TN,007,3736.0
2015-02-01,TN,007,4330.0
2015-01-01,TN,007,4551.0
2014-12-01,TN,007,2532.0
2014-11-01,TN,007,3164.0
2014-10-01,TN,007,3799.0
2014-09-01,TN,007,2912.0
2014-08-01,TN,007,3598.0
