date,country_code,indicator_code,value
2018-01-01,TO,004,-530.0
2017-01-01,TO,004,-444.0
2016-01-01,TO,004,-362.0
2015-01-01,TO,004,-404.0
2014-01-01,TO,004,-327.0
2013-01-01,TO,004,-330.0
2012-01-01,TO,004,-350.0
2011-01-01,TO,004,-352.0
2010-01-01,TO,004,-341.0
2009-01-01,TO,004,-332.0
2008-01-01,TO,004,-241.0
2007-01-01,TO,004,-275.0
2006-01-01,TO,004,-219.0
2005-01-01,TO,004,-198.0
2004-01-01,TO,004,-175.0
2003-01-01,TO,004,-166.0
2002-01-01,TO,004,-147.0
2001-01-01,TO,004,-114.0
2000-01-01,TO,004,-82.0
1999-01-01,TO,004,-62.0
1998-01-01,TO,004,-112.0
1997-01-01,TO,004,-82.0
1996-01-01,TO,004,-103.0
1995-01-01,TO,004,-99.0
1994-01-01,TO,004,-74.0
1993-01-01,TO,004,-53.0
1992-01-01,TO,004,-47.0
1991-01-01,TO,004,-65.0
1990-01-01,TO,004,-46.0
1989-01-01,TO,004,-50.0
1988-01-01,TO,004,-55.0
1987-01-01,TO,004,-39.0
1986-01-01,TO,004,-45.0
1985-01-01,TO,004,-36.0
1984-01-01,TO,004,-27.0
1983-01-01,TO,004,-34.0
1982-01-01,TO,004,-23.0
1981-01-01,TO,004,-23.0
1980-01-01,TO,004,-18.0
1979-01-01,TO,004,-17.0
1978-01-01,TO,004,-14.0
1977-01-01,TO,004,-7.0
1976-01-01,TO,004,-7.0
1975-01-01,TO,004,-7.0
2020-01-01,TO,005,8.03
2019-12-01,TO,005,8.02
2019-11-01,TO,005,7.97
2019-10-01,TO,005,7.97
2019-09-01,TO,005,8.0
2019-08-01,TO,005,8.04
2019-07-01,TO,005,8.03
2019-06-01,TO,005,8.03
2019-05-01,TO,005,8.04
2019-04-01,TO,005,8.11
2019-03-01,TO,005,8.15
2019-02-01,TO,005,8.29
2019-01-01,TO,005,8.09
2018-12-01,TO,005,8.12
2018-11-01,TO,005,8.09
2018-10-01,TO,005,8.12
2018-09-01,TO,005,8.08
2018-08-01,TO,005,8.08
2018-07-01,TO,005,8.06
2018-06-01,TO,005,8.06
2018-05-01,TO,005,8.02
2018-04-01,TO,005,7.99
2018-03-01,TO,005,7.97
2018-02-01,TO,005,7.95
2018-01-01,TO,005,7.93
2017-12-01,TO,005,7.94
2017-11-01,TO,005,7.97
2017-10-01,TO,005,7.98
2017-09-01,TO,005,7.85
2017-08-01,TO,005,7.83
2017-07-01,TO,005,7.85
2017-06-01,TO,005,7.84
2017-05-01,TO,005,7.83
2017-04-01,TO,005,7.86
2017-03-01,TO,005,7.85
2017-02-01,TO,005,7.86
2017-01-01,TO,005,7.83
2016-12-01,TO,005,7.91
2016-11-01,TO,005,7.89
2016-10-01,TO,005,7.89
2016-09-01,TO,005,7.88
2016-08-01,TO,005,7.9
2016-07-01,TO,005,7.92
2016-06-01,TO,005,7.88
2016-05-01,TO,005,7.88
2016-04-01,TO,005,7.97
