date,country_code,indicator_code,value
2020-01-01,TR,001,27266.0
2019-12-01,TR,001,27658.0
2019-11-01,TR,001,28169.0
2019-10-01,TR,001,28343.0
2019-09-01,TR,001,28440.0
2019-08-01,TR,001,28529.0
2019-07-01,TR,001,28517.0
2019-06-01,TR,001,28512.0
2019-05-01,TR,001,28269.0
2019-04-01,TR,001,28199.0
2019-03-01,TR,001,27795.0
2019-02-01,TR,001,27355.0
2019-01-01,TR,001,27157.0
2018-12-01,TR,001,27655.0
2018-11-01,TR,001,28314.0
2018-10-01,TR,001,28870.0
2018-09-01,TR,001,29063.0
2018-08-01,TR,001,29318.0
2018-07-01,TR,001,29265.0
2018-06-01,TR,001,29314.0
2018-05-01,TR,001,29138.0
2018-04-01,TR,001,29009.0
2018-03-01,TR,001,28499.0
2018-02-01,TR,001,28166.0
2018-01-01,TR,001,28029.0
2017-12-01,TR,001,28288.0
2017-11-01,TR,001,28515.0
2017-10-01,TR,001,28645.0
2017-09-01,TR,001,28797.0
2017-08-01,TR,001,28828.0
2017-07-01,TR,001,28758.0
2017-06-01,TR,001,28703.0
2017-05-01,TR,001,28488.0
2017-04-01,TR,001,28157.0
2017-03-01,TR,001,27489.0
2017-02-01,TR,001,26956.0
2017-01-01,TR,001,26672.0
2016-12-01,TR,001,26669.0
2016-11-01,TR,001,27067.0
2016-10-01,TR,001,27267.0
2016-09-01,TR,001,27564.0
2016-08-01,TR,001,27473.0
2016-07-01,TR,001,27636.0
2016-06-01,TR,001,27651.0
2016-05-01,TR,001,27867.0
2016-04-01,TR,001,27638.0
2016-03-01,TR,001,26993.0
2016-02-01,TR,001,26456.0
2016-01-01,TR,001,26275.0
2015-12-01,TR,001,26448.0
2015-11-01,TR,001,26676.0
2015-10-01,TR,001,26856.0
2015-09-01,TR,001,27156.0
2015-08-01,TR,001,27150.0
2015-07-01,TR,001,27342.0
2015-06-01,TR,001,27261.0
2015-05-01,TR,001,27072.0
2015-04-01,TR,001,26638.0
2015-03-01,TR,001,25953.0
2015-02-01,TR,001,25576.0
2015-01-01,TR,001,25454.0
2014-12-01,TR,001,25642.0
2014-11-01,TR,001,25874.0
2014-10-01,TR,001,26138.0
2014-09-01,TR,001,26169.0
2014-08-01,TR,001,26313.0
2014-07-01,TR,001,26410.0
2014-06-01,TR,001,26586.0
2014-05-01,TR,001,26538.0
2014-04-01,TR,001,26194.0
2014-03-01,TR,001,25583.0
2014-02-01,TR,001,24999.0
2014-01-01,TR,001,24456.0
2013-12-01,TR,001,25262.0
2013-11-01,TR,001,25443.0
2013-10-01,TR,001,25648.0
2013-09-01,TR,001,25808.0
2013-08-01,TR,001,25960.0
2013-07-01,TR,001,26099.0
2013-06-01,TR,001,26319.0
