date,country_code,indicator_code,value
2017-10-01,TT,001,596.4
2017-07-01,TT,001,602.0
2017-04-01,TT,001,603.0
2017-01-01,TT,001,611.1
2016-10-01,TT,001,608.4
2016-07-01,TT,001,613.6
2016-04-01,TT,001,612.4
2016-01-01,TT,001,617.8
2015-10-01,TT,001,621.6
2015-07-01,TT,001,620.2
2015-04-01,TT,001,628.6
2015-01-01,TT,001,622.8
2014-10-01,TT,001,629.8
2014-07-01,TT,001,637.9
2014-04-01,TT,001,636.2
2014-01-01,TT,001,643.5
2013-10-01,TT,001,628.8
2013-07-01,TT,001,624.2
2013-04-01,TT,001,620.7
2013-01-01,TT,001,631.5
2012-10-01,TT,001,622.9
2012-07-01,TT,001,623.5
2012-04-01,TT,001,620.0
2012-01-01,TT,001,589.6
2011-10-01,TT,001,596.1
2011-07-01,TT,001,578.0
2011-04-01,TT,001,581.9
2011-01-01,TT,001,
2010-10-01,TT,001,591.8
2010-07-01,TT,001,584.3
2010-04-01,TT,001,578.9
2010-01-01,TT,001,573.5
2009-10-01,TT,001,582.6
2009-07-01,TT,001,580.2
2009-04-01,TT,001,592.5
2009-01-01,TT,001,598.2
2008-10-01,TT,001,608.7
2008-07-01,TT,001,600.8
2008-04-01,TT,001,592.8
2008-01-01,TT,001,588.4
2007-10-01,TT,001,603.1
2007-07-01,TT,001,593.3
2007-04-01,TT,001,579.7
2007-01-01,TT,001,575.1
2006-10-01,TT,001,596.8
2006-07-01,TT,001,582.6
2006-04-01,TT,001,582.9
2006-01-01,TT,001,582.4
2005-10-01,TT,001,589.9
2005-07-01,TT,001,569.4
2005-04-01,TT,001,569.6
2005-01-01,TT,001,567.0
2004-10-01,TT,001,580.7
2004-07-01,TT,001,572.5
2004-04-01,TT,001,559.1
2004-01-01,TT,001,536.9
2003-10-01,TT,001,541.8
2003-07-01,TT,001,544.0
2003-04-01,TT,001,527.2
2003-01-01,TT,001,523.3
2002-10-01,TT,001,529.5
2002-07-01,TT,001,529.2
2002-04-01,TT,001,519.1
2002-01-01,TT,001,522.4
2001-10-01,TT,001,519.8
2001-07-01,TT,001,520.8
2001-04-01,TT,001,507.7
2001-01-01,TT,001,508.0
2000-10-01,TT,001,504.4
2000-07-01,TT,001,502.4
2000-04-01,TT,001,
2000-01-01,TT,001,503.2
1999-10-01,TT,001,484.0
1999-07-01,TT,001,490.5
1999-04-01,TT,001,498.0
1999-01-01,TT,001,484.9
1998-10-01,TT,001,476.2
1998-07-01,TT,001,487.5
1998-04-01,TT,001,482.7
1998-01-01,TT,001,470.7
1997-10-01,TT,001,464.5
1997-07-01,TT,001,465.9
1997-04-01,TT,001,465.9
1997-01-01,TT,001,442.9
1996-10-01,TT,001,452.8
1996-07-01,TT,001,443.1
1996-04-01,TT,001,446.7
1996-01-01,TT,001,434.2
1995-10-01,TT,001,437.9
1995-07-01,TT,001,430.1
1995-04-01,TT,001,433.8
1995-01-01,TT,001,424.5
1994-10-01,TT,001,425.5
1994-07-01,TT,001,416.7
1994-04-01,TT,001,412.3
1994-01-01,TT,001,407.7
1993-10-01,TT,001,410.8
1993-07-01,TT,001,411.7
1993-04-01,TT,001,399.6
1993-01-01,TT,001,396.2
1992-10-01,TT,001,406.5
1992-07-01,TT,001,416.2
1992-04-01,TT,001,404.6
1992-01-01,TT,001,396.8
1991-10-01,TT,001,405.7
1991-07-01,TT,001,411.1
1991-04-01,TT,001,402.6
1991-01-01,TT,001,384.6
2017-01-01,TT,002,336.758149
2016-01-01,TT,002,333.3829
2015-01-01,TT,002,339.580566
2014-01-01,TT,002,316.985046
2013-01-01,TT,002,321.925018
2012-01-01,TT,002,294.649994
2011-01-01,TT,002,282.149994
2010-01-01,TT,002,299.700012
2009-01-01,TT,002,270.424988
2008-01-01,TT,002,249.174988
2007-01-01,TT,002,223.024994
2006-01-01,TT,002,217.199997
2005-01-01,TT,002,200.999985
2004-01-01,TT,002,197.899994
2003-01-01,TT,002,172.774994
2002-01-01,TT,002,152.625
2001-01-01,TT,002,136.725006
2000-01-01,TT,002,125.100006
1999-01-01,TT,002,114.775002
1998-01-01,TT,002,120.800003
1997-01-01,TT,002,115.024994
1996-01-01,TT,002,107.799995
1995-01-01,TT,002,100.0
2016-04-01,TT,004,-364.1
2016-01-01,TT,004,-39.2
2015-10-01,TT,004,258.4
2015-07-01,TT,004,339.5
2015-04-01,TT,004,359.9
2015-01-01,TT,004,372.4
2014-10-01,TT,004,878.0
2014-07-01,TT,004,425.4
2014-04-01,TT,004,-55.1
2014-01-01,TT,004,2041.8
2013-10-01,TT,004,997.5
2013-07-01,TT,004,-396.1
2013-04-01,TT,004,2040.2
2013-01-01,TT,004,3473.9
2012-10-01,TT,004,1520.7
2012-07-01,TT,004,-22.4
2012-04-01,TT,004,-184.1
2012-01-01,TT,004,-42.0
2011-10-01,TT,004,202.4
2011-07-01,TT,004,2650.6
2011-04-01,TT,004,1235.1
2011-01-01,TT,004,1367.1
2010-10-01,TT,004,1422.3
2010-07-01,TT,004,728.0
2010-04-01,TT,004,1281.8
2010-01-01,TT,004,1303.1
2009-10-01,TT,004,34.5
2009-07-01,TT,004,-173.9
2009-04-01,TT,004,-157.4
2009-01-01,TT,004,2539.1
2008-10-01,TT,004,2053.8
2008-07-01,TT,004,3217.9
2008-04-01,TT,004,2683.6
2008-01-01,TT,004,1115.1
2007-10-01,TT,004,2278.8
2007-07-01,TT,004,885.1
2007-04-01,TT,004,818.2
2007-01-01,TT,004,1547.1
2006-10-01,TT,004,1123.5
2006-07-01,TT,004,1848.7
2006-04-01,TT,004,1093.9
2006-01-01,TT,004,1191.4
2005-10-01,TT,004,1481.1
2005-07-01,TT,004,776.2
2005-04-01,TT,004,803.9
2005-01-01,TT,004,877.3
2004-10-01,TT,004,370.6
2004-07-01,TT,004,677.6
2004-04-01,TT,004,785.4
2004-01-01,TT,004,-378.7
2003-10-01,TT,004,324.3
2003-07-01,TT,004,433.1
2003-04-01,TT,004,90.8
2003-01-01,TT,004,445.0
2002-10-01,TT,004,-72.9
2002-07-01,TT,004,151.2
2002-04-01,TT,004,-10.9
2002-01-01,TT,004,125.6
2001-10-01,TT,004,460.7
2001-07-01,TT,004,-317.7
2001-04-01,TT,004,215.8
2001-01-01,TT,004,424.8
2000-10-01,TT,004,278.3
2000-07-01,TT,004,87.5
2000-04-01,TT,004,479.1
2000-01-01,TT,004,-22.0
1999-10-01,TT,004,107.2
1999-07-01,TT,004,87.6
1999-04-01,TT,004,-151.7
1999-01-01,TT,004,20.5
1998-10-01,TT,004,-121.5
1998-07-01,TT,004,-208.3
1998-04-01,TT,004,-241.8
1998-01-01,TT,004,-171.4
1997-10-01,TT,004,-322.2
1997-07-01,TT,004,-209.1
1997-04-01,TT,004,-78.4
1997-01-01,TT,004,115.8
1996-10-01,TT,004,116.9
1996-07-01,TT,004,2.2
1996-04-01,TT,004,144.6
1996-01-01,TT,004,87.8
1995-10-01,TT,004,163.4
1995-07-01,TT,004,9.5
1995-04-01,TT,004,79.2
1995-01-01,TT,004,278.1
2019-10-01,TT,005,9.25
2019-09-01,TT,005,9.25
2019-08-01,TT,005,9.25
2019-07-01,TT,005,9.25
2019-06-01,TT,005,9.25
2019-05-01,TT,005,9.25
2019-04-01,TT,005,9.25
2019-03-01,TT,005,9.25
2019-02-01,TT,005,9.25
2019-01-01,TT,005,9.25
2018-12-01,TT,005,9.25
2018-11-01,TT,005,9.25
2018-10-01,TT,005,9.25
2018-09-01,TT,005,9.25
2018-08-01,TT,005,9.13
2018-07-01,TT,005,9.0
2018-06-01,TT,005,9.0
2018-05-01,TT,005,9.0
2018-04-01,TT,005,9.0
2018-03-01,TT,005,9.0
2018-02-01,TT,005,9.0
2018-01-01,TT,005,9.0
2017-12-01,TT,005,9.0
2017-11-01,TT,005,9.0
2017-10-01,TT,005,9.0
2017-09-01,TT,005,9.0
2017-08-01,TT,005,9.0
2017-07-01,TT,005,9.0
2017-06-01,TT,005,9.0
2017-05-01,TT,005,9.0
2017-04-01,TT,005,9.0
2017-03-01,TT,005,9.0
2017-02-01,TT,005,9.0
2017-01-01,TT,005,9.0
2016-12-01,TT,005,9.0
2016-11-01,TT,005,9.0
2016-10-01,TT,005,9.0
2016-09-01,TT,005,9.0
2016-08-01,TT,005,9.0
2016-07-01,TT,005,9.0
2016-06-01,TT,005,9.0
2016-05-01,TT,005,9.0
2016-04-01,TT,005,9.0
2016-03-01,TT,005,9.0
2016-02-01,TT,005,9.0
2016-01-01,TT,005,9.0
2015-12-01,TT,005,8.93
2015-11-01,TT,005,8.75
2015-10-01,TT,005,8.75
2015-09-01,TT,005,8.5
2015-08-01,TT,005,8.5
2015-07-01,TT,005,8.25
