date,country_code,indicator_code,value
2013-01-01,TV,012,4.0
2012-01-01,TV,012,7.0
2011-01-01,TV,012,15.0
2010-01-01,TV,012,9.0
2009-01-01,TV,012,7.0
2008-01-01,TV,012,11.0
2007-01-01,TV,012,12.0
2006-01-01,TV,012,3.0
2005-01-01,TV,012,2.0
2004-01-01,TV,012,6.0
2003-01-01,TV,012,9.0
2002-01-01,TV,012,9.0
2001-01-01,TV,012,9.0
2012-03-01,TV,034,102.97
2011-12-01,TV,034,101.63
2011-09-01,TV,034,101.733
2011-06-01,TV,034,101.54
2011-03-01,TV,034,101.102
2010-12-01,TV,034,100.574
2010-09-01,TV,034,100.0
2010-06-01,TV,034,100.541
2010-03-01,TV,034,101.669
2009-12-01,TV,034,100.722
2009-09-01,TV,034,101.782
2009-06-01,TV,034,103.083
2009-03-01,TV,034,103.093
2008-12-01,TV,034,102.58
2008-09-01,TV,034,106.051
2008-06-01,TV,034,105.684
2008-03-01,TV,034,115.2
2007-12-01,TV,034,107.46
2007-09-01,TV,034,105.1
2007-06-01,TV,034,103.8
2007-03-01,TV,034,103.4
2006-12-01,TV,034,102.72
2018-01-01,TV,035,62586.198
2017-01-01,TV,035,54254.728
2016-01-01,TV,035,37787.751
2015-01-01,TV,035,64819.048
2014-01-01,TV,035,50238.682
2013-01-01,TV,035,53045.502
2012-01-01,TV,035,48392.323
2011-01-01,TV,035,53497.76
2010-01-01,TV,035,38352.914
2009-01-01,TV,035,39919.586
2008-01-01,TV,035,53176.893
2007-01-01,TV,035,36388.213
2006-01-01,TV,035,36399.159
2005-01-01,TV,035,27585.659
2004-01-01,TV,035,29419.506
2003-01-01,TV,035,24810.471
2002-01-01,TV,035,21471.213
2001-01-01,TV,035,5715.613
2000-01-01,TV,035,3935.148
1999-01-01,TV,035,4337.581
1998-01-01,TV,035,5152.976
1997-01-01,TV,035,5323.434
1996-01-01,TV,035,2986.373
1995-01-01,TV,035,5545.212
1994-01-01,TV,035,5156.052
1993-01-01,TV,035,4019.594
1992-01-01,TV,035,3876.065
1991-01-01,TV,035,3440.799
1990-01-01,TV,035,3482.922
1989-01-01,TV,035,2974.358
1988-01-01,TV,035,2753.168
1987-01-01,TV,035,2663.57
1986-01-01,TV,035,1879.685
1985-01-01,TV,035,1567.247
1984-01-01,TV,035,1506.315
1983-01-01,TV,035,1366.307
1982-01-01,TV,035,1166.33
1981-01-01,TV,035,1252.357
