date,country_code,indicator_code,value
2020-03-01,TW,001,11513.0
2020-02-01,TW,001,11523.0
2020-01-01,TW,001,11536.0
2019-12-01,TW,001,11531.0
2019-11-01,TW,001,11526.0
2019-10-01,TW,001,11517.0
2019-09-01,TW,001,11507.0
2019-08-01,TW,001,11526.0
2019-07-01,TW,001,11511.0
2019-06-01,TW,001,11488.0
2019-05-01,TW,001,11484.0
2019-04-01,TW,001,11480.0
2019-03-01,TW,001,11478.0
2019-02-01,TW,001,11473.0
2019-01-01,TW,001,11485.0
2018-12-01,TW,001,11481.0
2018-11-01,TW,001,11475.0
2018-10-01,TW,001,11460.0
2018-09-01,TW,001,11449.0
2018-08-01,TW,001,11459.0
2018-07-01,TW,001,11443.0
2018-06-01,TW,001,11418.0
2018-05-01,TW,001,11411.0
2018-04-01,TW,001,11406.0
2018-03-01,TW,001,11403.0
2018-02-01,TW,001,11397.0
2018-01-01,TW,001,11409.0
2017-12-01,TW,001,11405.0
2017-11-01,TW,001,11398.0
2017-10-01,TW,001,11382.0
2017-09-01,TW,001,11366.0
2017-08-01,TW,001,11377.0
2017-07-01,TW,001,11360.0
2017-06-01,TW,001,11337.0
2017-05-01,TW,001,11331.0
2017-04-01,TW,001,11325.0
2017-03-01,TW,001,11313.0
2017-02-01,TW,001,11307.0
2017-01-01,TW,001,11320.0
2016-12-01,TW,001,11315.0
2016-11-01,TW,001,11307.0
2016-10-01,TW,001,11291.0
2016-09-01,TW,001,11276.0
2016-08-01,TW,001,11290.0
2016-07-01,TW,001,11275.0
2016-06-01,TW,001,11251.0
2016-05-01,TW,001,11247.0
2016-04-01,TW,001,11242.0
2016-03-01,TW,001,11237.0
2016-02-01,TW,001,11231.0
2016-01-01,TW,001,11244.0
2015-12-01,TW,001,11242.0
2015-11-01,TW,001,11235.0
2015-10-01,TW,001,11225.0
2015-09-01,TW,001,11213.0
2015-08-01,TW,001,11230.0
2015-07-01,TW,001,11211.0
2015-06-01,TW,001,11185.0
2015-05-01,TW,001,11179.0
2015-04-01,TW,001,11170.0
2015-03-01,TW,001,11162.0
2015-02-01,TW,001,11160.0
2015-01-01,TW,001,11159.0
2014-12-01,TW,001,11151.0
2014-11-01,TW,001,11137.0
2014-10-01,TW,001,11120.0
2014-09-01,TW,001,11099.0
2014-08-01,TW,001,11110.0
2014-07-01,TW,001,11091.0
2014-06-01,TW,001,11062.0
2014-05-01,TW,001,11052.0
2014-04-01,TW,001,11040.0
2014-03-01,TW,001,11027.0
2014-02-01,TW,001,11019.0
2014-01-01,TW,001,11036.0
2013-12-01,TW,001,11029.0
2013-11-01,TW,001,11019.0
2013-10-01,TW,001,10996.0
2013-09-01,TW,001,10980.0
2013-08-01,TW,001,11000.0
2013-07-01,TW,001,10984.0
2013-06-01,TW,001,10959.0
2013-05-01,TW,001,10939.0
2013-04-01,TW,001,10929.0
2013-03-01,TW,001,10921.0
2013-02-01,TW,001,10915.0
2013-01-01,TW,001,10935.0
2012-12-01,TW,001,10931.0
2012-11-01,TW,001,10918.0
2012-10-01,TW,001,10897.0
2012-09-01,TW,001,10878.0
2012-08-01,TW,001,10901.0
2012-07-01,TW,001,10883.0
2012-06-01,TW,001,10854.0
2012-05-01,TW,001,10834.0
2012-04-01,TW,001,10818.0
2012-03-01,TW,001,10806.0
2012-02-01,TW,001,10790.0
2012-01-01,TW,001,10808.0
2011-12-01,TW,001,10802.0
2011-11-01,TW,001,10788.0
2011-10-01,TW,001,10765.0
2011-09-01,TW,001,10750.0
2011-08-01,TW,001,10782.0
2011-07-01,TW,001,10752.0
2011-06-01,TW,001,10696.0
2011-05-01,TW,001,10670.0
2011-04-01,TW,001,10648.0
2011-03-01,TW,001,10629.0
2011-02-01,TW,001,10601.0
2011-01-01,TW,001,10623.0
2010-12-01,TW,001,10613.0
2010-11-01,TW,001,10605.0
2010-10-01,TW,001,10560.0
2010-09-01,TW,001,10531.0
2010-08-01,TW,001,10570.0
2010-07-01,TW,001,10538.0
2010-06-01,TW,001,10483.0
2010-05-01,TW,001,10459.0
2010-04-01,TW,001,10414.0
2010-03-01,TW,001,10384.0
2010-02-01,TW,001,10373.0
2010-01-01,TW,001,10388.0
2009-12-01,TW,001,10384.0
2009-11-01,TW,001,10369.0
2009-10-01,TW,001,10310.0
2009-09-01,TW,001,10278.0
2009-08-01,TW,001,10285.0
2009-07-01,TW,001,10258.0
2009-06-01,TW,001,10244.0
2009-05-01,TW,001,10241.0
2009-04-01,TW,001,10226.0
2009-03-01,TW,001,10220.0
2009-02-01,TW,001,10224.0
2009-01-01,TW,001,10303.0
2008-12-01,TW,001,10354.0
2008-11-01,TW,001,10410.0
2008-10-01,TW,001,10424.0
2008-09-01,TW,001,10405.0
2008-08-01,TW,001,10464.0
2008-07-01,TW,001,10436.0
2008-06-01,TW,001,10414.0
2008-05-01,TW,001,10413.0
2008-04-01,TW,001,10395.0
2008-03-01,TW,001,10380.0
2008-02-01,TW,001,10349.0
2008-01-01,TW,001,10391.0
2007-12-01,TW,001,10381.0
2007-11-01,TW,001,10349.0
2007-10-01,TW,001,10320.0
2007-09-01,TW,001,10310.0
2007-08-01,TW,001,10353.0
2007-07-01,TW,001,10321.0
2007-06-01,TW,001,10262.0
2007-05-01,TW,001,10260.0
2007-04-01,TW,001,10245.0
2007-03-01,TW,001,10244.0
2007-02-01,TW,001,10243.0
2007-01-01,TW,001,10239.0
2006-12-01,TW,001,10228.0
2006-11-01,TW,001,10207.0
2006-10-01,TW,001,10182.0
2006-09-01,TW,001,10154.0
2006-08-01,TW,001,10170.0
2006-07-01,TW,001,10134.0
2006-06-01,TW,001,10073.0
2006-05-01,TW,001,10064.0
2006-04-01,TW,001,10048.0
2006-03-01,TW,001,10029.0
2006-02-01,TW,001,10006.0
2006-01-01,TW,001,10038.0
2005-12-01,TW,001,10037.0
2005-11-01,TW,001,10024.0
2005-10-01,TW,001,9993.0
2005-09-01,TW,001,9951.0
2005-08-01,TW,001,9972.0
2005-07-01,TW,001,9941.0
2005-06-01,TW,001,9920.0
2005-05-01,TW,001,9918.0
2005-04-01,TW,001,9899.0
2005-03-01,TW,001,9877.0
2005-02-01,TW,001,9874.0
2005-01-01,TW,001,9901.0
2004-12-01,TW,001,9887.0
2004-11-01,TW,001,9870.0
2004-10-01,TW,001,9837.0
2004-09-01,TW,001,9788.0
2004-08-01,TW,001,9836.0
2004-07-01,TW,001,9829.0
2004-06-01,TW,001,9791.0
2004-05-01,TW,001,9764.0
2004-04-01,TW,001,9732.0
2004-03-01,TW,001,9715.0
2004-02-01,TW,001,9686.0
2004-01-01,TW,001,9697.0
2003-12-01,TW,001,9683.0
2003-11-01,TW,001,9654.0
2003-10-01,TW,001,9612.0
2003-09-01,TW,001,9584.0
2003-08-01,TW,001,9613.0
2003-07-01,TW,001,9593.0
2003-06-01,TW,001,9542.0
2003-05-01,TW,001,9523.0
2003-04-01,TW,001,9535.0
2003-03-01,TW,001,9514.0
2003-02-01,TW,001,9500.0
2003-01-01,TW,001,9524.0
2002-12-01,TW,001,9506.0
2002-11-01,TW,001,9480.0
2002-10-01,TW,001,9451.0
2002-09-01,TW,001,9443.0
2002-08-01,TW,001,9474.0
2002-07-01,TW,001,9468.0
2002-06-01,TW,001,9454.0
2002-05-01,TW,001,9451.0
2002-04-01,TW,001,9440.0
2002-03-01,TW,001,9416.0
2002-02-01,TW,001,9420.0
2002-01-01,TW,001,9447.0
2001-12-01,TW,001,9422.0
2001-11-01,TW,001,9395.0
2001-10-01,TW,001,9362.0
2001-09-01,TW,001,9356.0
2001-08-01,TW,001,9384.0
2001-07-01,TW,001,9370.0
2001-06-01,TW,001,9360.0
2001-05-01,TW,001,9337.0
2001-04-01,TW,001,9349.0
2001-03-01,TW,001,9378.0
2001-02-01,TW,001,9394.0
2001-01-01,TW,001,9483.0
2000-12-01,TW,001,9549.0
2000-11-01,TW,001,9545.0
2000-10-01,TW,001,9521.0
2000-09-01,TW,001,9505.0
2000-08-01,TW,001,9531.0
2000-07-01,TW,001,9511.0
2000-06-01,TW,001,9485.0
2000-05-01,TW,001,9470.0
2000-04-01,TW,001,9453.0
2000-03-01,TW,001,9430.0
2000-02-01,TW,001,9406.0
2000-01-01,TW,001,9494.0
1999-12-01,TW,001,9498.0
1999-11-01,TW,001,9478.0
1999-10-01,TW,001,9424.0
1999-09-01,TW,001,9376.0
1999-08-01,TW,001,9429.0
1999-07-01,TW,001,9413.0
1999-06-01,TW,001,9385.0
1999-05-01,TW,001,9348.0
1999-04-01,TW,001,9303.0
1999-03-01,TW,001,9275.0
1999-02-01,TW,001,9337.0
1999-01-01,TW,001,9352.0
1998-12-01,TW,001,9342.0
1998-11-01,TW,001,9338.0
