date,country_code,indicator_code,value
2018-01-01,TZ,004,17799492.0
2017-01-01,TZ,004,17993324.0
2016-01-01,TZ,004,17717213.0
2015-01-01,TZ,004,16138367.0
2014-01-01,TZ,004,14925779.0
2013-01-01,TZ,004,13874574.0
2012-01-01,TZ,004,13941974.0
2011-01-01,TZ,004,10951622.0
2010-01-01,TZ,004,8217681.0
2009-01-01,TZ,004,6554600.0
2008-01-01,TZ,004,6110226.0
2007-01-01,TZ,004,5064729.0
2006-01-01,TZ,004,3984227.0
2005-01-01,TZ,004,3232804.0
2004-01-01,TZ,004,2745596.0
2003-01-01,TZ,004,2247385.0
2002-01-01,TZ,004,1836223.0
2001-01-01,TZ,004,1547644.0
2000-01-01,TZ,004,1089613.0
1999-01-01,TZ,004,904962.0
1998-01-01,TZ,004,770081.0
1997-01-01,TZ,004,762812.0
1996-01-01,TZ,004,751161.0
1995-01-01,TZ,004,727177.0
1994-01-01,TZ,004,473888.0
1993-01-01,TZ,004,310305.0
1992-01-01,TZ,004,170438.0
1991-01-01,TZ,004,111475.0
1990-01-01,TZ,004,104843.0
1989-01-01,TZ,004,71925.0
1988-01-01,TZ,004,48809.0
1987-01-01,TZ,004,29559.0
1986-01-01,TZ,004,8752.0
1985-01-01,TZ,004,7322.0
1984-01-01,TZ,004,4572.0
1983-01-01,TZ,004,3572.0
1982-01-01,TZ,004,4073.0
1981-01-01,TZ,004,4299.0
1980-01-01,TZ,004,3911.0
1979-01-01,TZ,004,3622.0
1978-01-01,TZ,004,3312.0
1977-01-01,TZ,004,3972.0
1976-01-01,TZ,004,3463.0
1975-01-01,TZ,004,2135.0
1974-01-01,TZ,004,2012.0
1973-01-01,TZ,004,1834.0
1972-01-01,TZ,004,1725.0
1971-01-01,TZ,004,1460.0
1970-01-01,TZ,004,1334.0
1969-01-01,TZ,004,1259.0
1968-01-01,TZ,004,1906.0
1967-01-01,TZ,004,1948.0
1966-01-01,TZ,004,2013.0
1965-01-01,TZ,004,1600.0
1964-01-01,TZ,004,1678.0
1963-01-01,TZ,004,1480.0
1962-01-01,TZ,004,1202.0
1961-01-01,TZ,004,1130.0
1960-01-01,TZ,004,1260.0
2019-03-01,TZ,005,17.23
2019-02-01,TZ,005,16.8
2019-01-01,TZ,005,17.21
2018-12-01,TZ,005,16.72
2018-11-01,TZ,005,17.09
2018-10-01,TZ,005,17.27
2018-09-01,TZ,005,17.52
2018-08-01,TZ,005,17.09
2018-07-01,TZ,005,17.39
2018-06-01,TZ,005,17.5
2018-05-01,TZ,005,17.53
2018-04-01,TZ,005,17.57
2018-03-01,TZ,005,17.59
2018-02-01,TZ,005,17.39
2018-01-01,TZ,005,18.31
2017-12-01,TZ,005,18.62
2017-11-01,TZ,005,17.42
2017-10-01,TZ,005,17.51
2017-09-01,TZ,005,18.46
2017-08-01,TZ,005,17.84
2017-07-01,TZ,005,17.63
2017-06-01,TZ,005,17.4
2017-05-01,TZ,005,17.62
2017-04-01,TZ,005,17.91
2017-03-01,TZ,005,17.36
2017-02-01,TZ,005,17.66
2017-01-01,TZ,005,16.01
2016-12-01,TZ,005,15.66
2016-11-01,TZ,005,15.65
2016-10-01,TZ,005,15.74
2016-09-01,TZ,005,15.83
2016-08-01,TZ,005,15.8
2016-07-01,TZ,005,15.75
2016-06-01,TZ,005,16.03
2016-05-01,TZ,005,15.95
2016-04-01,TZ,005,16.12
2016-03-01,TZ,005,16.26
2016-02-01,TZ,005,16.43
2016-01-01,TZ,005,16.28
2015-12-01,TZ,005,16.39
2015-11-01,TZ,005,16.14
2015-10-01,TZ,005,16.08
2015-09-01,TZ,005,16.18
2015-08-01,TZ,005,16.11
2015-07-01,TZ,005,16.08
2015-06-01,TZ,005,16.06
2015-05-01,TZ,005,16.07
2015-04-01,TZ,005,16.22
2015-03-01,TZ,005,16.11
2015-02-01,TZ,005,16.14
2015-01-01,TZ,005,15.68
2014-12-01,TZ,005,15.75
2014-11-01,TZ,005,15.99
2014-10-01,TZ,005,16.0
2014-09-01,TZ,005,15.78
2014-08-01,TZ,005,16.38
2014-07-01,TZ,005,16.3
2014-06-01,TZ,005,16.43
2014-05-01,TZ,005,16.51
2014-04-01,TZ,005,16.57
2014-03-01,TZ,005,16.75
2014-02-01,TZ,005,16.64
2014-01-01,TZ,005,16.39
2013-12-01,TZ,005,16.13
2013-11-01,TZ,005,16.3
2013-10-01,TZ,005,15.93
2013-09-01,TZ,005,15.89
2013-08-01,TZ,005,15.8
2013-07-01,TZ,005,15.47
2013-06-01,TZ,005,15.57
2013-05-01,TZ,005,15.96
2013-04-01,TZ,005,16.01
2013-03-01,TZ,005,16.04
2013-02-01,TZ,005,15.52
2013-01-01,TZ,005,15.71
2012-12-01,TZ,005,15.68
2012-11-01,TZ,005,15.83
2012-10-01,TZ,005,16.45
2012-09-01,TZ,005,15.83
2012-08-01,TZ,005,15.8
2012-07-01,TZ,005,15.67
2012-06-01,TZ,005,15.32
2012-05-01,TZ,005,15.14
2012-04-01,TZ,005,15.13
2012-03-01,TZ,005,15.19
2012-02-01,TZ,005,15.8
2012-01-01,TZ,005,14.84
2011-12-01,TZ,005,14.21
2011-11-01,TZ,005,14.13
2011-10-01,TZ,005,14.78
2011-09-01,TZ,005,14.76
2011-08-01,TZ,005,15.72
2011-07-01,TZ,005,15.71
2011-06-01,TZ,005,15.02
2011-05-01,TZ,005,15.25
2011-04-01,TZ,005,15.41
2011-03-01,TZ,005,15.04
2011-02-01,TZ,005,14.83
2011-01-01,TZ,005,14.7
2010-12-01,TZ,005,14.92
2010-11-01,TZ,005,14.3
2010-10-01,TZ,005,14.48
2010-09-01,TZ,005,14.47
2010-08-01,TZ,005,14.35
2010-07-01,TZ,005,14.34
2010-06-01,TZ,005,14.67
2010-05-01,TZ,005,14.5
2010-04-01,TZ,005,14.5
2010-03-01,TZ,005,14.8
2010-02-01,TZ,005,14.81
2010-01-01,TZ,005,14.39
2009-12-01,TZ,005,14.38
2009-11-01,TZ,005,14.74
2009-10-01,TZ,005,14.76
2009-09-01,TZ,005,14.9
2009-08-01,TZ,005,15.12
2009-07-01,TZ,005,15.14
2009-06-01,TZ,005,15.48
2009-05-01,TZ,005,15.39
2009-04-01,TZ,005,15.45
2009-03-01,TZ,005,15.12
2009-02-01,TZ,005,14.95
2009-01-01,TZ,005,14.93
2008-12-01,TZ,005,16.05
2008-11-01,TZ,005,14.3
2008-10-01,TZ,005,14.82
2008-09-01,TZ,005,14.91
2008-08-01,TZ,005,14.83
2008-07-01,TZ,005,15.05
2008-06-01,TZ,005,14.76
2008-05-01,TZ,005,14.78
2008-04-01,TZ,005,14.74
2008-03-01,TZ,005,15.15
2008-02-01,TZ,005,15.13
2008-01-01,TZ,005,15.27
2007-12-01,TZ,005,15.31
2007-11-01,TZ,005,15.98
2007-10-01,TZ,005,15.82
2007-09-01,TZ,005,15.97
2007-08-01,TZ,005,16.29
2007-07-01,TZ,005,16.1
2007-06-01,TZ,005,15.84
2007-05-01,TZ,005,15.97
2007-04-01,TZ,005,15.79
2007-03-01,TZ,005,16.37
2007-02-01,TZ,005,16.19
2007-01-01,TZ,005,17.22
2006-12-01,TZ,005,16.36
2006-11-01,TZ,005,16.61
2006-10-01,TZ,005,16.61
2006-09-01,TZ,005,16.73
2006-08-01,TZ,005,16.5
2006-07-01,TZ,005,16.18
2006-06-01,TZ,005,15.44
2006-05-01,TZ,005,14.4
2006-04-01,TZ,005,15.02
2006-03-01,TZ,005,14.62
2006-02-01,TZ,005,14.67
2006-01-01,TZ,005,14.69
2005-12-01,TZ,005,14.98
2005-11-01,TZ,005,15.45
2005-10-01,TZ,005,15.39
2005-09-01,TZ,005,15.08
2005-08-01,TZ,005,15.04
2005-07-01,TZ,005,14.97
2005-06-01,TZ,005,15.51
2005-05-01,TZ,005,15.39
2005-04-01,TZ,005,15.21
2005-03-01,TZ,005,15.4
2005-02-01,TZ,005,15.56
2005-01-01,TZ,005,14.99
2004-12-01,TZ,005,14.8
2004-11-01,TZ,005,14.69
2004-10-01,TZ,005,14.27
2004-09-01,TZ,005,14.9
2004-08-01,TZ,005,14.8
2004-07-01,TZ,005,14.19
2004-06-01,TZ,005,14.23
2004-05-01,TZ,005,13.86
2004-04-01,TZ,005,13.28
2004-03-01,TZ,005,13.46
2004-02-01,TZ,005,13.35
2004-01-01,TZ,005,13.86
2003-12-01,TZ,005,13.83
2003-11-01,TZ,005,14.23
2003-10-01,TZ,005,14.1
2003-09-01,TZ,005,14.47
2003-08-01,TZ,005,14.46
2003-07-01,TZ,005,15.06
2003-06-01,TZ,005,14.08
2003-05-01,TZ,005,14.47
2003-04-01,TZ,005,15.15
2003-03-01,TZ,005,15.03
2003-02-01,TZ,005,14.59
2003-01-01,TZ,005,14.72
2002-12-01,TZ,005,15.71
2002-11-01,TZ,005,16.96
2002-10-01,TZ,005,15.83
2002-09-01,TZ,005,15.86
2002-08-01,TZ,005,16.45
2002-07-01,TZ,005,16.66
2002-06-01,TZ,005,16.4
2002-05-01,TZ,005,16.38
2002-04-01,TZ,005,16.47
2002-03-01,TZ,005,16.65
2002-02-01,TZ,005,16.55
2002-01-01,TZ,005,16.85
2001-12-01,TZ,005,18.05
2001-11-01,TZ,005,18.97
2001-10-01,TZ,005,19.57
2001-09-01,TZ,005,18.92
2001-08-01,TZ,005,19.3
2001-07-01,TZ,005,19.06
2001-06-01,TZ,005,19.58
2001-05-01,TZ,005,20.24
