date,country_code,indicator_code,value
2019-10-01,UA,001,16578.3
2019-07-01,UA,001,16627.6
2019-04-01,UA,001,16485.6
2019-01-01,UA,001,16261.8
2018-10-01,UA,001,16360.9
2018-07-01,UA,001,16408.5
2018-04-01,UA,001,16283.2
2018-01-01,UA,001,16034.9
2017-10-01,UA,001,16156.4
2017-07-01,UA,001,16223.5
2017-04-01,UA,001,16120.9
2017-01-01,UA,001,15885.8
2016-10-01,UA,001,16104.7
2016-07-01,UA,001,16524.2
2016-04-01,UA,001,16423.9
2016-01-01,UA,001,16054.8
2015-10-01,UA,001,16224.4
2015-07-01,UA,001,16733.5
2015-04-01,UA,001,16560.3
2015-01-01,UA,001,16254.6
2014-10-01,UA,001,17271.3
2014-07-01,UA,001,18049.9
2014-04-01,UA,001,18599.2
2014-01-01,UA,001,18372.6
2013-10-01,UA,001,19992.4
2013-07-01,UA,001,20864.2
2013-04-01,UA,001,20675.3
2013-01-01,UA,001,20084.5
2012-10-01,UA,001,19979.9
2012-07-01,UA,001,20856.0
2012-04-01,UA,001,20540.8
2012-01-01,UA,001,20040.3
2011-10-01,UA,001,20018.4
2011-07-01,UA,001,20783.0
2011-04-01,UA,001,20387.3
2011-01-01,UA,001,20108.2
2010-10-01,UA,001,19860.3
2010-07-01,UA,001,20776.4
2010-04-01,UA,001,20338.9
2010-01-01,UA,001,20088.4
2009-10-01,UA,001,19673.4
2009-07-01,UA,001,20738.9
2009-04-01,UA,001,20348.5
2009-01-01,UA,001,20005.1
2008-10-01,UA,001,20137.1
2008-07-01,UA,001,21611.5
2008-04-01,UA,001,21425.2
2008-01-01,UA,001,20715.2
2007-10-01,UA,001,20401.0
2007-07-01,UA,001,21561.1
2007-04-01,UA,001,21119.7
2007-01-01,UA,001,20537.2
2006-10-01,UA,001,20279.3
2006-07-01,UA,001,21167.7
2006-04-01,UA,001,21041.8
2006-01-01,UA,001,20432.9
2005-10-01,UA,001,20475.4
2005-07-01,UA,001,21497.7
2005-04-01,UA,001,20719.7
2005-01-01,UA,001,20027.1
2004-10-01,UA,001,20086.6
2004-07-01,UA,001,20657.1
2004-04-01,UA,001,20464.5
2004-01-01,UA,001,19974.6
2003-10-01,UA,001,20101.8
2003-07-01,UA,001,20122.1
2003-04-01,UA,001,20462.3
2003-01-01,UA,001,19966.8
2002-10-01,UA,001,19904.4
2002-07-01,UA,001,20427.8
2002-04-01,UA,001,20250.7
2002-01-01,UA,001,19782.1
2001-10-01,UA,001,19551.0
2001-07-01,UA,001,20402.0
2001-04-01,UA,001,20244.4
2001-01-01,UA,001,19688.6
2000-10-01,UA,001,19848.6
2000-07-01,UA,001,20560.6
2000-04-01,UA,001,20455.6
2000-01-01,UA,001,19835.1
1999-10-01,UA,001,19655.7
1999-07-01,UA,001,20551.0
1999-04-01,UA,001,20221.6
1999-01-01,UA,001,19362.9
2019-07-01,UA,002,78.63
2019-04-01,UA,002,75.48
2019-01-01,UA,002,67.47
2018-10-01,UA,002,64.79
2018-07-01,UA,002,67.42
2018-04-01,UA,002,63.77
2018-01-01,UA,002,55.36
