date,country_code,indicator_code,value
2018-01-01,UG,004,21531500.0
2017-01-01,UG,004,18129000.0
2016-01-01,UG,004,15287500.0
2015-01-01,UG,004,12144000.0
2014-01-01,UG,004,12083000.0
2013-01-01,UG,004,12372500.0
2012-01-01,UG,004,11594500.0
2011-01-01,UG,004,9571000.0
2010-01-01,UG,004,7903000.0
2009-01-01,UG,004,7215732.0
2008-01-01,UG,004,5649434.0
2007-01-01,UG,004,4063321.0
2006-01-01,UG,004,2686962.0
2005-01-01,UG,004,2380781.0
2004-01-01,UG,004,1831427.0
2003-01-01,UG,004,1424680.0
2002-01-01,UG,004,1121320.0
2001-01-01,UG,004,1054311.0
2000-01-01,UG,004,984768.0
1999-01-01,UG,004,1012459.0
1998-01-01,UG,004,875188.0
1997-01-01,UG,004,817675.0
1996-01-01,UG,004,821632.0
1995-01-01,UG,004,689117.0
1994-01-01,UG,004,538050.0
1993-01-01,UG,004,367102.0
1992-01-01,UG,004,240496.0
1991-01-01,UG,004,150920.0
1990-01-01,UG,004,62048.0
1989-01-01,UG,004,40950.0
1988-01-01,UG,004,15212.0
1987-01-01,UG,004,6065.0
1986-01-01,UG,004,3509.0
1985-01-01,UG,004,1896.0
1984-01-01,UG,004,790.0
1983-01-01,UG,004,329.0
1982-01-01,UG,004,252.0
1981-01-01,UG,004,23.0
1980-01-01,UG,004,14.0
1979-01-01,UG,004,10.0
1978-01-01,UG,004,6.0
1977-01-01,UG,004,4.0
1976-01-01,UG,004,2.0
1975-01-01,UG,004,1.0
1974-01-01,UG,004,1.0
1973-01-01,UG,004,0.0
1972-01-01,UG,004,0.0
1971-01-01,UG,004,0.0
1970-01-01,UG,004,0.0
1969-01-01,UG,004,0.0
1968-01-01,UG,004,0.0
1967-01-01,UG,004,0.0
1966-01-01,UG,004,0.0
1965-01-01,UG,004,0.0
1964-01-01,UG,004,0.0
1963-01-01,UG,004,0.0
1962-01-01,UG,004,0.0
1961-01-01,UG,004,0.0
1960-01-01,UG,004,0.0
1959-01-01,UG,004,0.0
1958-01-01,UG,004,0.0
1957-01-01,UG,004,0.0
