date,country_code,indicator_code,value
2020-02-01,UK,001,33073.0
2020-01-01,UK,001,32985.0
2019-12-01,UK,001,32934.0
2019-11-01,UK,001,32901.0
2019-10-01,UK,001,32801.0
2019-09-01,UK,001,32753.0
2019-08-01,UK,001,32693.0
2019-07-01,UK,001,32777.0
2019-06-01,UK,001,32811.0
2019-05-01,UK,001,32749.0
2019-04-01,UK,001,32746.0
2019-03-01,UK,001,32697.0
2019-02-01,UK,001,32721.0
2019-01-01,UK,001,32714.0
2018-12-01,UK,001,32597.0
2018-11-01,UK,001,32542.0
2018-10-01,UK,001,32492.0
2018-09-01,UK,001,32431.0
2018-08-01,UK,001,32410.0
2018-07-01,UK,001,32408.0
2018-06-01,UK,001,32386.0
2018-05-01,UK,001,32395.0
2018-04-01,UK,001,32389.0
2018-03-01,UK,001,32343.0
2018-02-01,UK,001,32264.0
2018-01-01,UK,001,32241.0
2017-12-01,UK,001,32154.0
2017-11-01,UK,001,32213.0
2017-10-01,UK,001,32094.0
2017-09-01,UK,001,32063.0
2017-08-01,UK,001,32104.0
2017-07-01,UK,001,32133.0
2017-06-01,UK,001,32065.0
2017-05-01,UK,001,32010.0
2017-04-01,UK,001,31956.0
2017-03-01,UK,001,31946.0
2017-02-01,UK,001,31860.0
2017-01-01,UK,001,31847.0
2016-12-01,UK,001,31845.0
2016-11-01,UK,001,31808.0
2016-10-01,UK,001,31794.0
2016-09-01,UK,001,31810.0
2016-08-01,UK,001,31811.0
2016-07-01,UK,001,31779.0
2016-06-01,UK,001,31747.0
2016-05-01,UK,001,31712.0
2016-04-01,UK,001,31603.0
2016-03-01,UK,001,31572.0
2016-02-01,UK,001,31555.0
2016-01-01,UK,001,31541.0
2015-12-01,UK,001,31540.0
2015-11-01,UK,001,31513.0
2015-10-01,UK,001,31436.0
2015-09-01,UK,001,31333.0
2015-08-01,UK,001,31220.0
2015-07-01,UK,001,31188.0
2015-06-01,UK,001,31110.0
2015-05-01,UK,001,31057.0
2015-04-01,UK,001,31129.0
2015-03-01,UK,001,31156.0
2015-02-01,UK,001,31122.0
2015-01-01,UK,001,31003.0
2014-12-01,UK,001,30944.0
2014-11-01,UK,001,30850.0
2014-10-01,UK,001,30848.0
2014-09-01,UK,001,30833.0
2014-08-01,UK,001,30786.0
2014-07-01,UK,001,30702.0
2014-06-01,UK,001,30705.0
2014-05-01,UK,001,30743.0
2014-04-01,UK,001,30640.0
2014-03-01,UK,001,30532.0
2014-02-01,UK,001,30492.0
2014-01-01,UK,001,30329.0
2013-12-01,UK,001,30290.0
2013-11-01,UK,001,30302.0
2013-10-01,UK,001,30223.0
2013-09-01,UK,001,30106.0
2013-08-01,UK,001,30024.0
2013-07-01,UK,001,29994.0
2013-06-01,UK,001,29938.0
2013-05-01,UK,001,29861.0
2013-04-01,UK,001,29884.0
2013-03-01,UK,001,29839.0
2013-02-01,UK,001,29815.0
2013-01-01,UK,001,29891.0
2012-12-01,UK,001,29908.0
2012-11-01,UK,001,29849.0
2012-10-01,UK,001,29744.0
2012-09-01,UK,001,29759.0
2012-08-01,UK,001,29779.0
2012-07-01,UK,001,29744.0
2012-06-01,UK,001,29667.0
2012-05-01,UK,001,29564.0
2012-04-01,UK,001,29492.0
2012-03-01,UK,001,29454.0
