date,country_code,indicator_code,value
2020-03-01,US,001,-2850.0
2020-02-01,US,001,1023.0
2020-01-01,US,001,-1510.0
2019-12-01,US,001,-441.0
2019-11-01,US,001,-122.0
2019-10-01,US,001,589.0
2019-09-01,US,001,662.0
2019-08-01,US,001,-569.0
2019-07-01,US,001,557.0
2019-06-01,US,001,676.0
2019-05-01,US,001,442.0
2019-04-01,US,001,269.0
2019-03-01,US,001,274.0
2019-02-01,US,001,1203.0
2019-01-01,US,001,-1517.0
2018-12-01,US,001,-534.0
2018-11-01,US,001,63.0
2018-10-01,US,001,761.0
2018-09-01,US,001,652.0
2018-08-01,US,001,-1465.0
2018-07-01,US,001,539.0
2018-06-01,US,001,456.0
2018-05-01,US,001,661.0
2018-04-01,US,001,471.0
2018-03-01,US,001,474.0
2018-02-01,US,001,1555.0
2018-01-01,US,001,-754.0
2017-12-01,US,001,-578.0
2017-11-01,US,001,-43.0
2017-10-01,US,001,-271.0
2017-09-01,US,001,918.0
2017-08-01,US,001,-894.0
2017-07-01,US,001,384.0
2017-06-01,US,001,679.0
2017-05-01,US,001,145.0
2017-04-01,US,001,634.0
2017-03-01,US,001,1034.0
2017-02-01,US,001,1067.0
2017-01-01,US,001,-1271.0
2016-12-01,US,001,-587.0
2016-11-01,US,001,50.0
2016-10-01,US,001,358.0
2016-09-01,US,001,173.0
2016-08-01,US,001,-633.0
2016-07-01,US,001,447.0
2016-06-01,US,001,396.0
2016-05-01,US,001,519.0
2016-04-01,US,001,337.0
2016-03-01,US,001,678.0
2016-02-01,US,001,1023.0
2016-01-01,US,001,-666.0
2015-12-01,US,001,-63.0
2015-11-01,US,001,50.0
2015-10-01,US,001,736.0
2015-09-01,US,001,-248.0
2015-08-01,US,001,-494.0
2015-07-01,US,001,77.0
2015-06-01,US,001,296.0
2015-05-01,US,001,762.0
2015-04-01,US,001,952.0
2015-03-01,US,001,517.0
2015-02-01,US,001,566.0
2015-01-01,US,001,-638.0
2014-12-01,US,001,-476.0
2014-11-01,US,001,-270.0
2014-10-01,US,001,995.0
2014-09-01,US,001,294.0
2014-08-01,US,001,-618.0
2014-07-01,US,001,161.0
2014-06-01,US,001,706.0
2014-05-01,US,001,631.0
2014-04-01,US,001,677.0
2014-03-01,US,001,956.0
2014-02-01,US,001,608.0
2014-01-01,US,001,-897.0
2013-12-01,US,001,-352.0
2013-11-01,US,001,631.0
2013-10-01,US,001,-507.0
2013-09-01,US,001,142.0
2013-08-01,US,001,-604.0
2013-07-01,US,001,272.0
2013-06-01,US,001,409.0
2013-05-01,US,001,708.0
2013-04-01,US,001,1026.0
2013-03-01,US,001,470.0
2013-02-01,US,001,614.0
2013-01-01,US,001,-1446.0
2012-12-01,US,001,-489.0
2012-11-01,US,001,-490.0
2012-10-01,US,001,706.0
2012-09-01,US,001,775.0
2012-08-01,US,001,-568.0
2012-07-01,US,001,-76.0
2012-06-01,US,001,475.0
2012-05-01,US,001,732.0
2012-04-01,US,001,583.0
2012-03-01,US,001,728.0
2012-02-01,US,001,740.0
2012-01-01,US,001,-737.0
2011-12-01,US,001,-389.0
2011-11-01,US,001,83.0
2011-10-01,US,001,485.0
2011-09-01,US,001,167.0
2011-08-01,US,001,-49.0
2011-07-01,US,001,255.0
2011-06-01,US,001,101.0
2011-05-01,US,001,367.0
2011-04-01,US,001,699.0
2011-03-01,US,001,869.0
2011-02-01,US,001,494.0
2011-01-01,US,001,-1560.0
2010-12-01,US,001,-256.0
2010-11-01,US,001,-334.0
2010-10-01,US,001,34.0
2010-09-01,US,001,-204.0
2010-08-01,US,001,-215.0
2010-07-01,US,001,252.0
2010-06-01,US,001,385.0
2010-05-01,US,001,195.0
2010-04-01,US,001,1319.0
2010-03-01,US,001,780.0
2010-02-01,US,001,394.0
2010-01-01,US,001,-1144.0
2009-12-01,US,001,-1179.0
2009-11-01,US,001,44.0
2009-10-01,US,001,9.0
2009-09-01,US,001,-995.0
2009-08-01,US,001,-981.0
2009-07-01,US,001,229.0
2009-06-01,US,001,463.0
2009-05-01,US,001,-223.0
2009-04-01,US,001,753.0
2009-03-01,US,001,-272.0
2009-02-01,US,001,-331.0
2009-01-01,US,001,-2914.0
2008-12-01,US,001,-1259.0
2008-11-01,US,001,-934.0
2008-10-01,US,001,233.0
2008-09-01,US,001,-599.0
2008-08-01,US,001,-958.0
2008-07-01,US,001,218.0
2008-06-01,US,001,722.0
2008-05-01,US,001,6.0
2008-04-01,US,001,813.0
2008-03-01,US,001,558.0
2008-02-01,US,001,-57.0
2008-01-01,US,001,-1727.0
2007-12-01,US,001,-784.0
2007-11-01,US,001,375.0
2007-10-01,US,001,295.0
2007-09-01,US,001,42.0
2007-08-01,US,001,-909.0
2007-07-01,US,001,357.0
2007-06-01,US,001,1094.0
2007-05-01,US,001,567.0
2007-04-01,US,001,-26.0
2007-03-01,US,001,844.0
2007-02-01,US,001,204.0
