date,country_code,indicator_code,value
2016-12-01,UY,001,17.0
2016-11-01,UY,001,-31.0
2016-10-01,UY,001,11.0
2016-09-01,UY,001,28.0
2016-08-01,UY,001,0.0
2016-07-01,UY,001,-22.0
2016-06-01,UY,001,12.0
2016-05-01,UY,001,-1.0
2016-04-01,UY,001,-34.0
2016-03-01,UY,001,32.0
2016-02-01,UY,001,-20.0
2016-01-01,UY,001,-10.0
2015-12-01,UY,001,3.0
2015-11-01,UY,001,42.0
2015-10-01,UY,001,9.0
2015-09-01,UY,001,-16.0
2015-08-01,UY,001,-19.0
2015-07-01,UY,001,-13.0
2015-06-01,UY,001,25.0
2015-05-01,UY,001,-8.0
2015-04-01,UY,001,-27.0
2015-03-01,UY,001,26.0
2015-02-01,UY,001,-17.0
2015-01-01,UY,001,3.0
2014-12-01,UY,001,-2.0
2014-11-01,UY,001,-1.0
2014-10-01,UY,001,0.0
2014-09-01,UY,001,20.0
2014-08-01,UY,001,2.0
2014-07-01,UY,001,19.0
2014-06-01,UY,001,-25.0
2014-05-01,UY,001,-1.0
2014-04-01,UY,001,7.0
2014-03-01,UY,001,-29.0
2014-02-01,UY,001,17.0
2014-01-01,UY,001,17.0
2013-12-01,UY,001,12.0
2013-11-01,UY,001,-1.0
2013-10-01,UY,001,14.0
2013-09-01,UY,001,-3.0
2013-08-01,UY,001,31.0
2013-07-01,UY,001,-31.0
2013-06-01,UY,001,-4.0
2013-05-01,UY,001,-1.0
2013-04-01,UY,001,-3.0
2013-03-01,UY,001,9.0
2013-02-01,UY,001,37.0
2011-12-01,UY,001,5.0
2011-11-01,UY,001,34.0
2011-10-01,UY,001,-44.0
2011-09-01,UY,001,6.0
2011-08-01,UY,001,3.0
2011-07-01,UY,001,-17.0
2011-06-01,UY,001,16.0
2011-05-01,UY,001,8.0
2011-04-01,UY,001,15.0
2011-03-01,UY,001,-48.0
2011-02-01,UY,001,106.0
2011-01-01,UY,001,29.0
2010-12-01,UY,001,32.0
2010-11-01,UY,001,14.0
2010-10-01,UY,001,10.0
2010-09-01,UY,001,0.0
2010-08-01,UY,001,2.0
2010-07-01,UY,001,13.0
2010-06-01,UY,001,11.0
2010-05-01,UY,001,41.0
2010-04-01,UY,001,-90.0
2010-03-01,UY,001,81.0
2010-02-01,UY,001,-64.0
2020-02-01,UY,003,66.6299
2020-01-01,UY,003,65.598
2019-12-01,UY,003,72.4707
2019-11-01,UY,003,75.0872
2019-10-01,UY,003,76.6418
2019-09-01,UY,003,72.9805
2019-08-01,UY,003,76.7381
2019-07-01,UY,003,74.3265
2019-06-01,UY,003,71.1513
2019-05-01,UY,003,78.0561
2019-04-01,UY,003,74.8216
2019-03-01,UY,003,75.8334
2019-02-01,UY,003,71.4482
2019-01-01,UY,003,70.6473
2018-12-01,UY,003,73.3838
2018-11-01,UY,003,79.9063
2018-10-01,UY,003,81.2395
2018-09-01,UY,003,76.0189
2018-08-01,UY,003,79.7047
2018-07-01,UY,003,76.7064
2018-06-01,UY,003,78.4896
2018-05-01,UY,003,80.7186
2018-04-01,UY,003,79.1623
2018-03-01,UY,003,79.8562
2018-02-01,UY,003,75.7083
2018-01-01,UY,003,75.5315
2017-12-01,UY,003,81.397
2017-11-01,UY,003,82.2627
2017-10-01,UY,003,82.9589
2017-09-01,UY,003,81.7117
2017-08-01,UY,003,83.3098
2017-07-01,UY,003,79.3298
2017-06-01,UY,003,85.262
2017-05-01,UY,003,86.2113
2017-04-01,UY,003,79.2871
2017-03-01,UY,003,88.3234
2017-02-01,UY,003,78.7594
2017-01-01,UY,003,77.5767
2016-12-01,UY,003,87.5447
2016-11-01,UY,003,86.5207
2016-10-01,UY,003,84.3756
2016-09-01,UY,003,85.3982
2016-08-01,UY,003,86.3098
2016-07-01,UY,003,81.4351
2016-06-01,UY,003,85.9387
2016-05-01,UY,003,86.0157
2016-04-01,UY,003,83.5319
2016-03-01,UY,003,82.5051
2016-02-01,UY,003,79.1056
2016-01-01,UY,003,73.8868
2015-12-01,UY,003,85.4285
2015-11-01,UY,003,85.5874
2015-10-01,UY,003,87.7694
2015-09-01,UY,003,86.1601
2015-08-01,UY,003,84.1948
2015-07-01,UY,003,89.5429
2015-06-01,UY,003,89.5187
2015-05-01,UY,003,88.505
2015-04-01,UY,003,89.3788
2015-03-01,UY,003,92.3247
2015-02-01,UY,003,83.1593
2015-01-01,UY,003,83.1551
2014-12-01,UY,003,93.5211
2014-11-01,UY,003,94.113
2014-10-01,UY,003,98.6194
2014-09-01,UY,003,95.8493
2014-08-01,UY,003,92.6343
2014-07-01,UY,003,95.5823
2014-06-01,UY,003,96.2315
2014-05-01,UY,003,99.698
2014-04-01,UY,003,94.4057
2014-03-01,UY,003,95.1073
2014-02-01,UY,003,90.1633
2014-01-01,UY,003,89.477
2013-12-01,UY,003,95.82
2013-11-01,UY,003,99.3682
2013-10-01,UY,003,101.6054
2013-09-01,UY,003,94.6924
2013-08-01,UY,003,99.4996
2013-07-01,UY,003,97.3775
2013-06-01,UY,003,94.1852
2013-05-01,UY,003,102.2917
2013-04-01,UY,003,101.0872
2013-03-01,UY,003,94.4834
2013-02-01,UY,003,91.104
2013-01-01,UY,003,92.1766
2012-12-01,UY,003,95.8622
2012-11-01,UY,003,102.2538
2012-10-01,UY,003,104.1789
2012-09-01,UY,003,97.1105
2012-08-01,UY,003,103.8982
2012-07-01,UY,003,98.3511
2012-06-01,UY,003,98.8644
2012-05-01,UY,003,103.7665
2012-04-01,UY,003,93.9626
2012-03-01,UY,003,103.324
2012-02-01,UY,003,92.2471
2012-01-01,UY,003,90.673
2011-12-01,UY,003,105.6717
2011-11-01,UY,003,104.7631
2011-10-01,UY,003,101.7787
2011-09-01,UY,003,105.2812
2011-08-01,UY,003,105.209
2011-07-01,UY,003,98.9915
2011-06-01,UY,003,103.3747
2011-05-01,UY,003,107.2369
2011-04-01,UY,003,98.946
2011-03-01,UY,003,105.3835
2011-02-01,UY,003,95.9576
2011-01-01,UY,003,93.6841
2010-12-01,UY,003,107.0546
2010-11-01,UY,003,104.2058
2010-10-01,UY,003,100.9184
2010-09-01,UY,003,102.3267
2010-08-01,UY,003,101.7911
2010-07-01,UY,003,104.5821
2010-06-01,UY,003,104.8961
2010-05-01,UY,003,105.0127
2010-04-01,UY,003,102.4788
2010-03-01,UY,003,106.1295
2010-02-01,UY,003,92.7689
2010-01-01,UY,003,90.8773
2009-12-01,UY,003,105.4264
2009-11-01,UY,003,105.2001
2009-10-01,UY,003,107.6148
2009-09-01,UY,003,105.5294
2009-08-01,UY,003,99.9561
2009-07-01,UY,003,101.8141
2009-06-01,UY,003,101.0209
2009-05-01,UY,003,101.1965
2009-04-01,UY,003,96.6264
2009-03-01,UY,003,101.9334
2009-02-01,UY,003,92.3846
2009-01-01,UY,003,93.7
2008-12-01,UY,003,102.3458
2008-11-01,UY,003,102.0112
2008-10-01,UY,003,111.3951
2008-09-01,UY,003,107.7203
2008-08-01,UY,003,102.4835
2008-07-01,UY,003,109.37
2008-06-01,UY,003,104.69
2008-05-01,UY,003,109.7047
2008-04-01,UY,003,110.4095
2008-03-01,UY,003,98.1728
2008-02-01,UY,003,100.093
2008-01-01,UY,003,103.1289
2007-12-01,UY,003,100.7242
2007-11-01,UY,003,108.0263
2007-10-01,UY,003,110.6036
2007-09-01,UY,003,101.9712
2007-08-01,UY,003,109.8104
2007-07-01,UY,003,104.4173
2007-06-01,UY,003,106.5644
2007-05-01,UY,003,109.1634
2007-04-01,UY,003,95.7535
2007-03-01,UY,003,107.4781
2007-02-01,UY,003,92.8388
2007-01-01,UY,003,97.798
2006-12-01,UY,003,103.694
2006-11-01,UY,003,105.5676
2006-10-01,UY,003,102.7182
2006-09-01,UY,003,102.7018
2006-08-01,UY,003,102.7251
2006-07-01,UY,003,98.7692
2006-06-01,UY,003,101.9497
2006-05-01,UY,003,105.6159
2006-04-01,UY,003,91.336
2006-03-01,UY,003,101.4164
2006-02-01,UY,003,89.0027
2006-01-01,UY,003,94.5035
2018-01-01,UY,004,384616.0
2017-01-01,UY,004,365818.0
2016-01-01,UY,004,340526.0
2015-01-01,UY,004,327243.0
2014-01-01,UY,004,313237.0
2013-01-01,UY,004,275177.0
2012-01-01,UY,004,269878.0
2011-01-01,UY,004,244763.0
2010-01-01,UY,004,212872.0
2009-01-01,UY,004,193630.0
2008-01-01,UY,004,192137.0
2007-01-01,UY,004,159843.0
2006-01-01,UY,004,142806.0
2005-01-01,UY,004,129223.0
2004-01-01,UY,004,126153.0
2003-01-01,UY,004,93213.0
2002-01-01,UY,004,59645.0
2001-01-01,UY,004,46776.0
2000-01-01,UY,004,46112.0
1999-01-01,UY,004,41060.0
1998-01-01,UY,004,43651.0
1997-01-01,UY,004,39510.0
1996-01-01,UY,004,30184.0
1995-01-01,UY,004,21839.0
1994-01-01,UY,004,16347.0
1993-01-01,UY,004,10610.0
1992-01-01,UY,004,7474.0
1991-01-01,UY,004,4390.0
1990-01-01,UY,004,2401.0
1989-01-01,UY,004,1156.0
1988-01-01,UY,004,609.0
1987-01-01,UY,004,338.0
1986-01-01,UY,004,219.0
1985-01-01,UY,004,120.0
1984-01-01,UY,004,68.0
1983-01-01,UY,004,42.0
1982-01-01,UY,004,17.0
1981-01-01,UY,004,17.0
1980-01-01,UY,004,12.0
1979-01-01,UY,004,7.0
1978-01-01,UY,004,2.0
1977-01-01,UY,004,2.0
1976-01-01,UY,004,1.0
1975-01-01,UY,004,1.0
1974-01-01,UY,004,0.0
1973-01-01,UY,004,0.0
1972-01-01,UY,004,0.0
1971-01-01,UY,004,0.0
1970-01-01,UY,004,0.0
1969-01-01,UY,004,0.0
1968-01-01,UY,004,0.0
1967-01-01,UY,004,0.0
1966-01-01,UY,004,0.0
1965-01-01,UY,004,0.0
1964-01-01,UY,004,0.0
1963-01-01,UY,004,0.0
1962-01-01,UY,004,0.0
1961-01-01,UY,004,0.0
1960-01-01,UY,004,0.0
1959-01-01,UY,004,0.0
1958-01-01,UY,004,0.0
1957-01-01,UY,004,0.0
1956-01-01,UY,004,0.0
1955-01-01,UY,004,0.0
2019-07-01,UY,005,10.74
2019-06-01,UY,005,12.02
2019-05-01,UY,005,10.82
2019-04-01,UY,005,10.89
2019-03-01,UY,005,11.55
2019-02-01,UY,005,11.69
2019-01-01,UY,005,12.17
2018-12-01,UY,005,11.36
2018-11-01,UY,005,11.6
2018-10-01,UY,005,12.64
2018-09-01,UY,005,12.44
