date,country_code,indicator_code,value
2017-10-01,UZ,001,13520.3
2017-07-01,UZ,001,13518.5
2017-04-01,UZ,001,13421.2
2016-10-01,UZ,001,13298.4
2016-04-01,UZ,001,13191.5
2016-01-01,UZ,001,13046.5
2015-10-01,UZ,001,13058.3
2018-01-01,UZ,004,-5571.6
2017-01-01,UZ,004,-1458.7
2016-01-01,UZ,004,-43.0
2015-01-01,UZ,004,91.0
2014-01-01,UZ,004,-438.6
2013-01-01,UZ,004,375.8
2012-01-01,UZ,004,783.1
2011-01-01,UZ,004,3676.7
2010-01-01,UZ,004,3847.6
2009-01-01,UZ,004,2333.0
2008-01-01,UZ,004,1789.3
2007-01-01,UZ,004,2263.4
2006-01-01,UZ,004,1608.2
2005-01-01,UZ,004,1317.5
2004-01-01,UZ,004,1037.0
2003-01-01,UZ,004,760.8
2002-01-01,UZ,004,276.4
2001-01-01,UZ,004,33.5
2000-01-01,UZ,004,317.3
1999-01-01,UZ,004,125.1
1998-01-01,UZ,004,239.5
1997-01-01,UZ,004,-135.5
1996-01-01,UZ,004,-130.9
1995-01-01,UZ,004,827.2
1994-01-01,UZ,004,80.4
2018-01-01,UZ,012,421.0
2017-01-01,UZ,012,406.0
2016-01-01,UZ,012,391.0
2015-01-01,UZ,012,234.0
2014-01-01,UZ,012,-151.0
2013-01-01,UZ,012,-138.0
2012-01-01,UZ,012,-125.0
2011-01-01,UZ,012,-24.0
2010-01-01,UZ,012,-36.0
2009-01-01,UZ,012,-144.0
2008-01-01,UZ,012,-80.0
2007-01-01,UZ,012,-146.0
2006-01-01,UZ,012,1171.0
2005-01-01,UZ,012,658.0
2004-01-01,UZ,012,354.0
2003-01-01,UZ,012,318.0
2002-01-01,UZ,012,120.0
2001-01-01,UZ,012,43.0
2000-01-01,UZ,012,13.0
1998-01-01,UZ,012,43.0
1997-01-01,UZ,012,29.0
1996-01-01,UZ,012,-2.0
1995-01-01,UZ,012,19.0
1994-01-01,UZ,012,13.0
1993-01-01,UZ,012,12.0
1992-01-01,UZ,012,2.0
1991-01-01,UZ,012,6530.0
2012-01-01,UZ,016,1560.8
2011-10-01,UZ,016,1411.4
2011-07-01,UZ,016,1829.6
2011-04-01,UZ,016,1872.9
2011-01-01,UZ,016,1584.1
2010-10-01,UZ,016,1597.4
2010-07-01,UZ,016,1819.5
2010-04-01,UZ,016,1868.8
2010-01-01,UZ,016,1586.0
2009-10-01,UZ,016,1504.5
2009-07-01,UZ,016,1898.4
2009-04-01,UZ,016,1843.3
2009-01-01,UZ,016,1606.6
2008-10-01,UZ,016,1672.6
2008-07-01,UZ,016,1852.4
2008-04-01,UZ,016,1822.2
2008-01-01,UZ,016,1299.8
2007-10-01,UZ,016,1200.8
2007-07-01,UZ,016,1693.1
2007-04-01,UZ,016,1734.7
2007-01-01,UZ,016,1413.9
2006-04-01,UZ,016,1627.7
2006-01-01,UZ,016,1152.5
2018-01-01,UZ,019,42450965.0
2017-01-01,UZ,019,10447221.0
2016-01-01,UZ,019,-1731420.0
2015-01-01,UZ,019,1670491.0
2014-01-01,UZ,019,5391508.0
2013-01-01,UZ,019,3284882.0
2012-01-01,UZ,019,4849985.0
2011-01-01,UZ,019,587130.0
2010-01-01,UZ,019,-883351.0
2009-01-01,UZ,019,454900.0
2008-01-01,UZ,019,826400.0
2007-01-01,UZ,019,1319000.0
2006-01-01,UZ,019,1320400.0
2005-01-01,UZ,019,1293352.0
2004-01-01,UZ,019,374945.0
2003-01-01,UZ,019,69452.0
2002-01-01,UZ,019,52842.0
2001-01-01,UZ,019,-281662.0
2000-01-01,UZ,019,-106402.0
1999-01-01,UZ,019,-173392.0
1998-01-01,UZ,019,-100414.0
1997-01-01,UZ,019,-91985.0
1996-01-01,UZ,019,0.0
1995-01-01,UZ,019,0.0
1994-01-01,UZ,019,0.0
1993-01-01,UZ,019,0.0
1992-01-01,UZ,019,0.0
2017-10-01,UZ,022,837.0
2017-07-01,UZ,022,765.3
2017-04-01,UZ,022,741.1
2016-10-01,UZ,022,724.0
2016-04-01,UZ,022,725.1
2016-01-01,UZ,022,730.3
2015-10-01,UZ,022,709.4
2019-07-01,UZ,028,16571.0
2019-04-01,UZ,028,23171.5
2019-01-01,UZ,028,11179.7
2018-10-01,UZ,028,13607.8
2018-07-01,UZ,028,12064.1
2018-04-01,UZ,028,12329.3
2018-01-01,UZ,028,9259.5
2017-10-01,UZ,028,17827.2
2017-07-01,UZ,028,8867.0
2017-04-01,UZ,028,9378.8
2017-01-01,UZ,028,6930.4
2016-10-01,UZ,028,4286.4
2016-07-01,UZ,028,8135.4
2016-04-01,UZ,028,7811.4
2016-01-01,UZ,028,5953.6
2015-10-01,UZ,028,6448.4
2015-07-01,UZ,028,7128.9
2014-10-01,UZ,028,4744.7
2012-10-01,UZ,028,3405.3
2012-07-01,UZ,028,2553.1
2012-04-01,UZ,028,3507.8
2012-01-01,UZ,028,1845.6
2011-10-01,UZ,028,2787.5
2011-07-01,UZ,028,2268.8
2011-04-01,UZ,028,2880.7
2011-01-01,UZ,028,1501.1
2010-10-01,UZ,028,2157.8
2010-07-01,UZ,028,2080.8
2010-04-01,UZ,028,2210.1
2010-01-01,UZ,028,1725.9
2009-10-01,UZ,028,1640.1
2009-07-01,UZ,028,2093.7
2009-04-01,UZ,028,1903.7
2009-01-01,UZ,028,1225.0
2008-10-01,UZ,028,998.4
2008-07-01,UZ,028,1017.9
2008-04-01,UZ,028,967.4
2008-01-01,UZ,028,496.7
2007-10-01,UZ,028,736.4
2007-07-01,UZ,028,772.0
2007-04-01,UZ,028,698.3
2007-01-01,UZ,028,386.5
2006-10-01,UZ,028,574.4
2006-07-01,UZ,028,530.0
2006-04-01,UZ,028,461.3
2006-01-01,UZ,028,277.7
2005-10-01,UZ,028,383.9
2005-07-01,UZ,028,388.3
2005-04-01,UZ,028,372.2
2005-01-01,UZ,028,233.1
