date,country_code,indicator_code,value
2017-01-01,VC,001,-35.0
2016-01-01,VC,001,46.0
2015-01-01,VC,001,-26.0
2014-01-01,VC,001,-40.0
2013-01-01,VC,001,-120.0
2012-01-01,VC,001,-38.0
2011-01-01,VC,001,-49.0
2010-01-01,VC,001,-53.0
2009-01-01,VC,001,-31.0
2008-01-01,VC,001,-12.0
2007-01-01,VC,001,-46.0
2006-01-01,VC,001,-55.0
2005-01-01,VC,001,-55.0
2004-01-01,VC,001,-16.0
2003-01-01,VC,001,-24.0
2002-01-01,VC,001,-14.0
2001-01-01,VC,001,-15.0
2000-01-01,VC,001,-4.0
2008-01-01,VC,002,18.8
2001-01-01,VC,002,21.1
1991-01-01,VC,002,19.8
1980-01-01,VC,002,23.5
2017-01-01,VC,004,795.0
2016-01-01,VC,004,807.0
2015-01-01,VC,004,767.0
2014-01-01,VC,004,691.0
2013-01-01,VC,004,491.0
2012-01-01,VC,004,515.0
2011-01-01,VC,004,494.0
2010-01-01,VC,004,495.0
2009-01-01,VC,004,519.0
2008-01-01,VC,004,567.0
2007-01-01,VC,004,573.0
2006-01-01,VC,004,572.0
2005-01-01,VC,004,541.0
2004-01-01,VC,004,498.0
2003-01-01,VC,004,467.0
2002-01-01,VC,004,481.0
2001-01-01,VC,004,475.0
2000-01-01,VC,004,484.0
1999-01-01,VC,004,478.0
1998-01-01,VC,004,425.0
1997-01-01,VC,004,401.0
1996-01-01,VC,004,403.0
1995-01-01,VC,004,368.0
1994-01-01,VC,004,303.0
1993-01-01,VC,004,323.0
1992-01-01,VC,004,373.0
1991-01-01,VC,004,303.0
1990-01-01,VC,004,352.0
1989-01-01,VC,004,313.0
1988-01-01,VC,004,338.0
1987-01-01,VC,004,247.0
1986-01-01,VC,004,252.0
1985-01-01,VC,004,222.0
1984-01-01,VC,004,193.0
1983-01-01,VC,004,156.0
1982-01-01,VC,004,136.0
1981-01-01,VC,004,116.0
1980-01-01,VC,004,89.0
1979-01-01,VC,004,76.0
1978-01-01,VC,004,74.0
