date,country_code,indicator_code,value
2016-04-01,VE,001,13089081.0
2016-03-01,VE,001,13127644.0
2016-02-01,VE,001,13117796.0
2016-01-01,VE,001,13014714.0
2015-12-01,VE,001,13166601.0
2015-11-01,VE,001,13159776.0
2015-10-01,VE,001,13236789.0
2015-09-01,VE,001,13157783.0
2015-08-01,VE,001,13245140.0
2015-07-01,VE,001,13213030.0
2015-06-01,VE,001,13379657.0
2015-05-01,VE,001,13174937.0
2015-04-01,VE,001,13313537.0
2015-03-01,VE,001,13373446.0
2015-02-01,VE,001,12949962.0
2015-01-01,VE,001,13100203.0
2014-12-01,VE,001,13607057.0
2014-11-01,VE,001,13311297.0
2014-10-01,VE,001,13484701.0
2014-09-01,VE,001,13320060.0
2014-08-01,VE,001,13225720.0
2014-07-01,VE,001,13266054.0
2014-06-01,VE,001,13331638.0
2014-05-01,VE,001,13106535.0
2014-04-01,VE,001,13073979.0
2014-03-01,VE,001,13013697.0
2014-02-01,VE,001,13005919.0
2014-01-01,VE,001,12541502.0
2013-12-01,VE,001,13165887.0
2013-11-01,VE,001,13027001.0
2013-10-01,VE,001,12987980.0
2013-09-01,VE,001,12962522.0
2013-08-01,VE,001,12972617.0
2013-07-01,VE,001,12890760.0
2013-06-01,VE,001,12886821.0
2013-05-01,VE,001,12537648.0
2013-04-01,VE,001,12629666.0
2013-03-01,VE,001,12643093.0
2013-02-01,VE,001,12553056.0
2013-01-01,VE,001,12204989.0
2012-12-01,VE,001,12875670.0
2012-11-01,VE,001,12728590.0
2012-10-01,VE,001,12519285.0
2012-09-01,VE,001,12795897.0
2012-08-01,VE,001,12414107.0
2012-07-01,VE,001,12427774.0
2012-06-01,VE,001,12551036.0
2012-05-01,VE,001,12337695.0
2012-04-01,VE,001,12278610.0
2012-03-01,VE,001,12390268.0
2012-02-01,VE,001,11949931.0
2012-01-01,VE,001,11895836.0
2011-12-01,VE,001,12646379.0
2011-11-01,VE,001,12659705.0
2011-10-01,VE,001,12412791.0
2011-09-01,VE,001,12433631.0
2011-08-01,VE,001,12040363.0
2011-07-01,VE,001,12268388.0
2011-06-01,VE,001,12109994.0
2011-05-01,VE,001,12035516.0
2011-04-01,VE,001,12195694.0
2011-03-01,VE,001,12022641.0
2011-02-01,VE,001,11932460.0
2011-01-01,VE,001,11937182.0
2010-12-01,VE,001,12542151.0
2010-11-01,VE,001,12015873.0
