date,country_code,indicator_code,value
2014-01-01,VN,001,5473.5
2013-01-01,VN,001,5330.4
2012-01-01,VN,001,5353.7
2011-01-01,VN,001,5250.6
2010-01-01,VN,001,5107.4
2009-01-01,VN,001,5040.6
2008-01-01,VN,001,5059.3
2007-01-01,VN,001,4988.4
2006-01-01,VN,001,4916.0
2005-01-01,VN,001,4967.4
2004-01-01,VN,001,4108.2
2003-01-01,VN,001,4035.4
2002-01-01,VN,001,3750.5
2001-01-01,VN,001,3603.6
2000-01-01,VN,001,3501.0
1999-01-01,VN,001,3433.2
1998-01-01,VN,001,3383.0
1997-01-01,VN,001,3266.9
1996-01-01,VN,001,3137.7
1995-01-01,VN,001,3053.1
2018-01-01,VN,004,6515.3
2017-01-01,VN,004,1903.3
2016-01-01,VN,004,1602.4
2015-01-01,VN,004,-3759.2
2014-01-01,VN,004,2368.0
2013-01-01,VN,004,0.300000000003
2012-01-01,VN,004,748.8
2011-01-01,VN,004,-9844.1
2010-01-01,VN,004,-12601.9
2009-01-01,VN,004,-12852.5
2008-01-01,VN,004,-18028.7
2007-01-01,VN,004,-14203.3
2006-01-01,VN,004,-5064.9
2005-01-01,VN,004,-4314.0
2004-01-01,VN,004,-5483.8
2003-01-01,VN,004,-5106.5
2002-01-01,VN,004,-3039.5
2001-01-01,VN,004,-1188.7
2000-01-01,VN,004,-1153.8
1999-01-01,VN,004,-200.7
1998-01-01,VN,004,-2139.3
1997-01-01,VN,004,-2407.3
1996-01-01,VN,004,-3887.8
1995-01-01,VN,004,-2706.5
1994-01-01,VN,004,-1771.5
1993-01-01,VN,004,-938.7
1992-01-01,VN,004,39.9
1991-01-01,VN,004,-251.0
1990-01-01,VN,004,-348.4
1989-01-01,VN,004,-619.8
1988-01-01,VN,004,-1718.2
1987-01-01,VN,004,-1600.9
1986-01-01,VN,004,-1366.0
1985-01-01,VN,004,-1158.9
1984-01-01,VN,004,-1095.4
1983-01-01,VN,004,-910.2
1982-01-01,VN,004,-945.6
1981-01-01,VN,004,-981.0
1980-01-01,VN,004,-975.6
1979-01-01,VN,004,-1205.6
1978-01-01,VN,004,-977.4
1977-01-01,VN,004,-895.9
1976-01-01,VN,004,-801.4
1975-01-01,VN,004,-757.9
1974-01-01,VN,004,-1226.2
1973-01-01,VN,004,-1015.0
1972-01-01,VN,004,-996.7
1971-01-01,VN,004,-1258.9
1970-01-01,VN,004,-916.9
1969-01-01,VN,004,-921.7
1968-01-01,VN,004,-886.3
1967-01-01,VN,004,-894.6
1966-01-01,VN,004,-771.1
1965-01-01,VN,004,-468.2
1964-01-01,VN,004,-289.6
1963-01-01,VN,004,-267.8
1962-01-01,VN,004,-262.5
1961-01-01,VN,004,-242.4
1960-01-01,VN,004,-201.3
1959-01-01,VN,004,-177.5
1958-01-01,VN,004,-188.7
1957-01-01,VN,004,-261.7
1956-01-01,VN,004,-220.3
1955-01-01,VN,004,-254.5
2019-12-01,VN,005,7.79
2019-11-01,VN,005,7.76
2019-10-01,VN,005,7.82
2019-09-01,VN,005,7.81
2019-08-01,VN,005,7.8
2019-07-01,VN,005,7.33
2019-06-01,VN,005,7.29
2019-05-01,VN,005,7.28
2019-04-01,VN,005,7.7
2019-03-01,VN,005,7.94
2019-02-01,VN,005,7.91
2019-01-01,VN,005,8.08
2018-12-01,VN,005,7.46
2018-11-01,VN,005,7.26
2018-10-01,VN,005,7.11
2018-09-01,VN,005,7.2
2018-08-01,VN,005,7.59
2018-07-01,VN,005,7.62
2018-06-01,VN,005,7.37
2018-05-01,VN,005,7.38
2018-04-01,VN,005,7.44
2018-03-01,VN,005,7.19
2018-02-01,VN,005,7.43
2018-01-01,VN,005,7.44
2017-12-01,VN,005,7.4
2017-11-01,VN,005,7.35
2017-10-01,VN,005,7.14
2017-09-01,VN,005,7.11
2017-08-01,VN,005,7.11
2017-07-01,VN,005,6.96
2017-06-01,VN,005,6.96
2017-05-01,VN,005,6.96
2017-04-01,VN,005,6.94
2017-03-01,VN,005,6.96
2017-02-01,VN,005,6.96
2017-01-01,VN,005,6.96
2016-12-01,VN,005,6.96
2016-11-01,VN,005,6.96
2016-10-01,VN,005,6.96
2016-09-01,VN,005,6.96
2016-08-01,VN,005,6.96
2016-07-01,VN,005,6.96
2016-06-01,VN,005,6.96
2016-05-01,VN,005,6.96
2016-04-01,VN,005,6.96
2016-03-01,VN,005,6.96
2016-02-01,VN,005,6.96
2016-01-01,VN,005,6.96
2015-12-01,VN,005,6.96
2015-11-01,VN,005,6.96
2015-10-01,VN,005,6.96
2015-09-01,VN,005,6.96
2015-08-01,VN,005,6.96
2015-07-01,VN,005,7.23
2015-06-01,VN,005,7.23
2015-05-01,VN,005,7.23
2015-04-01,VN,005,7.23
2015-03-01,VN,005,7.23
2015-02-01,VN,005,7.23
2015-01-01,VN,005,7.23
2014-12-01,VN,005,8.16
2014-11-01,VN,005,8.16
2014-10-01,VN,005,8.16
2014-09-01,VN,005,8.4
2014-08-01,VN,005,8.52
2014-07-01,VN,005,8.04
2014-06-01,VN,005,8.28
2014-05-01,VN,005,8.28
2014-04-01,VN,005,9.24
2014-03-01,VN,005,9.48
2014-02-01,VN,005,9.63
2014-01-01,VN,005,9.63
2013-12-01,VN,005,9.63
2013-11-01,VN,005,9.63
2013-10-01,VN,005,9.63
2013-09-01,VN,005,9.69
2013-08-01,VN,005,9.69
2013-07-01,VN,005,10.08
2013-06-01,VN,005,10.08
2013-05-01,VN,005,10.2
2013-04-01,VN,005,10.32
2013-03-01,VN,005,11.68
2013-02-01,VN,005,11.86
2013-01-01,VN,005,12.0
2012-12-01,VN,005,11.94
2012-11-01,VN,005,12.37
2012-10-01,VN,005,12.37
2012-09-01,VN,005,12.49
2012-08-01,VN,005,12.49
2012-07-01,VN,005,12.5
2012-06-01,VN,005,12.6
2012-05-01,VN,005,14.3
2012-04-01,VN,005,14.7
2012-03-01,VN,005,15.1
2012-02-01,VN,005,15.36
2012-01-01,VN,005,15.44
2011-12-01,VN,005,15.32
2011-11-01,VN,005,15.51
2011-10-01,VN,005,16.7
2011-09-01,VN,005,17.55
2011-08-01,VN,005,18.09
2011-07-01,VN,005,18.09
2011-06-01,VN,005,18.08
2011-05-01,VN,005,18.08
2011-04-01,VN,005,17.91
2011-03-01,VN,005,16.42
2011-02-01,VN,005,16.42
2011-01-01,VN,005,15.3
2010-12-01,VN,005,15.3
2010-11-01,VN,005,13.25
2010-10-01,VN,005,13.25
2010-09-01,VN,005,13.25
2010-08-01,VN,005,13.0
2010-07-01,VN,005,13.25
2010-06-01,VN,005,13.23
2010-05-01,VN,005,13.23
2010-04-01,VN,005,13.86
2010-03-01,VN,005,12.0
2010-02-01,VN,005,12.0
2010-01-01,VN,005,12.0
2009-12-01,VN,005,12.0
2009-11-01,VN,005,10.46
2009-10-01,VN,005,10.46
2009-09-01,VN,005,10.35
2009-08-01,VN,005,10.26
2009-07-01,VN,005,9.96
2009-06-01,VN,005,9.96
2009-05-01,VN,005,9.6
2009-04-01,VN,005,9.15
2009-03-01,VN,005,9.15
2009-02-01,VN,005,9.39
2009-01-01,VN,005,10.08
2008-12-01,VN,005,10.98
2008-11-01,VN,005,13.26
2008-10-01,VN,005,18.0
2008-09-01,VN,005,19.86
2008-08-01,VN,005,20.19
2008-07-01,VN,005,20.25
2008-06-01,VN,005,19.11
2008-05-01,VN,005,16.53
2008-04-01,VN,005,14.27
2008-03-01,VN,005,14.6
2008-02-01,VN,005,11.18
2008-01-01,VN,005,11.18
2007-12-01,VN,005,11.18
2007-11-01,VN,005,11.18
2007-10-01,VN,005,11.18
2007-09-01,VN,005,11.18
2007-08-01,VN,005,11.18
2007-07-01,VN,005,11.18
