date,country_code,indicator_code,value
2014-01-01,VU,004,-661.0
2013-01-01,VU,004,-2632.0
2012-01-01,VU,004,-1268.0
2011-01-01,VU,004,-3987.0
2010-01-01,VU,004,-4151.0
2009-01-01,VU,004,-4667.0
2008-01-01,VU,004,-7674.0
2007-01-01,VU,004,-3701.0
2006-01-01,VU,004,-3401.0
2005-01-01,VU,004,-4059.0
2004-01-01,VU,004,-3063.0
2003-01-01,VU,004,-1927.0
2002-01-01,VU,004,-2587.0
2001-01-01,VU,004,-4445.0
2000-01-01,VU,004,-3294.0
1999-01-01,VU,004,-5700.0
1998-01-01,VU,004,-3398.0
1997-01-01,VU,004,514.0
1996-01-01,VU,004,-1961.0
1995-01-01,VU,004,-2290.0
1994-01-01,VU,004,-2133.0
1993-01-01,VU,004,-2112.0
1992-01-01,VU,004,-2150.0
1991-01-01,VU,004,-3192.0
1990-01-01,VU,004,-4795.0
1989-01-01,VU,004,-4276.0
1988-01-01,VU,004,-3816.0
1987-01-01,VU,004,-4092.0
1986-01-01,VU,004,-3819.0
1985-01-01,VU,004,-2669.0
1984-01-01,VU,004,-614.0
1983-01-01,VU,004,-1392.0
1982-01-01,VU,004,-239.0
1981-01-01,VU,004,-205.0
1980-01-01,VU,004,-668.0
2019-12-01,VU,005,2.0
2019-11-01,VU,005,2.0
2019-10-01,VU,005,2.0
2019-09-01,VU,005,2.0
2019-08-01,VU,005,2.0
2019-07-01,VU,005,2.0
2019-06-01,VU,005,2.0
2019-05-01,VU,005,2.0
2019-04-01,VU,005,2.0
2019-03-01,VU,005,2.0
2019-02-01,VU,005,2.0
2019-01-01,VU,005,2.0
2018-12-01,VU,005,2.0
2018-11-01,VU,005,2.0
2018-10-01,VU,005,2.0
2018-09-01,VU,005,3.0
2018-08-01,VU,005,2.0
2018-07-01,VU,005,3.0
2018-06-01,VU,005,3.0
2018-05-01,VU,005,3.0
2018-04-01,VU,005,3.45
2018-03-01,VU,005,3.45
2018-02-01,VU,005,3.45
2018-01-01,VU,005,2.0
2017-12-01,VU,005,3.45
2017-11-01,VU,005,3.45
2017-10-01,VU,005,4.7
2017-09-01,VU,005,3.45
2017-08-01,VU,005,3.45
2017-07-01,VU,005,3.45
2017-06-01,VU,005,3.45
2017-05-01,VU,005,3.0
2017-04-01,VU,005,3.0
2017-03-01,VU,005,3.0
2017-02-01,VU,005,2.05
2017-01-01,VU,005,2.05
2016-12-01,VU,005,2.4
2016-11-01,VU,005,3.0
2016-10-01,VU,005,3.0
2016-09-01,VU,005,3.0
2016-08-01,VU,005,3.0
2016-07-01,VU,005,3.0
2016-06-01,VU,005,3.0
2016-05-01,VU,005,3.0
2016-04-01,VU,005,3.0
2016-03-01,VU,005,3.0
2016-02-01,VU,005,3.0
2016-01-01,VU,005,3.0
2015-12-01,VU,005,3.0
2015-11-01,VU,005,3.45
2015-10-01,VU,005,3.0
