date,country_code,indicator_code,value
2015-01-01,WF,081,15000.0
2005-01-01,WF,081,18000.0
2015-01-01,WF,096,10938.0
2004-01-01,WF,097,3800.0
2019-01-01,WF,126,3677.0
2018-01-01,WF,126,3592.0
2017-01-01,WF,126,3592.0
2016-01-01,WF,126,3635.0
2015-12-01,WF,172,350.726
2015-11-01,WF,172,684.255
2015-10-01,WF,172,136.964
2015-09-01,WF,172,162.21
2015-08-01,WF,172,229.944
2015-07-01,WF,172,77.6772
2015-06-01,WF,172,212.471
2015-05-01,WF,172,265.199
2015-04-01,WF,172,375.963
2015-03-01,WF,172,197.373
2015-02-01,WF,172,297.925
2015-01-01,WF,172,224.179
2014-12-01,WF,172,699.252
2014-11-01,WF,172,476.567
2014-10-01,WF,172,252.039
2014-09-01,WF,172,123.495
2014-08-01,WF,172,228.968
2014-07-01,WF,172,104.22
2014-06-01,WF,172,295.623
2014-05-01,WF,172,303.621
2014-04-01,WF,172,224.973
2014-03-01,WF,172,153.223
2014-02-01,WF,172,462.128
2014-01-01,WF,172,419.254
2013-12-01,WF,172,365.806
2013-11-01,WF,172,187.581
2013-10-01,WF,172,336.695
2013-09-01,WF,172,153.707
2013-08-01,WF,172,196.501
2013-07-01,WF,172,529.557
2013-06-01,WF,172,247.532
2013-05-01,WF,172,274.98
2013-04-01,WF,172,273.603
2013-03-01,WF,172,405.121
2013-02-01,WF,172,107.918
2013-01-01,WF,172,494.314
2012-12-01,WF,172,210.0
2012-11-01,WF,172,423.977
2012-10-01,WF,172,285.336
2012-09-01,WF,172,266.798
2012-08-01,WF,172,89.4463
2012-07-01,WF,172,80.4792
2012-06-01,WF,172,67.1473
2012-05-01,WF,172,158.689
2012-04-01,WF,172,346.56
2012-03-01,WF,172,404.221
2012-02-01,WF,172,417.271
2012-01-01,WF,172,309.515
2011-12-01,WF,172,410.272
2011-11-01,WF,172,433.504
2011-10-01,WF,172,173.113
2011-09-01,WF,172,15.0556
2011-08-01,WF,172,259.459
2011-07-01,WF,172,89.0349
2011-06-01,WF,172,57.1442
2011-05-01,WF,172,74.9421
2011-04-01,WF,172,100.31
2011-03-01,WF,172,96.7989
2011-02-01,WF,172,498.434
2011-01-01,WF,172,734.42
2010-12-01,WF,172,305.21
2010-11-01,WF,172,195.258
2010-10-01,WF,172,341.423
2010-09-01,WF,172,118.768
2010-08-01,WF,172,97.2504
2010-07-01,WF,172,202.736
2010-06-01,WF,172,146.298
2010-05-01,WF,172,191.232
2010-04-01,WF,172,126.638
2010-03-01,WF,172,197.373
2010-02-01,WF,172,149.925
2010-01-01,WF,172,218.553
2009-12-01,WF,172,251.09
2009-11-01,WF,172,91.8525
2009-10-01,WF,172,69.4205
2009-09-01,WF,172,107.464
2009-08-01,WF,172,139.547
2009-07-01,WF,172,197.032
2009-06-01,WF,172,114.238
2009-05-01,WF,172,334.163
2009-04-01,WF,172,579.659
2009-03-01,WF,172,223.697
2009-02-01,WF,172,273.121
2009-01-01,WF,172,316.041
2008-12-01,WF,172,335.37
2008-11-01,WF,172,300.34
2008-10-01,WF,172,306.7
2008-09-01,WF,172,180.566
2008-08-01,WF,172,143.824
2008-07-01,WF,172,186.876
2008-06-01,WF,172,187.387
2008-05-01,WF,172,259.896
2008-04-01,WF,172,164.166
2008-03-01,WF,172,303.247
2008-02-01,WF,172,111.769
2008-01-01,WF,172,316.041
2007-12-01,WF,172,291.204
2007-11-01,WF,172,262.228
2007-10-01,WF,172,287.237
2007-09-01,WF,172,141.452
2007-08-01,WF,172,149.352
2007-07-01,WF,172,84.3318
2007-06-01,WF,172,80.1267
2007-05-01,WF,172,282.934
2007-04-01,WF,172,352.686
2007-03-01,WF,172,376.921
2007-02-01,WF,172,229.139
2007-01-01,WF,172,318.916
2006-12-01,WF,172,361.48
2006-11-01,WF,172,283.234
2006-10-01,WF,172,294.842
2006-09-01,WF,172,292.283
2006-08-01,WF,172,188.697
2006-07-01,WF,172,156.355
2006-06-01,WF,172,181.385
2006-05-01,WF,172,122.268
2006-04-01,WF,172,178.343
2006-03-01,WF,172,303.247
2006-02-01,WF,172,737.125
2006-01-01,WF,172,441.782
2005-12-01,WF,172,451.337
2005-11-01,WF,172,255.526
2005-10-01,WF,172,124.556
2005-09-01,WF,172,180.091
2005-08-01,WF,172,90.3968
2005-07-01,WF,172,87.1586
2005-06-01,WF,172,134.294
2005-05-01,WF,172,125.195
2005-04-01,WF,172,490.525
2005-03-01,WF,172,307.347
2005-02-01,WF,172,193.832
2005-01-01,WF,172,373.323
2004-12-01,WF,172,335.37
2004-11-01,WF,172,316.769
2004-10-01,WF,172,375.67
2004-09-01,WF,172,54.67
2004-08-01,WF,172,38.2948
2004-07-01,WF,172,515.372
2004-06-01,WF,172,245.507
2004-05-01,WF,172,96.5792
2004-04-01,WF,172,91.1845
2004-03-01,WF,172,356.272
2004-02-01,WF,172,285.523
2004-01-01,WF,172,345.17
2003-12-01,WF,172,529.265
2003-11-01,WF,172,315.794
2003-10-01,WF,172,137.915
2003-09-01,WF,172,99.937
2003-08-01,WF,172,130.692
2003-07-01,WF,172,108.923
2003-06-01,WF,172,279.618
2003-05-01,WF,172,141.98
2003-04-01,WF,172,257.426
2003-03-01,WF,172,303.247
2003-02-01,WF,172,302.051
2003-01-01,WF,172,324.542
2002-12-01,WF,172,320.319
2002-11-01,WF,172,359.868
2002-10-01,WF,172,167.775
2002-09-01,WF,172,169.255
2002-08-01,WF,172,108.722
2002-07-01,WF,172,201.462
2002-06-01,WF,172,193.38
2002-05-01,WF,172,216.886
2002-04-01,WF,172,244.046
2002-03-01,WF,172,339.35
2002-02-01,WF,172,251.246
2002-01-01,WF,172,234.332
2001-12-01,WF,172,421.531
2001-11-01,WF,172,221.244
2001-10-01,WF,172,477.986
2001-09-01,WF,172,46.4584
2001-08-01,WF,172,173.551
2001-07-01,WF,172,144.43
2001-06-01,WF,172,169.556
2001-05-01,WF,172,389.865
2001-04-01,WF,172,283.527
2001-03-01,WF,172,278.864
2001-02-01,WF,172,343.668
2001-01-01,WF,172,229.796
2000-12-01,WF,172,388.69
2000-11-01,WF,172,327.908
2000-10-01,WF,172,301.371
2000-09-01,WF,172,127.674
2000-08-01,WF,172,194.224
2000-07-01,WF,172,245.264
2000-06-01,WF,172,149.493
2000-05-01,WF,172,132.384
2000-04-01,WF,172,197.896
2000-03-01,WF,172,214.341
2000-02-01,WF,172,266.362
2000-01-01,WF,172,264.428
1999-12-01,WF,172,160.967
1999-11-01,WF,172,247.515
1999-10-01,WF,172,341.77
1999-09-01,WF,172,295.278
1999-08-01,WF,172,64.3854
1999-07-01,WF,172,126.633
1999-06-01,WF,172,101.223
1999-05-01,WF,172,318.26
1999-04-01,WF,172,231.592
1999-03-01,WF,172,62.203
1999-02-01,WF,172,329.372
1999-01-01,WF,172,433.803
1998-12-01,WF,172,632.343
1998-11-01,WF,172,249.374
1998-10-01,WF,172,333.071
1998-09-01,WF,172,64.6216
1998-08-01,WF,172,51.0515
1998-07-01,WF,172,90.637
1998-06-01,WF,172,82.4535
1998-05-01,WF,172,42.0484
1998-04-01,WF,172,136.009
1998-03-01,WF,172,261.129
1998-02-01,WF,172,30.2886
1998-01-01,WF,172,587.413
1997-12-01,WF,172,322.982
1997-11-01,WF,172,197.754
1997-10-01,WF,172,301.864
1997-09-01,WF,172,305.152
1997-08-01,WF,172,250.699
1997-07-01,WF,172,288.324
1997-06-01,WF,172,309.992
1997-05-01,WF,172,168.057
1997-04-01,WF,172,234.489
1997-03-01,WF,172,390.297
1997-02-01,WF,172,322.531
1997-01-01,WF,172,307.383
1996-12-01,WF,172,399.363
1996-11-01,WF,172,274.392
1996-10-01,WF,172,359.48
1996-09-01,WF,172,245.382
1996-08-01,WF,172,50.1783
1996-07-01,WF,172,121.507
1996-06-01,WF,172,230.084
1996-05-01,WF,172,264.655
1996-04-01,WF,172,266.518
1996-03-01,WF,172,644.85
1996-02-01,WF,172,406.507
1996-01-01,WF,172,372.25
1995-12-01,WF,172,148.21
1995-11-01,WF,172,202.843
1995-10-01,WF,172,451.028
1995-09-01,WF,172,311.153
1995-08-01,WF,172,495.106
1995-07-01,WF,172,289.79
1995-06-01,WF,172,131.122
1995-05-01,WF,172,266.345
1995-04-01,WF,172,578.173
1995-03-01,WF,172,372.701
1995-02-01,WF,172,437.557
1995-01-01,WF,172,389.975
1994-12-01,WF,172,534.849
1994-11-01,WF,172,365.882
1994-10-01,WF,172,248.633
1994-09-01,WF,172,212.872
1994-08-01,WF,172,126.068
1994-07-01,WF,172,257.977
1994-06-01,WF,172,274.866
1994-05-01,WF,172,330.206
1994-04-01,WF,172,291.482
1994-03-01,WF,172,187.626
1994-02-01,WF,172,179.555
1994-01-01,WF,172,325.293
1993-12-01,WF,172,403.38
1993-11-01,WF,172,199.389
